"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANURADHA SHARMA","2 - UMA BHARATI","3 - DR. CHANDRAPAL SINGH YADAV","4 - PRADEEP JAIN ADITYA","5 - ARCHANA","6 - CHINTAMANI","7 - NARESH KUMAR","8 - MAULANA MOHAMMAD","9 - SUNIL MASSEY","10 - KULDEEP KUMAR","11 - TULA RAM","12 - DILSHAD AHMAD","13 - RACHNA SHARMA","14 - RAJENDRA KUMAR","15 - RAM KUMAR ANK SHASTRI","16 - None of the Above","Total Votes Secured"
155,"JINRAJ MEMORIAL SCHOOL LAXMANGANJ-2",535,472,0,1007,297,254,0,551,551,0,27,415,61,42,1,0,1,1,0,0,0,0,1,0,1,1,551
156,"JINRAJ MEMORIAL SCHOOL LAXMANGANJ-3",523,452,0,975,282,249,0,531,531,0,25,381,69,53,1,0,0,0,0,0,0,0,0,1,0,1,531
157,"JINRAJ MEMORIAL SCHOOL LAXMANGANJ-4",452,350,0,802,260,215,0,475,475,0,14,308,69,78,1,1,0,0,0,0,1,1,1,0,0,1,475
158,"PRI SCHOOL KANYA VASUDEV PART-1",548,443,0,991,346,269,0,615,615,0,16,452,71,69,5,0,0,0,0,0,0,1,0,1,0,0,615
159,"PRI SCHOOL KANYA VASUDEV PART-2",449,432,0,881,301,267,0,568,568,0,11,450,26,75,2,0,0,0,0,0,0,0,0,1,1,2,568
160,"PRI SCHOOL KANYA VASUDEV PART-3",605,550,0,1155,327,288,0,615,615,0,13,491,43,55,4,1,0,0,0,0,0,0,0,0,0,8,615
161,"PRI SCHOOL GUDRI PART-1",614,540,0,1154,413,365,0,778,778,0,108,458,124,76,3,0,2,0,0,0,0,0,0,0,4,3,778
162,"PRI SCHOOL GUDRI PART-2",746,660,0,1406,606,419,0,1025,1025,0,312,459,164,71,2,0,0,1,0,1,0,0,2,3,3,7,1025
163,"PRI SCHOOL GUDRI PART3-",376,323,0,699,252,188,0,440,440,0,6,354,34,42,1,1,1,0,0,0,0,0,0,0,1,0,440
164,"PRI SCHOOL GUDRI PART-4",322,315,0,637,229,200,0,429,429,0,7,347,41,30,3,0,0,0,0,0,0,0,0,0,1,0,429
165,"SHRI RAMLALA KANYA JUNIOR HIGH SCHOOL PART-1",454,395,0,849,290,228,0,518,518,0,7,438,13,53,2,0,0,0,0,0,0,0,0,0,1,4,518
166,"SHRI RAMLALA KANYA JUNIOR HIGH SCHOOL PART-2",470,389,0,859,269,222,0,491,491,0,12,430,9,39,0,0,0,0,0,0,0,0,0,0,0,1,491
167,"GOVT KANYA SC BASIC SCHOOL PART-1",585,501,0,1086,368,320,0,688,688,0,188,356,61,66,1,1,2,0,0,0,0,0,3,1,2,7,688
168,"GOVT KANYA SC BASIC SCHOOL PART-2",761,675,1,1437,424,261,0,685,685,0,64,346,165,96,0,0,2,0,0,1,0,1,1,5,1,3,685
169,"GUNGAI BHERO KA SCHOOL LAXMIGATE PART-1",447,391,0,838,324,253,0,577,577,0,13,458,44,54,2,0,1,0,0,0,0,0,0,0,2,3,577
170,"GUNGAI BHERO KA SCHOOL LAXMIGATE PART-2",640,502,0,1142,489,326,0,815,815,0,49,636,46,62,1,2,2,0,2,0,2,1,2,0,5,5,815
171,"GUNGAI BHERO KA SCHOOL LAXMIGATE PART-3",410,353,0,763,313,226,0,539,539,0,76,395,21,33,3,0,1,2,0,0,0,2,0,0,5,1,539
172,"GOVT BASIC PRI SCHOOL PARESHWAR PART-1",700,584,0,1284,401,328,0,729,729,0,91,457,93,77,1,0,0,0,0,0,0,1,0,1,4,4,729
173,"GOVT BASIC PRI SCHOOL PARESHWAR PART-2",411,345,0,756,247,184,0,431,431,0,45,269,61,38,4,1,2,1,0,0,1,1,0,2,2,4,431
174,"SHISHU MANDIR SCHOOL JAWAHER CHOWK",390,359,0,749,304,224,0,528,528,0,25,388,59,51,5,0,0,0,0,0,0,0,0,0,0,0,528
175,"SETH AYODYA PRASAD MEMORIYAL KARMABAI JU HIGH SCHOOL DADIYAPURA-1",821,695,0,1516,440,524,0,964,964,0,40,751,91,67,3,1,3,0,1,0,1,1,2,2,1,0,964
176,"SETH AYODYA PRASAD MEMORIYAL KARMABAI JU HIGH SCHOOL DADIYAPURA-2",882,705,0,1587,567,346,0,913,913,0,43,723,54,78,4,1,1,0,1,0,1,2,0,0,3,2,913
177,"SWAMI VIVEKANAND SHIKSHA MANDIR JUNIOR HIGH SCHOOL BAHAR BADAGAON GATE PART-1",862,655,0,1517,537,372,0,909,909,0,70,726,54,44,4,0,1,0,1,0,0,1,1,1,2,4,909
178,"SWAMI VIVEKANAND SHIKSHA MANDIR JUNIOR HIGH SCHOOL BAHAR BADAGAON GATE PART-2",801,648,0,1449,508,349,0,857,857,0,54,693,45,45,6,1,2,0,2,0,0,1,1,1,4,2,857
179,"GYANSTHALIYA INTER COLLEGE BADAGAON GATE BAHAR PART-1",642,527,0,1169,446,383,0,829,829,0,47,626,78,49,4,0,5,1,2,0,1,0,2,0,11,3,829
180,"GYANSTHALIYA INTER COLLEGE BADAGAON GATE BAHAR PART-2",529,439,0,968,347,288,0,635,635,0,92,439,34,58,5,0,1,0,1,0,0,1,0,1,1,2,635
181,"GYANSTHALIYA INTER COLLEGE BADAGAON GATE BAHAR PART-3",407,335,0,742,271,191,0,462,462,0,35,369,24,29,0,0,0,0,0,0,0,0,0,0,2,3,462
182,"GYANSTHALIYA INTER COLLEGE BADAGAON GATE BAHAR PART-4",601,480,0,1081,387,278,0,665,665,0,20,549,46,40,4,0,1,0,2,0,0,0,1,0,0,2,665
183,"GYANSTHALIYA INTER COLLEGE BADAGAON GATE BAHAR PART-5",372,308,0,680,249,182,0,431,431,0,20,348,22,35,3,0,0,0,0,0,0,0,0,1,2,0,431
184,"KULDEEP SARASWATI VIDYA MANDIR INTER COLLEGE DADIYAPURA PART-1",647,542,0,1189,372,341,0,713,713,0,107,500,37,57,1,0,1,0,0,0,0,1,1,0,2,6,713
185,"KULDEEP SARASWATI MANDIR INTER COLLEGE DADIYAPURA PART-2",462,360,0,822,256,164,0,420,420,0,53,301,36,22,2,0,0,0,0,0,0,0,1,2,0,3,420
186,"ADARSH JUNIOR HIGH SCHOOL TALPURA NARAYAN BAG ROAD PART-1",577,454,0,1031,371,210,0,581,581,0,57,349,102,59,2,1,3,0,1,0,0,1,0,0,3,3,581
187,"ADARSH JUNIOR HIGH SCHOOL TALPURA NARAYAN BAG ROAD PART-2",514,411,0,925,277,206,0,483,483,0,66,304,65,38,2,1,0,1,0,1,1,1,0,0,2,1,483
188,"B G M CONVENT SCHOOL PART-1",831,707,0,1538,520,406,0,926,926,0,112,609,130,54,2,3,2,0,1,1,3,1,1,2,3,2,926
189,"B G M CONVENT SCHOOL PART-2",925,768,0,1693,541,447,0,988,988,0,141,583,158,83,8,0,0,0,0,0,0,0,3,0,8,4,988
190,"B G M CONVENT SCHOOL PART-3",456,399,0,855,283,222,0,505,505,0,66,286,82,68,3,0,0,0,0,0,0,0,0,0,0,0,505
191,"B G M CONVENT SCHOOL PART-4",828,696,0,1524,478,360,0,838,838,0,103,477,163,77,10,0,0,0,1,1,0,0,1,1,0,4,838
192,"GYANSTHALY PUBLIC INTER COLLEGE SHIVAJI NAGAR PART-1",553,438,0,991,332,246,0,578,578,0,63,380,102,22,7,0,0,0,0,0,0,0,1,0,2,1,578
193,"GYANSTHALY PUBLIC INTER COLLEGE SHIVAJI NAGAR PART-2",378,319,0,697,210,172,0,382,382,0,46,252,51,20,9,0,0,0,0,1,0,0,0,1,1,1,382
194,"GYANSTHALY PUBLIC INTER COLLEGE SHIVAJI NAGAR PART-3",641,547,0,1188,354,307,0,661,661,0,128,375,74,69,9,0,0,0,0,0,0,0,0,0,1,5,661
195,"GYANSTHALY PUBLIC INTER COLLEGE SHIVAJI NAGAR PART-4",659,508,0,1167,386,272,0,658,658,0,80,375,159,36,4,1,0,0,0,0,0,0,0,0,1,2,658
196,"KARYALAY MANDI SAMITI PART-1",735,642,0,1377,527,376,0,903,903,0,482,53,282,70,3,0,2,1,1,0,2,0,0,0,1,6,903
197,"KARYALAY MANDI SAMITI PART-2",819,657,1,1477,530,310,0,840,840,0,43,34,603,145,3,2,1,0,0,0,0,1,1,4,1,2,840
198,"D C JUNIOR BASIC SCHOOL  PART-1",460,384,0,844,340,264,0,604,604,0,169,330,54,33,1,0,4,0,0,0,0,0,1,2,5,5,604
199,"D C JUNIOR BASIC SCHOOL PART-2",485,393,0,878,278,206,0,484,484,0,75,270,77,48,3,0,1,0,0,0,0,2,0,3,1,4,484
200,"D C JUNIOR BASIC SCHOOL PART-3",679,540,0,1219,378,292,0,670,670,0,134,385,89,47,3,0,1,2,0,0,0,2,1,0,2,4,670
201,"D C JUNIOR BASIC SCHOOL PART-4",798,614,0,1412,506,374,0,880,880,0,83,606,119,49,11,0,1,1,2,1,0,0,0,1,3,3,880
202,"D C JUNIOR BASIC SCHOOL PART-5",459,396,0,855,308,239,0,547,547,0,255,163,77,40,2,1,0,0,0,1,0,0,0,1,0,7,547
203,"D C JUNIOR BASIC SCHOOL PART-6",445,403,0,848,272,220,0,492,492,0,265,125,69,23,2,0,1,0,0,1,0,1,1,1,1,2,492
204,"NAVEEN ORCHAGATE SCHOOL TALPURA (NEHRU PLAY GROUND)",559,434,0,993,324,247,0,571,571,0,80,356,63,63,2,0,1,0,0,0,1,0,0,2,2,1,571
205,"NAVEEN ORCHAGATE SCHOOL TALPURA (NEHRU PLAY GROUND)-2",405,327,0,732,247,170,0,417,417,0,47,288,21,45,3,1,2,1,1,0,0,0,1,0,2,5,417
206,"PRI SCHOOL SAGARGATE PART-1",578,476,0,1054,363,286,0,649,649,0,25,353,158,104,8,0,0,0,1,0,0,0,0,0,0,0,649
207,"PRI SCHOOL SAGARGATE PART-2",478,402,0,880,336,279,0,615,615,0,16,493,34,64,2,1,0,0,0,2,0,0,0,0,1,2,615
208,"PRI SCHOOL SAGARGATE PART-3",513,458,0,971,371,331,0,702,702,0,50,527,66,52,0,1,1,0,0,0,1,0,1,0,0,3,702
209,"PRI SCHOOL SAGARGATE PART-4",382,323,0,705,256,194,0,450,450,0,97,283,20,40,2,0,1,0,1,0,0,0,0,0,1,5,450
210,"PRI SCHOOL SAGARGATE PART-5",431,347,0,778,311,224,0,535,353,0,154,264,64,45,1,0,0,0,3,1,1,0,0,0,1,1,535
211,"JUNIOR HIGH SCHOOL SAGAR GATE",617,524,0,1141,472,292,0,764,764,0,62,340,194,152,2,0,1,0,0,0,0,1,0,4,3,5,764
212,"VARDHMAN PUBLIC SCHOOL SUBHASGANJ PART-1",374,374,0,748,283,230,0,513,513,0,10,407,19,71,4,0,0,0,0,0,0,0,0,0,0,2,513
213,"VARDHMAN PUBLIC SCHOOL SUBHASGANJ PART-2",572,491,0,1063,312,387,0,699,699,0,8,542,33,107,1,0,1,0,0,1,0,0,0,0,3,3,699
214,"MUNNALAL MAHAJAN DHARMSHALA JUNIOR HIGH SCHOOL PART - 1",474,401,0,875,333,250,0,583,583,0,9,491,37,35,4,0,0,0,0,0,0,1,0,2,3,1,583
215,"ORIANTAL CO. AND NISWAN PART-1",427,424,0,851,280,288,0,568,568,0,28,296,164,68,4,0,2,0,0,0,0,0,0,1,2,3,568
216,"ORIANTAL CO. AND NISWAN PART-2",527,454,0,981,321,260,0,581,581,0,35,274,187,72,3,0,2,0,0,0,0,0,0,3,3,2,581
217,"MUNNALAL MAHAJAN DHARMSHALA JUNIOR HIGH SCHOOL SUBHASGANJ-2",893,685,0,1578,544,355,0,899,899,0,29,572,157,130,5,0,1,0,0,0,0,0,0,1,3,1,899
218,"MUNNALAL MAHAJAN DHARMSHALA JUNIOR HIGH SCHOOL SUBHASGANJ-3",638,585,0,1223,470,312,0,782,782,0,68,516,148,40,3,0,0,0,0,0,1,0,0,0,2,4,782
219,"SWAMI VIVEKANAND COLLEGE GUSAI PURA PART-1",591,540,0,1131,296,251,0,547,547,0,23,297,143,75,5,1,0,0,0,1,0,0,1,0,0,1,547
220,"SWAMI VIVEKANAND COLLEGE GUSAI PURA PART-2",558,475,0,1033,366,269,0,635,635,0,36,235,208,146,6,0,0,0,0,0,0,0,0,0,1,3,635
221,"SWAMI VIVEKANAND COLLEGE GUSAI PURA PART-3",523,439,0,962,325,231,0,556,556,0,30,350,97,69,1,1,3,0,0,0,0,0,1,0,2,2,556
222,"SWAMI VIVEKANAND COLLEGE GUSAI PURA PART-4",454,370,0,824,314,243,0,557,557,0,205,253,37,55,3,0,1,0,0,0,0,0,0,0,1,2,557
223,"SWAMI VIVEKANAND COLLEGE GUSAI PURA PART-5",540,503,0,1043,359,280,0,639,639,0,14,412,50,149,8,0,0,1,0,0,0,0,1,1,1,2,639
224,"BIPIN BIHARI INTER COLLEGE BALIKA VIBHAG-1",658,557,0,1215,400,359,0,759,759,0,56,515,37,135,9,0,1,0,0,0,0,1,1,0,0,4,759
225,"BIPIN BIHARI INTER COLLEGE BALIKA VIBHAG-2",791,682,1,1474,516,410,0,926,926,0,151,600,37,117,6,1,9,0,0,1,0,1,0,0,1,2,926
226,"BIPIN BIHARI INTER COLLEGE NAYA BHAWAN -3",591,478,0,1069,395,270,0,665,665,0,82,345,147,74,0,3,1,0,0,1,0,1,1,1,1,8,665
227,"BIPIN BIHARI INTER COLLEGE NAYA BHAWAN -4",720,608,0,1328,400,303,0,703,703,0,111,303,114,159,4,1,1,0,0,0,0,2,1,0,1,6,703
228,"BIPIN BIHARI INTER COLLEGE NAYA BHAWAN -5",838,710,1,1549,641,357,0,998,998,0,135,662,55,116,15,0,3,0,1,0,1,0,0,1,4,5,998
229,"BIPIN BIHARI INTER COLLEGE PART-1",513,440,0,953,321,287,0,608,608,0,12,435,72,71,9,0,0,0,2,0,0,1,1,2,2,1,608
230,"BIPIN BIHARI INTER COLLEGE PART-2",622,486,0,1108,394,258,0,652,652,0,18,424,104,87,8,1,1,1,1,1,0,1,0,0,3,2,652
231,"BIPIN BIHARI INTER COLLEGE PART-3",662,550,0,1212,414,279,0,693,693,0,15,559,49,50,2,0,3,0,0,1,1,0,1,3,6,3,693
232,"BIPIN BIHARI INTER COLLEGE PART-4",493,400,0,893,296,205,0,501,501,0,46,157,153,136,0,0,3,0,0,0,0,0,1,2,0,3,501
233,"BIPIN BIHARI INTER COLLEGE PART-5",465,449,0,914,300,208,0,508,508,0,23,116,234,125,0,1,0,0,2,0,0,1,1,0,5,0,508
234,"BIPIN BIHARI SCIENCE DEGREE COLLEGE D. PART-1",680,586,0,1266,405,359,0,764,764,0,92,409,114,132,6,1,1,0,2,0,0,0,0,1,5,1,764
235,"BIPIN BIHARI SCIENCE DEGREE COLLEGE D. PART-2",828,660,0,1488,426,324,0,750,750,0,84,475,114,57,3,0,1,1,0,0,0,0,2,2,2,9,750
236,"BIPIN BIHARI SCIENCE DEGREE COLLEGE D. PART-3",820,614,0,1434,490,346,0,836,836,0,28,7,683,85,2,0,1,1,0,1,1,1,1,11,3,11,836
237,"BIPIN BIHARI SCIENCE DEGREE COLLEGE D. PART-4",867,695,0,1562,505,434,0,939,939,0,10,14,815,72,3,0,1,0,1,0,0,0,1,10,1,11,939
238,"BIPIN BIHARI SCIENCE DEGREE COLLEGE D. PART-5",582,472,0,1054,325,225,0,550,550,0,19,320,131,75,0,0,0,2,0,0,0,0,0,0,1,2,550
239,"BIPIN BIHARI SCIENCE DEGREE COLLEGE D. PART-6",538,460,0,998,356,280,0,636,636,0,27,251,218,126,4,0,3,1,0,0,0,1,0,3,2,0,636
240,"BIPIN BIHARI SCIENCE DEGREE COLLEGE D. PART-7",401,332,4,737,300,180,0,480,480,0,84,155,174,61,0,1,0,0,1,0,0,0,1,0,2,1,480
241,"BIPIN BIHARI SCIENCE DEGREE COLLEGE D. PART-8",394,307,0,701,250,161,0,411,411,0,122,244,4,37,1,0,2,0,0,0,0,0,1,0,0,0,411
242,"M L M ENGLISH SCHOOL JHOKAN BAG-1",490,445,0,935,281,229,0,510,510,0,69,257,60,119,3,0,1,0,0,0,0,0,0,0,0,1,510
243,"M L M ENGLISH SCHOOL JHOKAN BAG-2",535,423,0,958,324,207,0,531,531,0,52,222,156,92,3,0,1,0,0,0,0,0,0,2,1,2,531
244,"M L M ENGLISH SCHOOL JHOKAN BAG-3",511,439,0,950,310,258,0,568,568,0,28,146,258,122,2,1,0,0,1,1,2,0,0,1,2,4,568
245,"M L M ENGLISH SCHOOL JHOKAN BAG-4",509,419,0,928,265,204,0,469,469,0,15,223,148,75,3,1,0,0,0,0,0,0,1,0,2,1,469
246,"CHRISTIAN INTER COLLEGE PART-1",390,346,0,736,267,171,0,438,438,0,31,89,208,101,0,0,0,0,0,0,0,1,1,0,1,6,438
247,"CHRISTIAN INTER COLLEGE PART-2",362,274,0,636,204,149,0,353,353,0,24,136,138,49,1,0,0,0,1,0,0,2,0,0,2,0,353
248,"CHRISTIAN INTER COLLEGE PART-3",619,557,0,1176,369,251,0,620,620,0,61,320,175,47,3,1,1,0,0,0,1,0,0,3,4,4,620
249,"CHRISTIAN INTER COLLEGE PART-4",636,508,0,1144,302,205,0,507,507,0,146,162,119,76,0,0,1,0,0,0,0,0,0,0,0,3,507
250,"CHRISTIAN INTER COLLEGE PART-5",454,356,0,810,275,187,0,462,462,0,91,185,126,58,0,0,0,0,0,0,0,0,0,0,1,1,462
251,"SANT JHONS JUNIOR HIGH SCHOOL PART-1",517,429,0,946,292,247,0,539,539,0,22,325,106,78,1,0,1,0,1,1,0,1,0,0,1,2,539
252,"SANT JHONS JUNIOR HIGH SCHOOL PART-2",486,385,0,871,265,218,0,483,483,0,29,316,64,59,8,0,1,0,1,0,0,0,0,0,1,4,483
253,"SANT JHONS JUNIOR HIGH SCHOOL PART-3",646,543,0,1189,354,275,0,629,629,0,45,255,136,175,11,1,0,0,0,0,1,1,0,0,2,2,629
254,"S P I INTER COLLEGE PART-1",501,411,0,912,291,211,0,502,502,0,41,342,65,52,2,0,0,0,0,0,0,0,0,0,0,0,502
255,"S P I INTER COLLEGE PART-2",429,355,0,784,216,190,0,406,406,0,28,307,34,30,5,0,0,1,1,0,0,0,0,0,0,0,406
256,"S P I INTER COLLEGE PART-3",621,548,0,1169,270,198,0,468,468,0,50,267,61,78,8,0,0,0,0,0,0,1,0,0,0,3,468
257,"S P I INTER COLLEGE PART-4",496,456,0,952,279,244,0,523,523,0,22,406,17,69,6,0,0,1,1,0,0,0,0,0,1,0,523
258,"S P I INTER COLLEGE PART-5",657,597,0,1254,374,297,0,671,671,0,31,467,26,142,2,0,0,0,0,0,0,0,0,0,1,2,671
259,"S P I INTER COLLEGE PART-6",372,317,0,689,261,179,0,440,440,0,26,297,40,68,3,0,0,0,0,0,0,0,1,0,2,3,440
260,"S P I INTER COLLEGE PART-7",510,458,0,968,289,262,0,551,551,0,30,436,20,57,7,0,0,0,0,0,0,0,0,0,1,0,551
261,"NATIONAL HAFIZ SIDDIQUI GIRLS INTER COLLEGE CIVIL LINE-1",408,371,0,779,172,190,0,362,362,0,66,212,28,49,1,0,0,0,0,0,0,0,1,1,1,3,362
262,"NATIONAL HAFIZ SIDDIQUI GIRLS INTER COLLEGE CIVIL LINE-2",466,406,0,872,248,201,0,449,449,0,47,271,46,77,4,0,0,0,0,0,1,1,0,2,0,0,449
263,"NATIONAL HAFIZ SIDDIQUI GIRLS INTER COLLEGE CIVIL LINE-3",490,408,0,898,293,236,0,529,529,0,29,345,55,92,1,0,0,0,0,1,0,0,0,1,0,5,529
264,"NATIONAL HAFIZ SIDDIQUI GIRLS INTER COLLEGE CIVIL LINE-4",498,428,0,926,304,238,0,542,542,0,48,359,62,61,7,0,1,0,0,0,1,0,0,0,0,3,542
265,"NATIONAL HAFIZ SIDDIQUI GIRLS INTER COLLEGE CIVIL LINE-2",391,298,0,689,135,84,0,219,219,0,14,156,21,27,0,0,0,0,0,0,0,0,1,0,0,0,219
266,"NATIONAL HAFIZ SIDDIQUI GIRLS INTER COLLEGE CIVIL LINE-6",387,363,0,750,215,197,0,412,412,0,31,234,28,109,5,0,0,0,0,0,0,0,0,0,2,3,412
267,"NATIONAL HAFIZ SIDDIQUI GIRLS INTER COLLEGE CIVIL LINE-7",487,419,0,906,217,194,0,411,411,0,28,244,70,64,3,0,0,0,0,0,2,0,0,0,0,0,411
268,"NATIONAL HAFIZ SIDDIQUI GIRLS INTER COLLEGE CIVIL LINE-8",487,407,0,894,240,143,0,383,383,0,24,244,51,61,1,0,0,1,0,0,0,0,0,0,0,1,383
269,"NATIONAL HAFIZ SIDDIQUI GIRLS INTER COLLEGE CIVIL LINE-9",620,553,0,1173,292,223,0,515,515,0,43,313,64,88,2,1,0,1,0,0,0,1,0,0,0,2,515
270,"NATIONAL HAFIZ SIDDIQUI  INTER COLLEGE CIVIL LINE-10",462,390,0,852,228,191,0,419,419,0,52,179,100,76,3,1,0,0,0,0,0,0,0,1,3,4,419
271,"NATIONAL HAFIZ SIDDIQUI  INTER COLLEGE CIVIL LINE-11",479,369,0,848,202,164,0,366,366,0,27,201,83,48,2,0,1,1,0,1,0,0,0,0,0,2,366
272,"DR RADHAKRISHAN INTER COLLEGE KHATIBABA ROAD PART-1",484,407,0,891,314,232,0,546,546,0,29,361,97,44,2,1,1,0,1,0,1,0,2,0,3,4,546
273,"DR RADHAKRISHAN INTER COLLEGE KHATIBABA ROAD PART-2",481,418,0,899,272,207,0,479,479,0,73,260,68,65,1,1,0,1,0,0,1,0,0,3,2,4,479
274,"DR RADHAKRISHAN INTER COLLEGE KHATIBABA ROAD PART-3",564,460,0,1024,373,324,0,697,697,0,166,326,87,109,3,1,0,0,0,1,0,0,1,1,2,0,697
275,"KAMAL SINGH CHAUHAN SARASWATI B VI MANDIR DEENDAYAL NAGAR PART-1",552,468,0,1020,303,215,0,518,518,0,89,245,82,90,4,0,0,1,0,1,0,0,1,0,3,2,518
276,"KAMAL SINGH CHAUHAN SARASWATI B VI MANDIR DEENDAYAL NAGAR PART-2",813,645,0,1458,433,308,0,741,741,0,52,337,194,141,5,0,1,2,0,0,0,0,1,2,3,3,741
277,"SARASWATI SHISHU MANDIR HIGH SCHOOL PART-1",553,425,0,978,350,234,0,584,584,0,47,236,194,87,3,1,0,1,1,0,1,1,2,5,3,2,584
278,"SARASWATI SHISHU MANDIR HIGH SCHOOL PART-2",552,446,0,998,354,231,0,585,585,0,52,265,179,74,0,0,1,0,0,1,0,1,4,4,2,2,585
279,"SARASWATI SHISHU MANDIR HIGH SCHOOL PART-3",628,589,0,1217,376,312,0,688,688,0,101,415,62,85,15,0,1,0,0,0,0,0,0,0,5,4,688
280,"SARASWATI SHISHU MANDIR HIGH SCHOOL PART-4",870,710,0,1580,490,362,0,852,852,0,135,519,85,94,13,0,1,0,0,0,0,1,1,0,3,0,852
281,"KIDS G SCHOOL AVAS VIKAS-1",974,848,0,1822,546,482,0,1028,1028,0,109,552,129,207,19,1,1,2,0,0,2,0,0,0,3,3,1028
282,"KIDS G SCHOOL AVAS VIKAS-2",787,743,1,1531,439,425,0,864,864,0,167,375,138,166,15,0,1,0,0,0,0,0,0,1,1,0,864
283,"G D MISSION CONVENT SCHOOL PART-1",447,402,0,849,232,195,0,427,427,0,33,242,68,76,7,0,0,0,0,0,0,0,0,0,0,1,427
284,"G D MISSION CONVENT SCHOOL PART-2",542,496,0,1038,293,259,0,552,552,0,49,391,39,67,5,0,0,0,0,0,0,0,0,0,0,1,552
285,"MAHARAJA BAL MANDIR HIGH SCHOOL NANDANPURA PART-1",526,424,0,950,236,200,0,436,436,0,26,282,46,74,1,0,0,0,0,1,0,0,0,0,1,5,436
286,"MAHARAJA BAL MANDIR HIGH SCHOOL NANDANPURA PART-2",472,352,0,824,247,200,0,447,447,0,53,269,60,47,9,1,0,1,0,1,1,0,1,2,1,1,447
287,"MAHARAJA BAL MANDIR HIGH SCHOOL NANDANPURA PART-3",852,713,0,1565,516,419,0,935,935,0,113,566,98,130,15,0,0,0,0,1,0,1,0,1,4,6,935
288,"MAHARAJA BAL MANDIR HIGH SCHOOL NANDANPURA PART-4",514,447,1,962,311,257,0,568,568,0,72,344,50,88,3,0,2,1,0,0,1,0,2,1,0,4,568
289,"G D MISSION CONVENT SCHOOL PART-3",593,526,0,1119,353,299,0,652,652,0,59,447,74,64,1,1,0,0,2,1,0,0,0,1,2,0,652
290,"SARASWATI GYAN MANDIR K.K.PURI COLONY PART-1",641,608,0,1249,362,369,0,731,731,0,33,540,74,76,7,0,0,0,0,0,0,0,0,0,0,1,731
291,"SARASWATI GYAN MANDIR K.K.PURI COLONY PART-2",385,324,0,709,197,160,0,357,357,0,36,203,64,49,4,0,0,0,0,0,0,0,0,0,1,0,357
292,"SARASWATI GYAN MANDIR K.K.PURI COLONY PART-3",612,491,0,1103,332,240,0,572,572,0,39,358,69,87,12,0,0,0,0,0,0,0,0,1,0,6,572
293,"SARASWATI GYAN MANDIR K.K.PURI COLONY PART-4",492,452,0,944,304,266,0,570,570,0,36,379,69,73,9,0,0,0,0,0,0,0,0,0,2,2,570
294,"AZAD JUNIOR HIGH SCHOOL ISAITOLA PART-1",328,305,1,634,205,150,0,355,355,0,43,154,79,63,2,0,2,0,0,0,0,5,0,2,1,4,355
295,"AZAD JUNIOR HIGH SCHOOL ISAITOLA PART-2",576,462,0,1038,383,285,0,668,668,0,166,315,106,71,1,0,1,0,1,0,0,0,0,0,3,4,668
296,"AZAD JUNIOR HIGH SCHOOL ISAITOLA PART-3",752,657,0,1409,552,290,0,842,842,0,124,420,110,175,6,0,1,0,0,0,1,0,0,2,1,2,842
297,"AZAD JUNIOR HIGH SCHOOL ISAITOLA PART-4",527,414,0,941,292,224,0,516,516,0,93,179,93,134,3,0,2,0,0,0,0,2,0,3,2,5,516
298,"AZAD JUNIOR HIGH SCHOOL ISAITOLA PART-5",456,366,0,822,263,229,0,492,492,0,85,257,73,59,8,1,1,0,1,0,0,0,0,0,2,5,492
299,"NIRMALA CONVENT GIRLS INTER COLLEGE GARIYA FATAKH PART-1",664,582,0,1246,415,376,0,791,791,0,51,447,54,211,11,0,2,0,7,0,0,0,0,0,2,6,791
300,"NIRMALA CONVENT GIRLS INTER COLLEGE GARIYA FATAKH PART-2",434,438,0,872,215,201,0,416,416,0,40,211,25,124,11,0,2,0,0,0,0,0,0,0,0,3,416
301,"NIRMALA CONVENT GIRLS INTER COLLEGE GARIYA FATAKH PART-3",554,479,0,1033,274,211,0,485,485,0,58,292,35,90,5,0,0,0,0,1,0,0,1,0,0,3,485
302,"NIRMLA CONVENT GIRLS INTER COLLEGE GARIYA FATAKH PART-4",450,389,0,839,265,215,0,480,480,0,78,245,35,114,4,0,0,0,0,0,0,1,0,2,0,1,480
303,"NIRMLA CONVENT GIRLS INTER COLLEGE GARIYA FATAK PART-5",545,457,0,1002,279,211,0,490,490,0,41,308,31,90,16,0,1,0,0,0,0,0,0,0,1,2,490
304,"NIRMLA CONVENT GIRLS INTER COLLEGE GARIYA FATAK PART-6",795,725,0,1520,482,415,0,897,897,0,133,535,76,137,10,0,0,0,1,0,0,0,0,0,1,4,897
305,"M S RAJPOOT JUNIOR HIGH SCHOOL PART-1",760,635,0,1395,494,393,0,887,887,0,234,471,71,90,3,0,3,1,0,0,2,0,1,2,2,7,887
306,"M S RAJPOOT JUNIOR HIGH SCHOOL PART-2",756,686,0,1442,526,425,0,951,951,0,55,477,283,119,3,3,0,3,0,0,0,1,1,2,3,1,951
307,"M S RAJPOOT JUNIOR HIGH SCHOOL PART-3",633,537,0,1170,375,276,0,651,651,0,10,546,32,52,6,2,0,0,0,0,0,0,0,0,0,3,651
