"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - VIPNESH","2 - RAVI PRAKASH VERMA","3 - RAMGOPAL MISHRA","4 - AJAY KUMAR","6 - ARVIND GIRI","7 - ZAFAR ALI NAQVI","10 - DINESH KUMAR","11 - KRISHNA ADHIKARI","12 - ASHRAF ALI","14 - ASHOK","16 - RAMESHWARI","17 - None of the Above","Total Votes Secured"
184,"NPLK.GOLA GOKARNNATH",593,521,0,1114,371,291,0,662,642,0,6,70,1,320,202,58,0,1,0,0,0,4,662
185,"NPLK.GOLA GOKARNNATH",369,320,0,689,233,175,0,408,408,0,4,25,0,225,85,67,0,1,0,0,1,0,408
186,"NPLK.GOLA GOKARNNATH",831,764,0,1595,461,403,0,864,820,0,15,104,0,191,198,345,0,0,4,3,2,2,864
187,"NPLK.GOLA GOKARNNATH",499,427,0,926,310,251,0,561,561,0,7,75,2,198,133,141,0,0,1,3,0,1,561
188,"NPLK.GOLA GOKARNNATH",636,560,0,1196,361,300,0,661,600,0,4,61,0,181,308,101,1,0,1,0,1,3,661
189,"NPLK.GOLA GOKARNNATH",727,595,0,1322,337,254,0,591,591,0,1,93,0,147,215,133,0,1,0,0,0,1,591
190,"NPLK.GOLA GOKARNNATH",772,640,0,1412,398,298,0,696,582,0,11,104,0,281,122,168,1,0,3,2,1,3,696
191,"NPLK.GOLA GOKARNNATH",657,536,0,1193,238,210,0,448,421,0,4,94,0,207,101,39,1,1,0,1,0,0,448
192,"NPLK.GOLA GOKARNNATH",733,650,0,1383,414,361,0,775,770,0,13,145,0,266,139,203,0,1,0,3,2,3,775
193,"NPLK.GOLA GOKARNNATH",488,471,0,959,309,250,0,559,557,0,3,56,1,236,155,100,1,0,0,5,1,1,559
194,"NPLK.GOLA GOKARNNATH",462,420,0,882,274,250,0,524,524,0,2,39,0,308,151,18,1,0,0,1,0,4,524
195,"NPLK.GOLA GOKARNNATH",636,650,0,1286,386,335,0,721,721,0,4,65,0,270,204,168,0,1,0,3,2,4,721
196,"NPLK.GOLA GOKARNNATH",514,451,0,965,311,230,0,541,541,0,3,66,0,193,182,89,0,0,0,5,2,1,541
197,"NPLK.GOLA GOKARNNATH",466,406,0,872,290,201,0,491,460,0,12,45,0,189,155,86,0,1,0,0,0,3,491
198,"NPLK.GOLA GOKARNNATH",752,601,0,1353,395,314,0,709,696,0,20,126,1,194,151,200,2,1,3,1,3,7,709
199,"NPLK.GOLA GOKARNNATH",518,434,1,953,278,214,0,492,492,0,9,84,2,148,165,75,1,0,0,1,3,4,492
200,"PADARIYADHI .M.GOLADEHAT",414,321,0,735,295,207,0,502,476,0,3,66,0,246,155,26,0,0,0,0,1,5,502
201,"KODAHVA .M.GOLADEHAT",758,649,0,1407,483,350,0,833,826,0,17,115,3,186,414,77,6,2,3,1,3,6,833
202,"KODAHVA .M.GOLADEHAT",793,615,0,1408,427,274,0,701,701,0,9,65,0,325,198,93,2,0,0,1,1,7,701
203,"BHUSAURIYA .M.GOLADEHAT",804,635,0,1439,455,280,0,735,733,0,4,97,2,288,266,62,3,6,0,0,1,6,735
204,"BHUSAURIYA .M.GOLADEHAT",416,378,0,794,245,208,0,453,447,0,2,24,2,92,227,91,1,0,3,0,5,6,453
205,"BHUSAURIYA .M.GOLADEHAT",502,418,0,920,266,182,0,448,448,0,3,37,0,127,200,75,0,0,0,0,1,5,448
206,"BHUSAURIYA .M.GOLADEHAT",740,598,0,1338,302,255,0,557,554,0,11,31,0,140,160,204,1,1,2,1,2,4,557
