"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ABHISHEK MISRA","2 - NAKUL DUBEY","3 - RAJ NATH SINGH","4 - PROF. RITA BAHUGUNA JOSHI","5 - SYED JAVED AHMED JAFRI","6 - TARA PATKAR","7 - NAND KUMAR LODHI RAJPOOT","8 - RABI DUBEY","9 - RAJ KUMAR SINGH","10 - RADHA KRISHNAN","11 - RAMPHAL RAWAT","12 - VIJAY BAHADUR SINGH","13 - SHISHU PAL YADAV","14 - MOHD. SARWAR MALIK","15 - SUNIL SINGH","16 - SUMAN VERMA","17 - SANJEEV MEHROTRA ALIAS PIKKU BHAI","18 - HARI RAM ALIAS HARIBHAI PATEL","19 - SYED ALI HUSAIN","20 - ASOK PANDE","21 - ADARSH SHASTRI","22 - GHANSHYAM SINGH","23 - PADAM CHANDRA GUPTA","24 - MANOJ SINGH","25 - YOGESH CHANDRA BHATT","26 - RAJEEV RANJAN TIWARI ALIAS RAJ BEHARI","27 - VINAY PRAKASH MISHRA","28 - SHAILENDRA SINGH YADAV","29 - SUBHASH CHANDRA LEHRI","30 - None of the Above","Total Votes Secured"
31,"MAA BHAWATI VIDHYA MANDIR PUBLIC SCHOOL PARA ROOM NO-2",402,291,0,693,208,125,0,333,306,0,16,63,206,39,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,333
32,"MAA BHAWATI VIDHYA MANDIR PUBLIC SCHOOL PARA ROOM NO-3",628,509,0,1137,271,199,0,470,432,0,12,56,319,64,6,0,0,0,0,0,1,0,0,2,1,0,1,1,2,2,1,0,1,0,0,0,0,0,0,1,470
33,"MAA BHAWATI VIDHYA MANDIR PUBLIC SCHOOL PARA ROOM NO-4",711,570,0,1281,365,239,0,604,556,0,16,40,444,86,14,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,604
34,"SENT MERRY PUBLIC SCHOOL PARA ROOM NO-1",833,656,0,1489,395,299,0,694,638,0,22,44,479,111,20,0,0,1,1,0,0,1,0,0,0,4,1,0,0,1,0,0,0,1,0,1,1,2,0,4,694
35,"SENT MERRY PUBLIC SCHOOL PARA ROOM NO-2",513,409,0,922,259,170,0,429,395,0,14,20,291,94,3,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,429
36,"SENT MERRY PUBLIC SCHOOL PARA ROOM NO-3",791,679,0,1470,310,207,0,517,476,0,29,69,271,123,7,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,2,5,517
37,"SENT MERRY PUBLIC SCHOOL PARA ROOM NO-4",552,426,0,978,232,176,0,408,375,0,14,29,306,43,10,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,408
38,"SENT MERRY PUBLIC SCHOOL PARA ROOM NO-5",525,453,0,978,257,217,0,474,436,0,17,39,355,53,4,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,474
39,"SENT MERRY PUBLIC SCHOOL PARA ROOM NO-6",335,294,0,629,195,163,0,358,329,0,4,26,257,58,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,358
40,"SENT MERRY PUBLIC SCHOOL PARA ROOM NO-7",812,649,0,1461,434,319,0,753,693,0,25,40,563,81,28,1,0,0,1,0,0,0,0,0,0,2,0,0,2,1,2,0,1,1,0,0,0,1,0,4,753
