"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
74,"PRA.VID.LAKHANPUR R.NO.-2",375,318,0,693,262,220,0,482,94,0,4,63,18,367,0,0,0,2,0,0,0,3,1,4,1,3,0,1,2,1,0,0,1,1,0,0,6,2,2,482
75,"PRA.VID.ARTONI R.NO.-1",529,394,0,923,342,233,0,575,434,0,3,57,4,495,4,1,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,1,3,0,0,0,0,0,575
76,"PRA.VID.ARTONI R.NO.-3",830,622,1,1453,432,357,0,789,670,0,3,182,13,554,3,2,0,0,2,0,1,2,2,2,0,1,1,1,3,6,1,2,1,2,0,1,3,0,1,789
77,"PRA.VID.ARTONI R.NO.-2",658,461,0,1119,406,239,0,645,635,0,20,403,16,178,1,1,0,1,2,0,0,0,3,0,2,0,1,2,2,2,0,0,1,4,1,1,3,0,1,645
78,PUR.MAD.VID.ARTONI.R.NO.-1,690,487,0,1177,405,242,0,647,430,0,11,400,56,148,0,0,0,3,1,0,0,1,8,4,3,2,0,2,0,1,0,0,0,1,0,1,1,0,4,647
79,"PRA.VID. NAGLA SOHANLAL",409,244,0,653,291,193,0,484,15,0,3,43,6,416,2,0,0,1,0,0,2,0,2,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,3,484
80,"PRA.VID.BABARPUR R.NO.-1",582,467,0,1049,263,197,0,460,458,0,11,276,134,21,2,0,1,1,1,0,0,1,7,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,460
81,"PRA.VID.BABARPUR R.NO.-2",686,481,0,1167,311,190,0,501,495,0,11,364,69,20,0,1,1,1,1,0,1,0,4,1,1,2,0,4,1,0,2,2,1,0,1,1,2,3,7,501
82,"PRA.VID.SWAMI NAGLA NATHU R.NO.-1",317,249,0,566,230,134,0,364,80,0,1,283,4,46,3,0,1,2,0,1,0,0,3,9,1,0,2,1,2,0,0,0,0,2,0,1,0,0,2,364
83,"PRA.VID.SWAMI NAGLA NATHU R.NO.-2",129,109,0,238,107,73,0,180,180,0,1,110,34,29,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,180
84,"PRA.VID KAILESH (SWAMI)",356,298,0,654,254,215,0,469,469,0,0,374,9,43,1,1,0,5,1,0,1,2,4,3,6,12,0,0,0,0,1,1,3,0,0,1,0,1,0,469
85,"PAR.VID.GADI BAIPUR",618,418,0,1036,403,172,0,575,575,0,15,129,326,69,0,2,2,2,1,0,0,1,1,2,0,1,2,5,7,5,1,0,1,0,1,0,1,0,1,575
86,"PRA.VID.BAIPUR R.NO.-1",964,735,0,1699,487,312,0,799,612,0,33,461,224,37,2,0,0,1,0,0,0,0,12,5,2,3,1,0,1,2,0,0,1,0,0,1,1,1,11,799
87,"PRA.VID.BAIPUR R.NO.-2",577,444,0,1021,338,222,0,560,147,0,3,249,149,121,2,1,0,3,1,0,1,0,5,0,2,1,0,2,2,1,2,1,0,1,2,0,7,1,3,560
88,"PRA.VID.BAIPUR R.NO.-3",726,614,1,1341,440,272,0,712,712,0,5,374,237,52,3,0,0,0,0,0,1,0,24,1,1,2,1,1,1,1,0,0,1,0,1,0,5,1,0,712
89,"PRA.VID.NAGLA TALFI",332,296,0,628,254,204,0,458,324,0,47,270,100,23,1,0,0,1,1,0,1,0,3,2,0,0,0,1,2,1,0,0,1,0,1,0,0,0,3,458
90,PRA.VID.SHIKENDPUR,514,417,0,931,403,288,0,691,145,0,43,320,122,187,1,1,1,1,1,1,0,1,1,2,4,1,0,1,1,0,0,0,0,0,1,1,0,0,0,691
91,PRA.VID.KHASPUR,622,474,0,1096,426,302,0,728,716,0,10,608,53,32,1,0,0,1,2,0,1,1,2,4,3,0,0,6,2,0,0,0,0,0,0,0,1,0,1,728
92,"SARVHIKARI PUR.MAD.VID.DAHTORA R.NO.-1 EAST PRAT",664,499,0,1163,310,210,0,520,43,0,10,364,11,54,3,45,0,0,0,0,2,1,7,4,2,2,0,3,1,1,0,0,1,0,1,0,1,2,5,520
93,"SARVHIKARI PUR.MAD.VID.DAHTORA R.NO.-2 EAST PRAT",818,599,1,1418,478,339,0,817,817,0,31,566,23,146,2,10,1,0,1,0,3,0,6,3,4,2,0,0,1,2,0,1,1,1,0,1,2,0,10,817
94,"SARVHIKARI PUR.MAD.VID.DAHTORA R.NO.-3 WEAST PRAT",686,600,0,1286,435,337,0,772,770,0,21,534,25,118,2,19,0,3,1,1,3,1,6,10,2,1,1,1,0,7,0,0,1,1,1,1,3,5,4,772
95,"SARVHIKARI PUR.MAD.VID.DAHTORA R.NO.-4 WEAST PRAT",723,567,0,1290,454,297,0,751,651,0,2,655,31,36,0,6,0,2,0,0,0,0,4,4,1,2,1,0,0,0,1,0,0,0,0,2,1,0,3,751
96,"SARVHIKARI PUR.MAD.VID.DAHTORA R.NO.-6 WEAST PRAT",787,618,0,1405,447,328,0,775,600,0,21,610,28,81,1,0,1,1,1,0,0,0,12,1,1,0,0,4,2,2,2,0,1,2,0,0,1,0,3,775
97,"SARVHIKARI PUR.MAD.VID.DAHTORA R.NO.-5 WEAST PRAT",394,331,0,725,249,216,0,465,465,0,6,345,1,88,0,2,0,0,0,1,0,0,15,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,465
98,"SARVHIKARI PUR.MAD.VID.DAHTORA R.NO.-7 WEAST PRAT",975,862,0,1837,312,232,0,544,544,0,8,471,16,29,0,2,0,0,0,0,0,1,2,0,1,0,2,5,1,0,1,0,0,0,1,0,2,0,2,544
