"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK KUMAR KANNAOUJIYA","2 - CHHOTELAL","3 - PAKAUDI LAL KOL","4 - BHAGWATI PRASAD CHAUDHARY","5 - SHARADA PRASAD","6 - GUN DEVI GYANI DEVI","7 - S. R. DARAPURI","8 - MANGOI","9 - RAVI SHANKAR KANNAUJIA","10 - RAJKUMAR","11 - SHANKAR KOL","12 - ARUN SINGH CHERO","13 - RAMBRIKSHA","14 - LAWRENCE ANTHONY","15 - None of the Above","Total Votes Secured"
125,"KAVL PURAVA MAFI",239,201,0,440,148,114,0,262,262,0,3,93,5,3,149,1,0,1,1,0,5,0,0,1,0,262
126,BHUDAKUDA,622,523,0,1145,367,276,0,643,643,0,11,286,28,8,275,5,4,1,6,2,2,0,5,2,8,643
127,ILIYA,793,581,0,1374,395,288,0,683,683,0,23,505,96,20,26,1,1,0,0,1,2,0,2,3,3,683
128,ILIYA,865,680,0,1545,451,395,0,846,846,0,20,515,96,12,161,3,3,2,20,1,0,1,7,1,4,846
129,ILIYA,612,479,0,1091,340,246,0,586,586,0,15,253,120,11,148,5,2,4,12,2,0,3,1,1,9,586
130,NICHOTKALA,225,192,0,417,124,110,0,234,234,0,4,97,56,6,51,2,1,0,0,0,5,3,2,4,3,234
131,TIYARI,392,342,0,734,279,214,0,493,493,0,9,197,198,5,65,1,2,0,0,3,1,1,7,1,3,493
132,TIYARI,595,512,0,1107,413,335,0,748,748,0,6,525,88,4,122,0,0,0,0,0,0,0,0,1,2,748
133,BEN,565,461,0,1026,360,271,0,631,631,0,14,333,105,7,144,3,1,1,7,1,3,4,2,2,4,631
134,BEN,360,326,0,686,212,174,0,386,386,0,11,208,42,1,107,5,0,1,2,0,0,0,0,2,7,386
135,JIGNA,697,604,0,1301,392,312,0,704,704,0,5,117,373,8,187,2,1,0,3,0,2,1,3,2,0,704
136,AMARSIPUR,679,579,0,1258,401,345,0,746,746,0,11,176,178,12,288,63,1,0,9,1,1,0,2,3,1,746
137,AKAUNA,740,672,0,1412,436,379,0,815,815,0,10,232,92,16,383,59,2,1,5,0,0,1,4,2,8,815
138,SARINGPUR,524,457,0,981,314,275,0,589,589,0,8,185,82,21,243,6,3,1,4,3,4,2,8,3,16,589
139,BADGANVA,672,602,0,1274,286,348,0,634,634,0,14,106,278,16,157,10,2,2,18,1,14,1,3,2,10,634
140,BADGANVA,276,238,0,514,162,132,0,294,294,0,3,57,165,3,44,1,0,0,16,3,2,0,0,0,0,294
141,BHASHKARPUR,421,334,0,755,289,210,0,499,499,0,0,50,344,4,90,1,2,1,2,0,1,0,1,1,2,499
142,CHORAULI,629,559,0,1188,336,300,0,636,636,0,8,353,125,24,103,0,1,1,7,1,2,2,3,3,3,636
143,"RAMPUR CHAMRAHI",377,321,0,698,242,215,0,457,457,0,4,178,83,5,167,1,4,1,1,0,2,0,1,6,4,457
144,"MUDHUAA UTARI",444,366,0,810,262,220,0,482,482,0,10,225,76,14,125,1,6,0,2,0,2,2,8,4,7,482
145,"MUDHUAA UTARI",491,423,0,914,271,213,0,484,484,0,5,243,60,8,158,3,0,1,1,0,1,1,0,1,2,484
146,"RAMPUR KALA",402,375,0,777,256,233,0,489,489,0,2,191,112,6,135,2,5,0,23,1,3,0,3,3,3,489
147,BAIRI,383,328,0,711,228,203,0,431,431,0,7,215,89,9,85,0,1,0,14,0,5,0,0,1,5,431
148,MANPUR,573,488,0,1061,359,283,0,642,642,0,19,299,168,33,71,1,3,3,7,1,6,3,10,9,9,642
149,HINAOTI,429,414,0,843,177,160,0,337,337,0,12,218,17,7,50,3,1,0,15,0,3,1,5,3,2,337
150,"GADHWA UTARI",586,508,0,1094,328,271,0,599,599,0,9,202,34,72,247,5,0,3,2,3,4,2,10,3,3,599
151,LATHURA,630,534,0,1164,429,313,0,742,742,0,14,289,113,21,260,8,4,0,3,2,4,1,9,1,13,742
152,CHUPEPUR,670,572,0,1242,379,276,0,655,655,0,25,320,109,8,149,3,0,4,6,3,3,5,7,7,6,655
153,AMBAR,437,415,0,852,286,248,0,534,534,0,6,201,34,7,266,2,2,1,1,0,1,3,2,0,8,534
154,IMILIYA,124,113,0,237,72,53,0,125,125,0,0,59,7,5,51,0,0,0,0,0,1,0,1,0,1,125
155,KANRAUL,652,607,0,1259,442,344,0,786,786,0,5,367,159,27,197,3,2,3,0,2,3,2,4,7,5,786
156,THEKHA,425,395,0,820,297,237,0,534,534,0,2,82,277,6,154,1,1,2,5,0,1,0,0,0,3,534
157,SAHABGANJ,728,648,0,1376,441,331,0,772,772,0,10,403,82,13,224,5,3,0,8,2,2,2,8,3,7,772
158,SAHABGANJ,833,737,0,1570,499,404,0,903,903,0,13,612,138,16,75,3,3,2,4,2,3,4,12,5,11,903
159,SAHABGANJ,593,469,0,1062,317,231,0,548,548,0,13,330,89,8,82,0,1,0,0,0,1,4,5,3,12,548
160,ATAYASTGANJ,721,573,0,1294,390,284,0,674,674,0,10,323,130,14,158,2,2,2,4,3,4,1,7,1,13,674
161,DUMARI,475,424,0,899,285,261,0,546,546,0,8,302,91,14,81,1,5,0,28,1,3,2,0,3,7,546
162,DUMARI,455,408,0,863,343,247,0,590,590,0,15,213,53,15,274,3,1,2,4,0,2,2,2,1,3,590
163,BARAWN,829,685,0,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,KALANI,484,445,0,929,297,271,0,568,568,0,24,299,60,14,148,4,3,2,9,1,2,1,0,0,1,568
165,BADURA,579,533,0,1112,335,321,0,656,656,0,16,187,135,8,168,5,53,1,43,5,2,3,8,7,15,656
166,KANERA,352,287,0,639,211,204,0,415,415,0,8,93,10,6,253,4,2,0,2,3,13,2,2,5,12,415
167,ARARI,328,268,0,596,193,181,0,374,374,0,16,168,48,3,114,2,2,1,0,1,2,2,2,4,9,374
168,BILASPUR,290,245,0,535,175,182,0,357,357,0,6,206,16,2,110,7,0,2,1,0,2,1,0,1,3,357
169,DHUNU,542,476,0,1018,337,261,0,598,598,0,14,303,74,25,132,4,2,4,0,3,7,3,6,7,14,598
170,DHUNU,553,464,0,1017,265,262,0,527,527,0,11,213,206,6,59,1,1,1,5,1,3,2,4,3,11,527
171,RASIYA,646,516,0,1162,424,340,0,764,764,0,6,189,134,6,278,6,88,3,6,7,8,8,11,4,10,764
172,ISHUL,469,426,0,895,336,307,0,643,643,0,14,350,107,9,139,2,2,0,1,1,3,0,2,4,9,643
173,TIYARI,349,307,0,656,221,208,0,429,429,0,3,122,23,6,243,4,3,1,2,2,5,1,5,2,7,429
174,VIYASAD,647,514,0,1161,374,251,0,625,625,0,15,293,113,9,166,1,3,2,5,2,4,3,2,3,4,625
175,DHANAWALKALA,523,461,0,984,361,319,0,680,680,0,20,316,63,12,218,8,3,3,3,0,4,4,10,3,13,680
176,"ISMIYL PUR",441,426,0,867,298,224,0,522,522,0,6,187,214,11,79,1,1,0,10,2,1,0,3,1,6,522
177,SEMROUR,494,447,0,941,375,147,0,522,522,0,7,156,13,5,310,6,2,0,6,1,2,2,2,2,8,522
178,HAJIPUR,514,423,0,937,287,261,0,548,548,0,8,260,98,5,143,2,0,5,3,1,2,1,9,3,8,548
179,PARWATPUR,275,258,0,533,123,94,0,217,217,0,1,114,23,42,11,0,3,1,18,0,0,1,1,0,2,217
180,KUDRA,347,297,0,644,189,179,0,368,368,0,3,107,47,46,142,1,3,1,5,0,1,0,6,2,4,368
181,KUDRA,416,383,0,799,271,228,0,499,499,0,10,166,34,37,243,0,0,2,1,0,1,1,2,0,2,499
182,PIPARIYA,668,613,0,1281,467,428,0,895,895,0,11,339,379,12,124,3,3,2,5,0,0,2,3,5,7,895
183,MAJHGANVA,172,177,0,349,121,117,0,238,238,0,2,31,115,3,69,2,1,1,3,0,5,1,0,0,5,238
184,"BHATWARA KHURD",325,312,0,637,177,131,0,308,308,0,11,156,59,9,56,3,2,1,2,1,1,0,3,1,3,308
185,"BHATVARA KHURD",264,256,0,520,177,164,0,341,341,0,1,94,61,2,167,2,0,1,1,0,1,0,5,3,3,341
186,BAROUNJHI,686,588,0,1274,399,385,0,784,784,0,20,320,73,8,304,2,2,1,8,6,15,5,6,8,6,784
187,BIKAPUR/SARADIH,726,648,0,1374,442,369,0,811,811,0,10,434,45,4,285,5,0,5,4,1,0,2,6,0,10,811
188,"BHALUA BHILAUDI",528,405,0,933,318,257,0,575,575,0,19,315,41,9,155,4,3,1,1,1,1,2,10,4,9,575
189,GOGAHARA,569,461,0,1030,353,269,0,622,622,0,4,136,263,7,164,30,1,0,5,1,2,0,2,2,5,622
190,"INDRAPURVA DACHINI",240,227,0,467,179,172,0,351,351,0,1,6,5,0,324,3,6,0,0,1,0,0,0,3,2,351
191,"PACHAVANIYA (AN0)",492,424,0,916,321,309,0,630,630,0,14,513,33,5,28,2,10,1,1,1,2,2,4,7,7,630
192,PACHWANIYA,589,499,0,1088,434,325,0,759,759,0,20,653,26,6,20,1,20,1,4,1,2,0,1,2,2,759
193,KERADIH,643,561,0,1204,355,325,0,680,680,0,15,530,28,6,49,6,6,1,12,1,1,3,7,5,10,680
194,KERADIH,517,441,0,958,376,231,0,607,607,0,18,217,90,8,246,1,10,1,4,0,1,0,2,5,4,607
195,LEHRAKHAS,662,603,0,1265,380,352,0,732,732,0,23,334,93,7,206,7,5,1,12,0,2,2,7,9,24,732
196,MALDAH,359,297,0,656,233,176,0,409,409,0,10,269,28,18,78,2,2,0,1,0,1,0,0,0,0,409
197,KHAJHARA,236,203,0,439,154,141,0,295,295,0,10,38,9,1,219,3,2,6,1,2,1,0,1,0,2,295
198,"DEHRI KALA",535,465,0,1000,334,295,0,629,629,0,10,272,29,9,296,3,1,1,3,1,1,2,0,0,1,629
