"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UMED SINGH KASHYAP","2 - KRISHNA RAJ","3 - CHETRAM","4 - MITHILESH KUMAR","5 - KISHAN LAL","6 - PYARE ALIAS RAJKUMAR GAUTAM","7 - MEVARAM","8 - RAMMURTI","9 - RAMLAL VERMA","10 - SMT REETA SINGH ALIAS REETA BHARTI","11 - SUNITA SUJATA NAGPAL","12 - RAKESH","13 - ROSHAN LAL ALIAS ROSHAN KANAUJIYA","14 - None of the Above","Total Votes Secured"
213,HAZRATPUR,899,708,0,1607,618,449,0,1067,1058,0,561,387,7,58,1,1,0,2,3,3,5,5,8,26,1067
214,SATNAUA,521,427,0,948,346,251,0,597,592,0,119,423,19,24,1,0,0,1,0,0,2,3,2,3,597
215,AZMABAD,567,429,0,996,371,252,0,623,618,0,150,362,24,63,2,1,2,2,0,1,0,3,9,4,623
216,RATA,408,340,0,748,306,238,0,544,540,0,191,285,8,38,0,0,0,3,12,1,0,1,1,4,544
217,SAMDHANA,561,443,0,1004,314,203,0,517,513,0,166,292,12,26,1,0,0,0,1,4,5,2,4,4,517
218,SAMDHANA,561,455,0,1016,373,255,0,628,623,0,99,460,9,38,0,3,2,2,2,1,2,2,3,5,628
219,SANTOSHPUR,437,384,0,821,323,289,0,612,607,0,15,385,37,158,1,0,0,2,2,0,2,1,7,2,612
220,AHIYAPUR,583,468,0,1051,434,328,0,762,756,0,267,431,7,38,0,1,0,2,2,0,0,2,5,7,762
221,"HUSAINPUR KABRA",588,466,0,1054,347,228,0,575,570,0,57,428,22,57,0,0,0,0,0,0,3,4,2,2,575
222,"HUSAINA KABRA",287,270,0,557,181,164,0,345,342,0,55,208,21,49,0,1,0,1,1,1,0,0,6,2,345
223,VEERAMPUR,525,415,0,940,313,250,0,563,558,0,39,387,11,105,2,0,0,0,0,0,5,3,6,5,563
224,VEERAMPUR,326,260,0,586,143,126,0,269,267,0,72,62,6,114,0,0,0,0,0,0,2,1,5,7,269
225,SAIJNA,400,334,0,734,250,190,0,440,436,0,70,327,8,9,0,2,0,0,0,0,1,2,10,11,440
226,"BARKHEDA HAWELI",575,479,0,1054,375,284,0,659,654,0,75,473,7,75,0,1,3,1,2,5,0,1,9,7,659
227,"AIVAZPUR KALABHOJH",391,364,0,755,290,238,0,528,524,0,31,350,40,92,2,2,1,0,1,0,0,4,2,3,528
228,GWAR,479,402,0,881,291,189,0,480,476,0,38,288,10,134,1,0,0,0,1,1,1,1,1,4,480
229,HAZIPUR,611,492,0,1103,433,323,0,756,750,0,285,344,11,92,1,0,2,0,1,1,1,2,9,7,756
230,"SALEMABAD PATTI GULCHAMPA",750,622,0,1372,391,287,0,678,673,0,97,320,15,193,4,2,1,2,1,3,33,1,3,3,678
231,RATOOLI,685,541,0,1226,469,350,0,819,812,0,356,365,8,59,1,0,0,4,1,0,1,2,7,15,819
232,"DULHA DHAKIA",490,342,0,832,253,117,0,370,367,0,140,192,8,17,0,1,1,1,1,1,1,2,4,1,370
233,"HATA DALELPUR",264,200,0,464,197,113,0,310,308,0,72,194,2,32,0,0,0,0,0,0,0,0,4,6,310
234,BUDANPUR,516,426,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,BARAINCHA,529,397,0,926,356,244,0,600,595,0,382,182,3,14,0,0,1,1,0,2,2,0,6,7,600
236,CHAQBARAICHA,247,195,0,442,212,168,0,380,377,0,156,92,6,119,0,0,0,0,1,0,0,0,3,3,380
237,SARELI,520,404,0,924,389,278,0,667,662,0,179,415,10,38,3,0,0,0,2,2,3,1,8,6,667
238,JANYURI,602,506,0,1108,393,285,0,678,673,0,79,415,17,123,4,2,2,1,1,1,1,7,16,9,678
239,PORAYUN,507,393,0,900,331,249,0,580,575,0,294,201,3,70,1,0,1,1,1,0,0,1,0,7,580
240,HUSAINAPUR,245,188,0,433,151,122,0,273,271,0,99,127,14,23,0,1,1,1,0,0,1,0,2,4,273
241,BADEPUR,407,344,0,751,284,220,0,504,500,0,93,238,22,141,1,1,0,0,1,0,1,2,3,1,504
242,JOGIPUR,484,419,0,903,380,236,0,616,611,0,119,417,10,56,0,0,0,0,1,2,1,2,4,4,616
243,DABHAURA,824,665,0,1489,438,326,0,764,758,0,54,117,34,518,3,4,0,0,0,5,11,1,4,13,764
244,DABHAURA,295,248,0,543,161,101,0,262,260,0,38,59,12,138,1,1,1,0,1,0,5,0,5,1,262
245,DABHAURA,591,530,0,1121,304,233,0,537,533,0,45,206,32,240,2,0,1,1,0,1,5,0,3,1,537
246,AMANPUR,738,563,0,1301,369,250,0,619,614,0,129,282,24,137,4,0,0,1,1,0,33,0,3,5,619
247,"DHUSAR URF NAVADIA",336,274,0,610,225,189,0,414,411,0,43,291,14,51,1,1,2,0,0,1,0,2,5,3,414
248,RUJVARI,823,699,0,1522,560,365,0,925,918,0,329,531,13,23,0,0,2,1,1,2,1,1,8,13,925
249,RUDRAPUR,405,330,0,735,279,222,0,501,497,0,60,366,11,56,0,0,0,0,1,1,2,1,2,1,501
250,MOHANPUR,443,364,0,807,278,187,0,465,461,0,65,350,6,28,0,0,0,0,0,6,2,2,2,4,465
251,"DHAKIA SHOBHA",258,203,0,461,172,119,0,291,289,0,19,242,13,8,0,1,1,0,0,2,0,0,2,3,291
252,KUANDANDA,360,311,0,671,267,241,0,508,504,0,151,272,8,57,2,0,0,1,3,2,1,3,4,4,508
253,"GURGIYA BAHADURPUR",285,236,0,521,235,171,0,406,403,0,97,209,7,84,2,0,0,0,0,0,2,1,1,3,406
254,"BIHARIPUR MUDIA",390,337,0,727,275,204,0,479,475,0,259,73,10,121,0,0,2,0,0,1,2,0,4,7,479
255,PANWARI,811,637,0,1448,478,257,0,735,729,0,52,512,35,125,1,1,0,0,0,0,0,2,5,2,735
256,BHAYPUR,491,397,0,888,352,242,0,594,589,0,168,267,14,118,1,2,0,2,2,4,2,2,8,4,594
257,"RAKHIYA BUJURG",579,440,0,1019,342,219,0,561,557,0,100,249,14,174,1,1,1,1,0,0,2,3,7,8,561
258,"MUDA JA. FATTEPUR",280,205,0,485,193,149,0,342,339,0,88,239,2,13,0,0,0,0,0,0,0,0,0,0,342
259,BHANDERI,632,516,0,1148,339,239,0,578,573,0,237,216,15,68,7,1,4,1,4,3,1,5,3,13,578
260,"IMALIYA HAMEEDNAGER",397,290,0,687,244,127,0,371,368,0,15,119,9,222,1,0,0,0,0,0,1,0,2,2,371
261,"KHIRIYA RASOOLPUR",515,355,0,870,335,190,0,525,521,0,204,232,14,38,0,0,0,3,1,2,21,1,3,6,525
262,"MUDA HARIS",636,498,0,1134,450,268,0,718,712,0,156,361,7,119,1,1,1,2,1,1,41,4,12,11,718
263,MAINI,392,287,0,679,272,202,0,474,470,0,138,231,0,63,0,0,0,1,0,0,32,2,3,4,474
264,"BENI PUR",545,445,0,990,420,290,0,710,704,0,127,251,3,277,5,0,1,0,0,1,36,4,2,3,710
265,"BAJPUR JA. JATYURA",224,162,0,386,143,121,0,264,262,0,4,205,5,44,0,0,0,0,0,1,1,1,2,1,264
266,GARBAPUR,401,328,0,729,331,238,0,569,564,0,127,129,6,292,2,1,1,0,0,0,0,1,4,6,569
267,"DHAKIYA HAMEEDNAGAR",818,683,0,1501,519,313,0,832,825,0,140,459,34,132,3,0,0,1,1,13,14,7,13,15,832
268,"DHAKIYA RANWAS",274,226,0,500,204,146,0,350,347,0,46,235,2,65,0,1,0,0,0,0,1,0,0,0,350
269,TERA,720,565,0,1285,428,315,0,743,737,0,215,117,12,356,1,0,1,0,1,4,16,1,7,12,743
270,AKHTYARPUR,574,404,0,978,380,190,0,570,565,0,313,174,10,64,0,0,3,0,1,1,0,2,2,0,570
271,"KATIYA BUJURG",853,613,0,1466,494,317,0,811,805,0,139,484,12,135,2,1,0,2,3,3,4,2,12,12,811
272,KARNAIYAPUR,349,229,0,578,261,121,0,382,379,0,57,38,1,267,1,0,0,0,0,0,16,1,0,1,382
273,KARNAPUR,244,206,0,450,196,149,0,345,342,0,46,249,7,25,1,0,0,0,1,0,7,1,3,5,345
274,SINDHAULI,534,383,0,917,313,179,0,492,488,0,52,262,7,42,1,0,0,5,0,6,110,0,2,5,492
275,SINDHAULI,485,336,0,821,286,153,0,439,435,0,66,116,7,64,1,0,3,0,1,0,162,5,4,10,439
276,SINDHAULI,534,411,0,945,331,196,0,527,523,0,123,261,12,21,0,0,1,0,0,2,97,3,4,3,527
277,SINDHAULI,443,340,0,783,187,117,0,304,302,0,73,128,4,13,0,2,0,1,0,2,78,0,2,1,304
278,JAMUNIYA,563,474,0,1037,377,297,0,674,669,0,60,97,8,63,1,1,0,1,0,15,408,6,11,3,674
279,BARAURA,614,506,1,1121,490,366,0,856,849,0,349,389,9,44,1,3,0,5,4,5,5,1,17,24,856
280,MURCHA,518,459,0,977,357,283,0,640,635,0,206,346,34,37,0,0,0,0,0,1,1,1,4,10,640
281,CHAKKANHAU,325,244,0,569,229,138,0,367,364,0,20,227,11,96,3,2,1,0,0,0,0,0,6,1,367
282,"CHAKKANHAU 1",560,453,0,1013,448,258,0,706,700,0,139,337,10,202,2,4,1,4,0,0,2,0,2,3,706
283,SAIHAJANA,841,559,0,1400,594,296,0,890,883,0,75,237,13,545,4,2,1,1,0,0,2,0,3,7,890
284,"SAIHAJANA 1",135,100,0,235,82,40,0,122,121,0,39,43,0,38,0,0,0,0,0,0,1,1,0,0,122
285,"MAHAU DURG",626,529,0,1155,440,318,0,758,752,0,143,536,4,51,0,0,0,0,0,1,13,0,6,4,758
286,MAHMUDAPUR,354,322,0,676,286,249,0,535,531,0,169,276,3,51,0,0,0,0,2,4,21,1,5,3,535
287,"MAHAU MAHESH",550,456,0,1006,332,274,0,606,601,0,309,221,4,51,0,0,1,0,1,1,0,0,10,8,606
288,SADAPUR,557,455,0,1012,332,242,0,574,569,0,177,336,10,43,1,1,0,0,0,0,0,0,3,3,574
289,KUNWARPUR,241,188,0,429,139,140,0,279,277,0,198,46,4,25,0,0,0,0,0,1,1,0,3,1,279
290,VEERAMPUR,227,176,0,403,203,136,0,339,336,0,13,286,6,8,3,0,1,1,0,2,0,3,10,6,339
291,SAMULIYA,309,205,0,514,200,143,0,343,340,0,43,221,6,67,0,1,2,0,0,0,0,0,2,1,343
292,AAYUN,622,520,0,1142,418,226,0,644,639,0,137,254,9,234,3,0,2,0,0,1,0,0,1,3,644
293,"AAYUN 1",438,349,0,787,224,92,0,316,313,0,31,196,9,70,2,0,0,0,1,0,0,2,2,3,316
294,BADAGAON,685,510,0,1195,470,333,0,803,797,0,188,539,22,21,1,0,0,4,0,1,0,3,10,14,803
295,"BADAGAON 1",842,734,0,1576,593,306,0,899,892,0,58,418,15,360,5,1,3,2,2,5,9,2,9,10,899
296,"BADAGAON 2",596,460,0,1056,324,240,0,564,559,0,172,117,7,246,3,3,1,2,2,0,4,0,4,3,564
297,PEERU,424,325,0,749,297,233,0,530,526,0,279,89,5,140,3,1,0,0,1,2,0,0,6,4,530
298,"BHATPURA CHANDU",377,310,0,687,240,197,0,437,434,0,150,221,6,45,0,0,1,0,0,1,1,2,3,7,437
299,NAVALPUR,257,225,0,482,204,164,0,368,365,0,108,109,2,141,2,0,0,0,0,1,1,0,3,1,368
300,MAJEEDPUR,469,352,0,821,331,216,0,547,543,0,48,412,11,47,2,0,0,0,2,3,4,3,7,8,547
301,BAGDER,464,382,0,846,274,242,0,516,512,0,130,307,13,37,0,3,0,4,2,1,1,4,4,10,516
302,KALANDARGANJ,264,218,0,482,230,179,0,409,406,0,148,203,9,37,1,0,0,0,1,1,1,1,3,4,409
303,RAHDEVA,584,443,0,1027,358,185,0,543,539,0,124,322,19,46,2,0,1,1,0,1,3,1,14,9,543
304,"MUDIYA VAISHYA",329,279,0,608,231,183,0,414,411,0,62,241,8,75,2,2,1,0,0,1,2,3,14,3,414
305,"MAHUA PATHAK",474,435,0,909,365,316,0,681,676,0,298,249,8,106,0,5,0,3,0,1,0,1,8,2,681
306,DUNGRAUCHI,403,320,0,723,260,223,0,483,479,0,118,299,13,29,1,0,1,0,0,1,2,3,9,7,483
307,SAKULIYA,417,344,0,761,306,219,0,525,521,0,91,193,10,217,1,1,3,2,2,2,0,1,0,2,525
308,SHIVNAGAR,798,642,0,1440,471,350,0,821,814,0,245,433,14,70,2,1,0,1,2,0,44,0,5,4,821
309,"DIYURIYA KALYANPUR",221,162,0,383,142,93,0,235,233,0,39,134,4,54,0,0,0,0,0,1,0,0,1,2,235
310,KOROKUIYAN,852,674,0,1526,540,338,0,878,871,0,372,77,15,227,2,0,3,0,1,6,155,0,12,8,878
311,"KOROKUIYAN 1",443,359,0,802,298,212,0,510,506,0,194,17,5,172,0,0,1,0,1,3,107,2,4,4,510
312,"NAGRA BALETU",264,223,0,487,171,153,0,324,321,0,186,17,3,71,1,2,0,0,0,4,28,1,3,8,324
313,ULLIYA,588,449,0,1037,380,275,0,655,650,0,113,414,8,103,0,1,1,0,3,2,2,1,7,0,655
314,TAHARPUR,400,318,0,718,216,141,0,357,354,0,118,189,8,16,0,2,0,0,1,0,16,0,3,4,357
315,DIWALI,563,427,0,990,390,265,0,655,650,0,81,444,22,60,0,0,0,2,1,0,17,1,12,15,655
316,BAIKUAN,224,208,1,433,152,156,0,308,306,0,130,46,9,100,0,0,0,0,0,0,20,0,1,2,308
317,"KUIYAN JA. KIRTAPUR",465,362,0,827,309,258,0,567,562,0,230,235,11,66,3,0,1,2,0,1,1,4,9,4,567
318,"KHIRIYA PATHAK",567,390,0,957,312,181,0,493,489,0,148,13,10,184,1,0,4,0,1,3,116,3,6,4,493
319,GHURKHEDA,435,324,0,759,321,231,0,552,548,0,74,237,31,183,3,3,1,0,1,0,2,4,4,9,552
320,UDARA,182,165,0,347,122,86,0,208,206,0,1,112,2,87,0,0,0,0,0,1,0,0,1,4,208
321,PATWA,176,149,0,325,111,78,0,189,187,0,36,116,5,25,1,0,0,0,0,0,0,0,0,6,189
322,"NAVADA SONVARSA",267,224,0,491,219,148,0,367,364,0,16,129,5,210,3,0,1,0,0,0,0,0,2,1,367
323,ANAVA,810,682,0,1492,456,334,0,790,784,0,209,381,20,92,0,2,0,0,0,2,66,4,7,7,790
324,"PASIYA KHEDA",525,436,0,961,281,187,0,468,464,0,118,22,17,219,2,0,0,0,0,0,82,2,4,2,468
325,GANDHARPUR,645,536,0,1181,365,325,0,690,684,0,205,248,11,35,0,3,1,1,4,4,156,1,6,15,690
326,MAHANANDPUR,844,684,0,1528,523,406,0,929,922,0,298,7,12,176,4,0,1,2,1,3,418,1,4,2,929
327,"MAHANANDPUR 1",134,119,0,253,82,73,0,155,154,0,21,125,3,4,0,0,0,0,0,1,0,0,1,0,155
328,KATAUL,379,343,0,722,285,230,0,515,511,0,82,336,28,58,0,0,1,0,0,0,1,2,2,5,515
329,LAKHRAYUN,243,208,0,451,170,153,0,323,320,0,174,122,2,12,2,0,0,0,0,1,6,0,2,2,323
330,"MUDIYA MISHR",249,203,0,452,185,150,0,335,332,0,205,34,18,57,0,1,0,0,1,2,11,0,1,5,335
331,UMARIYA,482,421,0,903,295,247,0,542,538,0,232,206,17,69,2,0,0,1,1,3,2,3,2,4,542
332,CHANDA,626,467,1,1094,335,235,0,570,565,0,55,46,14,197,3,3,1,1,3,1,234,4,4,4,570
333,JAMDUIYA,323,253,2,578,197,153,0,350,347,0,22,64,28,109,2,0,3,0,0,0,112,2,5,3,350
334,SHAMBHUPUR,186,155,0,341,139,116,0,255,253,0,223,7,0,22,0,0,0,0,0,0,0,0,1,2,255
335,BADHELA,345,288,0,633,211,181,0,392,389,0,45,270,13,58,1,0,0,0,0,0,0,0,2,3,392
336,"BAHADURPUR BUJURG",240,177,0,417,167,134,0,301,299,0,36,141,7,105,1,0,0,1,0,0,9,0,1,0,301
337,PATAI,768,653,0,1421,486,387,0,873,866,0,165,487,21,174,2,2,0,1,0,2,3,2,9,5,873
338,SISAIYA,527,469,1,997,383,300,0,683,678,0,90,472,25,81,3,0,0,0,0,0,1,0,5,6,683
339,SISORA,288,229,0,517,190,133,0,323,320,0,39,35,1,176,3,1,0,0,0,1,60,1,1,5,323
340,KOTABARI,775,590,0,1365,442,311,0,753,747,0,174,419,36,101,1,4,1,2,1,1,2,0,7,4,753
341,"MUDIYA PAMAR",747,599,1,1347,497,375,0,872,865,0,272,431,27,75,1,1,2,2,4,3,8,8,18,20,872
342,CHANDPAI,431,325,0,756,294,216,0,510,506,0,111,294,14,84,0,0,0,1,1,0,0,1,2,2,510
343,CHANDARI,528,401,0,929,363,243,0,606,601,0,171,355,9,57,0,0,0,1,1,0,0,1,3,8,606
344,PACHPEDA,469,393,0,862,311,287,0,598,593,0,358,187,9,23,0,3,0,0,2,1,1,2,7,5,598
345,KEERATPUR,297,238,0,535,166,143,0,309,307,0,73,190,17,23,0,0,1,1,0,1,0,0,2,1,309
346,PILKHANA,493,446,0,939,362,315,0,677,672,0,212,217,50,118,0,3,3,1,0,2,38,5,10,18,677
347,GAHRA,491,370,0,861,349,222,0,571,566,0,60,188,10,283,5,1,0,0,1,3,10,1,3,6,571
348,BABRA,493,393,0,886,331,238,0,569,564,0,189,241,14,104,4,1,1,1,1,0,1,1,6,5,569
349,LADHOLA,293,226,0,519,139,139,0,278,276,0,92,127,28,17,3,0,0,0,0,2,0,1,4,4,278
350,MAHASIR,469,383,0,852,319,257,0,576,571,0,249,235,13,61,1,1,1,0,0,0,2,3,4,6,576
351,CHAKJHAU,251,224,0,475,141,115,0,256,254,0,225,2,4,11,0,0,0,0,0,0,12,0,0,2,256
352,KHANDSAR,250,218,0,468,192,155,0,347,344,0,146,62,112,16,0,0,0,1,0,1,1,2,2,4,347
353,"NAVADA ASHRAFPUR",287,226,0,513,216,173,0,389,386,0,105,191,6,78,0,1,0,0,0,4,0,0,1,3,389
354,RAKSHA,726,555,0,1281,416,328,0,744,738,0,75,515,25,95,2,0,1,0,1,0,0,2,17,11,744
355,SHAHJADPUR,372,271,0,643,202,149,0,351,348,0,27,221,5,85,1,1,0,0,0,0,1,0,3,7,351
356,KANJA,242,199,0,441,194,140,0,334,331,0,75,124,5,110,0,0,0,1,0,0,11,2,4,2,334
357,BABAURI,460,361,0,821,335,271,0,606,601,0,308,269,7,17,0,0,0,0,0,0,0,1,2,2,606
358,"PIPARIYA PRAHLADPUR",297,266,0,563,227,181,0,408,405,0,87,277,5,14,2,0,1,1,0,0,2,2,8,9,408
359,JALALABAD,451,341,0,792,319,217,0,536,532,0,234,201,5,85,0,0,0,0,0,0,3,1,4,3,536
360,"BHATPURA RASULPUR",687,547,0,1234,365,209,0,574,569,0,159,256,6,61,1,1,1,1,1,2,75,2,4,4,574
361,"BHATPURA RASULPUR 1",167,148,0,315,85,51,0,136,135,0,37,53,1,14,0,0,0,0,0,0,29,1,0,1,136
362,"BHATPURA RASULPUR 2",517,483,0,1000,275,172,0,447,443,0,122,83,1,69,0,1,1,0,1,2,159,1,4,3,447
363,"KUTUBPUR SIRSI",437,394,0,831,238,157,0,395,392,0,97,48,8,69,1,0,1,2,1,3,155,1,2,7,395
