"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
87,"PS ADILPUR",534,430,0,964,287,242,0,529,206,0,38,164,98,203,2,1,0,4,8,4,2,5,529
88,"PS IMAMGANJ",555,477,1,1033,272,323,0,595,595,0,9,227,82,226,17,1,5,4,11,4,2,7,595
89,"PS PURELALKHAN",360,287,0,647,193,187,0,380,373,0,22,18,156,155,3,1,0,3,4,9,1,8,380
90,"PS MEVAPUR MO. DEVGAON",353,291,0,644,197,144,0,341,305,0,15,27,131,158,1,0,0,1,1,1,1,5,341
91,"PS TURSAMPUR I (PALPUR)",427,360,0,787,221,165,0,386,192,0,71,17,74,212,0,0,0,2,2,1,3,4,386
92,"PS KANYA TURSAMPUR - EAST",643,555,0,1198,289,368,0,657,654,0,116,87,204,200,8,3,0,2,13,4,6,14,657
93,"PS KANYA TURSAMPUR - WEST",513,491,0,1004,194,174,0,368,360,0,19,119,105,119,1,1,0,0,1,1,1,1,368
94,"SAMUDAYIK VIGYAN KENDRA TURSAMPUR (PALPUR)",387,349,0,736,162,148,0,310,290,0,15,28,31,218,5,2,0,1,1,1,1,7,310
95,"JHS TAJPUR",231,207,0,438,160,143,0,303,303,0,35,2,101,148,2,0,0,2,5,3,2,3,303
96,"PS PURA URF SUMERPUR",379,350,0,729,208,219,0,427,310,0,169,24,62,161,0,1,1,0,1,0,0,8,427
97,"PS MANJHGAON",753,643,0,1396,414,372,0,786,784,0,134,40,66,488,3,5,3,4,10,9,8,16,786
98,"PS UDHRANPUR",300,243,0,543,146,152,0,298,295,0,41,59,108,74,0,0,0,4,2,1,2,7,298
99,"PS BAHBARMAU",700,568,0,1268,400,296,0,696,696,0,165,24,153,328,3,0,1,2,7,4,0,9,696
