"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
69,"JHS BELASIN",472,371,0,843,219,197,0,416,416,0,110,9,51,226,11,2,0,0,1,1,0,0,0,1,1,3,416
70,"P S DAGARIYAON",439,376,0,815,249,268,0,517,491,0,105,11,143,236,8,4,1,1,1,0,0,1,0,3,3,0,517
71,"SHRAMIK A P M V HARDUWA NORTH SIDED",261,218,0,479,125,147,0,272,272,0,53,3,66,128,11,2,0,3,0,0,2,0,0,1,2,1,272
72,"SHRAMIK A P M V HARDUWA SOUTH SIDED",378,319,1,698,167,212,0,379,379,0,23,19,252,69,3,1,0,2,0,1,0,1,0,5,3,0,379
73,"JHS KURANI NORTH SIDE",669,566,0,1235,382,250,0,632,152,0,269,13,162,154,7,1,1,2,3,0,0,2,3,8,3,4,632
74,"JHS KURANI SOUTH SIDE",695,625,0,1320,377,349,0,726,716,0,95,22,200,378,12,6,1,0,1,1,0,2,2,3,1,2,726
75,"JHS KURANI NORTH SIDE",295,266,0,561,148,118,0,266,266,0,89,5,57,103,2,1,0,0,0,0,2,0,1,1,3,2,266
76,"P S BHAWANIPUR",562,515,0,1077,244,350,0,594,559,0,407,5,126,38,2,4,1,1,0,0,0,0,0,1,4,5,594
77,"P S PURAWA",864,765,0,1629,423,444,0,867,100,0,234,47,248,275,14,2,1,1,4,1,3,5,6,11,3,12,867
78,"DWARIKA PRASAD I C DASHARATHPUR",183,152,0,335,79,85,0,164,164,0,23,16,26,85,6,3,0,0,3,0,0,0,0,0,1,1,164
79,"JAWAHAR LAL NEHARU I C ANAPUR",505,455,0,960,279,236,0,515,501,0,229,15,99,153,3,1,0,1,4,0,0,0,1,2,3,4,515
80,"LAL BAHADUR SHASTRI UMV BIBIPUR",697,621,0,1318,361,337,0,698,94,0,278,11,173,204,13,1,0,2,0,0,0,1,2,3,5,5,698
81,"P S TOFAPUR",374,352,0,726,223,208,0,431,431,0,188,8,150,72,2,3,0,1,1,0,0,0,0,2,2,2,431
82,"JHS TEKARI",525,444,0,969,268,284,0,552,17,0,148,15,138,232,9,1,0,1,0,0,0,1,0,5,2,0,552
83,"JHS TEKARI",408,364,0,772,212,197,0,409,100,0,213,4,93,84,2,4,0,0,0,1,0,1,0,1,3,3,409
