"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATIQ AHMAD","2 - DADDAN MISHRA","3 - LAL JI VERMA","4 - VINAY KUMAR PANDEY","5 - PRAKSH CHANDRA MISHRA","6 - RATNESH","7 - RAM SUDHI","8 - RIZWAN ZAHEER","9 - SAXEN","10 - ARJUN YADAV","11 - ARUN KUMAR","12 - TEJ BAHADUR","13 - RAM ADHAR","14 - VIJAY KUMAR","15 - None of the Above","Total Votes Secured"
182,"P.P. DHAWAYEE EXTRA ROOM",478,386,0,864,245,193,0,438,433,0,57,124,39,4,0,1,2,193,0,2,5,5,1,3,2,438
183,"P.P. MANPUR",636,579,0,1215,443,344,0,787,700,0,276,233,190,8,1,3,3,16,4,2,7,5,14,8,17,787
184,"P.P. SONPUR",679,605,0,1284,413,295,0,708,10,0,242,233,151,10,2,0,2,39,3,4,6,1,3,6,6,708
185,"P.P. SANGRAMPUR",449,431,0,880,291,247,0,538,475,0,140,76,270,7,3,0,1,26,0,1,4,2,2,3,3,538
186,"P.P. LALPUR BHUWANDEEH",477,425,0,902,305,246,0,551,551,0,116,113,151,10,4,0,3,113,5,8,10,1,8,2,7,551
187,"P.P.BHAGAVANPUR SHIVPURA",837,670,0,1507,496,353,0,849,710,0,141,274,253,4,2,2,5,122,3,1,10,5,9,8,10,849
188,"P.P. MADRAHWA",651,585,0,1236,364,350,0,714,50,0,253,253,68,5,1,3,2,109,2,0,5,0,3,1,9,714
189,"P.P. RAMWAPUR",395,356,0,751,298,246,0,544,378,0,179,213,94,8,3,1,1,18,4,3,3,3,3,2,9,544
190,"P.P. MANKAPUR NORTH BHAG",470,397,0,867,257,251,0,508,508,0,71,148,88,6,3,1,2,158,4,3,6,3,3,2,10,508
191,"P.P. MANKAPUR SOUTH BHAG",418,400,0,818,220,199,0,419,419,0,50,99,77,4,2,0,2,151,3,2,11,1,5,2,10,419
192,"P.P. RAJDERWA",661,571,0,1232,377,370,0,747,1,0,89,249,39,10,4,1,7,330,3,5,5,1,2,0,2,747
193,"P.P. RAM NAGAR",838,701,0,1539,480,503,0,983,983,0,409,467,34,9,3,2,3,34,2,3,6,1,1,5,4,983
194,"P.P. SUGAWAN",257,241,0,498,123,129,0,252,196,0,54,96,77,5,2,0,1,1,1,2,4,2,2,1,4,252
195,"P.P. BANJARIYA",237,205,0,442,158,167,0,325,281,0,85,150,24,1,0,1,3,44,0,6,1,1,3,1,5,325
196,"P.P. HARRAIYA CHANDARSI",456,388,0,844,284,240,0,524,399,0,194,138,57,5,4,1,2,111,0,2,1,2,3,2,2,524
197,"P.P. HARRAIYA CHANDARSI EXTRA ROOM",435,335,0,770,243,129,0,372,83,0,156,91,30,2,3,0,3,79,0,3,1,0,3,0,1,372
198,"P.P. SISHANIYA GHOPLAPUR",780,628,0,1408,328,297,0,625,375,0,216,124,152,5,0,1,6,101,1,1,6,3,7,0,2,625
199,"P.P. SISHANIYA GHOPLAPUR EXTRA ROOM",128,97,0,225,62,43,0,105,105,0,62,25,5,0,0,0,1,6,0,1,2,0,2,0,1,105
200,"P.P. KHAKHA DEYEE",707,626,0,1333,352,390,0,742,512,0,385,46,251,5,1,1,0,42,0,2,3,2,2,0,2,742
201,"P.P. MOTIPUR HADAHWA",742,625,0,1367,489,328,0,817,814,0,394,40,346,7,3,0,1,0,0,1,6,3,2,5,9,817
202,"P.P. BISHUNPUR TANTANWA NORTH BHGA",662,608,0,1270,353,344,0,697,693,0,298,37,75,22,3,2,2,253,1,2,0,0,1,0,1,697
203,"P.P. BISHUNPUR TANTANWA SOUTH BHGA",700,578,0,1278,359,334,0,693,623,0,269,188,101,5,0,2,3,96,1,1,7,2,2,4,12,693
204,"P.P. BISHUNPUR TANTANWA MADHYA BHGA",407,328,0,735,192,190,0,382,305,0,183,12,115,6,1,0,3,50,0,0,2,2,1,1,6,382
205,"P.P. BHAGGAUR",319,257,0,576,217,174,0,391,310,0,91,73,194,0,1,0,3,17,1,0,0,0,6,1,4,391
206,"P.P. PACHPERWA EAST BHAG",768,601,0,1369,431,333,0,764,700,0,237,238,46,3,0,3,2,216,3,3,3,1,1,3,5,764
207,"KANYA P.P. PACHPERWA WEST BHAG",700,619,1,1320,410,331,0,741,674,0,267,383,10,6,1,0,0,73,0,0,0,0,0,0,1,741
208,"P.P. PACHPERWA",601,471,0,1072,330,250,0,580,482,0,174,292,22,4,2,3,1,75,1,1,1,0,1,1,2,580
209,"LOK M.T.I.C. PACHPERWA KHA BHAWAN ROOM NO 1",550,482,0,1032,322,268,0,590,130,0,107,430,16,4,0,0,0,30,0,0,0,0,2,1,0,590
210,"LOK M.T.I.C. PACHPERWA KHA BHAWAN ROOM NO 2",378,318,0,696,198,165,0,363,45,0,35,271,24,3,1,1,2,23,0,0,3,0,0,0,0,363
211,"LOK M.T.I.C. PACHPERWA KHA BHAWAN ROOM NO 3",723,584,0,1307,421,323,0,744,642,0,307,309,24,11,1,2,0,85,0,0,1,0,1,1,2,744
212,"LOK M.T.I.C. PACHPERWA KHA BHAWAN ROOM NO 4",672,573,0,1245,402,270,0,672,672,0,262,283,20,1,0,0,2,94,0,0,4,0,1,2,3,672
213,"J.H. SCHOOL PACHPERWA NORTH BHAG",457,368,0,825,258,224,0,482,198,0,230,83,67,1,0,0,1,90,0,1,2,0,1,2,4,482
214,"J.H. SCHOOL PACHPERWAEXTRA ROOM",508,395,0,903,225,163,0,388,388,0,210,32,22,5,0,0,2,107,0,0,1,1,3,2,3,388
215,"J.H. SCHOOL PACHPERWA SOUTH BHAG",451,411,0,862,247,234,0,481,377,0,293,93,8,2,0,1,1,64,0,0,4,0,3,3,9,481
216,"P.P. SISHANIYA BARGADHI NORTH BHAG",470,425,0,895,218,259,0,477,477,0,337,2,98,1,1,0,1,35,1,0,1,0,0,0,0,477
217,"P.P. SISHANIYA BARGADHI SOUTH BHAG",542,478,0,1020,345,297,0,642,145,0,421,66,134,5,0,0,1,10,0,1,1,1,0,0,2,642
218,"J.H.SCHOOL BARGADWA ROOM NO 1",511,373,0,884,233,170,0,403,396,0,240,41,23,10,0,0,3,72,1,0,3,3,3,1,3,403
219,"J.H.SCHOOL BARGADWA ROOM NO 2",433,296,0,729,182,141,0,323,323,0,122,97,12,8,3,0,0,65,0,3,4,0,3,2,4,323
220,"P.P. BARGADWA SAIF NORTH BHAG",599,557,0,1156,224,235,0,459,350,0,274,24,34,3,1,1,6,109,0,1,2,2,1,0,1,459
221,"P.P. BARGADWA SAIF EXTRA ROOM",368,297,0,665,174,154,0,328,174,0,184,10,24,3,1,1,3,96,1,3,1,0,0,1,0,328
222,"P.P. BARGADWA SAIF MADHYA BHAG",577,528,0,1105,332,291,0,623,622,0,113,259,116,16,2,3,3,91,1,3,5,1,0,2,8,623
223,"P.P. RAMNAGRA",417,356,0,773,237,229,0,466,200,0,230,157,39,2,0,2,1,16,2,3,1,1,1,2,9,466
224,"P.P. BAHUTI",480,421,0,901,253,240,0,493,175,0,219,31,138,1,0,0,3,86,0,3,4,1,3,0,4,493
225,"P.P. GURCHIHWA NORTH BHAG",632,453,0,1085,313,234,0,547,478,0,254,46,86,10,2,2,5,120,3,2,5,2,2,2,6,547
226,"P.P. GURCHIHWA SOUTH BHAG",528,399,0,927,212,199,0,411,91,0,168,38,75,0,3,0,0,102,1,1,4,1,2,1,15,411
227,"J.H. SCHOOL NAWDEEH",413,323,1,737,195,165,0,360,360,0,163,32,74,6,0,1,0,71,1,0,1,0,6,1,4,360
228,"P.P. HARKHADI",700,627,0,1327,417,396,0,813,757,0,367,205,182,12,6,3,4,19,0,5,2,0,4,1,3,813
229,"P.P. BANGARH",595,518,0,1113,340,363,0,703,680,0,307,105,43,2,3,3,6,210,3,5,7,0,0,1,8,703
230,"P.P. KALYANPUR",573,523,0,1096,365,364,0,729,729,0,421,75,101,4,3,0,2,118,1,0,1,0,0,0,3,729
231,"P.P. SISWA",548,449,0,997,328,331,0,659,504,0,422,25,186,3,0,0,0,9,1,0,0,2,5,3,3,659
232,"P.P. KHADGAURA",478,377,0,855,253,202,0,455,455,0,256,48,81,3,0,0,1,52,0,0,5,0,1,3,5,455
233,"P.P. BANGHUSRI",416,372,0,788,237,229,0,466,366,0,222,51,79,8,3,2,1,86,4,2,2,1,0,1,4,466
234,"P.P. SUGANAGAR DUMRI",841,620,0,1461,455,394,0,849,750,0,152,187,263,7,3,4,10,160,6,3,13,6,9,6,20,849
235,"P.P. RAJDERWA THAROO",783,575,0,1358,304,271,0,575,402,0,12,162,316,15,2,3,1,1,2,1,13,9,10,6,22,575
236,"P.P. BHAGWANPUR KODAR",466,453,0,919,269,313,0,582,582,0,63,245,234,9,8,3,4,2,1,3,7,2,0,0,1,582
237,"P.P. CHANDANPUR NORTH BHGA",282,278,0,560,136,200,0,336,336,0,25,110,127,31,3,1,0,1,2,3,9,2,7,7,8,336
238,"P.P. CHANDANPUR SOUTH BHGA",689,633,0,1322,374,378,0,752,575,0,24,244,378,19,2,3,3,3,5,6,12,4,18,23,8,752
239,"P.P. BHUSHAR PURAI",523,454,0,977,313,339,0,652,652,0,71,343,131,15,3,2,5,21,2,7,15,4,13,9,11,652
240,"J.H. SCHOOL BISHUNPUR VISHRAM",738,748,0,1486,407,444,0,851,18,0,44,97,647,16,4,2,0,3,2,6,15,1,10,4,0,851
241,"P.P. KOHAR GADDI KODAR",554,495,0,1049,270,264,0,534,336,0,114,257,95,7,2,1,2,42,1,0,6,0,2,3,2,534
242,"P.P. MOTIPUR SEMRI",641,580,0,1221,336,304,0,640,600,0,167,304,92,10,3,1,3,27,1,3,9,0,6,5,9,640
243,"P.P. IMALIYA KODAR",592,531,0,1123,299,328,0,627,176,0,103,251,213,9,3,1,0,12,3,0,4,6,4,5,13,627
244,"P.P. SEMRAHWA",296,256,0,552,152,160,0,312,312,0,23,96,151,7,5,3,0,0,1,0,6,2,7,4,7,312
245,"P.P. BETHANIYA KARAHIYA ROOM NO 1",489,384,0,873,234,204,0,438,438,0,97,77,54,3,2,2,3,181,4,5,5,1,1,3,0,438
246,"P.P. BETHANIYA KARAHIYA ROOM NO 2",664,542,0,1206,292,319,0,611,600,0,351,156,21,3,3,0,1,60,4,0,2,2,4,1,3,611
247,"P.P. BEERPUR SEMRA",477,407,0,884,399,166,0,565,464,0,226,123,117,5,1,0,1,91,0,0,0,0,0,0,1,565
248,"P.P. KOLHUAI",419,333,0,752,237,204,0,441,421,0,159,63,50,3,2,2,1,147,0,0,3,0,2,3,6,441
249,"P.P. KOLHUAI EXTRA ROOM",436,420,0,856,203,236,0,439,439,0,204,29,9,0,0,1,1,188,1,0,5,0,0,1,0,439
250,"P.P. DHUDWALIYA",364,342,0,706,228,196,0,424,424,0,93,205,48,4,1,0,1,39,3,5,8,2,2,2,11,424
251,"P.P. MADNI",781,610,0,1391,345,355,0,700,700,0,53,217,351,23,9,6,4,2,2,8,6,1,8,4,6,700
252,"P.P. DHOBAULIYA",290,239,0,529,172,142,0,314,314,0,103,121,57,10,2,1,1,5,0,2,4,1,1,1,5,314
253,"P.P. REHRA",514,461,0,975,245,213,0,458,10,0,72,203,83,11,2,2,3,42,3,4,7,0,4,8,14,458
254,"P.P. HARIHARPUR",457,364,0,821,281,216,0,497,395,0,157,116,112,2,1,2,1,83,1,4,6,2,2,0,8,497
255,P.P.PARSHURAMPUR,458,374,0,832,316,223,0,539,437,0,180,196,117,7,2,1,1,1,1,3,9,3,4,3,11,539
256,"P.P. BELBHARIYA",443,353,0,796,287,194,0,481,481,0,210,148,93,6,1,2,1,6,0,2,2,2,2,1,5,481
257,"P.P. BISHUNPUR KODAR",439,405,0,844,204,229,0,433,312,0,98,238,65,3,1,0,5,8,0,3,7,0,2,3,0,433
258,"P.P. MAJGAWAN NORTH BHAG",525,482,0,1007,334,293,0,627,6,0,152,84,231,17,4,1,2,91,4,3,10,7,7,4,10,627
259,"P.P. MAJGAWAN SOUTH BHAG",488,416,0,904,311,242,0,553,228,0,110,106,259,9,2,3,0,31,0,2,6,3,10,5,7,553
260,"P.P. PAKDI JEETPUR",200,183,0,383,91,98,0,189,186,0,27,49,36,2,0,0,2,61,2,1,3,2,2,2,0,189
261,"P.P. DHAMAULI",865,699,0,1564,485,401,0,886,880,0,215,286,129,8,4,5,4,175,4,3,15,7,8,3,20,886
262,"P.P. SIDHWAPUR",766,581,0,1347,447,356,0,803,300,0,222,274,133,12,4,4,0,132,1,3,7,2,2,1,6,803
263,"P.P. FARENDI",733,686,0,1419,388,432,0,820,8,0,460,100,134,6,2,1,2,77,0,6,2,1,8,2,19,820
264,"P.P. POKHAR BHITWA",496,469,0,965,302,280,0,582,500,0,158,263,41,3,1,1,1,96,0,1,6,3,6,2,0,582
265,"P.P. MISHRAULIYA",463,411,0,874,314,326,0,640,300,0,208,339,44,9,1,1,1,24,1,5,4,2,0,1,0,640
266,"J.H.SCHOOL BAIRIHWA (BHOJPUR) ROOM NO 1",472,395,0,867,242,186,0,428,426,0,145,181,84,5,0,0,0,4,1,0,3,2,0,0,3,428
267,"J.H.SCHOOL BAIRIHWA (BHOJPUR) ROOM NO 2",485,403,0,888,230,233,0,463,460,0,179,106,158,2,0,0,0,6,3,1,2,1,0,0,5,463
268,"P.P. BHATHER  EAST BHAG",560,495,0,1055,239,234,0,473,463,0,132,105,124,3,1,1,3,5,83,3,2,5,1,0,5,473
269,"P.P. BHATHER  WEST BHAG",583,506,0,1089,316,288,0,604,580,0,68,193,166,35,1,1,2,99,1,4,4,2,8,4,16,604
270,"SANSHADHAN KENDRA CHORSI",622,527,0,1149,345,269,0,614,15,0,209,167,138,8,3,1,3,64,0,1,7,6,2,0,5,614
271,"P.P. PARSA VIJUWA NORTH BHAG",614,521,0,1135,308,235,0,543,542,0,129,95,128,4,2,2,6,150,1,3,5,4,3,2,9,543
272,"P.P. PARSA VIJUWA SOUTH BHAG",742,600,0,1342,325,316,0,641,449,0,203,108,114,6,1,2,1,187,1,1,2,4,6,1,4,641
273,"P.P. TRILOKPUR DUMRI EAST BHAG",486,410,0,896,260,222,0,482,200,0,153,95,37,2,0,0,3,173,3,1,5,2,1,0,7,482
274,"P.P. TRILOKPUR DUMRI WEST BHAG",591,476,0,1067,321,251,0,572,123,0,132,141,116,11,1,0,1,163,1,1,2,1,0,1,1,572
275,"P.P. LUXMI NAGAR",657,674,0,1331,522,256,0,778,777,0,248,132,199,3,4,2,5,167,2,1,6,0,5,1,3,778
276,"P.P. NARAYANPUR THUMHAWA",691,638,0,1329,420,355,0,775,775,0,253,157,293,5,3,3,5,27,1,3,4,3,8,2,8,775
277,"P.P. SHANKARPUR KALAN",713,621,1,1335,436,329,0,765,536,0,187,224,266,10,2,2,5,23,2,3,11,5,6,5,14,765
278,"P.P. BADGO",761,593,0,1354,348,286,0,634,578,0,188,258,94,13,4,0,1,33,2,4,6,2,6,5,18,634
279,"P.P. MOTI NAGAR",427,344,0,771,228,228,0,456,320,0,168,94,161,7,1,0,2,5,1,1,4,1,2,4,5,456
280,"P.P. NARAYANPUR JUDWANIYA",370,338,0,708,219,190,0,409,296,0,104,194,90,3,1,0,0,0,0,1,4,0,5,3,4,409
281,"P.P. MANOHARAPUR",367,325,0,692,196,208,0,404,404,0,73,263,47,1,2,0,0,0,0,3,5,3,1,2,4,404
282,"P.P. TILKAHNA",482,428,0,910,308,279,0,587,587,0,202,228,35,5,3,1,1,72,5,1,7,4,3,6,14,587
283,"P.P. TILKAHNA  EXTRA ROOM",431,388,0,819,254,205,0,459,321,0,138,157,108,10,0,2,1,18,0,3,8,2,2,1,9,459
284,"P.P. TURKAULIYA",627,556,0,1183,352,276,0,628,8,0,224,155,169,49,2,1,1,4,0,0,3,1,3,7,9,628
285,"P.P. LAUKAHWA",485,383,0,868,293,258,0,551,501,0,134,189,131,10,1,0,3,72,1,1,4,1,2,1,1,551
286,"P.P. ADAMTARA ROOM NO 1",490,425,0,915,328,212,0,540,540,0,127,255,86,2,1,0,0,54,1,3,5,0,1,3,2,540
287,"P.P. ADAMTARA ROOM NO 2",439,329,0,768,236,181,0,417,417,0,67,239,61,2,1,1,0,37,0,2,3,1,0,1,2,417
288,"P.P. BEMIHA NORTH BHAG",443,364,0,807,207,205,0,412,412,0,121,60,36,1,4,1,1,175,1,1,3,0,1,3,4,412
289,"P.P. BEMIHA EXTRA ROOM",462,393,0,855,213,169,0,382,209,0,108,102,51,2,1,0,3,94,0,1,8,0,3,0,9,382
290,"P.P. BEMIHA SOUTH BHAG",519,459,0,978,251,239,0,490,490,0,128,92,78,1,2,2,4,176,1,3,2,0,0,0,1,490
291,"P.P. NAUBASTA",446,370,0,816,261,221,0,482,381,0,137,154,50,7,3,0,4,104,2,2,6,0,4,1,8,482
292,"P.P. PIPRIHA JAMUNI",845,689,0,1534,443,413,0,856,855,0,215,407,145,8,0,2,1,27,1,0,13,6,7,10,14,856
293,"P.P. NARCHAHWA SAIF NORTH BHAG",520,391,0,911,230,146,0,376,366,0,57,231,64,2,0,1,0,15,0,0,3,2,1,0,0,376
294,"P.P. NARCHAHWA SAIF SOUTH BHAG",582,471,0,1053,230,184,0,414,114,0,136,74,102,2,3,0,3,80,4,0,2,0,4,2,2,414
295,"P.P. MADHWA NAGAR KHADAR",775,611,0,1386,434,299,0,733,372,0,283,259,143,14,2,1,3,4,0,1,4,1,7,4,7,733
296,"P.P. BARGADHA SOHNA",404,264,0,668,225,155,0,380,220,0,74,112,63,14,4,0,3,99,1,2,3,2,0,2,1,380
297,"P.P. IMILIYA KHADAR",712,602,0,1314,371,283,0,654,654,0,184,139,262,7,2,0,2,10,1,3,11,4,11,2,16,654
298,"P.P. LALBHARIYA",315,246,0,561,188,147,0,335,335,0,128,80,101,2,1,0,1,3,2,2,3,0,4,3,5,335
299,"P.P. MADRAHIYA",568,480,0,1048,318,293,0,611,609,0,162,143,195,42,1,1,2,39,0,2,6,2,4,4,8,611
300,"P.P. CHHAPIYA",310,275,0,585,191,145,0,336,336,0,60,90,154,9,4,1,1,5,1,0,2,1,2,1,5,336
301,"P.P. SAKRI KUINYA",791,663,0,1454,361,360,0,721,721,0,308,269,116,5,2,1,0,11,3,0,2,1,0,0,3,721
302,"P.P. MALDA",452,358,0,810,325,202,0,527,527,0,208,218,70,2,1,0,1,6,2,3,5,0,10,0,1,527
303,"P.P. MALDA EXTRA ROOM",454,385,0,839,253,238,0,491,18,0,146,192,136,2,1,1,0,1,0,1,5,1,1,1,3,491
304,"P.P. BASAHWA",649,579,0,1228,383,324,0,707,627,0,115,360,204,5,2,2,2,5,1,1,6,1,2,0,1,707
305,"J.H.SCHOOL ACHKAWAPUR",395,360,0,755,226,207,0,433,334,0,180,100,76,1,2,3,0,67,0,1,2,0,0,0,1,433
306,"P.P. HARNAHWA PARSIYA",544,425,0,969,302,254,0,556,552,0,166,127,197,13,3,1,1,29,2,1,1,1,2,5,7,556
307,"P.P. SIRSIHWA",351,326,0,677,222,201,0,423,298,0,107,118,137,5,1,2,0,40,1,1,3,0,3,2,3,423
308,"P.P. GOBRI NORTH BHAG",562,471,0,1033,335,219,0,554,554,0,139,102,266,3,3,1,1,8,1,0,7,2,6,5,10,554
309,"P.P. GOBRI SOUTH BHAG",419,368,0,787,241,167,0,408,400,0,108,116,95,8,1,2,1,42,1,1,11,4,5,4,9,408
310,"P.P. SATNI",157,147,0,304,111,99,0,210,25,0,61,33,89,7,0,0,0,12,0,0,5,2,0,1,0,210
311,"P.P. HATI",581,505,0,1086,324,265,0,589,570,0,84,193,179,20,2,0,3,76,1,2,7,0,8,1,13,589
312,"P.P. BHAGWANPUR KHADAR NORTH BHAG",670,537,0,1207,369,273,0,642,545,0,154,192,218,10,2,4,3,9,4,0,13,6,9,2,16,642
313,"P.P. BHAGWANPUR KHADAR SOUTH BHAG",335,294,0,629,207,102,0,309,290,0,117,76,74,11,1,2,1,7,0,2,5,3,1,2,7,309
314,"P.P. KATAIYA BHARI",777,683,0,1460,396,340,0,736,540,0,232,67,336,6,1,0,3,52,1,3,5,2,11,2,15,736
315,"P.P. GAURA BHARI EAST BHAG",517,471,0,988,301,275,0,576,366,0,153,86,259,9,5,0,3,39,2,2,6,4,2,3,3,576
316,"P.P. GAURA BHARI WEST BHAG",450,416,0,866,234,218,0,452,200,0,43,16,302,6,1,1,2,50,2,2,4,3,7,5,8,452
