"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKSHAY YADAV","2 - ATUL CHATURVEDI","3 - TH. VISHWADEEP SINGH","4 - PROF. S.P. SINGH BAGHEL","5 - UPENDRA SINGH","6 - KHAJAN SINGH","7 - JAY PRAKASH","8 - RAKESH YADAV","9 - RAJENDRA PRASAD","10 - RAHAT AFROZ","11 - LAXMI","12 - LAKSHMI  NARAYAN","13 - SHAMSHER KHA","14 - MIRJA MUKARRAM BAIG","15 - RAJVEER","16 - None of the Above","Total Votes Secured"
105,"SAMUDAYIK BARAT GHAR MASROOR GANJ ROOM.NO.1",817,596,0,1413,493,301,0,794,753,0,774,7,3,5,1,0,0,0,0,1,0,0,2,0,0,1,794
106,"SAMUDAYIK BARAT GHAR MASROOR GANJ ROOM.NO.2",765,614,0,1379,536,327,0,863,627,0,835,12,1,6,1,0,1,0,0,1,0,1,0,0,1,4,863
107,"SANJAY GANDHI P.V.RASOOLPUR ROOM.NO.1",591,460,0,1051,429,336,0,765,762,0,745,7,2,3,0,0,0,0,0,4,0,0,2,1,0,1,765
108,"SANJAY GANDHI P.V.RASOOLPUR ROOM.NO.2",734,528,0,1262,449,318,0,767,330,0,726,12,8,8,0,0,0,2,1,0,0,0,3,0,1,6,767
109,"GYAN SAROVAR M.SCHOOL RASOOLPUR ROOM.NO.1",572,493,0,1065,367,251,0,618,615,0,78,6,258,263,2,1,1,0,0,0,0,1,2,4,1,1,618
110,"GYAN SAROVAR M.SCHOOL RASOOLPUR ROOM.NO.2",503,417,0,920,330,231,0,561,541,0,540,1,2,9,1,0,0,3,0,2,0,0,0,0,1,2,561
111,"GYAN SAROVAR M.SCHOOL RASOOLPUR ROOM.NO.3",366,271,0,637,238,128,0,366,240,0,303,1,20,34,0,0,1,1,0,3,0,0,1,1,0,1,366
112,"GYAN SAROVAR M.SCHOOL RASOOLPUR ROOM.NO.4",492,420,0,912,352,232,0,584,243,0,554,4,5,16,0,0,0,1,0,0,0,0,1,1,1,1,584
113,"GYAN SAROVAR M.SCHOOL RASOOLPUR ROOM.NO.5",597,490,1,1088,427,327,0,754,665,0,256,4,59,425,4,0,1,0,0,0,0,0,3,0,0,2,754
114,"GYAN SAROVAR M.SCHOOL RASOOLPUR ROOM.NO.6",361,313,0,674,220,160,0,380,360,0,213,5,9,143,1,0,1,2,1,0,0,0,3,0,1,1,380
115,"MAHRSHI. PARSURAM JUNIOR HIGH SCHOOL RASOOLPUR ROOM.NO.1",547,464,0,1011,438,293,0,731,403,0,54,2,13,654,0,0,0,1,0,0,0,0,4,1,1,1,731
116,"MAHRSHI. PARSURAM JUNIOR HIGH SCHOOL RASOOLPUR ROOM.NO.2",688,549,0,1237,468,321,0,789,402,0,57,7,9,698,1,2,1,0,1,2,0,1,4,1,3,2,789
117,"MAHRSHI. PARSURAM JUNIOR HIGH SCHOOL RASOOLPUR ROOM.NO.3",597,470,0,1067,370,275,0,645,554,0,54,4,21,546,8,1,2,1,0,0,0,0,4,1,1,2,645
118,"MAHRSHI. PARSURAM JUNIOR HIGH SCHOOL RASOOLPUR ROOM.NO.4",524,365,0,889,362,180,0,542,542,0,255,5,3,269,4,0,0,0,0,1,0,1,0,2,1,1,542
119,"MAHRSHI. PARSURAM JUNIOR HIGH SCHOOL RASOOLPUR ROOM.NO.5",523,566,0,1089,319,311,0,630,212,0,25,1,6,585,1,0,0,1,1,0,0,1,5,0,1,3,630
120,"M.R.PUBLIC SCHOOL NAYA RASOOLPUR ROOM.NO.1",479,318,0,797,283,166,0,449,400,0,18,2,5,415,5,0,0,1,0,1,0,1,0,0,0,1,449
121,"M.R.PUBLIC SCHOOL NAYA RASOOLPUR ROOM.NO.2",550,434,0,984,369,257,0,626,626,0,40,1,9,566,2,0,0,2,0,0,0,0,0,2,1,3,626
122,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.1",412,321,0,733,294,146,0,440,285,0,418,17,2,0,0,0,0,2,1,0,0,0,0,0,0,0,440
123,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.2",417,355,0,772,270,140,0,410,404,0,384,11,7,0,1,0,0,1,0,1,0,0,2,0,0,3,410
124,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.3",419,341,0,760,289,154,0,443,407,0,394,16,18,4,1,0,0,1,0,0,0,1,1,0,1,6,443
125,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.4",518,431,0,949,343,218,0,561,502,0,202,3,44,310,0,0,0,0,0,0,0,0,1,0,1,0,561
126,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.5",590,454,0,1044,351,275,0,626,623,0,42,4,4,565,4,1,2,1,0,0,0,0,2,0,1,0,626
127,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.6",579,474,0,1053,404,260,0,664,383,0,37,5,3,608,1,0,0,1,0,0,0,1,3,0,2,3,664
128,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.7",608,467,0,1075,432,293,0,725,690,0,52,5,6,650,2,1,2,0,0,0,0,0,2,1,2,2,725
129,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.8",587,504,0,1091,349,209,0,558,551,0,529,8,2,8,2,0,0,0,0,1,0,0,3,1,1,3,558
130,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.9",418,394,0,812,274,198,0,472,440,0,49,1,3,413,1,0,1,1,0,0,0,0,0,0,0,3,472
131,"GOPINATH HIGHER SECONDARI SCHOOL PAMESHWAR GATE ROOM.NO.10",495,397,0,892,326,272,0,598,178,0,21,3,0,569,1,0,0,0,0,0,0,0,0,0,0,4,598
132,"GOPINATH INTER COLLEGE PAMESHWAR GATE ROOM.NO.1",509,457,0,966,343,273,0,616,456,0,60,2,2,541,1,0,1,2,0,0,0,0,1,0,1,5,616
133,"GOPINATH INTER COLLEGE PAMESHWAR GATE ROOM.NO.2",302,205,0,507,165,103,0,268,211,0,81,2,0,184,0,0,0,0,0,0,0,0,1,0,0,0,268
134,"GOPINATH INTER COLLEGE PAMESHWAR GATE ROOM.NO.3",195,168,0,363,190,142,0,332,3,0,295,1,2,18,0,0,0,0,0,1,0,1,12,0,0,2,332
135,"GOPINATH INTER COLLEGE PAMESHWAR GATE ROOM.NO.4",355,348,0,703,272,166,0,438,414,0,414,2,13,4,0,0,0,1,0,0,0,0,3,0,0,1,438
