"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
57,"JAMIYA URDU COLLEGE MEDICAL ROAD	, R.NO.-3",527,505,0,1032,253,202,0,455,447,0,46,255,116,7,0,0,0,0,0,0,0,29,0,0,2,455
58,"JAMIYA URDU COLLEGE MEDICAL ROAD	, R.NO.-4",669,632,0,1301,339,300,0,639,637,0,69,387,125,5,0,0,0,0,0,0,0,50,0,0,3,639
59,"JAMIYA URDU COLLEGE MEDICAL ROAD	, R.NO.-5",658,605,0,1263,308,253,0,561,540,0,69,282,145,4,0,0,0,0,0,1,1,58,0,0,1,561
60,"SENIOR SECONDARY BOYS SCHOOL A.M.U MEDICAL ROAD, R.NO.-1",542,442,0,984,224,179,0,403,403,0,64,176,114,17,0,0,0,1,0,0,0,30,0,0,1,403
61,"SENIOR SECONDARY BOYS SCHOOL A.M.U MEDICAL ROAD, R.NO.-2",298,264,0,562,153,99,0,252,202,0,6,153,80,5,0,0,0,0,0,0,0,6,0,0,2,252
62,"SENIOR SECONDARY BOYS SCHOOL A.M.U MEDICAL ROAD, R.NO.-3",331,295,0,626,114,81,0,195,165,0,15,115,56,3,0,0,0,0,0,0,0,6,0,0,0,195
63,"SENIOR SECONDARY BOYS SCHOOL A.M.U MEDICAL ROAD, R.NO.-4",378,388,0,766,207,150,0,357,338,0,30,212,92,9,0,0,1,0,0,0,0,12,0,0,1,357
64,"TRENING AND ADJUSTMENT CENTER ZAMALPUR, R.NO.-1",717,621,0,1338,423,310,0,733,654,0,96,465,136,15,2,0,0,0,0,0,1,17,0,0,1,733
65,"TRENING AND ADJUSTMENT CENTER ZAMALPUR, R.NO.-2",606,529,0,1135,349,267,0,616,119,0,118,332,109,41,1,0,0,0,0,0,2,5,0,1,7,616
66,"TRENING AND ADJUSTMENT CENTER ZAMALPUR, R.NO.-3",541,478,1,1020,358,220,0,578,568,0,135,260,101,68,1,0,0,1,2,0,1,7,0,0,2,578
67,"MINTO CIRCLE SCHOOL A M U JAMALPUR, R.NO.-1",460,419,0,879,238,154,0,392,265,0,25,314,48,3,0,0,0,0,0,0,0,1,1,0,0,392
68,"MINTO CIRCLE SCHOOL A M U JAMALPUR, R.NO.-2",435,389,0,824,267,150,0,417,360,0,13,311,63,8,0,0,2,0,0,0,0,18,0,2,0,417
