"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.MURLI MANOHAR JOSHI","2 - SALEEM AHMAD","3 - SURENDRA MOHAN AGARWAL","4 - SRIPRAKASH JAISWAL","5 - ANIL AWASTHI","6 - ANAND MEHROTRA","7 - DEVENDRA KUMAR SHARMA","8 - MOHD.NASIR KHAN","9 - DR.NIKHIL GUPTA","10 - MAHMOOD HUSAIN RAHMANI","11 - MOHAMMAD ATEEQ","12 - RAMESH KUMAR GUPTA","13 - VINAYAK RAO TOPE","14 - HIMMAT LAL","15 - ASHOK PASWAN ADVOCATE","16 - KISHOR BAJPAI","17 - PREM CHANDRA PANDEY","18 - BETALAL DIWAKAR","19 - MUZAFFAR HUSAIN KHAN","20 - VISHWANATH KATARIA","21 - KUMARI SARASWATI","22 - None of the Above","Total Votes Secured"
63,"SUBHASH SMARAK INTER COLLEGE ROOM NO 5. 127 SAKET NAGAR",437,461,0,898,299,264,0,563,553,0,452,15,3,74,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,2,0,3,563
64,"SUBHASH SMARAK INTER COLLEGE ROOM NO 6 .127  SAKET NAGAR",616,529,0,1145,560,119,0,679,560,0,558,20,10,73,3,0,0,0,0,11,0,1,0,0,0,2,0,0,1,0,0,0,679
65,"SUBHASH SMARAK INTER COLLEGE ROOM NO 7 .127 SAKET NAGAR",506,477,0,983,376,330,0,706,703,0,595,3,7,82,0,0,1,0,0,11,0,0,0,0,0,0,1,1,0,0,1,4,706
66,"SUBHASH SMARAK INTER COLLEGE  ROOM NO 8. 127 SAKET NAGAR",692,651,0,1343,370,308,0,678,670,0,533,10,14,91,0,0,0,0,1,22,0,0,0,0,0,0,2,0,0,0,0,5,678
67,"SUBHASH SMARAK INTER COLLEGE  ROOM NO 9 . 127 SAKET NAGAR",469,447,1,917,279,269,0,548,176,0,210,112,35,157,7,2,1,0,1,3,2,0,1,3,3,9,1,0,0,0,0,1,548
68,"D.N.V. VIDHDYALAY  ROOM NO 1 . BASANT VIHAR",812,713,0,1525,475,421,0,896,890,0,684,32,15,141,1,0,0,0,0,19,0,0,0,0,1,1,1,0,1,0,0,0,896
69,"D.N.V. VIDHDYALAY   ROOM NO 2  BASANT VIHAR",630,544,0,1174,347,285,0,632,70,0,493,29,6,89,1,0,1,0,0,4,0,0,1,0,1,1,2,0,0,0,0,4,632
70,"D.N.V. VIDHDYALAY  ROOM NO 3 .BASANT VIHAR",466,434,0,900,292,259,0,551,546,0,470,2,9,62,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,551
71,"DR. SONELAL PATEL SENIOR  SECONDARY SCHOOL   ROOM N0 1 JUHI HAMIRPUR ROAD",664,510,0,1174,324,220,0,544,537,0,412,40,10,71,2,0,0,0,0,4,0,1,1,0,1,1,0,0,0,0,0,1,544
72,"DR. SONELAL PATEL SENIOR  SECONDARY SCHOOL  ROOM NO 2 JUHI HAMIRPUR ROAD",254,220,0,474,132,100,0,232,1,0,192,5,3,21,4,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,232
73,"DR  SONELAL PATEL SENIOR  SECONDARY SCHOOL  ROOM NO 3 JUHI HAMIRPUR ROAD",873,727,0,1600,447,338,0,785,400,0,507,134,15,111,2,1,0,0,0,12,0,0,0,0,1,1,1,0,0,0,0,0,785
74,"DR. SONELAL PATEL SENIOR  SECONDARY SCHOOL ROOM NO 4 JUHI HAMIRPUR ROAD",682,569,0,1251,299,249,0,548,36,0,318,153,7,56,2,1,0,0,0,4,0,1,0,0,3,1,1,1,0,0,0,0,548
75,"DR. SONELAL PATEL SENIOR  SECONDARY SCHOOLROOM NO 5 JUHI HAMIRPUR ROAD",293,237,0,530,88,68,0,156,92,0,52,71,3,18,1,0,0,0,0,1,0,0,3,0,1,3,1,0,0,0,0,2,156
76,"N.M.P. GIRLS PR. SCHOOL JUHI SAFED COLONEY ROOM NO 1",701,648,0,1349,452,390,0,842,647,0,555,55,15,197,0,0,0,0,0,14,0,0,2,0,1,2,0,0,1,0,0,0,842
77,"SUBASH BALIKA INTER COLLEG SAKET  NAGAR, ROOM NO. 1",367,300,0,667,224,177,0,401,258,0,187,80,12,116,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,401
78,"SUBASH BALIKA INTER COLLEG SAKET  NAGAR, ROOM NO. 2",474,433,0,907,259,227,0,486,358,0,159,21,4,296,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,1,486
79,"N.M.P. GIRLS PR. SCHOOL JUHI SAFED COLONEY ROOM NO 2",295,262,0,557,186,155,0,341,19,0,129,36,6,155,3,0,0,0,0,4,0,0,0,0,0,0,2,2,1,0,2,1,341
80,"SOMVATI  BALIKA INTER COLLEGE W-1 SAKET NAGAR ROOM NO 1",396,355,0,751,251,200,0,451,447,0,179,24,12,223,1,1,0,0,1,6,0,1,0,0,0,0,1,0,2,0,0,0,451
81,"SOMVATI  BALIKA INTER COLLEGE W-1 SAKET  NAGAR ROOM NO 2",469,404,0,873,271,219,0,490,490,0,333,19,8,124,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,490
82,"SOMVATI  BALIKA INTER COLLEGE W 1 SAKET NAGAR  ROOM NO 3",569,500,0,1069,321,268,0,589,250,0,82,12,32,449,1,0,0,0,1,4,1,0,2,0,0,0,3,0,0,1,0,1,589
83,"KAUSHALYA DEVI U.M.BALIKA VIDHYALAYA   ROOM NO 1 KIDWAI NAGAR",897,732,1,1630,465,352,0,817,804,0,541,81,14,140,3,0,0,0,0,12,1,0,0,1,3,4,3,2,4,4,1,3,817
84,"KAUSHALYA DEVI U.M.BALIKA VIDHYALAYA  ROOM NO 2 KIDWAI NAGAR",538,472,0,1010,243,191,0,434,222,0,259,66,9,78,3,0,0,0,1,1,0,1,1,1,3,4,1,0,4,0,1,1,434
85,"KAUSHALYA DEVI U.M.BALIKA VIDHYALAYA A ROOM NO 3 KIDWAI NAGAR",548,482,0,1030,304,232,0,536,470,0,440,14,13,64,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,536
86,"KAUSHALYA DEVI U.M.BALIKA VIDHYALAYA A ROOM NO 4 KIDWAI NAGAR",508,429,0,937,314,249,0,563,563,0,444,23,9,72,1,0,1,0,1,2,0,0,0,1,0,2,5,0,0,0,0,2,563
87,"KAUSHALYA DEVI U.M.BALIKA VIDHYALAYA A ROOM NO 5 KIDWAI NAGAR",418,349,0,767,231,170,0,401,321,0,320,13,9,54,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,401
