"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAIVEER SINGH","2 - MUKESH RAJPUT","3 - RAMESHWAR SINGH YADAV","4 - SALMAN KHURSHID","5 - ANJU","6 - KRISHAN KUMAR DIXIT ALIAS K. K. DIXIT","7 - MO. TAMAJID","8 - TARIK PARVEZ","9 - DAYA SHANKAR","10 - RAMNIWAS KATHERIA","11 - ANURAG RAJPUT","12 - ANOKHEY LAL","13 - IMAMUDDIN HUSAIN HUSAIN","14 - ANSHU MAHAN","15 - KISHAN PAL SINGH","16 - MALIKHAN SINGH ADVOCATE","17 - MUKESH RAJPUT","18 - RAM KISHORE DIWEDI","19 - VIMLA DEVI","20 - VRAHMA SARAN JATAV","21 - SACHIN SINGH YADAV","22 - SURESH SARASWAT ALAIS ILLAYCHIWALA","23 - None of the Above","Total Votes Secured"
73,BILSARHI,319,234,0,553,151,97,0,248,248,0,43,117,54,4,1,1,0,0,1,1,0,0,3,1,2,4,0,2,0,2,11,0,1,248
74,"KHETALPUR SAUNRIYA",605,498,0,1103,449,302,0,751,751,0,143,206,345,5,5,1,3,0,0,0,0,0,1,1,1,1,4,4,4,3,22,1,1,751
75,KATIYA,843,550,0,1393,406,319,0,725,546,0,5,2,93,596,1,1,7,1,2,1,1,0,3,1,0,3,0,1,0,3,1,1,2,725
76,KATIYA,946,687,0,1633,552,297,0,849,100,0,141,27,121,521,4,2,5,1,1,2,3,0,2,1,1,5,1,1,1,4,4,0,1,849
77,"MAHMADPUR PATTI SAPAH",257,190,0,447,185,118,0,303,296,0,0,2,236,4,1,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,51,0,0,303
78,"SHAH  ALAMPUR",197,166,0,363,112,106,0,218,217,0,59,35,12,88,0,0,1,0,0,0,1,1,1,3,0,2,1,0,0,1,12,1,0,218
79,MUHIUDDINPUR,290,221,0,511,193,128,0,321,222,0,47,33,136,2,0,1,5,0,1,0,2,0,1,1,1,2,1,2,0,0,82,1,3,321
80,RASIDPUR,309,271,0,580,245,160,0,405,405,0,57,259,33,2,0,1,1,2,1,0,4,0,0,2,0,3,1,0,0,0,38,0,1,405
81,BARKHERHA,399,343,0,742,204,207,0,411,411,0,33,229,117,9,0,1,0,0,1,0,1,2,0,2,2,3,1,2,4,0,1,0,3,411
82,"SUJATPUR MAJRA BARKHERHA",156,127,0,283,124,86,0,210,210,0,1,10,177,2,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,14,0,0,210
83,KARANPUR,248,200,0,448,208,150,0,358,35,0,18,3,294,3,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,34,0,1,358
84,"LUKHRHAPUR  MAऱRA TYOR KHAS",251,195,0,446,194,147,0,341,338,0,1,3,271,1,1,0,1,3,1,0,2,0,0,3,0,4,1,1,1,0,47,0,0,341
85,"TYOR KHAS",729,574,0,1303,395,345,0,740,545,0,49,359,192,63,0,2,4,0,2,0,1,1,3,11,5,7,0,3,1,0,35,1,1,740
86,"TYOR KHAS",247,183,0,430,143,118,0,261,261,0,36,137,57,4,0,0,1,0,2,1,0,1,0,0,0,1,3,3,1,0,12,1,1,261
87,"RASHIDABAD BRAHMNAN",551,467,0,1018,315,240,0,555,554,0,112,252,128,36,0,4,3,1,0,0,0,1,1,2,2,1,0,0,0,0,11,1,0,555
88,DARAVPUR,571,426,0,997,308,227,0,535,500,0,51,232,160,37,0,0,3,0,1,1,0,4,2,2,3,8,2,2,6,2,16,0,3,535
89,"BIRAHIMPUR JAGIR",583,486,0,1069,352,295,0,647,647,0,172,201,134,5,3,3,3,3,1,6,0,1,3,4,4,10,3,4,1,1,81,0,4,647
90,"AZAM NAGAR",263,211,0,474,240,181,0,421,421,0,1,13,391,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,4,0,5,0,0,421
91,BHAURUA,209,158,0,367,179,126,0,305,212,0,1,2,268,3,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,24,1,1,305
92,"BALIPUR GARHI",334,269,0,603,190,171,0,361,355,0,70,166,98,10,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,9,0,1,361
93,"NIYAMATPUR DHILAWALI",532,405,0,937,336,247,0,583,583,0,336,94,117,2,0,2,1,0,1,2,0,2,2,0,0,4,4,2,1,0,12,0,1,583
94,LALAI,499,428,0,927,380,222,0,602,602,0,66,316,139,16,1,2,2,0,3,0,1,1,4,1,5,4,0,2,2,0,33,1,3,602
95,LALAI,476,390,0,866,256,229,0,485,485,0,108,131,103,106,3,0,3,1,2,0,0,0,1,0,0,0,1,0,0,2,24,0,0,485
96,"HAZRATPUR MAJRA PAITHAN KHURD BUZURG",585,483,0,1068,420,324,0,744,744,0,158,403,116,22,0,4,1,0,1,0,2,1,2,2,5,11,1,2,2,1,9,1,0,744
97,"PAITHAN KHURD BUZURG",241,207,0,448,151,116,0,267,20,0,41,134,62,7,1,0,3,0,0,0,0,0,0,2,2,2,2,0,1,1,7,0,2,267
98,"PAITHAN KHURD BUZURG",668,549,0,1217,402,319,0,721,721,0,169,239,230,8,4,0,0,2,0,0,3,1,1,1,2,5,0,5,0,1,44,4,2,721
99,JIRAU,830,649,0,1479,518,341,0,859,859,0,209,121,395,34,0,2,2,3,5,1,3,1,1,2,4,7,3,2,1,1,60,1,1,859
100,JIRAU,466,355,0,821,300,157,0,457,263,0,99,149,111,12,3,1,1,1,3,0,1,0,0,0,0,6,4,14,7,1,43,0,1,457
101,"MADARPUR MAJRA ALLAHPUR",317,273,0,590,261,210,0,471,471,0,5,383,25,39,0,0,0,0,0,0,0,0,0,2,6,3,1,4,2,1,0,0,0,471
102,ALLAHPUR,610,495,0,1105,418,305,0,723,723,0,34,564,55,29,2,0,1,0,0,0,1,0,0,0,2,0,6,14,8,2,3,1,1,723
103,"RANIPUR GAUR",322,233,0,555,266,182,0,448,448,0,1,4,394,4,0,1,2,1,1,1,1,1,2,5,0,0,1,1,4,0,23,0,1,448
104,"RANIPUR GAUR",268,216,0,484,202,177,0,379,379,0,0,323,47,1,0,2,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,379
105,RUTAUL,693,551,0,1244,497,354,0,851,851,0,63,232,387,17,2,3,5,0,2,0,1,2,1,3,6,5,5,4,3,2,101,2,5,851
106,"SHIVRAI BARIYAR",554,474,0,1028,384,286,0,670,470,0,82,284,230,10,0,0,2,1,1,1,1,0,0,0,0,4,2,2,4,2,43,0,1,670
107,"BLOCK KAIMGANJ",440,364,0,804,212,176,0,388,338,0,24,235,40,72,1,1,0,1,1,0,0,0,1,0,1,2,0,5,0,1,3,0,0,388
108,"BLOCK KAIMGANJ",791,629,0,1420,443,340,0,783,783,0,44,504,102,102,0,0,1,3,2,0,0,1,0,1,1,1,0,1,0,1,18,0,1,783
109,"BLOCK KAIMGANJ",668,579,0,1247,338,246,0,584,584,0,39,326,70,115,1,4,0,2,1,2,1,1,3,2,4,4,1,2,1,2,2,0,1,584
110,"NARAINA MAU",580,463,0,1043,319,256,0,575,575,0,79,377,67,24,1,2,0,2,1,1,3,1,0,1,2,4,1,4,2,0,3,0,0,575
111,"NARAINA MAU",415,323,0,738,241,202,0,443,443,0,241,80,20,89,3,0,0,0,0,1,1,0,0,0,1,4,0,1,0,1,0,0,1,443
112,"LALPUR PATTI",626,547,0,1173,406,305,0,711,588,0,227,319,101,25,2,1,1,0,2,1,1,1,2,0,3,5,4,4,2,1,6,0,3,711
113,"ULIYAPUR MAJRA NARAINAMAU",354,302,0,656,258,218,0,476,476,0,4,389,58,6,0,3,0,0,0,0,0,1,1,0,3,3,0,3,1,1,3,0,0,476
114,"ULIYAPUR MAJRA NARAINAMAU",500,344,0,844,297,204,0,501,501,0,39,346,77,9,1,0,0,0,0,0,0,0,2,2,2,3,0,9,0,1,9,1,0,501
115,"ULIYAPUR MAJRA NARAINAMAU",553,426,0,979,363,261,0,624,624,0,49,414,136,11,0,1,0,0,0,1,1,2,0,0,3,1,0,0,0,0,3,0,2,624
116,JAUNRA,507,440,0,947,225,336,0,561,99,0,111,269,127,9,0,1,2,6,0,1,2,2,3,1,3,6,3,4,1,0,6,1,3,561
117,JAUNRA,485,411,0,896,356,243,0,599,534,0,18,460,99,9,0,0,1,1,0,0,0,1,0,0,2,0,1,5,1,0,1,0,0,599
118,"DEEPPUR NAGARIYA",252,207,0,459,181,145,0,326,300,0,11,134,109,38,0,2,0,4,0,0,0,0,0,1,1,1,0,2,2,5,15,1,0,326
119,"KADARDADPUR SARAY",647,499,0,1146,437,357,0,794,752,0,80,599,30,48,0,3,0,1,0,1,4,2,0,2,3,7,2,9,0,0,0,0,3,794
120,"ABDUL RAHMANPUR",438,389,0,827,308,237,0,545,35,0,16,421,45,19,0,0,2,1,1,3,1,2,4,2,9,6,2,4,0,1,3,1,2,545
121,SOTEPUR,286,238,0,524,256,191,0,447,85,0,1,14,416,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,11,0,0,447
122,ALIYAPUR,222,174,0,396,177,139,0,316,316,0,9,9,253,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,35,0,0,316
123,HAKIKATPUR,560,419,0,979,398,237,0,635,635,0,68,32,306,32,3,3,10,2,1,0,2,0,4,3,1,10,2,0,7,4,138,5,2,635
124,MENDPUR,527,461,0,988,377,316,0,693,693,0,108,480,39,22,0,3,5,1,1,1,1,2,1,0,3,3,2,5,1,2,11,1,1,693
125,"RAIPUR KHAS",612,508,0,1120,361,270,0,631,593,0,162,278,51,115,2,3,0,1,0,0,1,3,0,2,2,6,0,3,0,0,2,0,0,631
126,"RAIPUR KHAS",692,576,0,1268,403,325,0,728,724,0,140,14,48,508,3,0,0,2,0,1,2,0,0,1,1,3,1,3,0,0,0,0,1,728
127,"RAIPUR KHAS",799,671,0,1470,425,415,0,840,805,0,234,31,40,496,2,0,2,1,0,0,4,1,2,2,4,5,7,3,0,3,0,0,3,840
