"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAUSHAL KISHORE","2 - R.K CHAUDHARY","3 - NARENDRA GAUTAM","4 - SUSHILA SAROJ","5 - AMIT RAWAT","6 - OM PRAKASH","7 - GOPAL KANAUJIYA","8 - GAUTAM BHARTI","9 - JAGDISH PRASAD GAUTAM","10 - BRIJLAL","11 - MAHENDRA KUMAR RAWAT","12 - MEENA RAWAT","13 - MEERA DEVI","14 - SANTOSH KUMAR DHARKAR","15 - SUNIL GAUTAM","16 - MAHESH KUMAR","17 - REENA CHAUDHARY","18 - SHATROHANLAL RAWAT","19 - None of the Above","Total Votes Secured"
98,"P.S. GANGOY",573,490,0,1063,369,310,0,679,3,0,249,228,5,165,4,1,0,2,0,1,1,2,0,4,1,6,5,2,3,679
99,"P.S. ASAL",836,695,0,1531,474,320,0,794,709,0,203,444,42,72,4,0,3,2,1,1,0,0,3,3,7,3,3,1,2,794
100,"P.S. GADHVAI",454,358,0,812,264,191,0,455,344,0,64,249,31,100,0,0,0,0,1,0,1,0,1,1,0,5,0,1,1,455
101,"P.S. BAROY",411,367,0,778,289,230,0,519,5,0,60,330,13,90,2,0,0,1,0,0,0,1,1,3,5,4,2,5,2,519
102,"P.S. BHARAUNA",415,361,0,776,357,302,0,659,1,0,166,436,10,25,2,1,3,1,2,1,1,2,1,1,2,0,3,1,1,659
103,"P.S. BISAULI",467,370,0,837,320,245,0,565,380,0,144,196,8,176,4,0,1,2,1,3,1,1,0,0,5,7,2,5,9,565
104,"P.S. PAKRANARAYNAPUR",278,217,0,495,219,163,0,382,6,0,48,184,5,125,1,0,1,0,0,0,0,1,1,0,5,3,4,1,3,382
105,"P.S. KAMALAPUR",517,438,0,955,325,243,0,568,268,0,125,234,9,178,2,0,0,1,2,1,1,0,1,4,2,5,1,1,1,568
106,"P.S. GOVINDAPUR",341,307,0,648,298,165,0,463,457,0,146,180,7,93,6,0,2,2,0,0,2,0,0,6,3,2,3,3,8,463
107,"P.S. TARAPUR",252,189,0,441,162,118,0,280,22,0,131,117,3,18,2,0,0,0,0,0,0,0,0,0,1,0,3,4,1,280
108,"SRI DHRAVAL DEVI  VIDHYA MINDIR J.H.S.DHARAULI KAMRA NO 1",274,212,0,486,186,123,0,309,1,0,132,71,4,81,5,0,1,3,0,0,1,1,3,3,0,2,0,1,1,309
109,"SRI DHRAVAL DEVI VIDHYA MINDIR J.H.S.DHARAULI KAMRA NO 2",539,450,0,989,341,254,0,595,294,0,87,268,16,193,3,0,2,2,2,0,0,0,3,3,5,4,2,2,3,595
110,"P.S.  NAYI GANDHI M0 DHARAULI",277,255,0,532,232,221,0,453,152,0,19,326,9,85,2,1,1,0,0,0,1,0,1,2,2,2,0,2,0,453
111,"P.S . CHAUPARIYA",394,361,1,756,302,239,0,541,541,0,274,128,2,99,3,0,1,2,1,2,1,1,3,5,0,4,7,4,4,541
112,"P.S.  ASUVAMAU UATTAR KAMRA",306,261,0,567,194,128,0,322,2,0,140,85,5,72,2,0,0,2,0,2,2,0,2,2,2,1,3,2,0,322
113,"P.S ASUVAMAU  DAKSHIN KAMRA",295,242,0,537,215,163,0,378,12,0,45,256,5,58,2,3,0,0,1,1,0,0,0,1,1,3,1,1,0,378
114,"P.S JOHARIYAMAU",388,340,0,728,276,214,0,490,1,0,202,154,8,101,0,1,3,2,0,1,0,2,1,0,1,1,7,2,4,490
115,"P.S GONDALAMAU KAMRA NO 1",473,405,0,878,291,215,0,506,4,0,230,49,5,199,4,1,1,0,0,0,0,2,1,0,1,5,6,1,1,506
116,"P.S GONDALAMAU KAMRA NO 2",488,445,0,933,349,286,0,635,35,0,118,382,10,95,1,0,1,3,3,0,2,1,1,4,2,6,2,1,3,635
117,"P.S PATTI NEVADA",565,462,0,1027,368,301,0,669,13,0,186,306,3,139,2,0,0,2,0,1,1,0,5,10,1,8,1,1,3,669
118,"P.S GANGUPUR KAMRA NO 1",552,444,0,996,329,223,0,552,552,0,243,225,11,51,1,1,0,0,1,0,0,0,0,4,1,5,5,2,2,552
119,"P.S RAMNAGAR M0 GANGUPUR",329,311,0,640,248,196,0,444,2,0,117,168,9,135,1,0,2,1,0,0,0,0,4,2,1,2,0,1,1,444
120,"J.H.S. KUNVARAPUR",353,302,0,655,263,183,0,446,322,0,64,56,2,320,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,446
121,"P.S MAHESHAPUR",555,450,0,1005,396,280,0,676,650,0,219,181,15,207,9,2,1,1,1,4,3,3,3,5,4,8,5,1,4,676
122,"P.S TERVA  KAMRA NO 1",557,446,0,1003,347,237,0,584,30,0,335,100,13,89,3,3,1,3,2,2,1,4,2,4,2,7,6,3,4,584
123,"P.S TERVA  KAMRA NO 2",458,395,0,853,312,236,0,548,30,0,230,160,18,93,5,2,2,6,0,1,3,3,2,4,4,7,4,2,2,548
124,"P.S. SHIVAPURI",458,370,0,828,291,285,0,576,11,0,46,280,5,198,4,1,6,3,1,2,1,2,2,2,6,5,3,6,3,576
125,"J.H.S. KHERVA",236,218,0,454,154,152,0,306,225,0,135,74,15,71,5,0,0,1,0,0,1,0,0,0,1,0,1,0,2,306
126,"P.S. GAURIYA KAMRA NO 1",225,169,0,394,146,86,0,232,16,0,69,83,8,58,2,0,2,1,1,0,0,0,0,2,1,1,3,1,0,232
127,"P.S. GAURIYA KAMRA NO 2",541,479,0,1020,320,273,0,593,7,0,159,204,10,190,6,3,1,2,0,0,2,3,2,1,1,6,2,1,0,593
128,"P.S. NARAYNAPUR",412,343,0,755,264,212,0,476,4,0,141,218,11,68,4,1,3,2,3,0,1,2,2,2,2,6,4,3,3,476
129,"P.S. GAITHA",700,560,0,1260,416,352,0,768,400,0,458,143,9,92,12,2,0,3,3,1,5,1,6,7,3,10,8,2,3,768
130,"P.S. KABIRAPUR",477,391,1,869,347,258,0,605,605,0,138,291,41,100,7,1,1,3,1,0,1,1,0,2,1,4,3,5,5,605
