"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
94,"P.P.HARLALGARH K.N 2",796,685,0,1481,514,408,0,922,872,0,209,244,344,18,2,4,5,2,1,2,7,4,6,3,4,45,2,9,2,2,2,2,1,2,922
95,"P.P.SEKHUWANI K.N.1",596,534,0,1130,369,332,0,701,701,0,240,149,240,19,0,7,2,1,3,2,1,4,2,2,2,17,2,1,2,1,1,1,2,0,701
96,"P.P.SEKHUWANI K.N.2",372,299,0,671,215,184,0,399,399,0,106,86,145,36,0,0,2,0,4,0,1,0,1,0,1,6,2,3,1,0,0,1,1,3,399
97,"P.P. VABHANI",403,359,0,762,264,245,0,509,491,0,120,181,152,41,0,0,0,0,0,0,0,0,0,2,0,7,2,2,0,0,0,0,0,2,509
98,P.P.SHIVPURI,554,446,0,1000,271,298,0,569,569,0,244,145,89,52,1,0,9,0,0,0,3,0,1,4,0,7,3,3,0,3,0,0,0,5,569
99,"JU0 HA0SCHOOL SHIVPURI K.N. 1",361,301,0,662,185,181,0,366,366,0,235,79,30,10,0,0,1,1,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,1,366
100,"P.P. SHIVTARI K.N.1",512,445,0,957,366,315,0,681,681,0,118,404,81,36,0,1,1,1,1,0,2,2,2,6,4,7,4,4,0,1,3,0,0,3,681
101,"P.P. SHIVTARI TOLA PARASA",483,380,0,863,312,237,0,549,537,0,220,74,174,52,1,0,2,2,1,2,0,0,0,0,0,4,4,5,2,1,3,1,0,1,549
102,"P.P. MARJADPUR K.N 1",558,418,1,977,283,252,0,535,535,0,179,168,92,62,1,3,3,1,3,1,2,0,3,2,1,4,4,1,2,1,1,1,0,0,535
103,"P.P.MARJADPUR K.N.2",517,394,0,911,254,252,0,506,506,0,114,284,68,18,2,1,0,0,1,0,1,1,2,0,1,1,1,5,1,1,1,1,0,2,506
