"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MULAYAM SINGH YADAV","2 - SHATRUGHAN SINGH CHAUHAN","3 - DR. SANGHMITRA MAURYA","4 - ABU NASIM PATHAN","5 - BABA HARDEV SINGH","6 - SHISHUPAL SINGH","7 - SATENDRA VEER SINGH CHAUHAN","8 - ASHOK KUMAR","9 - ALOK NANDAN","10 - MUKESH KUMAR","11 - MUKESH KUMAR SHAKYA","12 - RAJESHWARI","13 - HAKIM SINGH","14 - None of the Above","Total Votes Secured"
170,"PRIMARY SCHOOL JAHANABAD",313,278,0,591,260,193,0,453,453,0,283,133,28,0,0,2,1,1,1,0,0,2,1,1,453
171,"PRIMARY SCHOOL CHAKOOPUR",448,386,2,836,325,210,0,535,535,0,451,67,13,0,0,0,0,0,2,0,0,0,0,2,535
172,"PRIMARY SCHOOL MAHOLA",721,610,0,1331,458,313,0,771,771,0,737,16,8,2,5,0,0,0,0,0,0,1,0,2,771
173,"PRIMARY SCHOOL UMRAHI",298,260,0,558,160,128,0,288,288,0,131,108,41,1,0,1,0,1,1,0,0,2,1,1,288
174,"PRIMARY SCHOOL KHARDOOLI",673,570,0,1243,406,266,0,672,672,0,546,45,64,0,3,1,2,0,3,0,2,1,3,2,672
175,"PRIMARY SCHOOL CHHITONI",519,408,0,927,484,216,0,700,700,0,664,29,5,0,0,0,1,0,0,0,0,0,0,1,700
176,"PRIMARY SCHOOL RAMET",824,671,0,1495,573,328,0,901,901,0,832,63,1,1,0,0,0,0,2,0,0,0,1,1,901
177,"PRIMARY SCHOOL HIRAPUR",264,218,0,482,214,151,0,365,365,0,312,33,15,1,0,0,1,0,0,0,1,0,1,1,365
178,"PRIMARY SCHOOL BAROLI BAIDPURA",617,533,0,1150,460,326,0,786,786,0,508,239,22,0,0,0,0,2,5,1,2,2,2,3,786
179,"PRIMARY SCHOOL SIPHARI",228,174,0,402,178,130,0,308,308,0,253,42,9,0,0,0,0,0,0,0,0,0,0,4,308
180,"PRIMARY SCHOOL CHHIMARA EAST",762,651,0,1413,407,332,0,739,739,0,377,213,95,0,6,1,1,1,8,2,11,4,6,14,739
181,"PRIMARY SCHOOL CHHIMARA MIDDLE",760,605,0,1365,433,311,0,744,744,0,619,78,26,1,2,0,2,1,3,0,2,1,1,8,744
182,"PRIMARY SCHOOL BORAIN",358,308,0,666,263,202,0,465,465,0,395,44,11,0,1,1,0,0,1,3,1,0,3,5,465
183,"PRIMARY SCHOOL BHADAI KASHIPUR",839,649,0,1488,466,311,0,777,777,0,714,38,3,1,7,0,0,0,2,0,0,4,1,7,777
184,"PRIMARY SCHOOL BHADAI KASHIPUR WEST",587,465,0,1052,369,215,0,584,584,0,455,71,42,0,3,1,0,0,1,1,3,2,1,4,584
185,"PRIMARY SCHOOL NAGLA SEWA",494,367,0,861,462,304,0,766,766,0,757,8,1,0,0,0,0,0,0,0,0,0,0,0,766
186,"PRIMARY SCHOOL NAGLA BABA BHAGWATIPUR NEW BUILDING",321,276,0,597,304,214,0,518,518,0,494,19,1,1,2,0,1,0,0,0,0,0,0,0,518
187,"PRIMARY SCHOOL BHALASAIYA",806,644,0,1450,574,340,0,914,914,0,831,49,25,0,0,1,1,2,1,0,0,1,1,2,914
188,"PRIMARY SCHOOL NARHOLI BHIDARUA",829,702,0,1531,600,425,0,1025,1025,0,1007,10,4,0,0,0,1,0,2,0,0,0,0,1,1025
189,"PRIMARY SCHOOL LACHWAI EAST",577,461,0,1038,533,209,0,742,742,0,722,14,2,0,2,0,0,1,0,0,0,0,0,1,742
190,"PRIMARY SCHOOL LACHWAI WEST",295,248,0,543,250,166,0,416,416,0,391,23,0,0,0,0,1,0,0,0,0,0,0,1,416
191,"PRIMARY SCHOOL GEENJA (R.N. 1)",619,537,0,1156,600,451,0,1051,1051,0,1035,14,0,0,0,0,1,0,0,0,1,0,0,0,1051
192,"PRIMARY SCHOOL GEENJA (R.N. 2)",568,460,0,1028,524,418,0,942,942,0,882,45,10,2,2,0,0,0,0,0,0,0,0,1,942
193,"PRIMARY SCHOOL CHOBEYPUR EAST",441,375,0,816,439,366,0,805,805,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,805
194,"PRIMARY SCHOOL JHIGOOPUR",718,651,0,1369,700,579,0,1279,1279,0,1269,6,1,0,2,0,1,0,0,0,0,0,0,0,1279
195,"PRIMARY SCHOOL BHALI",402,299,0,701,327,271,0,598,598,0,592,4,1,0,0,0,0,0,0,0,0,0,0,1,598
196,"PRIMARY SCHOOL MUCHHARA",377,318,0,695,331,260,0,591,591,0,586,0,2,0,0,0,0,0,0,0,0,1,0,2,591
197,"PRIMARY SCHOOL SAIFAI EAST",662,517,0,1179,597,442,0,1039,1039,0,1006,22,2,0,2,0,0,0,0,0,0,1,0,6,1039
198,"PRIMARY SCHOOL SAIFAI MIDDLE",510,407,0,917,370,299,0,669,669,0,641,24,1,0,0,1,1,0,0,0,0,0,1,0,669
199,"JUNIOR HIGH SCHOOL SAIFAI (R.N.1)",477,426,0,903,426,320,0,746,746,0,715,12,1,1,1,0,0,1,0,0,0,2,4,9,746
200,"JUNIOR HIGH SCHOOL FAIFAI (R.N. 2)",454,354,0,808,378,290,0,668,668,0,646,8,0,0,0,1,0,0,0,0,1,0,1,11,668
201,"JUNIOR HIGH SCHOOL ATIRAJPUR",804,704,0,1508,637,274,0,911,911,0,834,48,20,0,6,0,0,0,0,0,2,0,0,1,911
202,"PANCHAYAT OFFICE SAIFAI OLD MEETING HALL",366,283,0,649,220,183,0,403,403,0,376,12,6,0,3,0,0,0,0,0,1,1,0,4,403
203,"PRIMARY SCHOOL NAGLA SABI",633,512,0,1145,533,437,0,970,970,0,966,3,1,0,0,0,0,0,0,0,0,0,0,0,970
204,"PRIMARY SCHOOL UJHIYANI",598,502,0,1100,571,444,0,1015,1015,0,998,7,1,0,0,1,0,0,1,1,0,0,2,4,1015
205,"PRIMARY SCHOOL BAGHUIYA",376,327,0,703,368,317,0,685,685,0,684,0,1,0,0,0,0,0,0,0,0,0,0,0,685
206,"PRIMARY SCHOOL PINDARI NEW BUILDING",442,386,0,828,283,234,0,517,517,0,434,42,27,3,0,0,0,0,0,0,0,1,3,7,517
207,"PRIMARY SCHOOL PINDARI NEW BUILDING",494,437,0,931,342,286,0,628,628,0,585,23,7,2,0,1,0,1,1,0,1,0,0,7,628
208,"PRIMARY SCHOOL KUIYA EAST",443,342,0,785,333,208,0,541,541,0,446,57,23,0,0,1,2,0,1,0,0,4,0,7,541
209,"PRIMARY SCHOOL KUIYA",563,472,0,1035,392,264,0,656,656,0,606,33,4,0,1,1,0,0,0,2,1,2,0,6,656
210,"PRIMARY SCHOOL ODAMPUR",431,359,0,790,372,248,0,620,620,0,600,12,6,0,0,0,0,0,0,0,0,0,0,2,620
211,"PRIMARY SCHOOL BAROLI KALA",516,376,0,892,481,336,0,817,817,0,782,0,32,1,0,0,0,0,0,0,0,1,0,1,817
212,"PRIMARY SCHOOL NAGLA BAGERHAR EAST",533,463,0,996,507,398,0,905,905,0,896,3,4,0,0,0,0,1,0,0,0,0,1,0,905
213,"PRIMARY SCHOOL SAHSARPUR",476,382,0,858,466,364,0,830,830,0,826,2,1,0,0,0,0,0,0,0,0,0,0,1,830
214,"DR. RAM MANOHAR LOHIA JHS USRAI",360,312,0,672,349,288,0,637,637,0,636,1,0,0,0,0,0,0,0,0,0,0,0,0,637
215,"SARVODAYA INTER COLLEGE LONGPUR",253,241,0,494,159,163,0,322,322,0,285,30,0,1,0,1,0,0,0,0,0,0,3,2,322
216,"PRIMARY SCHOOL TULSIPUR NEW BUILDING",477,420,0,897,333,252,0,585,582,0,522,28,30,1,0,0,0,1,2,0,1,0,0,0,585
217,"PRIMARY SCHOOL NAGLA DARIYAY",514,435,0,949,468,338,0,806,806,0,800,3,0,0,0,0,0,0,0,0,0,1,0,2,806
218,"PRIMARY SCHOOL BHAGIPUR",356,280,0,636,256,147,0,403,403,0,378,12,10,0,0,0,0,0,1,0,0,1,1,0,403
219,"PRIMARY SCHOOL NANDPUR",376,276,0,652,342,239,0,581,581,0,573,5,2,0,0,0,0,0,0,0,0,0,0,1,581
220,"PRIMARY SCHOOL KUMHAWAR",839,706,0,1545,554,432,0,986,986,0,766,76,104,1,2,0,0,0,5,0,7,1,6,18,986
221,"PRIMARY SCHOOL UDDHAMPUR",247,234,0,481,245,211,0,456,456,0,453,3,0,0,0,0,0,0,0,0,0,0,0,0,456
222,"PRIMARY SCHOOL HARDOI (R.N. 1)",704,602,0,1306,430,321,0,751,751,0,561,76,79,3,2,1,1,0,6,4,2,5,4,7,751
223,"PRIMARY SCHOOL HARDOI (R.N. 2)",483,398,0,881,365,279,0,644,600,0,533,21,78,2,0,0,0,2,1,0,0,1,0,6,644
224,"JUNIOR HIGH SCHOOL HARDOI",690,566,0,1256,517,269,0,786,786,0,675,52,49,0,0,1,1,0,0,1,0,1,3,3,786
225,"PRIMARY SCHOOL MOHATI",373,319,0,692,327,223,0,550,550,0,545,4,1,0,0,0,0,0,0,0,0,0,0,0,550
226,"PRIMARY SCHOOL LADAMPUR",329,248,0,577,258,203,0,461,461,0,418,26,13,0,0,0,1,1,1,0,0,0,1,0,461
227,"PRIMARY SCHOOL KATHUA",663,532,0,1195,486,397,0,883,883,0,860,13,3,1,2,0,0,0,0,0,0,0,1,3,883
228,"PRIMARY SCHOOL NAGLA MATHIYA",648,478,0,1126,497,318,0,815,815,0,788,5,4,0,1,1,0,2,0,1,1,1,1,10,815
229,"PRIMARY SCHOOL SHIVPURI TIMARUA EAST",693,540,0,1233,441,339,0,780,780,0,665,28,78,1,1,0,0,0,0,0,0,1,0,6,780
230,"PRIMARY SCHOOL SHIVPURI TIMARUA WEST",620,480,0,1100,399,264,0,663,663,0,626,17,10,0,1,0,1,1,0,0,1,1,1,4,663
231,"PRIMARY SCHOOL MADHAIYAPUR",461,403,0,864,372,323,0,695,695,0,670,5,18,0,0,0,0,0,0,0,0,1,0,1,695
232,"PRIMARY SCHOOL SARWARPUR",247,200,0,447,204,143,0,347,335,0,285,14,40,0,0,0,1,0,0,0,0,2,0,5,347
233,"PRIMARY SCHOOL PARASNA EAST",464,360,0,824,305,217,0,522,518,0,435,36,43,0,1,0,0,0,1,1,1,0,1,3,522
234,"PRIMARY SCHOOL PARASNA WEST",410,328,0,738,299,192,0,491,480,0,436,31,16,1,0,0,1,1,1,0,1,1,1,1,491
235,"PRIMARY SCHOOL NAGLA KOOKPUR",325,249,0,574,264,162,0,426,425,0,351,66,4,0,1,0,1,0,1,0,0,0,1,1,426
236,"PRIMARY SCHOOL NAGLA BANE",501,366,0,867,396,325,0,721,720,0,692,15,12,1,0,0,0,1,0,0,0,0,0,0,721
237,"PRIMARY SCHOOL MANIGAWNA (R.N. 1)",300,217,0,517,228,119,0,347,347,0,325,15,2,0,0,1,0,0,0,1,0,0,0,3,347
238,"PRIMARY SCHOOL MANIGAWNA (R.N. 2)",357,234,0,591,248,108,0,356,356,0,331,15,6,0,0,0,1,0,0,0,2,0,0,1,356
239,"PRIMARY SCHOOL THULRAI",620,479,0,1099,432,373,0,805,805,0,602,14,179,1,0,1,1,1,1,0,1,1,1,2,805
240,"PRIMARY SCHOOL SARSAI HELU",456,375,0,831,274,214,0,488,486,0,407,41,31,0,1,0,1,1,3,0,1,1,0,1,488
241,"PRIMARY SCHOOL NAGLA KUATIA",582,431,0,1013,457,300,0,757,729,0,734,4,18,0,0,0,0,0,0,0,0,0,0,1,757
242,"PRIMARY SCHOOL SHADIPUR",436,360,0,796,295,233,0,528,526,0,364,31,116,2,1,0,0,0,1,0,4,0,2,7,528
243,"PRIMARY SCHOOL JAGANNATHPUR",723,525,0,1248,392,286,0,678,570,0,538,23,106,0,0,2,0,0,0,0,2,1,1,5,678
244,"JUNIOR HIGH SCHOOL KARRI",430,372,0,802,269,251,0,520,520,0,365,86,50,0,1,0,2,3,2,0,3,0,4,4,520
245,"JUNIOR HIGH SCHOOL KARRI",465,386,0,851,316,255,0,571,567,0,321,123,108,0,4,0,0,0,6,1,2,1,1,4,571
246,"PRIMARY SCHOOL NAGLA BAHELIYA (KARRI)",541,441,0,982,415,321,0,736,733,0,658,13,47,1,1,0,1,1,2,1,2,2,0,7,736
247,"PRIMARY SCHOOL KALEPURA",195,156,0,351,148,128,0,276,276,0,249,1,23,1,0,0,0,0,0,0,0,0,0,2,276
248,"PRIMARY SCHOOL GANESHPUR",353,268,0,621,246,202,0,448,448,0,332,25,78,0,1,0,0,0,1,1,1,2,2,5,448
249,"PRIMARY SCHOOL BHOOTHA",625,544,0,1169,476,352,0,828,828,0,791,5,24,0,0,0,0,0,1,1,0,1,0,5,828
250,"PRIMARY SCHOOL BEENA WEST",619,482,0,1101,368,276,0,644,637,0,395,65,161,1,4,0,3,0,2,1,7,0,0,5,644
251,"PRIMARY SCHOOL BEENA WEST",724,581,0,1305,356,469,0,825,825,0,634,98,74,0,1,1,0,0,2,0,0,3,2,10,825
252,"PRIMARY SCHOOL PAROLI RAMAIN",658,491,0,1149,336,219,0,555,555,0,271,97,154,5,12,0,3,0,3,1,0,3,1,5,555
253,"PRIMARY SCHOOL KATAIYAPUR (KRAPALPUR)",481,386,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,"PRIMARY SCHOOL HIDDAPURA",371,306,1,678,256,155,0,411,411,0,407,2,0,0,0,0,0,0,0,0,1,0,0,1,411
255,"PRIMARY SCHOOL UNWA SANTOSHPUR",440,370,0,810,249,226,0,475,475,0,298,13,154,1,0,1,0,0,0,1,0,1,1,5,475
256,"JUNIOR HIGH SCHOOL SANTOSHPUR UNWA",534,384,0,918,441,248,0,689,689,0,634,17,32,0,1,0,0,0,1,0,1,0,0,3,689
257,"PRIMARY SCHOOL ISWARPUR",432,357,0,789,381,246,0,627,627,0,616,6,5,0,0,0,0,0,0,0,0,0,0,0,627
258,"PRIMARY SCHOOL BARALOKPUR EAST",714,654,0,1368,406,331,0,737,737,0,457,148,92,1,6,2,0,0,5,0,3,2,3,18,737
259,"PRIMARY SCHOOL BARALOKPUR WEST ROOM-1",722,632,0,1354,473,350,0,823,523,0,534,211,46,2,1,0,0,0,5,2,5,2,2,13,823
260,"PRIMARY SCHOOL BARALOKPUR WEST ROOM-2",179,148,0,327,120,89,0,209,209,0,193,9,2,0,0,0,1,0,0,0,2,0,1,1,209
261,"PRIMARY SCHOOL LOKPURA",385,286,0,671,243,173,0,416,416,0,295,79,33,1,2,0,1,0,2,0,0,0,0,3,416
262,"PRIMARY SCHOOL SEEPURI",267,232,0,499,183,131,0,314,314,0,209,48,45,1,1,0,0,0,1,0,1,1,2,5,314
263,"PRIMARY SCHOOL AGUPUR GOPALPUR",641,526,0,1167,422,244,0,666,666,0,595,13,53,0,0,0,0,0,0,0,1,0,1,3,666
264,"PRIMARY SCHOOL AGUPUR GOPALPUR",323,260,0,583,258,193,0,451,451,0,439,7,2,1,1,0,0,0,0,0,1,0,0,0,451
265,"PRIMARY SCHOOL AARAJI GUBARIYA",196,151,0,347,133,91,0,224,224,0,217,5,1,0,0,0,0,0,0,0,0,0,0,1,224
266,"PRAHLAD ISMARAK INTER COLLEGE KRISHNA NAGAR CHOPULA",271,220,0,491,215,112,0,327,327,0,280,27,16,0,1,0,0,0,2,0,0,0,0,1,327
267,"PRAHLAD ISMARAK INTER COLLEGE KRISHNA NAGAR CHOPULA",335,279,0,614,256,163,0,419,419,0,395,7,11,2,0,0,0,0,0,0,0,2,1,1,419
268,"PRIMARY SCHOOL MUGALPURA",306,227,0,533,182,160,0,342,342,0,210,35,86,1,1,0,0,1,0,1,1,4,0,2,342
269,"PRIMARY SCHOOL NAGLA SABI",218,185,0,403,124,103,0,227,227,0,205,17,2,0,0,0,0,0,0,0,1,0,0,2,227
270,"PRIMARY SCHOOL MOONJ EAST-1",675,536,0,1211,410,234,0,644,644,0,539,59,31,2,0,0,0,0,3,0,0,1,2,7,644
271,"PRIMARY SCHOOL MOONJ EAST-2",462,309,0,771,255,178,0,433,433,0,407,17,3,1,2,0,0,0,0,1,0,1,0,1,433
272,"PRIMARY SCHOOL MOONJ WEST",164,126,0,290,102,78,0,180,180,0,177,3,0,0,0,0,0,0,0,0,0,0,0,0,180
273,"PRIMARY SCHOOL RAMPURA",528,421,0,949,346,241,0,587,587,0,515,62,5,0,1,0,0,0,2,1,0,0,0,1,587
274,"PRIMARY SCHOOL FARDPURA",353,283,0,636,300,198,0,498,498,0,486,5,1,0,0,0,0,0,0,0,0,0,1,5,498
275,"PRIMARY SCHOOL MASNAI",517,443,0,960,405,231,0,636,636,0,561,49,21,1,1,0,0,0,1,0,1,0,0,1,636
276,"PRIMARY SCHOOL JAINPUR CHAUBIYA",238,183,0,421,182,119,0,301,301,0,289,11,1,0,0,0,0,0,0,0,0,0,0,0,301
277,"PRIMARY SCHOOL CHAUBIYA",866,639,0,1505,606,310,0,916,916,0,793,90,18,0,2,0,0,1,4,1,0,3,2,2,916
278,"PRIMARY SCHOOL BAKHTYARPUR",397,325,0,722,341,254,0,595,595,0,543,35,5,0,10,0,0,1,0,0,0,0,0,1,595
279,"PRIMARY SCHOOL BHADIYAPUR RAHIN",256,219,0,475,227,175,0,402,402,0,343,44,15,0,0,0,0,0,0,0,0,0,0,0,402
280,"PRIMARY SCHOOL TISUADEV",294,221,0,515,260,176,0,436,436,0,418,13,3,2,0,0,0,0,0,0,0,0,0,0,436
281,"PRIMARY SCHOOL MOHANPUR RAHIN",561,407,0,968,358,223,0,581,581,0,486,37,33,0,1,1,0,1,0,1,3,1,6,11,581
282,"PRIMARY SCHOOL NEEWASAI",274,180,0,454,239,152,0,391,391,0,383,1,5,1,0,0,0,0,0,0,0,1,0,0,391
283,"JUNIOR HIGH SCHOOL KAKARPUR",243,187,0,430,194,132,0,326,326,0,321,5,0,0,0,0,0,0,0,0,0,0,0,0,326
284,"PRIMARY SCHOOL GORA DAYALPUR",187,142,0,329,168,106,0,274,274,0,251,3,17,0,1,0,0,0,0,0,2,0,0,0,274
285,"PRIMARY SCHOOL GORA DAYALPUR",410,310,0,720,314,184,0,498,498,0,484,12,1,0,0,0,0,0,0,0,0,0,0,1,498
286,"PRIMARY SCHOOL RAHIN",747,585,0,1332,512,344,0,856,856,0,615,100,129,1,1,0,0,0,4,0,2,1,1,2,856
287,"PRIMARY SCHOOL ROOP PUR SARAI BHIKHAN",253,233,0,486,226,178,0,404,404,0,368,14,17,1,0,0,0,1,0,0,0,1,0,2,404
288,"PRIMARY SCHOOL GULABPUR",403,319,0,722,335,227,0,562,562,0,511,47,3,0,0,0,0,0,0,0,0,0,0,1,562
289,"PRIMARY SCHOOL KALYANPUR RAHIN",589,456,0,1045,474,352,0,826,826,0,746,30,37,0,0,1,2,0,1,0,1,1,1,6,826
290,"PRIMARY SCHOOL BIHARIPUR",264,215,0,479,250,183,0,433,183,0,403,6,22,1,0,0,0,0,0,0,0,0,0,1,433
291,"PRIMARY SCHOOL ADUPURA",370,289,0,659,336,216,0,552,552,0,540,8,1,1,0,0,0,0,0,0,0,0,1,1,552
292,"PRIMARY SCHOOL KESHONPUR RAHIN",221,164,0,385,169,107,0,276,276,0,240,12,19,0,0,0,1,1,0,0,0,0,2,1,276
293,"KANNYA PRIMARY SCHOOL GANGAPUR",518,416,0,934,495,374,0,869,869,0,789,41,17,2,3,0,1,0,4,0,1,1,5,5,869
294,"PRIMARY SCHOOL BITHOLI",294,232,0,526,217,178,0,395,395,0,301,57,29,0,0,0,0,0,1,1,3,1,1,1,395
295,"PRIMARY SCHOOL PARTAPURA",745,577,0,1322,624,378,0,1002,1002,0,965,21,8,0,1,0,0,0,0,1,1,0,2,3,1002
296,"PRIMARY SCHOOL KHERA HELU",515,427,0,942,421,313,0,734,734,0,622,46,49,0,4,1,1,0,1,2,2,1,1,4,734
297,"PRIMARY SCHOOL KHERA HELU",334,251,0,585,235,136,0,371,371,0,337,6,7,3,1,0,0,0,2,2,2,2,2,7,371
298,"PRIMARY SCHOOL DUDHA",234,186,0,420,225,175,0,400,370,0,392,6,1,0,0,0,0,0,0,0,0,0,0,1,400
299,"PRIMARY SCHOOL ADARPUR",672,540,0,1212,638,477,0,1115,1115,0,1104,11,0,0,0,0,0,0,0,0,0,0,0,0,1115
300,"PRIMARY SCHOOL JABARPUR NORTH",468,367,0,835,296,215,0,511,511,0,496,13,1,0,1,0,0,0,0,0,0,0,0,0,511
301,"PRIMARY SCHOOL NAGLA TAAL",286,230,0,516,236,172,0,408,408,0,401,4,1,0,0,0,0,0,0,0,0,0,0,2,408
302,"PRIMARY SCHOOL LAKHANPUR PACHAR",550,411,0,961,417,263,0,680,680,0,665,13,0,0,2,0,0,0,0,0,0,0,0,0,680
303,"PRIMARY SCHOOL DIBRASAI",378,302,0,680,272,150,0,422,422,0,392,24,5,0,0,0,1,0,0,0,0,0,0,0,422
304,"PRIMARY SCHOOL APOORPUR",359,275,0,634,173,131,0,304,304,0,120,164,8,1,2,0,1,0,4,1,2,0,0,1,304
305,"KISAN HIGHER SECONDRY SCHOOL SHEKHUPUR CHANDETHI",505,396,0,901,282,186,0,468,468,0,388,58,18,0,2,0,0,0,0,0,0,0,0,2,468
306,"JUNIOR HIGH SCHOOL BER EAST",445,327,0,772,296,166,0,462,462,0,420,35,5,0,0,0,0,0,1,0,0,0,1,0,462
307,"JUNIOR HIGH SCHOOL BER  WEST",470,329,0,799,376,232,0,608,608,0,602,3,0,0,1,0,0,0,0,0,0,2,0,0,608
308,"PRIMARY SCHOOL NAGLA BHOOJ",522,441,0,963,477,324,0,801,801,0,774,12,10,0,4,0,0,0,0,0,0,0,0,1,801
309,"JUNIOR HIGH SCHOOL ROURA EAST",686,550,0,1236,306,243,0,549,549,0,312,166,43,3,1,0,1,0,6,0,4,0,6,7,549
310,"JUNIOR HIGH SCHOOL ROURA WEST",540,444,0,984,272,198,0,470,470,0,391,34,36,0,0,0,0,1,0,2,1,2,0,3,470
311,"SAMUDAIK MILAN KENDRA KHIRIYA",272,234,0,506,231,170,0,401,401,0,385,16,0,0,0,0,0,0,0,0,0,0,0,0,401
312,"PRIMARY SCHOOL BAKOLI",755,621,0,1376,428,336,0,764,764,0,283,169,286,3,1,1,0,0,7,2,1,3,2,6,764
313,"PRIMARY SCHOOL SHEKHUPUR PACHAR",345,276,0,621,296,189,0,485,485,0,466,11,6,0,0,0,0,0,0,0,0,1,0,1,485
314,"JUNIOR HIGH SCHOOL NAGLA JIND",317,209,0,526,249,130,0,379,379,0,363,10,2,0,0,0,0,0,0,1,0,0,1,2,379
315,"PRIMARY SCHOOL SANTOSHPUR PACHAR",436,358,0,794,287,188,0,475,475,0,272,107,86,0,7,0,0,0,2,0,1,0,0,0,475
316,"PRIMARY SCHOOL PUNJA",671,488,0,1159,434,208,0,642,642,0,419,167,48,1,0,0,0,0,0,2,1,0,1,3,642
317,"PRIMARY SCHOOL KESHONPUR",549,437,0,986,375,260,0,635,635,0,483,49,91,1,1,0,1,0,3,0,3,0,2,1,635
318,"JAN HITKARI M.V. NAGLA BHAWAR",285,209,0,494,166,107,0,273,273,0,261,7,1,0,1,0,1,0,0,0,0,1,0,1,273
319,"PRIMARY SCHOOL TAKPURA",190,139,0,329,177,125,0,302,302,0,278,16,6,0,0,0,0,0,1,0,1,0,0,0,302
320,"PRIMARY SCHOOL BANI HARDU",336,263,0,599,253,177,0,430,430,0,379,31,18,0,0,0,1,0,0,0,0,0,0,1,430
321,"PRIMARY SCHOOL CHAMROUA",385,312,0,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,"JILA PARISAD HIGHER SECONDRY SCHOOL SARSAINAWAR EAST",760,642,0,1402,358,275,0,633,633,0,317,170,117,0,3,0,2,0,0,1,5,5,2,11,633
323,"JILA PARISAD HIGHER SECONDRY SCHOOL SARSAINAWAR",426,376,0,802,237,156,0,393,393,0,281,60,41,1,0,1,0,0,3,0,0,0,1,5,393
324,"JILA PANCHAYAT HIGHER SECONDRY SCHOOL SARSAINAWAR",686,548,1,1235,366,246,0,612,612,0,417,42,138,0,4,1,2,0,2,1,0,1,0,4,612
325,"PRIMARY SCHOOL GIRDHARPURA",360,260,0,620,264,171,0,435,435,0,357,48,25,1,0,0,0,0,1,0,1,0,0,2,435
326,"PRIMARY SCHOOL NAGLA BALSINGH",464,366,0,830,343,298,0,641,641,0,292,83,253,1,2,1,0,1,1,1,2,1,0,3,641
327,"PRIMARY SCHOOL DOLATPUR",276,215,0,491,189,155,0,344,344,0,260,13,66,0,0,0,1,0,0,0,0,1,1,2,344
328,"PRIMARY SCHOOL BHADARPURA",239,194,0,433,217,151,0,368,368,0,341,22,2,0,0,0,0,0,0,0,1,2,0,0,368
329,"PRIMARY SCHOOL NAGLA JALAL",376,259,0,635,361,224,0,585,585,0,583,1,1,0,0,0,0,0,0,0,0,0,0,0,585
330,"PRIMARY SCHOOL SUNDRA",544,408,0,952,340,223,0,563,563,0,526,7,9,1,3,2,0,0,0,0,0,2,1,12,563
331,"PRIMARY SCHOOL TIRKHI TILOKPUR",358,299,0,657,178,162,0,340,337,0,276,35,23,0,0,0,0,0,0,0,0,0,2,4,340
332,"PRIMARY SCHOOL NAGLA DUDHA",245,189,0,434,119,116,0,235,235,0,200,15,5,0,6,0,0,0,2,0,0,0,1,6,235
333,"JUNIOR HIGH SCHOOL KADAMPUR WEST",553,407,0,960,296,185,0,481,417,0,241,183,32,1,2,1,1,1,10,2,2,0,2,3,481
334,"PRIMARY SCHOOL KADAMPUR",354,284,0,638,276,146,0,422,412,0,339,63,13,1,0,0,1,0,2,0,0,1,0,2,422
335,"PRIMARY SCHOOL KISHANPURA",441,320,0,761,244,152,0,396,377,0,323,43,18,0,1,0,0,0,0,0,3,1,1,6,396
336,"PRIMARY SCHOOL UDAYPUR KALA",472,345,0,817,294,177,0,471,470,0,345,65,53,1,0,0,0,0,2,1,0,1,1,2,471
337,"PRIMARY SCHOOL MURCHA",357,258,0,615,246,165,0,411,400,0,200,45,161,1,1,0,0,0,0,0,0,0,1,2,411
338,"SAHKARI SANGH USRAHAR",314,269,0,583,182,111,0,293,292,0,102,104,63,2,1,3,0,1,9,1,2,1,2,2,293
339,"PRIMARY SCHOOL RAMPUR EAST",346,274,0,620,169,113,0,282,280,0,148,88,33,0,0,0,0,0,4,2,1,1,2,3,282
340,"PRIMARY SCHOOL RAMPUR WEST",666,553,0,1219,417,271,0,688,677,0,341,138,176,2,0,0,0,0,12,2,3,2,3,9,688
341,"PRIMARY SCHOOL BADKANSHAHPUR",609,517,0,1126,402,293,0,695,695,0,379,153,131,0,5,0,0,0,4,2,3,2,5,11,695
342,"HIGHER PRIMARY VIDYALAYA BHARATPUR KHURD",542,440,0,982,302,193,0,495,489,0,214,173,93,0,2,0,1,1,5,1,1,1,1,2,495
343,"JUNIOR HIGH SCHOOL TIPATIYA",244,198,0,442,192,132,0,324,324,0,206,25,85,0,4,0,0,1,2,0,0,0,0,1,324
344,"PT.BABU RAM MISHR ADARSH INTER COLLEGE BAMHNIPUR",535,436,0,971,265,227,0,492,492,0,191,211,62,0,4,0,2,1,4,1,1,2,3,10,492
345,"PRIMARY SCHOOL NAGLA LACHI",523,379,0,902,248,200,0,448,447,0,243,126,59,1,1,0,1,0,8,0,2,4,0,3,448
346,"PRIMARY SCHOOL MOHRI NORTH",743,596,0,1339,444,293,0,737,737,0,456,184,76,1,0,1,0,2,3,2,0,1,2,9,737
