"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASHOK SINGH","2 - RAKESH PANDEY","3 - RAM MURTI VERMA","4 - HARI OM PANDEY","5 - GOPAL NISHAD","6 - JAHAR SINGH KASHYAP","7 - BALMUKUND DHURIYA","8 - BRIJESH KUMAR","9 - RAM BAHAL VERMA","10 - SREERAM","11 - SURENDRA KUMAR","12 - SURESH KUMAR BAUDDH","13 - TIGER RAMNIHOR PATEL","14 - VINOD KUMAR TIWARI","15 - None of the Above","Total Votes Secured"
74,"PS CHAURECHANDAULI NORTH",698,634,0,1332,384,432,0,816,816,0,21,193,139,425,4,1,2,4,1,1,0,5,4,5,11,816
75,"PS CHAURECHANDAULI SOUTH",735,665,0,1400,354,310,0,664,664,0,29,167,130,305,5,1,1,4,0,2,1,2,5,3,9,664
76,"PS RNDAULI PACHCHIMPALI",710,602,0,1312,435,298,0,733,733,0,27,115,145,402,3,1,4,4,1,4,3,8,5,6,5,733
77,"PS MANJHA SONAURA",482,447,0,929,262,284,0,546,501,0,35,110,68,308,0,1,2,5,0,1,1,5,6,1,3,546
78,"PS AHIRANI GOPALPUR",244,214,0,458,119,125,0,244,243,0,4,33,28,158,1,1,0,6,0,2,0,2,4,3,2,244
79,"PS BAITIKALA NORTH",654,534,0,1188,261,288,0,549,549,0,12,94,80,337,1,2,0,3,0,0,2,4,6,2,6,549
80,"PS BAITIKALA EXTRA ROOM",378,317,0,695,155,181,0,336,336,0,12,59,48,196,1,3,0,1,0,0,2,6,2,0,6,336
81,"PS BAITIKALA SOUTH",334,247,0,581,138,127,0,265,265,0,29,57,39,127,1,0,0,4,1,0,1,2,1,0,3,265
82,"PS BAITIKALA WEST",657,529,0,1186,329,330,0,659,640,0,33,133,80,384,3,1,0,6,0,1,1,9,4,4,0,659
83,"JHS SARSAVAN",350,279,0,629,188,173,0,361,361,0,13,102,39,189,3,2,0,2,0,0,0,2,3,2,4,361
84,"PS NUNAPURAB",610,532,0,1142,323,319,0,642,641,0,43,76,131,371,3,2,1,2,0,0,0,5,6,0,2,642
85,"PS RAUHARI NORTH",568,500,0,1068,350,309,0,659,654,0,33,186,155,257,1,2,1,1,0,2,3,8,2,3,5,659
86,"PS RAUHARI SOUTH",386,307,0,693,214,209,0,423,15,0,27,69,78,236,2,0,1,2,2,0,0,1,3,0,2,423
87,"PS SINHORIA",412,344,0,756,243,225,0,468,468,0,11,80,67,290,1,0,0,2,0,1,1,7,4,2,2,468
88,"PS GOTHAURA",351,300,0,651,186,184,0,370,370,0,8,66,41,226,4,1,0,0,0,0,2,6,4,6,6,370
89,"PS PALIPURAB",654,557,0,1211,400,300,0,700,250,0,24,180,256,203,4,1,0,3,1,4,1,4,6,6,7,700
90,"NAYANRAJI UMV HATHIGO ROOM NO. 1",770,691,0,1461,423,442,0,865,800,0,41,292,222,277,3,0,1,2,1,1,4,10,5,3,3,865
91,"NAYANRAJI UMV HATHIGO ROOM NO. 2",520,460,0,980,267,256,0,523,520,0,8,81,81,339,1,3,1,0,0,0,0,5,3,0,1,523
92,"NAYANRAJI UMV HATHIGO ROOM NO. 3",366,352,0,718,195,174,0,369,339,0,4,71,34,237,4,0,0,1,0,0,1,7,5,1,4,369
93,"AVDHESH LMV JAJWARA ROOM NO. 1",462,387,0,849,265,252,0,517,517,0,10,161,64,262,4,1,1,1,0,1,1,4,1,2,4,517
94,"AVDHESH LMV JAJWARA ROOM NO. 3",394,379,0,773,237,223,0,460,110,0,9,76,148,193,4,1,1,3,2,2,3,3,4,4,7,460
95,"PS BAISUPALI",584,501,0,1085,295,312,0,607,560,0,38,166,58,314,3,1,0,2,1,2,0,10,2,2,8,607
96,"PS PARAHATHIGO",643,545,0,1188,323,296,0,619,606,0,34,166,65,323,4,2,2,0,2,0,0,10,3,3,5,619
97,"PS ARSATH",198,163,0,361,129,111,0,240,204,0,4,110,26,100,0,0,0,0,0,0,0,0,0,0,0,240
98,"SHRI BHAGWAN BVM SAVARDHEER",443,411,0,854,243,254,0,497,497,0,10,123,107,233,1,0,1,4,0,0,1,2,4,6,5,497
99,"PS ARIYASI",178,163,0,341,111,93,0,204,204,0,5,92,4,94,1,0,0,0,0,0,0,3,2,1,2,204
100,"PS RAMPUR PRATAP ROOM NO. 1",509,452,0,961,256,268,0,524,194,0,19,246,87,150,4,0,0,1,0,2,2,4,2,7,0,524
101,"PS RAMPUR PRATAP ROOM NO. 2",354,300,0,654,197,180,0,377,308,0,15,125,58,159,1,0,2,0,1,5,1,1,2,3,4,377
102,"PS GARAULI",589,502,0,1091,288,373,0,661,661,0,20,156,201,249,5,2,3,0,1,1,1,2,11,3,6,661
103,"PS PANCHGAWAN",482,442,0,924,298,300,0,598,590,0,16,161,199,203,1,2,0,2,0,0,1,7,3,1,2,598
104,"PANCHAYAT BHAWAN DHAMHAR",750,643,0,1393,381,344,0,725,725,0,28,113,171,379,7,1,1,1,1,3,3,3,3,3,8,725
105,"JHS PURABPATTI",784,657,0,1441,368,331,0,699,374,0,28,63,116,458,5,4,1,5,1,2,0,4,5,2,5,699
106,"PS GAUHANIKHURD EAST",504,446,0,950,312,282,0,594,594,0,5,124,170,271,3,1,2,2,0,0,2,9,2,1,2,594
107,"PS GAUHANIKHURD WEST",492,419,0,911,267,251,0,518,30,0,13,114,178,200,0,0,1,3,0,0,0,3,2,3,1,518
108,"JHS RAMWAKALA",219,188,0,407,138,136,0,274,274,0,62,33,16,146,4,1,0,3,0,2,0,1,4,1,1,274
