"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
132,"P.P BANSPAR",514,427,0,941,281,240,0,521,1,0,320,118,48,7,0,0,1,0,2,6,4,2,13,521
133,"P.P KARHAL",480,388,0,868,226,225,0,451,2,0,246,98,62,13,0,3,1,11,1,3,1,2,10,451
134,"P.BHAVAN KARHAL",641,563,0,1204,264,339,0,603,5,0,207,128,213,15,1,0,1,10,1,9,3,4,11,603
135,"P.P BADULI BABU PU.",566,482,0,1048,205,256,0,461,116,0,262,94,44,33,1,2,1,4,1,5,0,1,13,461
136,"P.P BADULI BABU UTTAR",323,268,0,591,125,145,0,270,269,0,147,32,47,42,0,0,0,0,0,0,1,0,1,270
137,"P.P DEVDAD BABU",441,331,0,772,211,186,0,397,50,0,214,46,72,40,2,0,3,4,5,2,2,2,5,397
138,"P.P BADULI BABU",730,595,0,1325,321,335,0,656,159,0,212,119,275,18,2,2,2,2,1,4,6,2,11,656
139,"P.P HATVAR P.",225,186,0,411,112,102,0,214,5,0,85,1,106,8,0,0,3,0,2,2,0,1,6,214
140,"P.P HATVAR D.",447,309,0,756,170,154,0,324,34,0,189,21,87,18,0,0,0,1,1,5,0,0,2,324
141,"P.P KALAYANPUR",305,241,0,546,154,144,0,298,50,0,49,126,38,12,0,0,1,5,60,3,0,3,1,298
142,"P.P KUCHAITA",203,157,0,360,118,94,0,212,7,0,101,73,22,10,0,0,2,1,0,1,0,0,2,212
143,"K.P.P BHUSVAL BUJURG PU.",517,375,0,892,192,234,0,426,1,0,166,20,203,21,0,0,1,0,5,3,2,1,4,426
144,"K.P.P BHASVAL BUJURG P.",613,503,0,1116,267,278,0,545,435,0,303,25,184,12,0,0,1,1,3,3,5,2,6,545
145,"S.V.K BHASVAL BUJURG",548,407,0,955,269,228,0,497,1,0,308,100,70,5,2,0,2,1,2,3,0,0,4,497
146,"S.V.K BHASVAL BUJURG",706,536,0,1242,270,254,0,524,119,0,139,124,212,14,1,1,1,0,9,8,1,1,13,524
147,"P.P DADI RAWAT",463,370,0,833,228,238,0,466,1,0,209,81,82,37,5,1,1,4,14,8,8,1,15,466
148,"P.P SARSOPAR",555,496,0,1051,287,283,0,570,10,0,433,27,61,19,0,1,2,8,3,6,1,5,4,570
149,"P.PSARSOPAR R.N 1",209,153,0,362,81,77,0,158,5,0,87,10,42,9,0,0,1,1,3,1,0,2,2,158
150,"P.P SARSOPAR R.N 2",574,479,0,1053,274,290,0,564,10,0,140,58,300,39,0,1,1,0,14,3,1,2,5,564
151,"P.P DADI RAWAT",223,163,0,386,107,107,0,214,1,0,74,74,29,16,2,0,0,1,7,2,1,4,4,214
152,"P.P DEVDAD KHURD",584,465,0,1049,249,226,0,475,160,0,268,19,149,22,0,0,1,2,3,3,2,0,6,475
153,"P.B.V CHADI",444,332,0,776,236,195,0,431,10,0,303,85,1,17,0,0,0,6,1,3,2,2,11,431
154,"P.P GOCHARAN",499,353,0,852,218,190,0,408,387,0,180,110,81,21,1,0,2,1,0,3,0,1,8,408
155,"P.P GARUA URF PARSUNA",198,144,0,342,90,103,0,193,188,0,15,8,155,9,0,0,1,0,1,0,2,0,2,193
156,"J.H.S BADAVAN",379,316,0,695,196,135,0,331,331,0,109,83,98,24,1,1,3,1,2,1,2,3,3,331
157,"P. P. BADAVAN",763,607,0,1370,405,326,0,731,1,0,263,103,286,53,0,0,2,4,6,2,3,1,8,731
158,"P.P SAITALL",457,327,0,784,205,155,0,360,1,0,132,39,172,12,0,0,0,0,0,3,1,0,1,360
159,"P.P SAITALL",245,184,0,429,102,121,0,223,5,0,22,8,176,3,1,0,4,0,0,0,6,0,3,223
