"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. AKHILESH KUMAR DWIVEDI","2 - RAKESH DHAR TRIPATHI","3 - VIRENDRA SINGH","4 - SARTAJ IMAM","5 - SEEMA MISHRA","6 - AJAY KUMAR MAURYA","7 - TEJ BAHADUR YADAV ADVOCATE","8 - RAJESH KUMAR ALIAS KHANNA MAURYA","9 - RAM SAGAR BIND","10 - CHANDRASHEKHAR","11 - JAGJEEVAN RAM","12 - JEEVAN KUMAR MALLAH","13 - RAM SAKHA TRIPATHI","14 - SANTRAJ SINGH","15 - None of the Above","Total Votes Secured"
342,"JI.PA.HA.SE. SCHOOL  GOPIGABJ R.NO.-1",686,547,0,1233,415,307,0,722,103,0,1,43,232,28,392,2,11,0,1,1,0,0,1,3,7,722
343,"JI.PA.HA.SE. SCHOOL  GOPIGABJ R.NO.-2",375,248,0,623,203,121,0,324,160,0,0,12,200,8,102,0,1,0,0,0,0,0,1,0,0,324
344,"PRA.VIDY. KATHAUTA",508,501,1,1010,373,298,0,671,285,0,7,170,326,23,130,0,0,0,1,1,1,3,3,2,4,671
345,"PRA.VIDY. GERAI R.NO.-1",750,509,0,1259,388,249,0,637,23,0,1,96,260,32,233,0,4,0,0,1,0,4,1,0,5,637
346,"PRA.VIDY. GERAI R.NO.-2",721,510,0,1231,358,297,0,655,107,0,7,65,444,9,111,3,1,4,2,1,0,2,1,1,4,655
347,"PRA.VIDY. KALIDEVI MAHAL GOPIGANJ R.N0.-1",435,338,0,773,220,165,0,385,50,0,2,6,224,18,129,1,1,0,0,2,0,0,2,0,0,385
348,"PRA.VIDY. KALIDEVI MAHAL GOPIGANJ R.N0.-6",513,403,0,916,273,202,0,475,450,0,1,6,359,7,91,1,5,0,1,1,0,0,1,0,2,475
349,"PRA.VIDY. KALIDEVI MAHAL GOPIGANJ R.N0.-2",383,285,0,668,195,150,0,345,253,0,0,21,125,16,171,3,1,0,0,0,0,2,2,1,3,345
350,"PRA.VIDY. KALIDEVI MAHAL GOPIGANJ R.N0.-3",518,446,0,964,386,245,0,631,521,0,1,10,544,7,65,0,1,1,0,0,0,0,0,0,2,631
351,"PRA.VIDY. KALIDEVI MAHAL GOPIGANJ R.N0.-4",660,534,0,1194,493,313,0,806,315,0,2,69,619,4,95,1,1,1,0,1,2,2,0,2,7,806
352,"PRA.VIDY. KALIDEVI MAHAL GOPIGANJ R.N0.-5",565,501,0,1066,399,318,0,717,470,0,0,8,584,6,108,2,1,0,2,0,0,0,4,0,2,717
353,"PRA.VIDY. PURE JHAMMAN R.NO.-1",682,551,0,1233,458,239,0,697,405,0,5,90,261,14,286,3,28,1,2,0,1,1,3,2,0,697
354,"PRA.VIDY. PURE JHAMMAN R.NO.-2",169,139,0,308,101,78,0,179,149,0,3,17,125,5,18,1,2,3,0,1,0,0,0,2,2,179
355,"PRA.VIDY. RAMPURGHAT",743,603,0,1346,457,324,0,781,70,0,6,182,466,7,103,0,8,0,0,0,1,3,0,2,3,781
356,"PU.MA.VIDY. AMILAUR",556,424,0,980,336,245,0,581,75,0,8,95,336,7,78,4,23,3,2,2,2,3,4,3,11,581
