"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UPENDRA SINGH","2 - NARAYAN SINGH SUMAN","3 - MAHARAJ SINGH DHANGAR","4 - DR. RAM SHANKAR KATHERIA","5 - ANIL","6 - ANITA","7 - CHANDRA PAL","8 - PREM SINGH","9 - RAMESH","10 - RAVINDRA SINGH","11 - AMAR SINGH","12 - ASHOK KUMAR","13 - OM PRAKASH","14 - DINESH KUMAR GAUTAM","15 - VINOD KUMAR SINGH","16 - None of the Above","Total Votes Secured"
100,P.P.JAINPURA,527,461,0,988,339,269,0,608,1,0,3,224,88,284,1,0,0,0,0,0,4,0,2,1,1,0,608
101,P.P.RAMPURA,283,231,0,514,139,133,0,272,201,0,1,8,9,238,3,0,0,1,0,3,1,0,5,1,0,2,272
102,P.P.FAREEDPUR,637,552,0,1189,403,300,0,703,40,0,8,236,74,375,3,1,0,1,1,1,0,0,1,1,0,1,703
103,"P.P.PASIYAPUR BEGAMPUR",445,371,0,816,378,251,0,629,26,0,1,622,3,2,0,0,0,0,0,0,0,0,0,0,0,1,629
104,P.P.AGARPUR,216,198,0,414,195,119,0,314,8,0,2,15,192,99,1,0,0,0,0,0,1,0,1,0,1,2,314
105,P.P.DEVKARANPUR,380,337,0,717,243,210,0,453,453,0,0,9,387,47,0,1,0,0,2,0,1,2,0,2,0,2,453
106,"P.P.KHEDA GUARAU",397,342,0,739,223,173,0,396,17,0,4,38,230,112,1,1,0,1,0,3,1,0,0,1,0,4,396
107,"P.P,.CHIRGAWAN",629,503,0,1132,328,248,0,576,12,0,11,142,68,337,1,0,0,1,0,1,0,1,4,2,4,4,576
108,P.P.FAZILPUR,474,438,0,912,282,219,0,501,177,0,10,0,207,261,7,6,0,0,0,2,1,3,1,0,0,3,501
109,P.P.ANNIYA,799,667,0,1466,546,368,0,914,252,0,3,366,9,518,4,0,1,0,1,0,0,5,4,0,1,2,914
110,P.P.SIMRAU,547,466,0,1013,307,209,0,516,300,0,13,162,125,199,4,2,0,2,0,0,0,1,1,2,2,3,516
111,"P.P.NAGLA KYAR",438,416,0,854,337,221,0,558,3,0,2,9,383,156,1,0,1,0,0,0,1,0,2,1,0,2,558
112,P.P.KHANPUR,397,313,0,710,265,137,0,402,51,0,4,97,226,69,0,0,0,0,0,0,1,0,0,5,0,0,402
113,"P.P.SAMASPUR R.N.1",623,522,0,1145,447,364,0,811,79,0,13,505,235,55,1,0,0,1,0,0,0,0,0,0,0,1,811
114,"P.P.SAMASPUR R.N.2",664,549,0,1213,440,292,0,732,28,0,1,60,204,461,3,0,0,0,0,1,0,0,1,1,0,0,732
115,P.P.SIRGAWAN,245,209,0,454,165,125,0,290,20,0,7,104,28,145,2,0,0,0,0,0,0,0,0,1,3,0,290
116,P.P.PAWRA,527,413,0,940,310,252,0,562,102,0,4,193,38,310,1,1,0,0,0,0,2,2,5,3,1,2,562
117,"J.H.S.MISAULI R.N.1",385,314,0,699,173,139,0,312,4,0,7,90,30,180,0,0,1,0,0,1,2,0,0,0,0,1,312
118,"J.H.S.MISAULI R.N. 2",470,393,0,863,253,148,0,401,11,0,16,112,143,118,0,0,1,1,1,1,0,1,2,5,0,0,401
119,"P.P.MAHANMAI UTTAR",653,552,0,1205,390,294,0,684,323,0,2,86,50,514,5,2,1,1,1,1,4,1,5,7,1,3,684
120,"P.P.MAHANMAI SOUTH",715,632,0,1347,384,355,0,739,30,0,8,52,387,263,4,0,1,0,0,0,3,1,3,6,6,5,739
121,"P.P.NAGWAI R.N.1",476,378,0,854,292,170,0,462,462,0,4,3,432,21,0,0,0,0,0,1,0,1,0,0,0,0,462
122,"P.P.NAGWAI R.N.2",358,311,0,669,202,128,0,330,8,0,0,0,306,23,1,0,0,0,0,0,0,0,0,0,0,0,330
