"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. AKHILESH KUMAR DWIVEDI","2 - RAKESH DHAR TRIPATHI","3 - VIRENDRA SINGH","4 - SARTAJ IMAM","5 - SEEMA MISHRA","6 - AJAY KUMAR MAURYA","7 - TEJ BAHADUR YADAV ADVOCATE","8 - RAJESH KUMAR ALIAS KHANNA MAURYA","9 - RAM SAGAR BIND","10 - CHANDRASHEKHAR","11 - JAGJEEVAN RAM","12 - JEEVAN KUMAR MALLAH","13 - RAM SAKHA TRIPATHI","14 - SANTRAJ SINGH","15 - None of the Above","Total Votes Secured"
174,"J.H.S.UGAPUR R.NO.1",814,675,0,1489,453,373,0,826,607,0,7,183,521,20,70,0,13,1,1,2,3,1,0,1,3,826
175,"J.H.S.UGAPUR R.NO.2",571,459,0,1030,283,353,0,636,460,0,8,168,271,13,129,5,11,2,1,2,0,4,1,10,11,636
176,"J.H.S.UGAPUR R.NO.3",224,192,0,416,156,129,0,285,3,0,1,28,41,2,91,3,106,1,2,1,3,5,0,1,0,285
177,"P.S.KURAUNA R.NO.1",895,639,0,1534,569,363,0,932,894,0,4,157,284,7,440,5,22,1,0,2,1,3,2,0,4,932
178,"P.S.KURAUNA R.NO.2",410,357,0,767,272,217,0,489,485,0,6,262,151,5,58,0,0,0,0,0,1,1,2,2,1,489
179,"P.S.HARINARAYANPUR R.NO.1",392,322,0,714,202,182,0,384,35,0,2,123,153,3,74,3,19,1,1,0,1,1,1,1,1,384
180,"P.S.HARINARAYANPUR R.NO.2",573,424,0,997,341,232,0,573,5,0,4,286,181,3,82,4,0,0,3,1,1,2,1,3,2,573
181,P.S.CHINTAMANIPUR,534,447,0,981,376,289,0,665,35,0,8,215,245,7,168,2,7,0,1,2,0,2,2,2,4,665
182,P.S.GARAULI,600,462,0,1062,381,293,0,674,137,0,5,109,401,19,128,2,1,1,1,0,0,2,1,1,3,674
183,J.H.S.CHAKBIRA,630,539,0,1169,364,318,0,682,29,0,4,188,259,16,188,2,4,2,0,1,0,5,3,6,4,682
184,"P.S.MOHAMMADPUR R.NO.1",643,511,0,1154,337,271,0,608,75,0,10,201,219,13,150,1,10,1,1,0,0,0,2,0,0,608
185,"P.S.MOHAMMADPUR R.NO.2",443,340,0,783,212,171,0,383,192,0,2,136,95,3,62,0,65,6,1,3,0,4,0,3,3,383
186,"P.S.MOHAMMADPUR R.NO.3",834,690,0,1524,435,321,0,756,223,0,4,318,193,74,146,1,2,3,1,0,1,1,0,3,9,756
187,"K.J.H.S.CHAKJUDAWAN R.NO.1",597,460,0,1057,280,245,0,525,259,0,6,104,183,59,108,1,42,2,0,4,3,5,3,2,3,525
188,"K.J.H.S.CHAKJUDAWAN R.NO.2",335,315,0,650,209,175,0,384,323,0,1,110,84,6,68,5,96,2,5,2,0,1,1,1,2,384
189,"P.S.PIPARGANV SITUATED VILL.CHAKMASUD",414,329,0,743,238,194,0,432,72,0,8,299,25,29,65,0,2,2,0,0,0,1,0,0,1,432
190,"P.S.MAHATHUA R.NO.1",633,519,0,1152,348,273,0,621,11,0,9,135,186,11,218,4,37,5,1,4,1,2,0,4,4,621
191,"P.S.MAHATHUA R.NO.2",624,425,0,1049,444,264,0,708,11,0,5,147,122,39,379,1,4,2,1,0,2,1,0,3,2,708
192,P.S.GHARAUDHA,655,546,0,1201,327,295,0,622,370,0,12,332,41,5,110,8,81,1,1,5,5,4,2,5,10,622
193,"P.S.PIPARGANV SECOND R.NO.1",470,395,0,865,228,205,0,433,12,0,4,169,83,3,48,3,87,3,2,8,4,1,1,4,13,433
194,"P.S.PIPARGANV SECOND R.NO.3",494,387,0,881,224,179,0,403,25,0,2,52,214,7,85,2,16,2,1,2,1,1,4,2,12,403
195,"P.S.PIPARGANV SECOND R.NO.2",516,433,0,949,254,211,0,465,70,0,4,59,52,4,48,2,227,4,6,15,5,4,3,5,27,465
196,"P.S.ALUWA R.NO.1",551,471,0,1022,340,250,0,590,194,0,6,90,213,6,67,0,177,1,4,4,4,3,4,7,4,590
197,"P.S.ALUWA R.NO.2",315,270,0,585,168,129,0,297,113,0,1,161,73,3,27,1,17,1,1,1,0,0,0,2,9,297
198,"P.S.ACHHWAR R.NO.1",423,387,0,810,261,229,0,490,2,0,5,209,159,6,82,2,9,1,1,2,0,2,2,5,5,490
199,"P.S.ACHHWAR R.NO.2",428,347,0,775,215,197,0,412,262,0,2,89,199,1,103,1,4,0,0,0,1,1,1,3,7,412
200,"P.S.ACHHWAR R.NO.3",515,447,0,962,290,281,0,571,72,0,5,163,237,12,132,2,0,1,3,2,0,3,3,4,4,571
201,"P.S.MAVAIYAHARDOPATTI R.NO.1",839,639,0,1478,409,305,0,714,88,0,5,265,251,7,141,2,12,0,2,0,0,5,4,4,16,714
202,"P.S.MAVAIYAHARDOPATTI R.NO.2",468,389,0,857,290,242,0,532,531,0,2,72,277,5,110,8,36,2,0,2,3,3,5,0,7,532
203,"P.S.MAVAIYAHARDOPATTI R.NO.3",454,394,0,848,244,209,0,453,5,0,1,97,161,4,84,17,74,1,3,2,0,3,3,0,3,453
204,"K.P.S.BAIRAKHAS R.NO.1",414,362,0,776,263,243,0,506,59,0,9,225,145,8,54,0,47,0,0,2,1,3,1,6,5,506
205,"P.S.BAIRAKHAS R.NO.1",413,338,0,751,277,184,0,461,12,0,4,71,253,8,64,2,47,2,2,3,2,0,2,0,1,461
206,"K.P.S.BAIRAKHAS R.NO.2",257,210,0,467,122,119,0,241,4,0,1,49,108,2,38,2,34,0,0,0,2,0,4,0,1,241
207,J.H.S.SANVAIYA,265,222,0,487,143,136,0,279,1,0,1,8,108,3,79,3,63,3,1,3,2,1,0,0,4,279
208,"U.M.S.SAMHAIBHATANI R.NO.1",752,656,0,1408,375,362,0,737,56,0,14,170,432,6,50,3,28,1,6,4,1,6,5,7,4,737
209,"U.M.S.SAMHAIBHATANI R.NO.2",454,363,0,817,156,149,0,305,102,0,2,198,14,8,75,1,0,0,1,0,1,0,2,0,3,305
210,"P.S.KATEBANA R.NO.1",420,357,0,777,261,215,0,476,13,0,4,77,283,7,50,4,34,2,0,2,1,2,3,2,5,476
211,"P.S.KATEBANA R.NO.2",466,396,0,862,262,259,0,521,10,0,9,247,198,6,27,5,10,0,2,3,0,1,3,5,5,521
212,"P.S.KHEMAIPUR R.NO.1",716,620,0,1336,426,324,0,750,5,0,5,141,347,17,199,5,16,0,1,1,0,3,3,4,8,750
213,"P.S.KHEMAIPUR R.NO.2",777,628,0,1405,386,339,0,725,24,0,10,323,198,22,104,2,46,1,1,3,2,2,1,4,6,725
214,"P.S.UDHAWAMAFI R.NO.1",780,562,0,1342,442,318,0,760,540,0,12,200,347,26,109,3,42,1,0,2,1,3,3,4,7,760
215,"P.S.UDHAWAMAFI R.NO.2",255,177,0,432,139,98,0,237,58,0,0,1,166,4,41,1,18,0,1,0,1,0,0,3,1,237
216,"S.S.SAMITI JHINGURPUR",764,584,0,1348,409,365,0,774,10,0,11,195,303,12,227,5,3,2,3,0,1,3,3,2,4,774
217,"P.S.MALLUPUR R.NO.1",771,606,0,1377,382,269,0,651,5,0,4,300,158,7,151,8,13,0,1,2,1,0,0,2,4,651
218,"P.S.MALLUPUR R.NO.2",184,167,0,351,119,101,0,220,63,0,1,154,21,1,38,1,2,0,0,0,0,0,0,0,2,220
219,"P.S.MARCHWAR R.NO.1",379,344,0,723,175,139,0,314,7,0,3,45,45,2,159,2,46,3,0,0,0,1,0,1,7,314
220,"P.S.MARCHWAR R.NO.2",756,666,4,1426,468,436,0,904,74,0,16,478,171,7,212,3,5,0,1,1,0,3,2,2,3,904
221,P.S.JANGALA,660,498,0,1158,344,216,0,560,160,0,8,65,99,8,158,6,179,7,0,9,7,2,2,6,4,560
222,J.H.S.RAJAIPUR,407,324,0,731,251,178,0,429,51,0,3,1,46,4,161,4,185,6,2,4,2,0,3,1,7,429
223,"P.S.SAYAR R.NO.1",502,419,0,921,271,283,0,554,3,0,9,177,209,7,100,3,42,0,1,2,0,3,0,1,0,554
224,"P.S.SAYAR R.NO.2",549,443,0,992,312,281,0,593,38,0,6,316,152,9,63,1,25,2,1,1,0,0,5,3,9,593
225,"J.H.S.BADI R.NO.1",304,241,0,545,136,97,0,233,133,0,1,25,77,4,91,1,28,0,0,1,1,1,0,1,2,233
226,"J.H.S.BADI R.NO.2",854,592,0,1446,480,325,0,805,26,0,6,89,288,56,254,3,77,7,7,7,4,3,1,1,2,805
227,"J.H.S.BADI R.NO.3",631,470,0,1101,371,266,0,637,22,0,5,130,174,17,252,2,31,1,3,1,1,6,0,3,11,637
228,"P.S.PUREMUDIA R.NO.1",534,454,0,988,265,215,0,480,2,0,2,13,317,6,96,3,25,1,1,4,1,1,3,3,4,480
229,"P.S.PUREMUDIA R.NO.3",381,312,0,693,257,217,0,474,474,0,4,45,301,5,83,3,11,1,2,3,0,3,7,2,4,474
230,"P.S.PUREMUDIA R.NO.2",446,337,0,783,247,212,0,459,204,0,6,145,219,6,65,2,1,0,0,0,2,1,3,3,6,459
231,P.S.MISIRPUR,314,263,0,577,162,149,0,311,12,0,6,99,120,7,26,0,36,2,2,3,2,1,3,2,2,311
232,P.S.ISMAILA,351,288,0,639,218,170,0,388,387,0,3,43,187,8,129,1,0,0,1,2,0,2,1,6,5,388
233,"K.P.S.UCHETHA R.NO.1",805,637,0,1442,422,363,0,785,168,0,17,191,291,4,73,2,173,2,0,3,7,4,6,2,10,785
234,"K.P.S.UCHETHA R.NO.2",127,100,0,227,73,45,0,118,52,0,0,8,17,3,45,3,32,0,0,4,1,0,2,1,2,118
235,"P.S.KHETALPUR R.NO.1",454,373,0,827,213,236,0,449,16,0,5,127,161,8,136,0,1,0,3,1,0,2,1,2,2,449
236,"P.S.KHETALPUR R.NO.2",467,321,0,788,194,169,0,363,11,0,4,10,157,5,153,1,12,2,1,1,0,4,5,3,5,363
237,"A.B.CENTRE BIJALA",203,155,0,358,89,95,0,184,62,0,0,1,71,3,85,4,14,0,0,1,1,0,1,1,2,184
238,"P.S.BEJAWA R.NO.1",738,610,0,1348,353,361,0,714,12,0,20,328,125,34,180,4,3,3,1,2,1,0,3,4,6,714
239,"P.S.BEJAWA R.NO.2",326,244,0,570,212,143,0,355,13,0,1,33,118,24,102,0,69,1,1,4,1,0,0,1,0,355
240,"A.B.CENTRE SARAULI",477,371,1,849,305,271,0,576,576,0,5,141,163,3,88,2,150,3,1,7,2,3,2,3,3,576
241,P.S.SAMDHAKHAS,562,503,0,1065,311,338,0,649,8,0,9,190,153,7,70,12,154,6,3,15,8,4,3,7,8,649
242,P.S.BHAISAHATA,524,444,0,968,315,275,0,590,271,0,2,38,357,14,142,3,18,0,4,1,1,3,2,1,4,590
243,P.S.PURENOHARI,262,205,0,467,138,168,0,306,96,0,4,214,53,1,25,1,7,0,1,0,0,0,0,0,0,306
244,"PANCHAYAT BHAWAN PURERISALSINGH",364,306,1,671,238,245,0,483,31,0,6,310,85,3,32,2,25,0,5,0,0,3,2,5,5,483
245,P.S.DAVANPUR,538,465,0,1003,317,338,0,655,23,0,3,106,122,7,314,9,63,3,2,8,1,4,2,5,6,655
246,"J.H.S.LOKMANPUR SITUATED VILL, DUDHAAV",483,389,0,872,264,225,0,489,60,0,4,80,261,9,112,0,12,0,2,0,2,0,1,1,5,489
247,P.S.BHARATPUR,631,613,0,1244,369,409,0,778,582,0,6,303,118,11,256,3,42,3,1,3,3,4,6,5,14,778
248,"A.B.CENTRE LOKMANPUR",307,260,0,567,197,196,0,393,25,0,4,28,198,6,14,11,109,3,1,4,3,1,3,1,7,393
249,"S.S.SAMITI BHARATPUR SITUATED VILL.PUREUCHIT",293,235,0,528,141,117,0,258,258,0,1,10,52,6,94,2,78,3,0,6,0,2,0,2,2,258
250,J.H.S.DATTIPUR,639,495,0,1134,317,272,0,589,113,0,3,53,86,3,303,6,110,4,2,2,6,2,1,3,5,589
251,"PANCHAYAT BHAWAN TARAPUR",677,556,0,1233,327,341,0,668,393,0,7,275,73,7,122,4,148,6,3,6,0,0,3,5,9,668
252,P.S.BHAGAUTIDASPUR,579,438,0,1017,285,262,0,547,477,0,7,143,138,2,92,5,125,3,1,6,1,5,3,6,10,547
253,P.S.GIRIYA,339,286,0,625,190,170,0,360,315,0,2,53,106,6,117,0,57,1,3,4,1,0,1,5,4,360
254,P.S.BISAPUR,640,499,0,1139,307,282,0,589,563,0,3,75,371,24,108,0,3,2,2,0,0,1,0,0,0,589
255,P.S.BADHAUNA,808,650,0,1458,387,372,0,759,87,0,11,185,311,18,198,4,6,0,2,0,4,0,7,7,6,759
256,P.S.JOGIPUR,430,356,1,787,294,252,0,546,141,0,1,108,308,5,58,3,54,2,3,1,1,1,0,0,1,546
257,P.S.DOMANPUR,925,685,0,1610,410,360,0,770,70,0,8,384,239,34,75,1,4,1,2,1,1,5,7,4,4,770
258,P.S.BHUAJAG,523,456,0,979,317,303,0,620,357,0,12,225,180,5,129,2,48,1,2,2,1,4,3,3,3,620
259,"P.S.BHAGWANPUR KANEHARI",626,461,0,1087,320,259,0,579,2,0,4,212,149,4,175,0,13,2,2,1,3,2,2,2,8,579
260,"P.S.BHALA R.NO.1",627,544,0,1171,366,345,0,711,12,0,5,59,310,5,306,4,7,5,4,2,1,0,0,2,1,711
261,"P.S.BHALA R.NO.2",218,174,0,392,88,72,0,160,82,0,0,18,88,6,31,1,3,2,1,3,0,1,0,2,4,160
262,"P.S. BIGAHI",285,203,1,489,134,135,0,269,250,0,0,18,217,3,20,1,1,0,0,0,0,1,3,2,3,269
263,P.S.GODAPAR,246,228,0,474,112,146,0,258,50,0,7,83,92,5,65,0,1,0,0,0,0,1,1,2,1,258
264,U.M.S.BAHUTARAKHURD,837,642,0,1479,488,403,0,891,866,0,3,234,415,18,159,3,14,2,7,2,2,5,2,10,15,891
265,P.S.MAMAHAR,556,392,0,948,386,247,0,633,527,0,3,238,100,23,221,2,24,0,4,1,3,1,1,7,5,633
266,"P.S.SARVATKHANI R.NO.1",800,642,0,1442,367,382,0,749,53,0,7,242,328,11,105,23,13,1,8,1,1,2,1,3,3,749
267,"P.S.SARVATKHANI R.NO.2",667,532,0,1199,335,297,0,632,154,0,8,71,418,17,50,14,8,1,6,1,4,3,10,11,10,632
268,"P.S.DALAPUR URF BHAKTAN",490,378,0,868,380,295,0,675,663,0,3,60,284,6,315,2,1,0,1,0,0,0,1,0,2,675
269,"P.S.RAMAIPUR R.NO.1",813,658,0,1471,417,425,0,842,142,0,12,271,354,17,143,4,7,0,4,3,2,6,1,8,10,842
270,"P.S.RAMAIPUR R.NO.2",497,387,0,884,252,251,0,503,4,0,2,35,315,6,117,1,0,1,1,1,1,2,9,8,4,503
271,P.S.CHETANIPUR,334,285,0,619,190,182,0,372,124,0,3,191,35,3,133,2,0,1,0,0,0,0,0,2,2,372
272,"SANKUL VID. BARWA",445,394,0,839,249,250,0,499,169,0,5,41,197,9,230,3,1,0,0,0,0,1,0,1,11,499
273,"SANKUL VID. BARWA",409,318,0,727,195,185,0,380,379,0,5,156,76,7,127,0,1,0,0,0,0,2,1,3,2,380
274,J.H.S.BARWA,750,552,0,1302,360,290,0,650,15,0,0,52,212,24,340,3,3,1,2,0,2,3,3,0,5,650
275,P.S.RAJPUTAN,190,170,0,360,84,117,0,201,1,0,4,61,71,5,55,0,1,0,0,0,0,1,1,1,1,201
276,"P.S.DURASI R.NO.1",725,547,0,1272,344,235,0,579,15,0,4,53,246,56,210,0,3,0,1,0,1,2,2,0,1,579
277,"P.S.DURASI R.NO.2",578,431,0,1009,351,264,0,615,591,0,5,151,86,6,259,77,7,2,4,5,1,2,3,0,7,615
278,"P.S.GOHILAANV R.NO.1",454,340,0,794,243,206,0,449,220,0,6,159,151,9,99,2,1,1,0,2,0,1,1,6,11,449
279,"P.S.GOHILAANV R.NO.2",554,425,0,979,324,280,0,604,50,0,9,214,55,3,298,5,2,0,2,2,1,0,1,2,10,604
280,J.H.S.SAUPUR,176,158,0,334,107,110,0,217,38,0,0,4,87,5,112,2,2,0,0,0,2,0,1,1,1,217
281,"P.S.DHANWATIYA R.NO.1",718,577,0,1295,352,323,0,675,66,0,3,119,223,6,294,1,15,0,0,2,0,1,2,2,7,675
282,"K.K.H.M.S.GOHILAANV SITUATED VILL.RAJAIPUR",756,612,0,1368,492,449,0,941,20,0,10,65,406,9,430,3,4,2,0,1,1,3,2,3,2,941
283,P.S.VIKRAMAPUR,266,209,0,475,141,137,0,278,231,0,2,173,44,5,43,0,1,0,0,0,0,0,0,6,4,278
284,"P.S.JHAUWA R.NO.1",533,444,0,977,313,287,0,600,218,0,4,105,281,15,177,1,5,1,1,1,1,4,2,2,0,600
285,"P.S.JHAUWA R.NO.2",538,400,0,938,263,225,0,488,240,0,4,23,309,6,121,1,0,0,1,1,1,1,17,2,1,488
286,"P.S.JHAUWA R.NO.3",534,422,0,956,288,223,0,511,311,0,4,133,198,6,138,6,7,1,2,3,1,1,6,0,5,511
287,P.S.PILKHINI,827,661,0,1488,423,402,0,825,4,0,10,381,250,25,132,2,6,1,1,3,0,2,0,6,6,825
288,"J.H.S.GIRDBADAGANV R.NO.1",775,642,0,1417,404,363,0,767,100,0,8,191,420,17,82,20,21,1,1,0,1,1,3,0,1,767
289,"J.H.S.GIRDBADAGANV R.NO.2",717,523,0,1240,340,229,0,569,140,0,6,63,129,61,285,5,12,1,2,1,1,1,1,0,1,569
290,"J.H.S.GIRDBADAGANV R.NO.3",628,517,0,1145,355,350,0,705,2,0,13,309,199,5,161,1,0,1,2,0,1,6,1,3,3,705
291,"PANCHAYAT BHAWAN NIJAMPUR",341,291,1,633,227,230,0,457,166,0,0,70,60,14,294,2,1,1,2,0,2,0,1,5,5,457
292,P.S.SINGHAPUR,429,364,0,793,234,254,0,488,370,0,0,23,379,22,27,0,10,0,4,1,0,3,9,0,10,488
293,"P.S.SARIPUR R.NO.1",241,171,0,412,162,113,0,275,164,0,2,7,157,7,96,2,0,0,0,1,1,0,0,0,2,275
294,"P.S.SARIPUR R.NO.2",796,622,0,1418,393,346,0,739,30,0,9,82,403,13,195,5,0,1,6,0,3,1,8,3,10,739
295,P.S.SHIVRAMPUR,413,340,0,753,287,241,0,528,240,0,2,25,418,6,55,1,3,0,2,1,0,3,4,4,4,528
296,"P.S.SARAYBABU R.NO.1",790,590,0,1380,446,382,0,828,807,0,10,218,224,64,294,4,1,1,0,0,1,2,2,1,6,828
297,"P.S.SARAYBABU R.NO.2",243,187,0,430,140,97,0,237,180,0,1,51,89,11,79,0,1,1,1,1,0,0,0,0,2,237
298,P.S.NARAYANPUR,467,398,0,865,241,233,0,474,193,0,3,52,350,10,35,1,1,0,4,0,3,2,3,7,3,474
299,"PANCHAYAT BHAWAN CHERAPUR",253,217,0,470,170,151,0,321,39,0,0,0,220,3,93,0,0,0,0,0,0,2,1,0,2,321
300,"PANCHAYAT BHAWAN KUNABIPUR",519,392,0,911,349,281,0,630,10,0,5,273,268,14,59,2,1,0,0,0,0,0,2,0,6,630
301,P.S.THEGHIPUR,728,605,0,1333,507,386,0,893,13,0,10,63,670,10,100,21,8,0,2,0,0,5,2,1,1,893
302,"P.S.UMARAHA R.NO.1",651,530,0,1181,389,345,0,734,223,0,2,157,353,8,196,1,4,1,1,0,0,1,2,2,6,734
303,"P.S.UMARAHA R.NO.2",540,389,0,929,307,207,0,514,462,0,1,70,233,4,198,1,0,1,1,0,0,2,1,2,0,514
304,J.H.S.LASMADA,567,478,0,1045,294,379,0,673,10,0,7,145,357,9,143,1,0,4,1,1,0,1,1,2,1,673
305,P.S.LILAPUR,373,350,0,723,249,235,0,484,336,0,5,193,81,1,152,32,2,0,0,2,1,2,3,4,6,484
306,P.S.GHAMAHAPUR,701,560,0,1261,340,360,0,700,11,0,5,236,213,9,161,2,60,1,1,0,0,4,1,3,4,700
307,"P.S.MAGINI R.NO.1",238,211,0,449,117,122,0,239,6,0,3,128,85,4,10,0,0,0,0,0,1,0,1,4,3,239
308,"P.S.MAGAINI R.NO.2",266,253,0,519,154,145,0,299,2,0,1,82,130,4,79,0,1,0,0,0,0,0,1,0,1,299
309,J.H.S.CHAKAUDA,561,468,0,1029,306,306,0,612,360,0,12,244,158,7,166,3,4,2,2,2,1,5,1,3,2,612
310,P.S.CHAKLALA,139,107,0,246,89,75,0,164,35,0,1,47,61,8,45,0,0,0,0,0,0,1,1,0,0,164
311,"P.S.UDAYKARANPUR R.NO.1",612,513,0,1125,367,272,0,639,21,0,3,184,189,9,243,0,1,0,3,0,0,2,4,0,1,639
312,"P.S.UDAYKARANPUR R.NO.2",352,254,0,606,208,162,0,370,80,0,7,157,61,3,133,4,1,0,1,0,0,1,2,0,0,370
313,"P.S.DIGHVAT R.NO.1",567,470,0,1037,372,314,0,686,75,0,0,22,484,19,139,1,1,1,2,2,0,4,4,6,1,686
314,"P.S.DIGHVAT R.NO.2",744,630,0,1374,400,417,0,817,261,0,3,61,331,14,381,7,1,0,2,1,1,3,1,4,7,817
315,"P.S.TULAPUR R.NO.1",605,495,0,1100,340,234,0,574,34,0,1,43,348,5,172,0,0,0,1,0,0,0,1,2,1,574
316,"P.S.TULAPUR R.NO.2",769,589,0,1358,379,328,0,707,640,0,14,243,224,13,189,2,2,0,4,1,1,6,3,2,3,707
317,"P.S.TULAPUR R.NO.3",276,241,0,517,161,165,0,326,326,0,1,205,56,4,47,0,1,0,0,1,1,0,0,1,9,326
318,P.S.BASDEVPUR,729,620,0,1349,395,385,0,780,763,0,16,343,212,5,166,10,14,0,2,0,2,5,3,1,1,780
319,"P.S.DEHARIYA JAGDISHPUR",236,195,0,431,135,127,0,262,97,0,0,57,117,1,84,0,0,0,0,0,0,1,0,1,1,262
320,"P.S.MUKTAPUR R.NO.1",617,506,0,1123,476,379,0,855,12,0,4,197,191,3,442,2,4,2,3,0,1,1,0,3,2,855
321,"P.S.MUKTAPUR R.NO.2",272,206,0,478,152,114,0,266,263,0,2,29,150,6,71,1,5,0,0,0,1,0,1,0,0,266
322,P.S.HATHIYADEEH,334,283,0,617,177,190,0,367,111,0,2,192,91,4,72,0,2,0,1,0,1,0,0,0,2,367
323,J.H.S.CHAKAPUR,605,475,1,1081,293,289,0,582,12,0,5,133,250,6,166,3,0,0,1,2,0,2,2,3,9,582
324,P.S.TIURI,720,607,0,1327,462,365,0,827,827,0,8,254,424,10,100,0,13,1,0,1,2,2,6,2,4,827
325,"P.S.BANAULI R.NO.1",247,191,0,438,124,116,0,240,33,0,4,45,73,7,109,0,0,0,0,0,0,0,0,0,2,240
326,"P.S.BANAULI R.NO.2",166,132,0,298,68,72,0,140,102,0,1,17,83,1,32,0,1,0,0,1,0,0,2,0,2,140
327,P.S.PARANAPUR,368,305,1,674,164,175,0,339,314,0,3,1,231,12,72,0,17,1,0,0,0,1,1,0,0,339
328,"K.J.H.S.MAHRAJGANJ R.NO.1",727,597,0,1324,408,284,0,692,567,0,12,196,389,4,55,6,1,0,2,0,3,2,6,6,10,692
329,"K.J.H.S.MAHRAJGANJ R.NO.2",256,230,0,486,102,127,0,229,7,0,1,47,126,1,48,0,0,0,0,1,0,3,1,0,1,229
330,"J.H.S.MAHRAJGANJ R.NO.1",784,494,0,1278,423,241,0,664,4,0,1,77,417,24,130,1,1,0,0,1,1,1,2,0,8,664
331,"J.H.S.MAHRAJGANJ R.NO.2",742,500,0,1242,268,142,0,410,96,0,1,21,267,12,99,1,2,0,0,0,0,1,3,1,2,410
332,P.S.KANSAPUR,281,201,0,482,172,119,0,291,81,0,2,47,176,10,48,0,0,0,1,3,0,1,0,1,2,291
333,P.S.BASANTAPUR,521,429,0,950,307,310,0,617,553,0,8,337,190,10,58,5,2,0,1,0,0,2,1,3,0,617
334,J.H.S.VIKRAMAPUR,764,608,0,1372,366,327,0,693,657,0,4,143,323,67,130,0,5,0,3,3,1,3,0,6,5,693
335,P.S.PATKHAULI,325,269,0,594,159,164,0,323,323,0,4,92,141,1,62,1,1,0,4,0,0,4,4,3,6,323
336,"P.S.ITWA R.NO.1",894,687,0,1581,459,402,0,861,11,0,7,147,224,14,425,1,30,0,1,3,0,2,2,2,3,861
337,"P.S.ITWA R.NO.2",577,453,0,1030,217,221,0,438,23,0,4,56,197,8,131,2,22,0,2,2,1,0,1,5,7,438
338,"J.H.S.PATKHAULI SITUATED VILL.DAINIYA",398,330,0,728,265,244,0,509,136,0,4,273,108,3,67,9,25,0,1,3,0,3,0,5,8,509
339,"P.S.TULASIPUR R.NO.1",675,475,0,1150,316,286,0,602,45,0,6,165,194,17,192,9,3,1,1,2,2,3,1,3,3,602
340,"P.S.TULASIPUR R.NO.2",253,178,0,431,86,83,0,169,113,0,0,4,102,6,53,1,1,0,0,0,0,1,0,0,1,169
341,P.S.DWARIKAPUR,470,417,0,887,277,291,0,568,6,0,3,194,177,6,166,2,2,0,2,0,0,1,3,3,9,568
