"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
73,"G. S. R. PUBLIC SCHOOL VIJAYNAGAR",613,546,0,1159,416,324,0,740,636,0,55,45,175,411,4,2,1,16,1,2,7,5,1,5,10,740
74,"MAHARISHI DAYANAND INT. COLLEGE GOVINDPURI",513,470,0,983,348,290,0,638,627,0,62,4,21,530,1,0,0,14,0,0,1,0,0,0,5,638
75,"MAHARISHI DAYANAND INT. COLLEGE GOVINDPURI",437,392,0,829,287,251,0,538,521,0,42,14,15,433,0,0,1,25,0,0,0,1,0,0,7,538
76,"MAHARISHI DAYANAND INT. COLLEGE GOVINDPURI",405,392,0,797,250,211,0,461,95,0,49,12,11,366,1,0,0,14,0,0,0,2,1,0,5,461
77,"MAHARISHI DAYANAND INT. COLLEGE GOVINDPURI",479,447,0,926,314,262,0,576,330,0,42,11,6,488,2,0,0,23,0,0,3,0,0,0,1,576
78,"MAHARISHI DAYANAND INT. COLLEGE GOVINDPURI",773,748,0,1521,526,411,0,937,887,0,91,20,61,704,1,0,1,49,0,2,1,0,3,0,4,937
79,"MAHARISHI DAYANAND INT. COLLEGE GOVINDPURI",510,455,0,965,342,280,0,622,465,0,68,3,99,409,1,4,0,24,0,0,4,4,2,1,3,622
80,"ADARSH KANYA INTER COLLEGE",646,545,0,1191,364,281,0,645,643,0,96,19,38,461,1,0,0,16,0,1,5,4,1,0,3,645
81,"ADARSH KANYA INTER COLLEGE",908,798,1,1707,564,475,0,1039,916,0,87,72,46,772,5,2,1,33,0,2,5,2,1,1,10,1039
82,"ADARSH KANYA INTER COLLEGE",514,449,0,963,356,280,0,636,636,0,76,31,24,487,1,1,0,12,0,2,0,1,0,0,1,636
83,"ADARSH KANYA INTER COLLEGE",487,428,0,915,241,191,0,432,424,0,43,36,14,320,1,0,0,12,0,1,0,1,0,0,4,432
84,"ADARSH KANYA INTER COLLEGE",555,497,0,1052,385,286,0,671,645,0,64,29,29,514,3,1,0,22,0,0,3,3,1,0,2,671
85,"ADARSH KANYA INTER COLLEGE",485,415,0,900,274,242,0,516,515,0,40,12,22,403,2,1,1,20,0,4,1,3,2,1,4,516
86,"ADARSH KANYA INTER COLLEGE",529,441,0,970,338,257,0,595,471,0,47,42,20,458,4,0,0,15,1,1,1,2,0,1,3,595
87,"ADARSH KANYA INTER COLLEGE",438,386,0,824,252,208,0,460,350,0,24,10,100,306,5,0,0,1,1,2,0,3,4,1,3,460
88,"PRAMILA MODI GIRL JR SCHOOL HARMUKHPURI",472,391,0,863,329,251,0,580,540,0,76,32,51,381,1,2,0,26,1,0,3,2,1,1,3,580
89,"PRAMILA MODI GIRL JR SCHOOL HARMUKHPURI",513,433,0,946,343,291,0,634,615,0,77,20,32,478,1,1,0,16,2,2,1,1,0,0,3,634
90,"PRAMILA MODI GIRL JR SCHOOL HARMUKHPURI",592,531,0,1123,498,294,0,792,704,0,142,34,30,540,6,1,2,26,1,3,3,1,0,1,2,792
91,"PRAMILA MODI GIRL JR SCHOOL HARMUKHPURI",705,586,1,1292,484,371,0,855,854,0,24,14,412,352,4,0,0,22,0,1,5,9,3,3,6,855
92,"PRAMILA MODI GIRL JR SCHOOL HARMUKHPURI",558,464,1,1023,392,300,0,692,692,0,36,19,176,426,3,1,1,8,0,2,8,2,2,1,7,692
93,"PRAMILA MODI GIRL JR SCHOOL HARMUKHPURI",567,469,0,1036,378,347,0,725,675,0,22,7,89,576,2,0,0,17,0,1,6,1,0,1,3,725
94,"PRAMILA MODI GIRL JR SCHOOL HARMUKHPURI",442,368,1,811,330,251,0,581,581,0,32,10,27,487,1,0,1,17,0,0,4,1,1,0,0,581
95,"DAYAWATI MODI TRINING COLLEGE MODINAGAR",662,560,1,1223,428,344,0,772,772,0,91,54,22,572,2,0,0,20,0,2,4,2,1,1,1,772
96,"DAYAWATI MODI TRINING COLLEGE MODINAGAR",787,667,0,1454,473,353,0,826,813,0,40,103,12,627,1,1,0,31,0,1,3,3,0,1,3,826
97,"DAYAWATI MODI TRINING COLLEGE MODINAGAR",549,472,0,1021,396,274,0,670,658,0,86,24,7,512,0,0,0,33,0,2,1,1,0,0,4,670
98,"DAYAWATI MODI TRINING COLLEGE MODINAGAR",591,544,0,1135,417,280,0,697,697,0,64,13,28,549,4,0,0,33,1,0,1,2,0,2,0,697
99,"DAYAWATI MODI TRINING COLLEGE MODINAGAR",605,548,0,1153,383,284,0,667,666,0,103,40,14,462,8,1,1,33,0,1,0,0,1,0,3,667
100,"DAYAWATI MODI TRINING COLLEGE MODINAGAR",519,440,0,959,323,220,0,543,536,0,115,9,63,316,1,0,0,29,1,2,4,0,2,0,1,543
101,"DAYAWATI MODI TRINING COLLEGE MODINAGAR",421,358,0,779,279,192,0,471,466,0,80,3,23,331,1,1,1,23,0,1,3,2,0,0,2,471
102,"GINNI DEVI JUNIOR HIGH SCHOOL DEVENDERPURI",428,363,0,791,329,279,0,608,608,0,49,49,100,373,0,1,0,22,0,0,8,4,2,0,0,608
103,"GINNI DEVI JUNIOR HIGH SCHOOL DEVENDERPURI",758,635,0,1393,482,376,0,858,458,0,47,40,278,456,5,2,0,18,1,1,3,3,2,0,2,858
104,"GINNI DEVI JUNIOR HIGH SCHOOL DEVENDERPURI",568,471,0,1039,376,263,0,639,629,0,68,31,138,374,2,1,0,9,0,0,6,0,3,1,6,639
105,"GINNI DEVI JUNIOR HIGH SCHOOL DEVENDERPURI",664,536,0,1200,340,282,0,622,578,0,94,19,20,456,4,0,0,28,0,1,0,0,0,0,0,622
106,"GINNI DEVI JUNIOR HIGH SCHOOL DEVENDERPURI",490,449,0,939,297,254,0,551,16,0,57,13,14,434,1,0,2,12,0,1,3,4,0,1,9,551
107,"GINNI DEVI JUNIOR HIGH SCHOOL DEVENDERPURI",580,543,0,1123,437,302,0,739,729,0,62,28,33,570,4,1,1,33,1,1,1,0,0,0,4,739
