"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - COMANDO KAMAL KISHOR","2 - DR.VIJAY KUMAR","3 - SHABBIR AHMAD","4 - SADHVI SAVITRI BAI FOOLE","5 - JAGAT RAM","6 - MADHAV","7 - RAMASHANKER GOND","8 - VINOD KUMAR","9 - HIRA LAL RAO","10 - RAM NARESH","11 - None of the Above","Total Votes Secured"
233,RAIPUR,456,386,0,842,238,199,0,437,437,0,5,126,218,80,0,0,0,2,1,1,4,437
234,RAIPUR,691,570,0,1261,387,316,0,703,703,0,12,95,253,297,5,3,1,1,3,13,20,703
235,BICHHLA,801,631,0,1432,553,373,0,926,926,0,25,36,330,503,8,3,0,2,8,7,4,926
236,"PHOOLWARIYA MAFI",561,488,0,1049,407,356,0,763,763,0,4,17,673,59,0,0,0,2,2,0,6,763
237,"KISHUNPUR MAFI",657,565,0,1222,337,299,0,636,636,0,31,113,261,197,2,2,1,4,4,4,17,636
238,MALLAPUR,527,435,0,962,335,277,0,612,612,0,4,29,484,78,4,2,2,1,2,1,5,612
239,GOTHI,236,208,0,444,181,174,0,355,355,0,5,15,281,46,1,2,1,2,0,0,2,355
240,"KURWARI MAFI",504,433,0,937,317,292,0,609,609,0,1,5,525,74,1,1,1,1,0,0,0,609
241,"KURWARI MAFI",413,396,0,809,246,237,0,483,483,0,8,12,343,110,5,0,0,1,0,2,2,483
242,"KURWARI MAFI",620,523,0,1143,359,286,0,645,645,0,6,17,311,272,7,2,3,1,5,8,13,645
243,CHAFARIYA,728,593,0,1321,501,336,0,837,837,0,14,76,371,362,5,1,4,2,2,0,0,837
244,SINGHA,367,316,0,683,215,170,0,385,385,0,17,57,286,19,0,0,0,1,1,0,4,385
245,SINGHA,482,411,0,893,315,259,0,574,574,0,13,33,395,109,7,0,4,1,2,2,8,574
246,SINGHA,367,341,0,708,270,220,0,490,490,0,14,13,355,86,2,0,1,1,4,4,10,490
247,BHOGAJOT,426,344,0,770,259,233,0,492,492,0,11,46,340,68,5,2,3,2,1,3,11,492
248,BHOGAJOT,370,314,0,684,171,118,0,289,289,0,3,16,173,87,1,2,0,0,3,2,2,289
249,BHOGAJOT,258,233,0,491,189,166,0,355,355,0,7,56,101,168,4,3,1,4,2,1,8,355
250,LAUKANA,646,542,0,1188,500,371,0,871,871,0,16,26,559,254,7,3,1,4,0,1,0,871
251,TEPRAHA,728,591,0,1319,446,273,0,719,719,0,26,45,325,300,3,2,1,2,6,8,1,719
252,TEPRAHA,780,653,0,1433,460,359,0,819,819,0,15,20,452,299,4,3,1,6,4,3,12,819
253,DAMODARJOT,275,243,0,518,229,188,0,417,417,0,2,140,19,245,4,1,0,0,1,0,5,417
254,CHAKUJOT,679,561,0,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,GULRIHA,558,424,0,982,318,264,0,582,582,0,6,6,159,375,8,2,1,0,2,6,17,582
256,SOHARWA,729,591,0,1320,345,287,0,632,632,0,13,23,424,141,5,3,4,0,5,3,11,632
257,SOHARWA,455,324,1,780,229,168,0,397,397,0,6,29,265,89,1,0,0,0,0,3,4,397
258,SOHARWA,715,636,0,1351,350,383,0,733,733,0,10,51,136,477,6,2,3,7,3,12,26,733
259,KAITHACHAK,317,266,0,583,184,163,0,347,347,0,4,1,153,172,4,3,0,1,1,2,6,347
260,JHANSA,312,273,0,585,235,188,0,423,423,0,5,115,262,35,0,1,1,0,1,0,3,423
261,"BANWARIYA GOPALPUR",565,387,0,952,361,275,0,636,636,0,12,9,489,96,7,1,3,3,2,1,13,636
262,"MEERPUR KASBA",863,730,0,1593,511,226,0,737,737,0,6,95,343,263,2,2,2,4,3,5,12,737
263,"MEERPUR KASBA",817,786,0,1603,237,264,0,501,501,0,15,194,174,109,1,1,1,1,0,1,4,501
264,"ANDHRA CHAK",245,200,0,445,169,132,0,301,301,0,3,21,257,18,2,0,0,0,0,0,0,301
265,"MOHMMAD NAGAR",684,563,0,1247,384,220,0,604,604,0,4,92,135,327,16,0,0,2,4,4,20,604
266,"MOHMMAD NAGAR",525,488,0,1013,384,217,0,601,601,0,10,61,81,399,10,3,7,2,7,4,17,601
267,"MOHMMAD NAGAR",485,436,0,921,368,292,0,660,660,0,16,88,80,431,9,4,2,4,1,3,22,660
268,"MOHMMAD NAGAR",449,376,0,825,205,301,0,506,506,0,12,58,64,354,5,1,1,3,1,3,4,506
269,"RAJAPUR MAFI",702,589,0,1291,487,386,0,873,873,0,9,34,341,458,6,2,0,1,2,5,15,873
270,JHINGHA,313,275,0,588,243,192,0,435,435,0,4,13,44,339,7,1,2,2,1,2,20,435
271,JHINGHA,461,408,0,869,315,284,0,599,599,0,9,11,514,44,2,2,0,2,0,4,11,599
272,JHINGHA,468,389,0,857,327,248,0,575,575,0,7,15,381,151,4,2,1,0,5,3,6,575
273,CHAUKHADIYA,404,348,0,752,301,206,0,507,507,0,9,101,67,298,8,1,0,3,4,7,9,507
274,CHAUKHADIYA,424,354,1,779,253,192,0,445,445,0,22,11,45,311,10,3,5,1,4,11,22,445
275,CHAUKHADIYA,239,195,1,435,168,109,0,277,277,0,7,11,66,174,10,0,0,1,2,1,5,277
276,MIRZAPUR,821,771,1,1593,498,389,0,887,887,0,23,93,35,683,19,4,2,1,5,5,17,887
277,MIRZAPUR,353,297,0,650,250,179,0,429,429,0,3,81,53,266,2,1,2,0,2,9,10,429
278,"BAUNDI FATEH ULLAHPUR",454,353,0,807,320,268,0,588,588,0,14,69,296,205,0,1,0,0,0,2,1,588
279,"BAUNDI FATEH ULLAHPUR",471,376,0,847,323,259,0,582,582,0,8,12,264,267,10,3,0,3,2,6,7,582
280,"RAM GAAV",650,560,0,1210,379,366,0,745,745,0,14,66,414,237,3,3,0,0,1,5,2,745
281,"RAM GAAV",677,549,1,1227,445,300,0,745,745,0,21,75,233,368,13,2,1,2,2,10,18,745
282,DHOBIHA,769,657,0,1426,504,439,0,943,943,0,39,17,601,239,12,1,4,1,6,6,17,943
283,"SISAIYA CHAK",653,529,0,1182,435,337,0,772,772,0,29,92,246,357,7,3,3,3,6,2,24,772
284,DHARMANPUR,738,616,0,1354,498,266,0,764,764,0,6,31,203,474,19,5,3,5,3,5,10,764
285,DHARMANPUR,730,659,0,1389,500,428,0,928,928,0,18,220,101,557,14,3,2,2,5,0,6,928
286,"RAMPUR GODWA",345,312,0,657,243,199,0,442,442,0,17,95,143,170,4,3,2,2,4,0,2,442
287,TEDIYA,396,378,0,774,260,231,0,491,491,0,14,27,97,316,6,1,1,5,2,3,19,491
288,TEDIYA,450,349,0,799,348,191,0,539,539,0,7,12,41,465,6,1,1,0,2,1,3,539
289,BALDIPURWA,418,335,0,753,316,198,0,514,514,0,8,62,132,285,7,2,3,3,2,3,7,514
290,JANIJOT,379,334,0,713,251,191,0,442,442,0,11,119,135,150,5,0,1,3,3,4,11,442
291,MUKERIYA,521,460,0,981,350,300,0,650,650,0,10,18,202,397,6,1,2,1,2,4,7,650
292,MUKERIYA,522,413,0,935,346,283,0,629,629,0,5,11,352,247,3,0,0,1,2,2,6,629
293,GOVINDPUR,597,520,0,1117,375,317,0,692,692,0,12,263,104,289,5,1,1,7,1,1,8,692
294,NAKAHI,710,636,0,1346,440,390,0,830,830,0,13,53,545,180,2,1,1,1,3,8,23,830
295,MUDDHAPUR,524,460,1,985,374,356,0,730,730,0,4,39,527,144,5,0,1,1,0,2,7,730
296,"BASAUNA MAFI",499,404,0,903,327,227,0,554,554,0,25,38,231,222,13,2,5,2,2,4,10,554
297,"BASAUNA MAFI",442,411,0,853,213,177,0,390,390,0,12,29,132,203,3,1,0,0,2,4,4,390
298,MAIGLA,529,493,0,1022,385,275,0,660,660,0,24,76,95,406,7,4,1,3,4,16,24,660
299,NEWADA,565,455,0,1020,379,233,0,612,612,0,10,59,105,406,8,2,0,4,3,8,7,612
300,NEWADA,477,426,0,903,307,183,0,490,490,0,3,27,84,355,4,2,2,0,1,5,7,490
301,NEWADA,535,466,0,1001,383,260,0,643,643,0,22,32,195,361,9,0,1,7,3,3,10,643
302,NEWADA,505,450,0,955,315,263,0,578,578,0,13,119,197,219,3,2,0,5,3,5,12,578
303,BAUKAHA,734,648,0,1382,558,425,0,983,983,0,10,150,551,246,8,1,2,2,3,4,6,983
304,"JAMLA JOT",395,367,0,762,262,249,0,511,511,0,4,45,394,51,4,5,0,0,1,3,4,511
305,BHOGIYAPUR,728,644,1,1373,450,383,0,833,833,0,12,78,432,259,13,5,2,4,7,2,19,833
306,DASHRATHPUR,582,502,0,1084,370,374,0,744,744,0,10,12,557,141,3,1,2,1,1,3,13,744
307,DASHRATHPUR,716,647,0,1363,476,432,0,908,908,0,10,54,313,498,11,2,1,3,3,6,7,908
308,SARPATHA,801,693,0,1494,532,452,0,984,984,0,3,17,924,37,2,0,0,0,0,1,0,984
309,SARPATHA,723,665,0,1388,459,457,0,916,916,0,9,37,834,29,2,2,0,0,0,1,2,916
