"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KESHRI DEVI","2 - NAND GOPAL GUPTA NANDI","3 - SHYAMA CHARAN GUPTA","4 - KUNWAR REWATI RAMAN SINGH ALIAS MANI","5 - MOHD. AMEEN AZHAR ANSARI","6 - ADARSH SHASTRI","7 - GAYTRI PRASAD","8 - CHANDRA PRAKASH TIWARI ALIAS C. P. TIWARI ADVOCATE","9 - NISTHA DEV MAURYA","10 - MAHENDRA KUMAR","11 - SHYAM SUNDAR DAS","12 - RAJENDRA PRASAD","13 - WAHID ALI ALIAS WAJID ALI","14 - SANJAY ROBINSON","15 - AJEET KUMAR","16 - DRAUPADI DEVI","17 - PARMANAND","18 - BRIJESH KUMAR","19 - SHYAM CHARAN","20 - SHIV PRASAD AGRAHARI","21 - SHAILENDRA KUMAR PRAJAPATI","22 - HIRA LAL","23 - HANSRAJ","24 - None of the Above","Total Votes Secured"
44,"PRATHMIK VIDYALAYA CHHIVAKI ROOM NO.2",692,572,0,1264,353,295,0,648,610,0,160,72,256,117,2,1,4,0,2,6,0,1,0,2,1,5,4,2,3,6,1,0,2,1,648
45,"PURV MADHYAMIK VIDYALAYA CHAKA ROOM NO. 1",569,481,0,1050,303,259,0,562,559,0,259,61,140,30,1,5,2,0,5,12,3,1,0,0,4,13,9,2,1,1,2,0,1,10,562
46,"PRATHMIK VIDYALAYA SADVA KALA ROOM NO. 1",542,492,0,1034,332,261,0,593,592,0,136,39,205,193,1,5,0,0,1,1,0,2,0,1,1,4,1,0,1,0,0,0,0,2,593
47,"PRATHMIK VIDYALAYA SADVA KALA ROOM NO. 2",488,404,1,893,270,203,0,473,458,0,35,85,108,211,3,13,0,1,0,1,1,0,0,2,2,3,1,0,1,3,0,2,1,0,473
48,"PRATHMIK VIDYALAYA BHARAUHA ROOM NO. 1",462,365,0,827,320,225,0,545,517,0,105,29,150,206,7,2,1,1,1,5,3,1,3,9,3,9,2,0,1,3,2,0,1,1,545
49,"BAL VIDYA MANDIR BELVAT UTTARI BHAG",779,673,0,1452,472,360,0,832,822,0,160,190,222,196,4,4,0,2,0,2,1,0,4,3,2,4,8,6,6,10,1,1,2,4,832
50,"BAL VIDYA MANDIR BELVAT MADHYA BHAG",694,596,0,1290,405,348,0,753,753,0,171,157,268,111,2,13,1,0,2,0,1,3,2,2,2,6,5,0,2,2,2,0,0,1,753
51,"PRATHMIK VIDYALAYA KURIA (LAVAYAN KALA) ROOM NO1",590,500,0,1090,420,300,0,720,720,0,196,114,83,292,5,1,0,0,2,1,0,2,0,1,0,10,3,3,1,4,0,0,2,0,720
52,"PRATHMIK VIDYALAYA LAVAYAN KALA ROOM NO. 1",469,401,0,870,277,212,0,489,390,0,45,101,106,100,7,1,1,0,0,1,4,0,2,33,2,3,7,5,7,3,1,56,2,2,489
53,"PRATHMIK VIDYALAYA LAVAYAN KALA ROOM NO.2",459,364,0,823,272,140,0,412,406,0,25,52,151,115,3,2,3,2,0,0,0,0,3,10,4,8,2,0,2,2,1,22,2,3,412
54,"PRATHMIK VIDYALAYA LAVAYAN KALA ROOM NO.3",838,652,2,1492,424,255,0,679,679,0,41,134,203,240,5,1,3,0,1,3,0,2,2,7,4,6,2,1,2,3,1,10,2,6,679
55,"PRATHMIK VIDYALAYA MAHUWARI ROOM NO. 1",756,597,0,1353,434,293,0,727,725,0,48,93,368,181,2,8,0,0,1,1,1,0,0,1,4,2,4,1,2,5,1,1,1,2,727
56,"PRATHMIK VIDYALAYA MAHUWARI ROOM NO. 2",822,622,0,1444,430,281,0,711,700,0,338,74,205,53,1,5,1,0,0,0,3,2,0,1,0,8,6,1,1,2,0,0,3,7,711
57,"PRATHMIK VIDYALAYA CHAKGARIBDAS ROOM NO. 1",838,662,0,1500,455,381,0,836,808,0,199,36,415,137,5,4,1,0,3,2,1,1,0,5,3,6,3,0,3,2,1,0,6,3,836
58,"PRATHMIK VIDYALAY CHAKGARIBDAS ROOM NO. 2",688,583,0,1271,418,271,0,689,643,0,122,32,422,83,2,6,3,0,4,1,1,0,0,0,2,3,2,1,1,1,1,0,0,2,689
59,"PRATHMIK VIDYALAY CHAKGARIBDAS ROOM NO.3",574,404,0,978,334,217,0,551,551,0,79,40,288,129,2,0,0,0,0,2,0,1,0,0,0,2,1,0,0,4,0,1,0,2,551
60,"PRATHMIK VIDYALAY CHAKGARIBDAS ROOM NO.4",526,435,0,961,289,202,0,491,478,0,97,23,200,135,1,2,1,1,1,0,3,1,1,1,2,7,4,2,0,5,2,0,1,1,491
61,"PRATHMIK VIDYALAYA CHAKRANA TIWARI ROOM NO.1",614,434,0,1048,345,241,0,586,586,0,135,30,249,127,5,1,0,1,3,1,1,2,2,3,2,7,8,0,1,1,1,1,2,3,586
62,"PRATHMIK VIDYALAYA CHAKRANA TIWARI ROOM NO. 2",610,496,0,1106,293,204,0,497,491,0,87,26,275,77,3,6,0,1,0,0,1,1,0,2,1,6,3,0,1,2,1,1,0,3,497
63,"PRATHMIK VIDYALAYA BASVAR KHAS ROOM NO. 1",809,703,0,1512,498,348,0,846,842,0,48,29,260,298,12,5,8,4,4,2,7,4,12,51,3,6,3,0,1,5,1,67,8,8,846
64,"PRATHMIK VIDYALAYA BASVAR KHAS ROOM NO.2",643,517,0,1160,318,198,0,516,514,0,82,24,226,148,2,5,0,0,2,1,1,2,1,2,5,6,0,1,1,3,0,1,1,2,516
65,"PRATHMIK VIDYALAYA BASVAR KHAS ROOM NO.3",459,376,0,835,203,100,0,303,296,0,49,14,147,66,3,0,0,2,1,1,0,2,4,3,0,4,1,0,0,3,0,1,1,1,303
66,"PRATHMIK VIDYALAYA DADRI TA. NAUGAVA ROOM NO. 1",611,476,0,1087,425,303,0,728,728,0,194,24,396,81,1,2,0,0,4,1,3,1,1,4,1,6,0,0,0,5,1,0,1,2,728
67,"PURV MADYAMIK VIDYALAYA DANDUPUR ROOM NO. 1",878,774,0,1652,526,470,0,996,986,0,122,33,21,790,3,11,1,0,1,0,0,0,3,0,1,4,1,1,0,4,0,0,0,0,996
68,"PRATHMIK VIDYALAYA BHADRA UMARGANG ROOM NO. 1",622,457,0,1079,353,269,0,622,622,0,35,14,50,495,4,2,0,0,0,0,0,1,1,1,1,4,0,1,1,2,2,1,3,4,622
