"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
115,"HUSEPUR KARMAYA",453,401,0,854,274,160,0,434,434,0,5,201,211,5,3,0,0,0,0,0,2,2,0,1,2,2,434
116,"HUSEPUR KARMAYA",396,366,0,762,239,157,0,396,396,0,18,141,217,10,0,2,0,0,1,1,1,1,1,3,0,0,396
117,RASOOLPUR,225,199,0,424,127,125,0,252,252,0,133,6,95,2,0,0,0,1,2,3,1,2,1,3,2,1,252
118,"JASMAI KHIRAUNA",517,451,0,968,358,296,0,654,654,0,329,46,246,13,1,0,0,0,3,0,3,3,2,0,4,4,654
119,"CHANDUPUR KHAIRAI",818,706,0,1524,499,395,0,894,894,0,484,46,303,15,3,2,3,1,0,4,1,4,5,6,10,7,894
120,"SIKANDARPUR NARKATRA",583,521,0,1104,327,246,0,573,573,0,385,40,99,10,4,2,0,1,0,0,0,2,5,3,8,14,573
121,"SIKANDARPUR NARKATRA",469,406,0,875,281,196,0,477,477,0,207,30,197,21,0,1,0,0,0,0,1,5,1,4,4,6,477
122,ABDULLAPUR,555,480,0,1035,348,260,0,608,608,0,450,12,130,4,0,2,1,0,0,1,0,0,0,0,2,6,608
123,SINDHAULI,373,328,0,701,286,212,0,498,498,0,204,73,205,5,1,0,0,2,1,1,0,3,2,0,0,1,498
124,GOPALPUR,425,346,0,771,348,254,0,602,602,0,277,279,34,1,0,0,0,1,0,0,0,1,0,1,4,4,602
125,NARSIAMAU,523,439,1,963,327,255,0,582,582,0,338,123,84,18,2,1,0,0,0,1,2,1,2,3,2,5,582
126,ATARJI,672,579,0,1251,370,249,0,619,619,0,367,39,131,52,3,1,0,0,0,1,1,7,4,6,1,6,619
127,"DADEOURA H/0 ATARJI",301,260,0,561,199,140,0,339,339,0,213,4,110,0,1,0,1,0,0,0,0,1,0,3,1,5,339
