"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - UMED SINGH KASHYAP","2 - KRISHNA RAJ","3 - CHETRAM","4 - MITHILESH KUMAR","5 - KISHAN LAL","6 - PYARE ALIAS RAJKUMAR GAUTAM","7 - MEVARAM","8 - RAMMURTI","9 - RAMLAL VERMA","10 - SMT REETA SINGH ALIAS REETA BHARTI","11 - SUNITA SUJATA NAGPAL","12 - RAKESH","13 - ROSHAN LAL ALIAS ROSHAN KANAUJIYA","14 - None of the Above","Total Votes Secured"
177,"PRI. SCHOOL MEER VAISHPUR",460,322,0,782,321,202,0,523,523,0,35,338,21,107,4,0,2,0,0,1,1,0,11,3,523
178,"PRI. SCHOOL DILAWARPUR",637,542,1,1180,416,293,0,709,709,0,74,447,9,172,1,0,0,1,0,0,0,0,1,4,709
179,"PRI. SCHOOL SHAMSHERPUR",252,215,0,467,185,143,0,328,328,0,10,268,13,22,0,1,0,2,1,0,1,2,5,3,328
180,"PRI. SCHOOL KHANNANPUR",133,120,0,253,109,99,0,208,208,0,111,68,6,18,0,0,0,0,0,0,0,0,3,2,208
181,"ISLAMIA PRI. SCHOOL KANTH",689,571,0,1260,352,215,0,567,567,0,303,68,26,147,4,0,0,0,0,1,7,2,5,4,567
182,"ISLAMIA PRI. SCHOOL KANTH",737,689,0,1426,406,225,0,631,631,0,124,414,15,68,0,1,1,1,1,0,3,0,2,1,631
183,"JR. HIGH SCHOOL GARHI POORVI KANTH",508,416,0,924,232,193,0,425,425,0,162,207,6,35,0,0,0,2,1,1,2,1,7,1,425
184,"JR. HIGH SCHOOL GARHI POORVI KANTH",733,556,1,1290,366,253,0,619,619,0,206,261,12,130,1,0,0,0,1,1,3,0,2,2,619
185,"JR. HIGH SCHOOL TAKIA",731,628,0,1359,364,206,0,570,570,0,286,55,7,209,2,0,1,0,0,2,7,0,1,0,570
186,"G.I.C. KANT",681,569,0,1250,339,221,0,560,560,0,296,39,0,202,5,0,0,0,0,0,8,4,3,3,560
187,"G.I.C. MARIYA KANT",340,235,0,575,212,133,0,345,345,0,123,165,4,46,0,0,0,0,0,1,2,1,2,1,345
188,"G.I.C. MARIYA KANT",795,548,0,1343,277,203,0,480,480,0,333,20,1,113,1,0,0,0,2,0,1,0,4,5,480
189,"G.I.C. MARIYA KANT",725,543,1,1269,299,211,0,510,510,0,221,223,9,37,1,0,1,0,0,1,6,1,5,5,510
190,"KANYA PRI. NEW BHAWAN KANT",965,810,0,1775,405,264,0,669,669,0,131,480,10,23,0,0,1,1,0,0,3,4,14,2,669
191,"KANYA PRI. NEW BHAWAN KANT",223,192,0,415,92,56,0,148,148,0,54,46,0,47,0,0,0,0,0,0,1,0,0,0,148
192,"PRI. SCHOOL KANTH",694,570,3,1267,364,217,0,581,581,0,336,5,0,230,2,0,0,0,0,0,4,0,0,4,581
193,"PRI. SCHOOL KANTH",316,227,0,543,195,113,0,308,308,0,93,158,3,50,1,0,0,0,0,2,0,0,0,1,308
194,"PRI. SCHOOL KANTH",761,682,0,1443,454,293,0,747,747,0,304,361,11,49,0,0,0,3,0,0,2,2,8,7,747
195,"PRI. SCHOOL BARUA BUZURG",200,181,0,381,181,159,0,340,340,0,30,281,6,21,0,0,0,0,0,0,0,2,0,0,340
196,"PRI. SCHOOL RASKUPA BAHADURPUR",255,212,0,467,178,128,0,306,306,0,8,194,3,95,0,1,1,0,0,0,0,1,1,2,306
197,"PRI. SCHOOL PRAHLADPUR",839,663,2,1504,461,340,0,801,801,0,499,218,10,53,1,2,0,0,4,0,3,2,5,4,801
198,"PRI. SCHOOL YAARPUR",708,563,0,1271,422,287,0,709,709,0,113,438,34,113,0,1,1,1,1,0,0,2,3,2,709
199,"PRI. SCHOOL LAADPUR SARAI",844,646,1,1491,558,354,0,912,912,0,268,565,20,36,1,2,1,0,2,1,0,0,8,8,912
200,"PRI. SCHOOL PIPRALUA AHMADPUR",625,478,0,1103,421,264,0,685,685,0,204,279,7,170,0,1,0,2,0,1,3,1,7,10,685
201,"PRI. SCHOOL PIPRALUA AHMADPUR",486,368,0,854,347,235,0,582,582,0,21,443,2,100,1,0,2,1,1,1,0,1,5,4,582
202,"JR. HIGH SCHOOL PIPPRAULA  AHMADPUR",706,499,0,1205,398,290,0,688,688,0,26,579,15,54,0,1,2,0,0,9,1,0,0,1,688
203,"PRI. SCHOOL KISHUR HAI",327,295,0,622,238,211,0,449,449,0,117,310,4,12,1,2,0,0,0,0,1,0,1,1,449
204,"PRI. SCHOOL CHAKMAMREZPUR",276,237,0,513,234,188,0,422,422,0,18,317,6,75,0,0,0,0,0,2,0,1,1,2,422
205,"PRI. SCHOOL MUTIHASA",293,245,0,538,216,149,0,365,365,0,110,173,7,63,1,2,0,0,2,2,0,0,3,2,365
206,"PRI. SCHOOL AZIZPUR JIGNERA",634,508,0,1142,427,281,0,708,708,0,22,528,11,119,2,1,1,0,0,0,3,2,7,12,708
207,"PRI. SCHOOL MUDIGAWAN",605,460,1,1066,430,246,0,676,676,0,247,109,4,301,3,2,0,1,0,0,2,0,3,4,676
208,"PRI. SCHOOL PANCHAULI",170,139,1,310,136,93,0,229,229,0,38,190,1,0,0,0,0,0,0,0,0,0,0,0,229
209,"PRI. SCHOOL MANSOORPUR",244,192,0,436,221,139,0,360,360,0,30,150,18,159,3,0,0,0,0,0,0,0,0,0,360
210,"PRI. SCHOOL NANAKPUR",197,173,0,370,161,129,0,290,290,0,2,16,1,266,1,1,0,0,0,0,0,0,3,0,290
211,"PRI. SCHOOL KAPOORPUR",431,326,0,757,301,194,0,495,495,0,60,218,4,180,4,1,0,0,1,15,2,0,8,2,495
212,"PRI. SCHOOL BARNAWA",267,196,0,463,193,76,0,269,269,0,103,131,9,22,0,0,0,1,0,0,0,0,1,2,269
213,"PRI. SCHOOL ALIAPUR",359,271,0,630,259,196,0,455,455,0,150,171,9,102,1,1,2,3,6,0,1,2,5,2,455
214,"PRI. SCHOOL MAHMADPUR AZMABAD",345,247,0,592,266,153,0,419,419,0,26,318,8,64,0,0,0,0,0,0,0,0,2,1,419
215,"PRI. SCHOOL UDEDA GIRDHARPUR",214,168,0,382,171,132,0,303,303,0,134,132,1,26,0,0,0,0,0,1,0,1,4,4,303
216,"PRI. SCHOOL AKHTAYARPUR BAGHIURA",438,370,0,808,325,208,0,533,533,0,168,293,8,40,2,3,0,1,0,0,0,1,8,9,533
217,"PRI. SCHOOL ABHAYAN",744,547,0,1291,499,350,0,849,849,0,288,469,9,43,3,7,0,2,4,0,1,2,9,12,849
218,"PRI. SCHOOL RAWATPUR",828,697,0,1525,427,288,0,715,715,0,407,38,3,244,1,5,2,0,0,3,2,1,3,6,715
219,"PRI. SCHOOL RAWATPUR",667,551,0,1218,361,280,0,641,641,0,219,157,3,244,1,1,2,0,1,3,3,0,1,6,641
220,"JR. HIGH SCHOOL DIURIA JHALA",490,368,0,858,354,201,0,555,555,0,148,85,4,308,4,1,1,0,0,0,1,0,1,2,555
221,"PRI. SCHOOL JALALPUR",411,352,0,763,279,226,0,505,505,0,132,204,5,142,2,1,0,2,0,3,1,1,6,6,505
222,"PRI. SCHOOL BHUDIA",406,345,0,751,274,188,0,462,462,0,44,390,3,17,0,0,0,0,1,0,0,1,3,3,462
223,"PRI. SCHOOL BIRUAMAI",249,204,0,453,215,157,0,372,372,0,278,66,3,15,0,0,0,0,1,0,0,0,3,6,372
224,"SA0 SCHOOL PADAICHA",442,394,0,836,281,235,0,516,516,0,162,280,6,54,4,1,0,1,0,0,1,0,5,2,516
225,"PRI. SCHOOL TADA PARVATPUR",577,478,0,1055,215,157,0,372,372,0,278,66,3,15,0,0,0,0,1,0,0,0,3,6,372
226,"PRI. SCHOOL IMALIA",579,464,0,1043,474,288,0,762,762,0,200,137,4,401,4,0,1,0,1,0,1,0,4,9,762
227,"PRI. SCHOOL GARCHAPA",656,500,0,1156,454,285,0,739,739,0,51,473,9,193,0,0,2,1,0,0,1,1,4,4,739
228,"PRI. SCHOOL AMORA",618,465,0,1083,384,250,0,634,634,0,138,344,19,107,2,1,1,1,3,2,0,3,7,6,634
229,"PRI. SCHOOL BABAURI I0 MARENA",464,381,0,845,344,223,0,567,567,0,262,171,18,95,1,2,0,0,1,2,1,0,4,10,567
230,"PRI. SCHOOL PALHAURA",385,330,2,717,257,205,0,462,462,0,91,123,11,222,2,0,0,0,1,1,2,0,6,3,462
231,"PRI. SCHOOL KARMORI M. PALHAURA",584,487,0,1071,410,294,0,704,704,0,381,147,16,134,0,0,1,0,1,0,0,2,11,11,704
232,"PRI. SCHOOL PALIHURA",552,450,0,1002,296,227,0,523,523,0,223,193,4,90,0,1,1,0,0,3,1,1,0,6,523
233,"PRI. SCHOOL MARENA",395,324,0,719,301,243,0,544,544,0,61,205,7,252,4,0,0,2,0,0,1,1,4,7,544
234,"SHEED STORE KURRIYA KALA",531,508,0,1039,269,271,0,540,540,0,35,279,23,198,0,0,0,0,0,2,0,1,0,2,540
235,"SHEED STORE KURRIYA KALA",360,294,0,654,237,158,0,395,395,0,73,187,9,115,1,2,0,1,1,0,1,0,2,3,395
236,"SHEED STORE KURRIYA KALA",557,498,0,1055,340,222,0,562,562,0,117,255,10,158,6,0,0,1,0,3,1,1,4,6,562
237,"SHEED STORE KURRIYA KALA",366,283,0,649,206,135,0,341,341,0,41,195,7,81,1,0,1,0,0,1,2,0,4,8,341
238,"PRI. SCHOOL SIKRAHAN",376,293,1,670,204,166,0,370,370,0,74,121,8,154,1,2,0,1,1,1,1,1,5,0,370
239,"PRI. SCHOOL RAMKHERA",434,295,0,729,277,203,0,480,480,0,193,145,7,127,1,0,1,1,0,0,0,0,0,5,480
240,"PRI. SCHOOL BANSKHERA",478,377,0,855,319,242,0,561,561,0,152,192,30,176,1,0,1,1,0,1,2,2,2,1,561
241,"PRI. SCHOOL PRHALADPUR",338,274,0,612,291,196,0,487,487,0,208,40,4,230,1,0,0,1,0,0,0,1,1,1,487
242,"PRI. SCHOOL SISORI",541,372,1,914,354,212,0,566,566,0,49,263,6,229,2,0,0,1,0,0,4,2,3,7,566
243,"PRI. SCHOOL DHUHIA M.SISAURI",395,319,0,714,300,207,0,507,507,0,88,233,16,157,0,0,1,1,1,0,1,1,3,5,507
244,"PRI. SCHOOL MAJHARI",507,404,0,911,288,189,0,477,477,0,234,111,4,102,1,7,1,0,4,1,0,2,3,7,477
245,"PRI. SCHOOL KUNDRA NINAKRA",270,206,0,476,171,141,0,312,312,0,211,41,3,49,1,0,0,0,0,0,1,1,3,2,312
246,"PRI. SCHOOL GAIRATPUR",280,231,0,511,200,142,0,342,342,0,38,170,1,125,1,0,1,0,1,1,0,0,3,1,342
247,"PRI. SCHOOL KUTRA",326,250,0,576,229,139,0,368,368,0,26,99,7,228,2,3,1,0,0,0,0,0,1,1,368
248,"PRI. SCHOOL TAHARPUR",445,340,0,785,351,223,0,574,574,0,29,245,5,285,1,0,1,0,0,1,0,1,4,2,574
249,"PRI. SCHOOL FATEHPUR",368,297,0,665,259,162,0,421,421,0,85,147,2,175,1,1,0,0,0,3,1,2,2,2,421
250,"PRI. SCHOOL CHAUHANAPUR",621,458,0,1079,402,250,0,652,652,0,159,338,28,117,1,2,0,0,1,0,0,0,3,3,652
251,"PRI. SCHOOL PARSINIA",257,184,0,441,180,130,0,310,310,0,64,128,16,99,0,0,0,1,0,0,0,0,1,1,310
252,"PRI. SCHOOL BHAMAULI",674,444,0,1118,490,275,0,765,765,0,255,282,10,200,2,1,0,0,1,2,1,1,4,6,765
253,"PRI. SCHOOL HIRPUR",186,138,0,324,156,113,0,269,269,0,7,95,3,157,1,0,0,0,1,0,1,2,1,1,269
254,"PRI. SCHOOL PATHARAKHASH",326,263,0,589,273,223,0,496,496,0,132,227,4,125,1,0,0,0,1,1,1,0,2,2,496
255,"PRI. SCHOOL KHIRIAHEER",502,383,0,885,333,249,0,582,582,0,123,275,43,115,1,1,1,0,0,2,4,2,9,6,582
256,"PRI. SCHOOL KAPAS KHIRIA",146,120,0,266,137,101,0,238,238,0,233,0,1,1,0,0,0,0,3,0,0,0,0,0,238
257,"PRI. SCHOOL ITAURA",627,506,0,1133,390,271,0,661,661,0,160,329,81,75,0,3,0,1,2,0,0,4,2,4,661
258,"PRI. SCHOOL KADAR DADPUR / LILTHRA",855,667,0,1522,540,324,0,864,864,0,213,326,18,278,4,1,1,2,2,4,0,2,8,5,864
259,"PRI. SCHOOL BARENG",673,616,0,1289,542,356,0,898,898,0,103,624,24,130,3,2,2,1,1,0,0,1,5,2,898
260,"PRI. SCHOOL KAKAR",136,129,0,265,118,114,0,232,232,0,25,185,4,17,0,0,0,0,0,1,0,0,0,0,232
261,"PRI. SCHOOL HARSUA JAJU",354,321,0,675,284,214,0,498,498,0,20,278,16,172,3,0,0,0,1,0,1,1,4,2,498
262,"PRI. SCHOOL KAILHA E0 SISNAI",557,438,0,995,419,227,0,646,646,0,74,357,7,200,2,1,2,0,0,0,0,0,2,1,646
263,"PRI. SCHOOL KAKAR GHATA",532,421,0,953,350,216,0,566,566,0,281,187,5,79,2,0,0,2,1,2,1,0,3,3,566
264,"PRI. SCHOOL KUTUA E0 BARENG",301,248,0,549,198,150,0,348,348,0,27,229,5,72,2,1,1,0,1,0,5,1,2,2,348
265,"PRI. SCHOOL MOHIDINPUR",302,268,0,570,218,154,0,372,372,0,31,201,4,128,1,1,1,0,1,0,0,1,1,2,372
266,"PRI. SCHOOL PANTHI",428,364,0,792,373,289,0,662,662,0,51,285,9,291,3,3,1,2,1,0,4,1,1,10,662
267,"PRI. SCHOOL SHAHWAJPUR E. SISNAI",225,177,0,402,133,102,0,235,235,0,87,45,7,89,2,1,0,0,1,0,0,0,2,1,235
268,"PRI. SCHOOL BABAKERPUR",320,254,0,574,268,190,0,458,458,0,136,196,7,94,2,1,0,1,0,4,4,2,7,4,458
269,"PRI. SCHOOL CHANDAPUR BARKATPUR",813,685,0,1498,523,396,0,919,919,0,117,480,28,249,6,0,1,1,2,1,2,0,17,15,919
270,"PRI. SCHOOL SISNAI",576,446,0,1022,405,258,0,663,663,0,48,450,23,102,2,2,0,3,0,1,2,5,9,16,663
271,"PRI. SCHOOL SAPTAYARA",710,627,0,1337,526,396,0,922,922,0,190,386,53,258,5,1,1,1,1,1,2,1,10,12,922
272,"PRI. SCHOOL KHADA BAURA",291,232,0,523,219,151,0,370,370,0,15,224,3,123,0,0,0,0,1,1,0,1,1,1,370
273,"PRI. SCHOOL SHAHJAPUR E. DANIYAPUR",595,506,0,1101,390,262,0,652,652,0,56,527,4,46,1,2,0,1,0,0,2,1,6,6,652
274,"PRI. SCHOOL KARIMUKUAPUR",380,321,0,701,279,212,0,491,491,0,126,302,0,44,1,0,0,0,0,1,2,1,7,7,491
275,"PRI. SCHOOL SARAURI",272,213,0,485,162,124,0,286,286,0,100,68,4,98,3,0,0,1,0,0,0,0,3,9,286
276,"PRI. SCHOOL MANPUR MLIKAPUR",186,154,0,340,144,125,0,269,269,0,14,142,4,99,1,2,0,0,0,0,1,1,0,5,269
277,"PRI. SCHOOL SARAURA",583,468,1,1052,422,286,0,708,708,0,159,318,5,204,3,1,0,1,0,0,2,0,7,8,708
278,"PRI. SCHOOL NAGARPAL",499,357,0,856,322,213,0,535,535,0,180,226,11,90,2,3,0,1,0,4,1,5,6,6,535
279,"PRI. SCHOOL NAGARPAL",426,344,0,770,235,170,0,405,405,0,83,203,12,91,1,1,0,1,0,1,1,2,6,3,405
280,"PRI. SCHOOL DEV KALI",392,323,0,715,295,224,0,519,519,0,64,371,7,63,1,0,0,0,1,2,0,1,6,3,519
281,"PRI. SCHOOL AITHAPUR",306,239,0,545,188,151,0,339,339,0,117,207,2,7,0,0,0,0,0,1,0,0,3,2,339
282,"PRI. SCHOOL MEERGPUR",343,309,0,652,249,199,0,448,448,0,298,18,9,105,2,1,1,0,0,2,1,3,1,7,448
283,"PRI. SCHOOL RAURA",729,517,0,1246,482,314,0,796,796,0,284,325,16,140,2,2,2,3,1,2,1,2,5,11,796
284,"PRI. SCHOOL PASGAWAN",691,488,0,1179,356,265,0,621,621,0,194,142,4,231,0,1,1,2,1,4,30,3,4,4,621
285,"PRI. SCHOOL GULDA / NAUGAWAN",405,338,0,743,309,211,0,520,520,0,32,374,8,99,0,0,1,0,1,0,0,0,3,2,520
286,"PRI. SCHOOL KASIMGANJ",405,329,0,734,281,180,0,461,461,0,61,314,6,58,0,0,0,1,1,2,10,0,5,3,461
287,"PRI. SCHOOL DUDHAUNA",776,572,1,1349,412,249,0,661,661,0,161,307,10,164,1,1,1,0,0,1,1,0,7,7,661
288,"JR. HIGH SCHOOL BHARGAWAN",439,386,0,825,284,234,0,518,518,0,293,162,5,39,1,0,1,0,0,0,8,2,5,2,518
289,"JR. HIGH SCHOOL BHARGAWAN",444,366,0,810,292,220,0,512,512,0,150,297,9,37,0,0,2,2,0,0,2,1,7,5,512
290,"JR. HIGH SCHOOL CHANDGOI",737,557,0,1294,490,353,0,843,843,0,186,385,11,238,3,2,0,4,0,1,1,0,9,3,843
291,"PRI. SCHOOL DIVAIYAPUR",484,349,0,833,306,196,0,502,502,0,247,108,9,116,2,1,0,1,2,0,2,3,5,6,502
292,"PRI. SCHOOL MAHMANDPUR E0 SHAHJAPUR",610,498,0,1108,306,196,0,502,502,0,247,108,9,116,2,1,0,1,2,0,2,3,5,6,502
293,"PRI. SCHOOL ALHAPUR",282,196,0,478,226,129,0,355,355,0,52,283,5,11,1,0,0,1,0,0,0,0,2,0,355
294,"JR. HIGH SCHOOL SAHARAMAU SOUTH",902,716,0,1618,484,348,0,832,832,0,116,504,69,116,7,2,4,2,0,2,5,1,2,2,832
295,"JR. HIGH SCHOOL SAHARAMAU SOUTH",721,510,0,1231,446,254,0,700,700,0,230,317,18,119,0,1,0,0,1,2,1,2,3,6,700
296,"PRI. SCHOOL SEHARAMAU SOUTH",865,663,0,1528,591,375,0,966,966,0,302,454,18,147,3,2,1,2,2,1,4,6,11,13,966
297,"PRI. SCHOOL KUTUAPUR E0 SEHARAMAU SOUTH",893,699,0,1592,461,333,0,794,794,0,273,291,9,132,7,2,3,3,5,17,5,4,14,29,794
298,"PRI. SCHOOL AKBARPUR  E0 SEHARAMAU SOUTH",199,166,0,365,163,109,0,272,272,0,41,206,9,6,0,1,0,0,0,0,0,0,5,4,272
299,"PRI. SCHOOL RAVATPUR E0 SEHARAMAU SOUTH",318,257,0,575,242,172,0,414,414,0,177,198,5,14,2,0,1,0,0,1,1,4,8,3,414
300,"PRI. SCHOOL BADSHAHNAGAR",623,488,0,1111,402,251,0,653,653,0,97,414,31,67,3,1,0,3,3,1,0,4,13,16,653
301,"PRI. SCHOOL BADSHAHNAGAR",344,270,0,614,206,155,0,361,361,0,40,257,5,39,1,1,0,2,1,0,4,2,1,8,361
302,"PRI. SCHOOL DILAWERPUR E0 DEVKALI",515,450,0,965,403,275,0,678,678,0,131,235,16,257,5,1,0,2,0,2,0,3,10,16,678
303,"PRI. SCHOOL SHAHBDADPUR NAWADA",240,207,0,447,186,148,0,334,334,0,89,120,6,113,0,0,0,0,1,0,0,1,1,3,334
304,"PRI. SCHOOL BIBIPUR",186,144,0,330,159,113,0,272,272,0,227,28,14,1,0,0,0,0,0,1,0,0,1,0,272
305,"PRI. SCHOOL BEHATI",644,482,0,1126,419,299,0,718,718,0,291,314,9,59,0,1,1,0,5,2,4,3,10,19,718
306,"PRI. SCHOOL JALALPUR TA0 BEHTI",145,113,0,258,111,85,0,196,196,0,190,4,0,0,0,0,0,0,0,0,0,0,1,1,196
307,"PRI. SCHOOL SAIDAPUR",108,92,0,200,80,68,0,148,148,0,111,23,1,8,0,1,1,0,0,0,0,0,2,1,148
308,"PRI. SCHOOL KAHELIA RUDRAPUR",659,569,0,1228,470,336,0,806,806,0,121,460,14,190,0,0,0,0,2,2,4,3,3,7,806
309,"PRI. SCHOOL SIURA E0 KANENG",731,632,0,1363,472,380,0,852,852,0,107,587,11,111,3,0,0,0,4,0,7,7,9,6,852
310,"PRI. SCHOOL DAUDPUR RUDRAPUR",237,208,0,445,204,157,0,361,361,0,30,298,3,23,1,1,0,0,0,1,0,0,3,1,361
311,"PRI. SCHOOL NAUSIA",479,374,0,853,355,250,0,605,605,0,103,165,11,301,3,2,2,3,0,1,9,1,3,1,605
312,"PRI. SCHOOL CHANDA",241,204,0,445,182,137,0,319,319,0,42,243,3,26,0,0,0,0,1,0,0,0,3,1,319
313,"PRI. SCHOOL BISAFKALAN",384,288,0,672,257,190,0,447,447,0,356,68,1,11,2,0,0,0,1,2,0,0,2,4,447
314,"PRI. SCHOOL BHHUDIA",276,228,0,504,210,168,0,378,378,0,226,82,6,59,1,0,0,0,0,0,0,0,2,2,378
315,"PRI. SCHOOL DEENGURPUR E0 SEHRAMAU SOUTH",502,373,0,875,344,213,0,557,557,0,153,320,18,48,0,2,0,0,1,1,0,0,4,10,557
316,"PRI. SCHOOL TONI",747,632,0,1379,414,311,0,725,725,0,141,420,15,118,2,1,0,2,0,1,2,4,10,9,725
317,"PRI. SCHOOL SHAHZAPUR",508,423,0,931,377,269,0,646,646,0,104,310,24,194,2,0,0,0,1,1,1,3,3,3,646
318,"PRI. SCHOOL FIROZPUR",473,317,1,791,244,134,0,378,378,0,86,218,7,55,0,1,0,1,0,1,0,1,5,3,378
319,"PRI. SCHOOL ATA BUZURG",466,350,0,816,269,170,0,439,439,0,80,224,19,111,0,0,0,0,2,0,1,0,1,1,439
320,"PRI. SCHOOL GAURIA",259,209,0,468,172,121,0,293,293,0,107,150,2,25,0,1,0,0,1,1,0,0,3,3,293
321,"PRI. SCHOOL ATA KHURD",358,281,0,639,260,201,0,461,461,0,123,206,7,111,2,0,2,1,0,0,1,2,4,2,461
322,"PRI. SCHOOL SINGRAHA SINGRAHI",496,426,0,922,394,318,0,712,712,0,307,255,10,109,1,2,0,1,0,1,2,1,5,18,712
323,"PRI. SCHOOL BANDARIA",293,231,0,524,213,166,0,379,379,0,266,62,15,29,0,0,0,1,0,1,0,0,3,2,379
324,"PRI. SCHOOL BARMAULA ARJUNPUR",578,458,0,1036,372,271,0,643,643,0,258,293,20,43,0,1,0,1,3,1,9,0,4,10,643
325,"PRI. SCHOOL CHHEETEPUR",338,267,0,605,247,184,0,431,431,0,174,120,21,71,2,0,3,4,6,6,3,1,12,8,431
326,"PRI. SCHOOL TURKEE KHERA",375,285,2,662,265,171,0,436,436,0,113,76,13,194,3,0,0,0,0,3,31,0,1,2,436
327,"PRI. SCHOOL DARAPUR CHATHIA",236,165,1,402,182,127,0,309,309,0,155,98,2,48,1,0,0,0,1,2,0,1,1,0,309
328,"PRI. SCHOOL KUABONGH",230,168,0,398,185,121,0,306,306,0,92,26,11,100,0,0,0,0,0,1,73,0,1,2,306
329,"PRI. SCHOOL PEENG",516,386,0,902,326,246,0,572,572,0,196,283,62,6,1,1,2,0,2,1,0,2,5,11,572
330,"PRI. SCHOOL RAMAPUR NANAKARI",440,347,0,787,293,207,0,500,500,0,327,142,1,3,0,0,0,0,0,2,0,3,8,14,500
331,"PRI. SCHOOL PADARA SIKANDARPUR",652,561,2,1215,421,346,0,767,767,0,298,325,26,61,2,0,3,1,1,5,19,3,8,15,767
332,"PRI. SCHOOL PADARA SIKANDARPUR",558,460,0,1018,374,246,0,620,620,0,109,310,94,47,0,2,0,1,3,0,20,11,8,15,620
333,"PRI. SCHOOL GURRI J0 ITAURIA",368,305,0,673,241,182,0,423,423,0,199,188,8,24,0,0,0,0,0,0,1,0,1,2,423
334,"PRI. SCHOOL DEVRAAS",533,415,0,948,371,275,0,646,646,0,168,376,13,67,3,1,0,1,2,1,0,2,6,6,646
335,"PRI. SCHOOL SISAUA",596,477,0,1073,350,271,0,621,621,0,381,81,6,121,2,0,1,0,0,2,23,0,1,3,621
336,"PRI. SCHOOL SISAUA",578,449,0,1027,359,199,0,558,558,0,162,118,3,113,3,0,1,1,2,1,142,5,3,4,558
337,"PRI. SCHOOL SARSAWAN",569,483,3,1055,364,276,0,640,640,0,256,206,10,119,4,3,0,1,1,2,10,3,7,18,640
338,"PRI. SCHOOL MANGLI PURWA",306,222,0,528,230,156,0,386,386,0,295,14,1,63,0,0,0,0,1,0,9,0,1,2,386
339,"PRI. SCHOOL AITHAN HUSAINPUR",433,340,0,773,285,235,0,520,520,0,357,102,8,42,2,0,0,0,0,0,3,1,2,3,520
340,"PRI. SCHOOL DEENGURPUR ARSLANI",456,419,0,875,309,268,0,577,577,0,183,220,4,49,0,0,1,2,3,2,97,3,7,6,577
341,"PRI. SCHOOL KATIYA RAZZAB",711,607,0,1318,464,326,0,790,790,0,370,81,5,261,5,1,1,0,0,3,43,1,8,11,790
342,"PRI. SCHOOL DILAWERPUR E0 SHAHGANJ",290,236,0,526,234,174,0,408,408,0,184,107,1,101,4,0,0,0,0,1,5,0,2,3,408
343,"PRI. SCHOOL NEKNAAM PUR",162,138,0,300,111,93,0,204,204,0,64,112,4,9,3,0,1,0,0,3,1,1,1,5,204
344,"PRI. SCHOOL CHAK MJRA",171,144,0,315,129,105,0,234,234,0,216,6,0,7,0,0,0,1,0,1,0,0,0,3,234
345,"PRI. SCHOOL WAJIDPUR",488,359,0,847,338,208,0,546,546,0,83,72,1,121,2,2,1,2,3,0,247,3,4,5,546
346,"SRI VINOVA INTER COLLEGE BARTARA",624,562,1,1187,338,208,0,546,546,0,83,72,1,121,2,2,1,2,3,0,247,3,4,5,546
347,"PRI. SCHOOL JALALPUR TA0 GURRI",520,385,0,905,344,233,0,577,577,0,225,249,9,84,2,0,0,2,1,0,3,1,1,0,577
348,"JR. HIGH SCHOOL SARAHI",611,501,0,1112,381,247,0,628,628,0,191,356,30,21,1,1,0,1,0,5,4,1,11,6,628
349,"JR. HIGH SCHOOL SARAHI",614,479,0,1093,393,205,0,598,598,0,363,114,5,92,3,0,1,2,0,0,9,0,1,8,598
350,"JR. HIGH SCHOOL KATIYA KAMMU",817,522,0,1339,619,304,0,923,923,0,592,66,4,232,5,0,0,1,1,0,15,1,3,3,923
351,"JR. HIGH SCHOOL SHAHGANJ",637,504,0,1141,389,227,0,616,616,0,171,387,6,41,1,0,0,1,0,0,0,0,5,4,616
352,"JR. HIGH SCHOOL SHAHGANJ",607,464,0,1071,334,206,0,540,540,0,277,189,8,28,0,1,3,1,1,1,3,1,15,12,540
353,"PRI. SCHOOL HUSAINPUR",456,372,0,828,332,260,0,592,592,0,214,219,2,136,1,1,0,0,0,9,2,0,4,4,592
354,"PRI. SCHOOL RUKANPUR",315,293,0,608,235,191,0,426,426,0,159,192,2,46,1,0,1,1,0,0,1,0,8,15,426
355,"PRI. SCHOOL PATTI BAHADURPUR",262,215,0,477,205,166,0,371,371,0,263,34,2,48,1,1,0,0,2,0,9,0,4,7,371
356,"JR. HIGH SCHOOL BARNAI",817,645,0,1462,309,535,0,844,844,0,146,607,11,45,0,0,0,0,1,1,31,0,2,0,844
357,"PRI. SCHOOL JAMUKA",914,701,0,1615,576,456,0,1032,1032,0,332,485,24,154,0,1,2,2,2,1,10,2,7,10,1032
358,"PRI. SCHOOL JAMUKA",107,93,0,200,86,70,0,156,156,0,35,85,7,27,0,0,0,0,0,0,0,0,1,1,156
359,"PRI. SCHOOL NIGAONA MAKARANDPUR",385,324,0,709,246,190,0,436,436,0,17,358,4,46,0,0,0,0,0,0,0,1,5,5,436
360,"PRI. SCHOOL CHAK BHITARA",566,472,0,1038,406,333,0,739,739,0,491,166,24,34,0,4,0,1,1,1,1,3,3,10,739
