"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KANWAR SINGH TANWAR","2 - FARHAT HASAN","3 - RAKESH TIKAIT","4 - HUMERA AKHTAR","5 - KHAJAN SINGH","6 - BRAJLAL","7 - MAHESH","8 - RAKESH","9 - RAJPAL","10 - SARVESH KUMAR SAINI","11 - SYED KALBE RUSHAID RIZVI","12 - HUSNEIN RAZAA","13 - NARESH KUMAR","14 - NARESH CHAND","15 - SURENDRA SINGH","16 - None of the Above","Total Votes Secured"
112,"PRIMARY SCHOOL",221,190,0,411,174,154,0,328,328,0,307,7,0,9,0,0,0,0,0,0,0,0,1,0,1,3,328
113,"PRIMARY SCHOOL",546,523,0,1069,331,325,0,656,656,0,6,111,7,511,2,0,2,1,1,1,1,0,5,4,1,3,656
114,"PRIMARY SCHOOL ROOM 1",632,532,0,1164,455,418,0,873,873,0,278,89,4,483,3,0,0,0,0,1,1,0,5,0,8,1,873
115,"PRIMARY SCHOOL ROOM 2",559,464,0,1023,440,382,0,822,822,0,52,158,5,602,0,0,0,2,0,0,1,0,0,2,0,0,822
116,"PRIMARY SCHOOL",346,299,0,645,291,249,0,540,540,0,270,257,1,9,0,0,0,0,0,0,0,0,0,0,1,2,540
117,"PRIMARY SCHOOL",754,616,0,1370,501,437,0,938,938,0,320,269,5,317,4,1,2,0,0,4,1,1,4,2,3,5,938
118,"PRIMARY SCHOOL",427,346,0,773,335,272,0,607,607,0,501,65,3,25,1,0,0,0,1,1,0,0,1,2,0,7,607
119,"PRIMARY SCHOOL",405,369,0,774,345,282,0,627,627,0,472,73,2,58,3,0,0,0,0,1,0,0,1,3,4,10,627
120,"PRIMARY SCHOOL",563,520,1,1084,428,342,0,770,770,0,665,12,4,56,1,2,0,1,0,2,0,1,1,5,5,15,770
121,"JUNIOR HIGH SCHOOL ROOM 1",467,351,0,818,347,280,0,627,627,0,244,140,3,213,5,0,2,2,2,1,1,2,4,2,2,4,627
122,"JUNIOR HIGH SCHOOL ROOM 2",473,337,0,810,344,280,0,624,624,0,319,275,4,9,1,1,0,0,0,1,0,0,1,4,3,6,624
123,"JUNIOR HIGH SCHOOL",358,256,0,614,284,204,0,488,488,0,414,2,1,66,1,0,0,0,0,0,0,0,0,2,1,1,488
