"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - VIPNESH","2 - RAVI PRAKASH VERMA","3 - RAMGOPAL MISHRA","4 - AJAY KUMAR","6 - ARVIND GIRI","7 - ZAFAR ALI NAQVI","10 - DINESH KUMAR","11 - KRISHNA ADHIKARI","12 - ASHRAF ALI","14 - ASHOK","16 - RAMESHWARI","17 - None of the Above","Total Votes Secured"
230,RAJAPUR,110,105,0,215,95,82,0,177,176,0,1,31,0,36,103,5,0,0,0,0,0,1,177
231,PHOOLBEHAD,509,462,0,971,343,259,0,602,588,0,23,27,4,224,58,245,2,1,8,1,1,8,602
232,PHOOLBEHAD,544,441,0,985,360,229,0,589,589,0,10,12,2,270,148,133,0,1,1,1,3,8,589
233,PHOOLBEHAD0,627,500,0,1127,472,328,0,800,800,0,22,22,4,281,27,412,2,0,6,2,5,17,800
234,PHOOLBEHAD,782,616,0,1398,504,320,0,824,733,0,9,34,0,483,142,141,1,3,0,2,1,8,824
235,PHOOLBEHAD,579,438,0,1017,328,184,0,512,505,0,3,11,2,280,93,109,1,0,2,1,3,7,512
236,SARWA,480,400,0,880,288,151,0,439,434,0,6,18,1,252,99,60,0,0,1,1,0,1,439
237,SARWA,567,445,0,1012,288,229,0,517,488,0,10,22,0,273,123,74,0,3,3,3,2,4,517
238,SARWA,484,376,0,860,360,208,0,568,568,0,14,20,3,187,109,210,2,2,1,3,3,14,568
239,SARWA,475,434,0,909,336,232,0,568,566,0,19,30,2,175,85,242,1,2,3,1,0,8,568
240,GOOM,807,658,0,1465,579,388,0,967,936,0,9,153,3,455,181,136,3,1,3,5,3,15,967
241,GOOM,690,584,0,1274,495,406,0,901,901,0,6,93,2,353,375,25,3,13,2,12,5,12,901
242,GOOM,789,636,0,1425,474,396,0,870,861,0,15,51,4,425,128,69,8,126,10,5,4,25,870
243,GOOM,225,194,0,419,159,154,0,313,313,0,14,11,0,161,77,18,1,22,1,3,1,4,313
244,"JANGAL NO. 11",579,451,0,1030,266,223,0,489,480,0,12,80,0,252,25,32,2,56,7,3,3,17,489
245,"JANGAL NO. 11",326,279,0,605,150,165,0,315,314,0,5,25,1,171,74,13,1,16,1,2,2,4,315
246,GAURA,361,302,0,663,260,196,0,456,448,0,17,37,2,211,81,100,0,2,3,1,1,1,456
247,GAURA,473,404,0,877,323,241,0,564,519,0,5,90,3,216,142,87,0,3,1,1,5,11,564
248,GAURA,528,368,0,896,301,173,0,474,474,0,10,57,1,282,40,74,2,1,2,0,1,4,474
249,LAUKIHA,530,426,0,956,387,274,0,661,545,0,10,27,0,397,195,15,2,0,2,2,4,7,661
250,LAUKIHA,568,463,0,1031,419,250,0,669,624,0,9,60,2,344,151,84,1,1,2,0,2,13,669
251,IBRAHIMPUR,404,355,0,759,313,244,0,557,551,0,7,57,1,416,45,20,1,3,1,1,1,4,557
252,TETARPUR,784,612,0,1396,532,403,0,935,926,0,13,201,3,387,269,36,2,1,7,0,3,13,935
253,TETARPUR,857,670,0,1527,611,340,0,951,935,0,14,209,1,326,261,121,2,5,4,1,1,6,951
254,TETARPUR,607,484,0,1091,389,231,0,620,620,0,12,23,0,458,76,40,0,2,1,2,2,4,620
255,"KASHIRAMPURWA M. PAYAG",728,552,0,1280,553,365,0,918,902,0,22,300,6,300,75,189,1,2,7,4,1,11,918
256,"KASHIRAMPURWA M. PAYAG",447,371,0,818,317,229,0,546,543,0,3,106,0,105,305,12,0,0,0,7,3,5,546
257,"KASHIRAMPURWA M. PAYAG",451,363,0,814,278,188,0,466,465,0,8,36,1,126,268,15,0,0,1,0,2,9,466
258,KHAIYAN,501,400,0,901,315,196,0,511,494,0,14,114,1,207,46,117,0,0,3,0,0,9,511
259,KHAIYAN,545,457,0,1002,377,287,0,664,660,0,13,121,5,265,152,82,4,2,1,0,3,16,664
260,KHAIYAN,552,437,0,989,432,267,0,699,699,0,22,144,3,181,116,208,3,1,5,2,1,13,699
261,KHAIYAN,569,500,0,1069,398,293,0,691,685,0,3,42,1,253,376,10,0,1,2,0,0,3,691
262,MAKSOHA,559,500,0,1059,444,287,0,731,600,0,13,29,2,501,43,125,2,1,4,2,1,8,731
263,MAKSOHA,531,457,0,988,379,189,0,568,564,0,9,138,2,341,49,15,1,0,4,1,0,8,568
264,"RMNAGARA M. MAKSOHA",772,640,0,1412,571,362,0,933,917,0,17,191,3,321,304,64,3,1,6,2,1,20,933
265,"CHAKAI M. BADAGAWN",751,583,0,1334,504,402,0,906,806,0,23,215,2,244,128,278,2,1,3,2,0,8,906
266,BADAGAON,748,629,0,1377,542,452,0,994,994,0,42,37,1,420,112,355,2,0,5,3,2,15,994
267,BADAGAON,697,574,0,1271,491,353,0,844,844,0,22,65,1,196,74,480,2,1,2,0,0,1,844
268,BADAGAON,811,692,1,1504,530,555,0,1085,1063,0,23,101,1,272,41,637,0,1,3,1,1,4,1085
269,BADAGAON,856,716,0,1572,683,460,0,1143,1143,0,10,68,4,442,557,23,2,2,4,2,14,15,1143
270,"BALAKRAMPURWA M. PIPRADIPAR",229,215,0,444,156,93,0,249,249,0,5,23,0,132,29,56,0,1,1,0,1,1,249
271,"BALAKRAMPURWA M. PIPRADIPAR",405,338,0,743,323,187,0,510,508,0,7,63,0,366,29,31,0,0,4,3,3,4,510
272,PATRASI,874,740,0,1614,710,488,0,1198,1198,0,19,344,4,598,73,125,6,2,5,4,2,16,1198
273,BASAHAMAFI,891,673,0,1564,702,452,0,1154,1154,0,31,56,3,494,230,300,6,3,5,5,3,18,1154
274,BASAHAMAFI,739,545,0,1284,540,250,0,790,790,0,16,81,0,495,105,64,3,1,3,7,2,13,790
275,NARHAR,789,666,0,1455,537,308,0,845,845,0,15,127,0,294,311,83,0,1,4,0,0,10,845
276,NARHAR,502,391,0,893,363,237,0,600,600,0,10,338,4,70,134,7,4,3,2,1,3,24,600
277,JAMUNIYA,764,627,0,1391,586,394,0,980,966,0,12,80,4,188,487,182,1,5,7,5,1,8,980
278,JAMUNIYA,787,588,1,1376,465,311,0,776,766,0,4,51,1,509,171,13,0,3,9,2,3,10,776
279,GADAUSA,496,401,0,897,402,305,0,707,707,0,9,139,1,228,273,36,2,1,1,0,2,15,707
280,"CHAMELI M. GADAUSA",328,294,0,622,265,212,0,477,477,0,6,192,0,205,53,15,0,1,1,0,0,4,477
281,"CHAMELI M. GADAUSA",635,536,0,1171,491,352,0,843,832,0,17,133,8,282,336,42,3,2,1,1,5,13,843
282,KOTHIA,808,730,0,1538,563,467,0,1030,1025,0,15,290,3,244,345,105,3,2,4,1,6,12,1030
283,KOTHIA,481,373,0,854,348,218,0,566,566,0,5,154,1,166,160,67,2,1,0,0,4,6,566
284,KOTHIA,443,407,0,850,266,169,0,435,435,0,4,160,0,110,121,29,0,2,2,2,0,5,435
285,BEL,719,626,0,1345,551,440,0,991,982,0,13,210,3,450,230,75,1,2,1,1,3,2,991
286,"RAULI M. RAMAPUR",440,395,0,835,360,211,0,571,571,0,3,187,1,170,191,16,0,1,0,1,0,1,571
287,"RAULI M. RAMAPUR",530,461,0,991,383,291,0,674,674,0,12,197,1,149,189,115,1,1,2,1,3,3,674
288,SUHELA,538,449,0,987,380,304,0,684,674,0,9,136,0,286,190,50,1,1,3,1,2,5,684
289,SUHELA,503,398,0,901,357,272,0,629,625,0,17,47,3,247,132,158,3,8,2,1,4,7,629
290,ODARA,502,424,0,926,389,307,0,696,696,0,13,209,3,153,251,29,6,8,1,3,4,16,696
291,ODARA,544,471,0,1015,338,268,0,606,601,0,16,184,1,224,66,95,1,2,2,2,1,12,606
