"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLA PRASAD RAWAT","2 - P. L. PUNIA","3 - PRIYANKA SINGH RAWAT","4 - RAJRANI RAWAT","5 - KISHAN LAL","6 - P. C. KUREEL","7 - DINESH CHANDRA GAUTAM","8 - NITIN SINGH","9 - BABU LAL","10 - MEDI LAL","11 - RAJESH KUMAR VIDYARTHI","12 - ABHILAKH RAWAT","13 - KHANJAN LAL","14 - MAHESH","15 - None of the Above","Total Votes Secured"
123,"P.S. DHAKAULI EXTRA ROOM",598,359,0,957,269,144,0,413,350,0,11,110,254,29,0,0,6,1,0,0,0,2,0,0,0,413
124,"P.S. DHAUKALI NEW BUILDING",606,372,0,978,252,129,0,381,25,0,6,87,250,30,1,0,3,0,0,1,0,0,1,1,1,381
125,"P.S. MAHUVAMAU ROOM NO. 1",619,535,0,1154,459,290,0,749,40,0,54,229,169,273,0,0,0,1,2,0,5,0,5,6,5,749
126,"J.H.S. PARAKHANDAUKLI ROOM NO. 1",622,549,0,1171,442,287,0,729,58,0,87,162,227,229,0,2,0,1,1,1,1,3,8,3,4,729
127,"P.S. CHANDUALI MAJRE PARAKHANDAULI R.NO. 1",459,420,0,879,308,205,0,513,16,0,65,135,138,155,3,0,0,0,2,1,0,3,5,1,5,513
128,"P.S. CHANDUALI MAJRE PARAKHANDAULI R.NO. 2",419,335,0,754,250,149,0,399,40,0,14,113,100,161,2,0,1,2,0,0,0,0,1,0,5,399
129,"P.S. CHAUDHARIPURWA MAJRE TIKRAPATTI ROOM NO. 1",496,423,0,919,361,286,0,647,14,0,138,211,240,40,0,2,1,1,0,1,1,2,4,2,4,647
130,"P.S. ISRAHNA ROOM NO. 1",391,313,0,704,224,190,0,414,196,0,51,131,117,102,0,1,1,3,1,1,0,0,2,2,2,414
131,"P.S. ALIPUR ROOM NO. 1",347,308,0,655,271,243,0,514,322,0,169,156,167,16,0,1,0,0,0,2,0,0,2,0,1,514
132,"P.S. MAHOLIYA ROOM NO. 1",604,552,0,1156,448,371,0,819,66,0,73,434,137,171,0,0,2,0,0,0,0,0,0,1,1,819
133,"J.HS. GAURSADIKPUR ROOM NO. 1",557,481,0,1038,439,327,0,766,199,0,77,171,305,186,1,2,2,0,3,0,1,1,6,2,9,766
134,"P.S. PALIYAMASOODPUR EAST PART",754,650,0,1404,503,455,0,958,595,0,101,485,181,147,2,1,2,2,3,3,1,4,7,4,15,958
135,"P.S. MOHAMMADPUR ROOM NO. 1",727,646,1,1374,527,455,0,982,223,0,279,235,292,120,1,5,5,3,3,5,5,2,6,5,16,982
136,"P.S. AURANGABAD ROOM NO. 1",248,217,0,465,201,161,0,362,20,0,97,62,77,114,3,0,1,0,0,1,1,0,1,0,5,362
137,"P.S. BICHLANGA EXTRA ROOM",174,145,0,319,156,131,0,287,79,0,64,19,52,144,3,0,0,0,0,0,0,3,1,0,1,287
138,"J.H.S. MALOOKPUR R.NO. 1",618,556,0,1174,579,205,0,784,236,0,187,193,333,49,0,2,3,0,2,1,2,2,6,1,3,784
139,"J.H.S. MALOOKPUR R.NO. 2",177,152,0,329,138,106,0,244,47,0,34,107,81,17,0,0,1,0,1,0,1,0,1,1,0,244
140,"P.S. GANAURA ROOM NO. 1",550,482,0,1032,449,345,0,794,8,0,86,229,342,109,4,0,1,0,1,2,1,4,2,5,8,794
141,"P.S. KUMHRAURA ROOM NO. 1",348,333,0,681,292,250,0,542,228,0,55,79,354,39,1,1,0,0,0,0,0,2,5,1,5,542
142,"P.S. MUSTAFABAD DESHI ROOM NO. 1",466,410,0,876,325,248,0,573,260,0,130,88,329,12,1,2,0,0,2,0,1,1,4,1,2,573
143,"P.S. BARAITHI R.NO. 1",441,369,0,810,334,225,0,559,5,0,107,216,207,19,1,1,0,1,0,0,0,1,4,0,2,559
144,"P.S. BARAITHI R.NO. 2",411,371,0,782,326,238,0,564,195,0,39,201,173,135,1,0,0,0,2,0,1,4,4,3,1,564
145,"P.S. KAISURUWA ROOM NO. 1",600,511,0,1111,459,368,0,827,8,0,93,238,408,65,0,2,1,0,1,3,3,3,7,0,3,827
146,"P.S. KAITHI ROOM NO. 1",309,277,0,586,267,201,0,468,147,0,24,40,204,192,0,2,0,2,0,1,1,1,1,0,0,468
147,"P.S. SARIYAN ROOM NO. 1",310,227,0,537,226,151,0,377,41,0,8,141,125,89,2,1,0,1,1,0,0,1,4,3,1,377
148,"P.S. KHAJOORGAO ROOM NO. 1",700,618,0,1318,519,377,0,896,171,0,138,196,319,215,0,1,0,5,3,2,2,2,6,4,3,896
149,"P.S. NAGAR ROOM NO. 1",476,417,0,893,331,194,0,525,206,0,18,84,214,197,2,0,0,1,2,0,0,2,3,0,2,525
150,"P.S. HADUARI ROOM NO. 1",452,403,0,855,358,200,0,558,20,0,133,44,349,20,2,1,1,1,1,0,1,1,0,2,2,558
151,"P.S TINDOLA  R.NO. 1",702,626,0,1328,480,352,0,832,298,0,32,202,566,12,1,0,9,1,2,2,0,1,2,0,2,832
152,"P.S. TINDOLA R.NO. 2",707,618,0,1325,501,311,0,812,239,0,333,88,242,118,1,2,1,2,1,0,1,3,7,7,6,812
153,"P.S. PAWIAYABIRAN ROOM NO. 1",407,346,1,754,315,277,0,592,5,0,200,21,342,10,3,1,1,2,2,0,1,0,6,1,2,592
154,"P.S. DHAURMAU ROOM NO. 1",735,666,0,1401,500,414,0,914,684,0,95,286,401,105,0,1,1,4,4,2,2,3,5,1,4,914
155,"P.S. CHACENDA ROOM NO. 1",192,178,0,370,174,145,0,319,290,0,41,35,102,132,0,2,0,1,2,1,0,0,0,1,2,319
156,"P.S. SIDWAHI R.NO. 1",781,637,2,1420,570,419,0,989,12,0,179,415,222,138,3,0,1,0,2,0,3,4,5,4,13,989
157,"MINI SACHIVALAY CHANDAULI ROOM NO. 1",346,285,0,631,263,189,0,452,396,0,50,63,263,52,1,1,1,0,3,0,0,4,6,3,5,452
158,"P.S. JABRIKALA ROOM NO. 1",447,423,0,870,368,243,0,611,10,0,39,46,306,208,1,0,0,0,1,0,0,0,7,2,1,611
159,"P.S. NAIMAU ROOM NO. 1",342,293,0,635,249,176,0,425,104,0,122,11,145,126,1,4,1,1,0,2,1,4,4,0,3,425
160,"P.S. PADRIYADEEH ROOM NO. 1",673,514,0,1187,422,403,0,825,756,0,135,85,276,301,4,0,3,0,2,3,3,2,4,2,5,825
