"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GHANSHAYAM ANURAGI","2 - BRIJLAL KHABRI","3 - BHANU PRATAP SINGH VERMA","4 - VIJAY CHAUDHARI","5 - GANGASINGH","6 - JAYRAM","7 - DALCHANDRA ANURAGI","8 - MANOJ KUMAR","9 - RAJKUMAR","10 - RAMNARAYAN","11 - RAM SINGH","12 - None of the Above","Total Votes Secured"
142,"PRIMARY SCHOOL EAST KAKSH  KATHARI",502,405,0,907,290,206,0,496,493,0,300,29,146,2,0,0,2,0,2,8,1,6,496
143,"PRIMARY SCHOOL WEST KAKSH KATHARI",540,450,0,990,323,214,0,537,24,0,261,110,139,9,1,0,2,0,2,1,7,5,537
144,"JUNIOR HIGH SCHOOL SWAROOPPUR  H. DIBAIR",465,384,0,849,310,226,0,536,137,0,362,32,129,2,0,4,0,0,1,2,0,4,536
145,"JUNIOR HIGH SCHOOL DIBAIR",347,282,0,629,202,118,0,320,320,0,42,88,167,12,0,0,2,2,1,2,1,3,320
146,"JUNIOR HIGH SCHOOL MADAIYA H. DIBAIR",355,327,0,682,234,204,0,438,438,0,41,14,357,16,1,1,0,4,1,2,0,1,438
147,"JUNIOR HIGH SCHOOL NAUBADPUR",679,580,0,1259,391,298,0,689,14,0,339,93,231,7,1,0,2,1,2,3,2,8,689
148,"PRIMARY SCHOOL TYONGA",512,437,0,949,304,215,0,519,519,0,71,50,364,14,3,3,2,1,1,7,0,3,519
149,"JUNIOR HIGH SCHOOL TYONGA",442,386,0,828,296,250,0,546,546,0,42,30,414,13,3,6,2,0,0,22,2,12,546
150,"PRIMARY SCHOOL PATEPUR",294,248,0,542,214,168,0,382,382,0,137,47,189,6,1,0,1,0,0,1,0,0,382
151,"PRIMARY SCHOOL LANGADE KA PURAVA",222,184,0,406,193,153,0,346,346,0,327,0,17,0,0,0,0,0,0,0,0,2,346
152,"JUNIOR HIGH SCHOOL MAUKHAS",561,488,0,1049,385,306,0,691,612,0,110,351,183,31,2,0,2,2,0,2,1,7,691
153,"JUNIOR HIGH SCHOOL GAURIRAJJAN",408,318,0,726,271,164,0,435,5,0,75,143,149,51,1,3,0,2,1,1,2,7,435
154,"PRIMARY SCHOOL RAINGAVAN KI  MADAIYA",443,365,0,808,307,259,0,566,566,0,24,374,147,2,0,1,0,3,2,3,4,6,566
155,"PRIMARY SCHOOL NORTH KAKSH BHOGNIPUR",538,462,0,1000,312,265,0,577,577,0,65,375,98,19,1,0,0,4,1,3,6,5,577
156,"PRIMARY SCHOOL SOUTH KAKSH  BHOGNIPUR",602,520,0,1122,423,315,0,738,738,0,174,208,218,118,4,1,1,3,2,2,3,4,738
157,"JUNIOR HIGH SCHOOL  NORTH KAKSH BHOGNIPUR",621,546,0,1167,424,364,0,788,788,0,231,182,197,163,2,7,0,1,3,0,1,1,788
