"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANURADHA SHARMA","2 - UMA BHARATI","3 - DR. CHANDRAPAL SINGH YADAV","4 - PRADEEP JAIN ADITYA","5 - ARCHANA","6 - CHINTAMANI","7 - NARESH KUMAR","8 - MAULANA MOHAMMAD","9 - SUNIL MASSEY","10 - KULDEEP KUMAR","11 - TULA RAM","12 - DILSHAD AHMAD","13 - RACHNA SHARMA","14 - RAJENDRA KUMAR","15 - RAM KUMAR ANK SHASTRI","16 - None of the Above","Total Votes Secured"
165,"PRIMARY SCHOOL SOUTH PART",599,546,0,1145,467,391,0,858,858,0,23,585,158,40,3,0,5,1,2,3,1,1,3,7,18,8,858
166,"J.H.SCHOOL BALAK NORTH  PART BAR",439,396,0,835,321,274,0,595,595,0,178,224,129,21,0,3,3,2,1,4,4,1,2,8,4,11,595
167,"PRIMARY SCHOOLEAST PART BAR",446,385,0,831,335,240,0,575,575,0,56,278,173,48,1,1,0,0,1,0,1,1,0,2,5,8,575
168,"PRIMARY SCHOOL MOTIKHERA BAR",275,249,0,524,258,211,0,469,184,0,1,10,450,4,0,0,0,0,1,0,0,0,0,3,0,0,469
169,"J.H. SCHOOL BLOCK  SOUTH PART BAR",640,574,0,1214,539,457,0,996,473,0,143,475,266,16,3,2,9,3,1,3,4,5,9,17,19,21,996
170,"PRIMARY SCHOOL GAINDORA",660,561,0,1221,505,419,0,924,924,0,95,432,306,35,7,2,6,2,2,2,2,1,4,9,10,9,924
171,"J.H. SCHOOL TURKA",380,319,0,699,330,285,0,615,607,0,56,368,172,5,1,0,0,1,1,0,0,1,0,4,5,1,615
172,"PRIMARY SCHOOL KATHWAR",204,169,0,373,179,132,0,311,87,0,38,262,6,0,0,1,1,0,0,0,0,0,0,1,1,1,311
173,"PRIMARY SCHOOL KHAIRA",573,505,0,1078,351,437,0,788,30,0,51,429,249,15,1,2,5,3,1,3,1,5,4,5,9,5,788
174,"PRIMARY SCHOOL BHAWNI",538,461,0,999,455,346,0,801,801,0,94,305,316,25,1,1,2,2,5,0,5,4,5,6,12,18,801
175,"PRIMARY SCHOOL BACHHRAWNI",655,572,0,1227,586,480,0,1066,941,0,173,335,446,11,7,5,10,3,5,5,8,5,12,11,11,19,1066
176,"PRIMARY SCHOOL DASHRARA",568,491,0,1059,459,370,0,829,827,0,145,386,203,24,2,0,2,0,3,4,5,4,4,11,19,17,829
177,"PRIMARY SCHOOL BHAILONILODH",750,655,0,1405,596,506,0,1102,1050,0,242,741,76,11,1,3,2,2,1,2,2,2,0,1,8,8,1102
178,"PRIMARY SCHOOL BAMHORISAHANA",354,347,0,701,319,298,0,617,244,0,69,520,19,3,0,0,1,1,0,0,0,0,1,0,2,1,617
179,"PRIMARY SCHOOL TODI",502,456,0,958,380,444,0,824,750,0,36,114,624,13,2,3,2,4,0,0,3,2,3,6,5,7,824
180,"J.H. SCHOOL TODI",531,514,0,1045,438,385,0,823,762,0,46,235,439,8,4,3,8,3,3,5,4,9,8,22,11,15,823
181,"J.H. SCHOOL EAST PART KARMAI",491,431,0,922,380,323,0,703,703,0,240,322,65,14,4,1,1,0,1,1,1,4,9,3,17,20,703
182,"J.H.S SCHOOL WEST PART KARMAI",439,366,0,805,372,292,0,664,664,0,17,419,162,15,1,0,7,1,1,2,1,5,13,9,11,0,664
183,"PRIMARY SCHOOL PURAPACHONI",259,213,0,472,212,147,0,359,359,0,187,137,17,4,0,0,1,1,1,2,1,1,0,2,2,3,359
184,"PRIMARY SCHOOL DULAWAN",480,451,0,931,401,374,0,775,6,0,209,278,209,14,2,1,10,4,3,2,2,6,5,9,12,9,775
185,"J.H. SCHOOL DULAWAN",493,449,0,942,404,329,0,733,733,0,30,534,93,21,7,5,9,6,2,3,5,3,0,2,7,6,733
186,"PRIMARY SCHOOL GADYANA",644,557,0,1201,560,477,0,1037,1037,0,179,365,344,15,3,0,9,3,6,5,7,10,13,21,31,26,1037
187,"J.H. SCHOOL GADYANA",760,650,0,1410,636,505,0,1141,1141,0,130,579,323,36,2,4,3,2,1,0,5,8,4,14,23,7,1141
188,"J.H. SCHOOL KHAJRA",592,527,0,1119,500,454,0,954,954,0,155,318,398,22,3,2,4,1,2,1,3,3,4,7,12,19,954
189,"NEW PRIMARY SCHOOL KARITORAN",300,283,0,583,261,219,0,480,11,0,117,205,139,1,1,1,2,0,0,0,1,1,0,2,6,4,480
190,"PRIMARY SCHOOL IMILIYA",323,262,0,585,235,188,0,423,156,0,90,180,131,11,0,0,1,0,0,0,1,1,0,1,4,3,423
191,"GIRLS PRIMARY SCHOOL DEVRAN",803,652,0,1455,630,493,0,1123,60,0,20,564,278,149,7,6,7,5,9,3,8,9,10,14,24,10,1123
192,"J.H. SCHOOL DEVRAN",788,700,0,1488,623,527,0,1150,1150,0,67,496,238,236,9,3,5,6,7,4,4,3,7,20,18,27,1150
193,"J.H.SCHOOL HANUPURA",577,555,0,1132,497,439,0,936,936,0,31,505,335,8,3,2,4,3,1,0,1,1,5,18,13,6,936
194,"HIGHER SCHOOL VASTRAVAN",765,669,0,1434,596,482,0,1078,1078,0,81,753,146,25,4,4,8,1,2,7,3,5,4,8,14,13,1078
195,"PRIMARY SCHOOL GADIYA",745,672,0,1417,525,511,0,1036,1029,0,32,311,643,13,1,1,1,3,2,1,2,7,1,8,5,5,1036
196,"J.H. SCHOOL KALYANPURA",770,690,0,1460,544,428,0,972,972,0,192,424,264,46,3,1,3,5,2,4,3,3,4,4,5,9,972
197,"J.H. SCHOOL MUHARO",678,686,0,1364,516,439,0,955,32,0,28,487,368,18,6,0,3,0,2,1,7,2,4,8,10,11,955
198,"PRIMARY SCHOOL MUHARO",450,441,0,891,360,334,0,694,693,0,185,283,153,9,0,6,7,1,1,0,2,3,6,13,10,15,694
199,"PRIMARY SCHOOL RAIPUR",853,710,0,1563,570,515,0,1085,1085,0,156,376,440,36,1,4,4,5,1,5,3,7,10,16,13,8,1085
200,"PRIMARY SCHOOL JAMORAMAFI",376,348,0,724,325,307,0,632,10,0,68,204,326,10,1,1,3,1,0,0,1,2,4,5,4,2,632
201,"PRIMARY SCHOOL BAJNO",470,409,0,879,390,320,0,710,476,0,86,397,151,35,1,2,2,6,1,3,0,3,4,9,6,4,710
202,"PRIMARY SCHOOL SIRSI",626,557,0,1183,494,427,0,921,920,0,88,364,370,39,2,3,4,3,1,2,3,3,4,10,9,16,921
203,"PRIMARY SCHOOL BRAJNAGAR SIRSI",299,274,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,"PRIMARY SCHOOL VINEKAMAFI",402,385,0,787,340,302,0,642,214,0,19,371,171,50,2,1,7,0,1,3,0,0,4,1,8,4,642
205,"PRIMARY SCHOOL GHISOLI",760,671,0,1431,580,484,0,1064,1064,0,166,470,277,34,3,2,9,3,3,4,8,10,11,12,25,27,1064
206,"PRIMARY SCHOOL CHITRA",251,223,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,"PRIMARY SCHOOL AAGAR",231,229,0,460,183,175,0,358,348,0,49,144,125,14,0,0,0,0,0,1,3,4,3,4,5,6,358
208,"J.H.S MAINWARA NORTH PART",505,453,0,958,415,360,0,775,775,0,230,320,144,27,3,2,3,1,1,4,6,3,6,4,7,14,775
209,"J.H.S MAINWARA SOUTH PART",530,476,0,1006,404,369,0,773,773,0,40,254,346,73,5,0,5,2,4,0,2,3,9,8,10,12,773
210,"NEW J.H.S NANORA EAST PART",429,387,0,816,317,264,0,581,581,0,77,339,84,26,4,4,3,3,2,3,3,1,3,10,7,12,581
211,"NEW J.H.S NANORA WEST PART",433,402,0,835,353,303,0,656,656,0,173,283,115,21,2,2,3,0,2,2,2,4,6,9,15,17,656
212,"PRIMARY SCHOOL TILHARI",322,293,0,615,271,254,0,525,4,0,39,61,399,9,0,0,1,2,1,0,0,0,2,4,5,2,525
213,"HIGHER SECONDRY SCHOOL BARODASWAMI NORTH SIDE",537,495,0,1032,446,367,0,813,813,0,13,579,158,16,0,2,5,1,1,1,2,5,5,7,11,7,813
214,"HIGHER SECONDRY SCHOOL BARODASWAMI SOUTH PART",564,520,0,1084,469,374,0,843,10,0,246,340,168,20,2,2,1,2,2,1,5,1,7,12,21,13,843
215,"PRIMARY SCHOOL BHADRA",349,320,0,669,296,260,0,556,13,0,45,329,142,16,2,0,0,2,0,1,0,0,1,2,12,4,556
216,"PRIMARY SCHOOL VINEKATORAN",202,180,0,382,178,138,0,316,154,0,52,157,91,10,1,0,0,0,1,0,0,0,0,1,2,1,316
217,"NEW PRIMARY SCHOOL NAUHARKALAN",516,492,0,1008,441,399,0,840,817,0,45,53,730,10,0,0,0,0,0,0,0,0,0,0,1,1,840
218,"PRIMARY SCHOOL NAUHARKHURD",261,243,0,504,230,205,0,435,395,0,8,21,395,6,0,0,2,1,0,0,0,0,0,1,0,1,435
219,"PRIMARY SCHOOL GORA",453,406,0,859,377,325,0,702,150,0,94,447,68,56,1,1,2,1,0,1,1,2,2,8,12,6,702
220,"PRIMARY SCHOOL SANKARWARKALA",246,206,0,452,208,173,0,381,10,0,69,43,239,16,1,0,2,1,2,0,0,1,2,1,1,3,381
221,"PRIMARY SCHOOL EKALGUVAN",247,211,0,458,220,157,0,377,377,0,102,22,233,6,2,0,1,0,0,0,0,0,2,1,3,5,377
222,"PRIMARY SCHOOL KARARI",224,202,0,426,206,156,0,362,362,0,4,14,302,27,1,1,0,1,0,0,2,0,1,3,2,4,362
223,"PRIMARY SCHOOL PANCHORA",368,323,0,691,335,271,0,606,4,0,216,63,276,39,1,1,1,0,0,1,0,0,0,1,5,2,606
224,"PRIMARY SCHOOL BASVAN",782,646,0,1428,633,459,0,1092,1092,0,109,230,487,173,9,2,6,1,1,4,5,2,15,10,14,24,1092
225,"PRIMARY SCHOOL KISALWAS",513,445,0,958,419,367,0,786,786,0,10,456,234,17,2,3,2,0,1,2,2,3,6,17,23,8,786
226,"J.H.S KISALWAS",390,346,0,736,319,278,0,597,168,0,34,392,116,12,4,0,1,0,0,1,1,1,6,5,16,8,597
227,"PRIMARY SCHOOL GURSORA",675,567,0,1242,563,455,0,1018,556,0,91,657,146,64,4,4,2,0,0,1,2,2,5,13,10,17,1018
228,"J.H.S KARMUHARO",575,497,0,1072,437,346,0,783,783,0,158,104,402,48,6,1,2,3,0,3,3,1,4,12,17,19,783
229,"PRIMARY SCHOOL LAGAUN",433,369,0,802,316,279,0,595,595,0,10,369,86,65,4,1,5,3,2,3,5,3,4,8,17,10,595
230,"J.H.S LAGAUN",441,419,0,860,346,308,0,654,327,0,128,394,56,22,1,2,5,1,2,2,2,3,2,7,17,10,654
231,"PRIMARY SCHOOL SEERONKALAN",576,510,0,1086,503,403,0,906,866,0,151,594,85,35,0,2,3,1,0,0,1,3,3,5,10,13,906
232,"PRIMARY SCHOOL SEERONKHURD",502,470,0,972,426,366,0,792,785,0,115,346,213,73,5,3,5,1,2,0,0,1,7,7,7,7,792
233,"PRIMARY SCHOOL RASOI",206,167,0,373,177,127,0,304,57,0,92,124,68,4,1,1,0,0,0,2,0,1,0,0,6,5,304
234,"PRIMARY SCHOOL BANOLI",336,272,0,608,288,226,0,514,14,0,35,217,226,9,0,0,1,0,0,1,2,1,4,5,5,8,514
235,"PRIMARY SCHOOL SATGATA",489,457,0,946,438,390,0,828,43,0,72,357,348,22,1,1,1,1,2,1,3,0,2,8,5,4,828
236,"PRIMARY SCHOOL MANGUVAN",371,329,0,700,289,247,0,536,72,0,52,257,122,63,1,2,3,0,1,0,2,3,3,6,11,10,536
237,"PRIMARY SCHOOL PANCHAMPUR",489,458,0,947,371,343,0,714,10,0,128,490,49,29,2,0,1,1,0,1,2,0,1,1,7,2,714
238,"PRIMARY SCHOOL ADWAHA",426,417,0,843,342,305,0,647,16,0,51,222,185,115,7,4,2,1,1,5,7,1,6,7,10,23,647
239,"J.H.S ADWAHA",381,370,0,751,304,284,0,588,588,0,33,261,167,82,3,2,1,0,2,1,3,2,4,6,14,7,588
240,"PRIMARY SCHOOL AALAPUR",753,668,0,1421,522,498,0,1020,2,0,388,256,303,9,4,2,5,1,0,2,2,1,4,10,16,17,1020
241,"J.H.S LAKHANPURA",738,703,0,1441,611,580,0,1191,1191,0,130,202,744,33,6,3,3,3,1,5,4,4,4,16,15,18,1191
242,"PRIMARY SCHOOL BHORSIL",250,219,0,469,227,174,0,401,247,0,36,102,227,12,1,0,2,0,3,2,2,1,3,2,2,6,401
243,"PRIMARY SCHOOL NADANWARA",803,710,0,1513,615,530,0,1145,1132,0,164,264,611,39,6,2,4,0,1,3,5,5,9,7,13,12,1145
244,"PRIMARY SCHOOL BANDPURA",270,263,0,533,229,195,0,424,424,0,63,37,295,13,1,3,2,0,0,0,0,2,0,4,1,3,424
245,"NEW PRIMARY SCHOOL ANDHER",424,355,0,779,328,270,0,598,596,0,161,101,297,10,0,0,2,2,1,2,1,0,3,7,5,6,598
246,"J.H.S GAINCHWARA",239,221,0,460,201,172,0,373,73,0,112,134,91,17,2,2,3,1,0,0,1,3,0,3,3,1,373
247,"PRIMARY SCHOOL MAHRONIKHURD",424,376,0,800,370,279,0,649,647,0,196,202,215,4,0,1,2,1,0,0,0,2,1,6,11,8,649
248,"NEW PRIMARY SCHOOL VIGHAMAHAVAT",356,320,0,676,301,253,0,554,468,0,111,309,99,5,0,0,4,1,3,2,0,1,1,2,11,5,554
249,"PRIMARY SCHOOL BAKHTAR",478,445,0,923,390,304,0,694,13,0,80,229,328,30,3,2,3,3,0,0,0,1,4,3,4,4,694
250,"PRIMARY SCHOOL BOOCHA",576,536,0,1112,488,412,0,900,57,0,275,384,160,46,0,2,3,1,0,1,2,3,3,2,8,10,900
251,"PRIMARY SCHOOL ANDHIYARI",431,409,0,840,378,311,0,689,689,0,143,347,113,16,3,2,8,2,4,1,1,2,8,9,17,13,689
252,"J.H.S THANWARA EAST PART",601,587,0,1188,458,460,0,918,918,0,158,447,157,50,6,4,6,12,4,3,5,10,8,14,17,17,918
253,"J.H.S THANWARA WEST PART",531,492,0,1023,376,318,0,694,694,0,110,292,196,59,3,1,1,2,3,1,2,1,2,3,7,11,694
254,"PRIMARY SCHOOL MINORA",369,343,0,712,321,287,0,608,79,0,89,318,151,17,4,0,5,3,1,2,2,3,2,3,6,2,608
255,"J.H.S DEVRI",532,454,0,986,418,350,0,768,692,0,108,487,128,10,1,0,3,2,3,1,3,3,1,6,8,4,768
256,"PRIMARY SCHOOL CHAMRAUVA",373,332,0,705,353,286,0,639,636,0,53,192,355,22,1,2,0,2,0,0,0,2,0,5,4,1,639
257,"PRIMARY SCHOOL MAILAR",724,637,0,1361,523,419,0,942,105,0,162,187,377,162,4,5,6,3,3,3,0,6,4,3,10,7,942
258,"PRIMARY SCHOOL BHARATPURA",738,738,0,1476,638,541,0,1179,8,0,138,421,484,70,2,3,4,3,0,4,3,1,5,11,22,8,1179
259,"PRIMARY SCHOOL RANIPURA",534,482,0,1016,358,321,0,679,679,0,55,238,323,33,3,2,4,1,0,2,1,1,1,6,3,6,679
260,"PRIMARY SCHOOL RANIPURA RAJGHAT NORTH PART",410,350,0,760,220,203,0,423,222,0,15,288,79,25,0,0,0,0,0,0,2,2,2,0,6,4,423
261,"PRIMARY SCHOOL RANIPURA RAJGHAT SOUTH PART",543,461,0,1004,322,308,0,630,308,0,59,311,172,20,3,3,3,1,2,4,8,5,6,14,7,12,630
262,"PRIMARY SCHOOL KALAPAHAD",790,665,0,1455,541,423,0,964,964,0,140,464,283,20,1,1,3,2,0,3,3,3,2,10,15,14,964
263,"J.H.S MADWARI EAST PART",455,407,0,862,349,287,0,636,510,0,68,445,57,6,4,2,6,2,0,2,1,1,3,10,13,16,636
264,"J.H.S MADWARI WEST PART",425,399,0,824,302,246,0,548,528,0,113,209,163,15,2,1,2,4,0,2,2,4,1,13,14,3,548
265,"PRIMARY SCHOOL NAIGANKALAN",322,285,0,607,240,190,0,430,418,0,12,221,122,28,1,2,4,1,2,2,0,5,7,5,8,10,430
266,"PRIMARY SCHOOL TORIYA",234,203,0,437,186,145,0,331,331,0,24,187,93,3,1,1,2,0,1,0,0,3,2,6,3,5,331
267,"PRIMARY SCHOOL DAILWARA",601,537,0,1138,423,370,0,793,33,0,29,562,109,31,4,3,2,2,1,1,3,2,7,5,17,15,793
268,"J.H.S DAILWARA EAST PART",469,461,0,930,320,286,0,606,606,0,132,279,115,29,1,2,5,2,2,2,4,3,0,4,10,16,606
269,"J.H.S DAILWARA WEST PART",679,591,0,1270,500,429,0,929,428,0,391,289,140,27,2,0,5,1,5,3,5,1,2,15,17,26,929
270,"PRIMARY SCHOOL JAIRWARA",521,498,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,"PRIMARY SCHOOL KARGAN",539,485,0,1024,440,313,0,753,36,0,93,308,285,22,3,1,3,4,0,1,1,2,4,4,10,12,753
272,"PRIMARY SCHOOL VIGHAKHET",376,320,0,696,325,273,0,598,598,0,170,323,67,12,1,0,0,0,1,0,2,1,0,2,9,10,598
273,"PRIMARY SCHOOL MAHARRA",219,218,0,437,185,170,0,355,80,0,6,207,123,6,1,1,2,1,0,1,0,0,3,1,1,2,355
274,"PRIMARY SCHOOL AMARPUR",226,215,0,441,212,190,0,402,6,0,40,118,228,6,1,0,1,1,0,0,0,0,0,2,5,0,402
275,"PRIMARY SCHOOL RONDA",614,565,0,1179,528,470,0,998,1,0,17,688,228,13,1,1,5,1,2,3,5,1,4,9,12,8,998
276,"J.H.S RONDA",665,649,0,1314,529,504,0,1033,630,0,420,296,217,16,4,2,5,3,3,5,0,3,6,8,18,27,1033
277,"PRIMARY SCHOOL SIVNIKHURD",333,306,0,639,289,233,0,522,518,0,14,409,54,9,2,3,3,1,1,2,1,3,0,2,10,8,522
278,"PRIMARY SCHOOL KHURA",377,353,0,730,288,223,0,511,134,0,28,259,164,12,2,1,7,2,2,3,7,2,2,10,5,5,511
279,"PRIMARY SCHOOL SILGAN NORTH PART",677,593,0,1270,504,386,0,890,883,0,320,342,86,73,6,1,2,3,2,5,2,3,2,6,13,24,890
280,"PRIMARY SCHOOL SILGAN SOUTH PART",573,526,0,1099,474,345,0,819,206,0,190,523,29,30,0,1,1,0,3,2,5,1,4,6,12,12,819
281,"J.H.S GANGAURA",763,686,0,1449,625,527,0,1152,947,0,79,766,175,63,0,1,9,0,2,5,3,3,8,9,23,6,1152
282,"J.H.S BUDWAR",443,376,0,819,367,283,0,650,122,0,27,357,205,22,1,2,1,2,3,4,2,3,2,7,4,8,650
283,"PRIMARY SCHOOL BUDWAR",404,381,0,785,329,274,0,603,3,0,31,317,193,12,2,0,1,2,0,4,4,1,6,8,10,12,603
284,"PRIMARY SCHOOL HARIPURA BUDWAR",448,392,0,840,368,276,0,644,644,0,205,305,80,21,3,2,2,2,1,1,0,1,1,3,12,5,644
285,"PRIMARY SCHOOL DHANGA BUDWAR",463,443,0,906,410,323,0,733,733,0,93,305,275,11,1,0,8,2,2,1,1,2,4,13,3,12,733
286,"PRIMARY SCHOOL KUAATALA",437,430,0,867,349,301,0,650,650,0,172,344,77,20,3,1,4,1,2,1,2,1,2,4,5,11,650
287,"J.H.S KUAATALA",495,473,0,968,381,291,0,672,270,0,12,507,96,8,4,2,4,2,0,4,2,2,3,3,11,12,672
288,"PRIMARY SCHOOL BAIRWARA",252,220,0,472,213,172,0,385,385,0,26,133,187,15,1,0,0,0,0,1,0,1,3,6,8,4,385
289,"SHREERAM CONVENT SCHOOL EAST PART",767,685,0,1452,454,406,0,860,860,0,68,625,109,41,1,1,3,0,0,0,3,0,3,2,4,0,860
290,"PRIMARY SCHOOL NEAR BY KASHIRAM AWAS VIKAS COLONY, GOVERNMENT COLLEGE",318,330,0,648,183,194,0,377,254,0,165,126,29,46,0,0,0,0,0,0,0,0,0,6,2,3,377
291,"SHRIRAM CONVENT SCHOOL NORTH PART RAMNAGAR",708,575,0,1283,409,289,0,698,427,0,72,491,58,44,3,1,3,0,0,0,3,3,3,1,9,7,698
292,"SHRIRAM CONVENT SCHOOL NORTH PART RAMNAGAR SOUTH PART",397,357,0,754,218,186,0,404,219,0,56,292,21,27,3,0,0,0,0,2,1,1,0,1,0,0,404
293,"PRIMARY SCHOOL NARAYANPURA EAST PART",965,850,0,1815,569,479,0,1048,777,0,191,700,61,53,2,3,5,4,0,3,3,2,0,3,7,11,1048
294,"SARASWATI SISHU MANDIR EAST PART CHOBYANA",524,510,0,1034,254,234,0,488,293,0,200,144,40,87,4,0,2,0,2,0,1,1,2,2,0,3,488
295,"PRIMARY SCHOOL BADAPURA",813,733,0,1546,524,421,0,945,690,0,72,585,67,195,3,1,0,0,0,1,0,1,2,2,10,6,945
296,"RAVINDRANATH TAIGORE PRIMARY SCHOOL BADAPURA",526,482,0,1008,288,258,0,546,532,0,27,444,40,26,2,0,0,2,0,2,0,1,0,0,0,2,546
297,"G0VI. CITY MEDICAL CENTER RAIDASPURA",430,370,0,800,201,191,0,392,382,0,96,198,6,87,1,0,1,1,0,0,0,0,0,0,2,0,392
298,"SARASWATI SISHU MANDIR WEST PART CHOBYANA",822,750,0,1572,453,470,0,923,82,0,386,323,72,110,1,2,6,2,1,0,1,0,2,2,6,9,923
299,"GOVERNMENT GIRLS PRIMARY SCHOOL MAHAVEERPURA, ROOM NO. 5",427,432,0,859,278,250,0,528,497,0,8,343,8,156,6,0,0,0,0,0,1,1,1,0,1,3,528
300,"GOVERNMENT GIRLS PRIMARY SCHOOL MAHAVEERPURA, ROOM NO. 6",472,435,0,907,304,230,0,534,534,0,77,183,61,196,5,1,2,1,2,0,0,0,2,2,1,1,534
301,"GOVERNMENT GIRLS PRIMARY SCHOOL MAHAVEERPURA, ROOM NO. 7",415,376,0,791,245,202,0,447,47,0,33,312,21,68,2,1,3,1,0,0,0,1,1,1,2,1,447
302,"GOVERNMENT GIRLS PRIMARY SCHOOL MAHAVEERPURA, EAST PART",504,487,0,991,267,201,0,468,420,0,36,204,80,140,0,0,0,0,1,0,0,1,2,0,1,3,468
303,"GOVERNMENT GIRLS PRIMARY SCHOOL MAHAVEERPURA, WEST PART",601,505,0,1106,305,255,0,560,38,0,252,178,63,55,2,0,0,1,0,0,0,0,0,0,1,8,560
304,"GOVERNMENT ADARSH SCHOOL NORTH PART",841,739,0,1580,434,343,0,777,769,0,66,479,92,111,0,0,0,0,1,0,1,2,0,5,11,9,777
305,"PRIMARY SCHOOL MANYAVAR KASHIRAM AWAS VIKAS COLONY NEAR GOVERNMENT ITI",491,443,0,934,270,258,0,528,398,0,158,259,75,27,1,1,1,0,0,0,3,0,1,0,0,2,528
306,"GOVERNMENT ADARSH SCHOOL SOUTH PART",747,609,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,"G.D.MEMORIAL PUBLIC CONVENT SCHOOL ROOM NO. 2",612,536,0,1148,373,314,0,687,647,0,42,565,33,26,0,2,3,0,0,0,1,5,3,1,4,2,687
308,"G.D.MEMORIAL PUBLIC CONVENT SCHOOL ROOM NO. 3",450,418,0,868,245,230,0,475,475,0,62,343,15,32,3,1,6,1,0,0,0,0,1,4,3,4,475
309,"G.D.MEMORIAL PUBLIC CONVENT SCHOOL ROOM NO. 4",532,393,0,925,312,226,0,538,533,0,29,436,22,29,4,0,2,2,2,0,1,0,0,2,7,2,538
310,"SWADAD VARNI JAIN CONVENT SCHOOL EAST PART",782,709,0,1491,387,345,0,732,722,0,36,495,53,138,4,0,0,0,0,0,0,0,0,2,1,3,732
311,"SWADAD VARNI JAIN CONVENT SCHOOL WEST PART",434,404,0,838,228,206,0,434,434,0,25,280,42,82,1,0,2,0,0,0,0,0,1,0,0,1,434
312,"GGIC LALITPUR",821,754,0,1575,324,271,0,595,96,0,74,245,53,218,4,0,0,0,0,0,0,0,0,0,1,0,595
313,"PRIMARY SCHOOL CIVIL LINE",592,369,0,961,331,186,0,517,517,0,49,27,254,170,3,0,0,0,0,2,0,0,2,3,2,5,517
314,"GIC EAST PART",877,759,0,1636,408,288,0,696,514,0,52,133,196,296,8,2,0,0,0,0,0,1,0,2,1,5,696
315,"GIC WEST PART",706,624,0,1330,310,284,0,594,532,0,57,242,80,208,3,0,0,0,0,0,0,0,0,0,2,2,594
316,"PURUSOTTAM NARAYAN INTER COLLEGE NORTH PART",347,357,0,704,229,208,0,437,288,0,38,350,5,31,2,0,2,1,1,1,0,0,1,0,2,3,437
317,"PURUSOTTAM NARAYAN INTER COLLEGE SOUTH PART",645,644,0,1289,442,351,0,793,129,0,16,574,51,133,6,0,1,0,1,1,1,0,1,0,2,6,793
318,"PURUSOTTAM NARAYAN INTER COLLEGE EAST PART",554,466,0,1020,343,268,0,611,567,0,3,325,20,252,10,0,0,0,0,0,0,0,0,0,0,1,611
319,"PURUSOTTAM NARAYAN INTER COLLEGE AZAD PARK EAST PART",437,387,0,824,265,239,0,504,504,0,23,332,36,104,1,1,1,0,1,0,1,0,0,0,4,0,504
320,"PURUSOTTAM NARAYAN INTER COLLEGE AZAD PARK WEST PART",426,381,0,807,274,227,0,501,500,0,36,297,33,123,3,0,3,0,0,1,0,0,3,0,1,1,501
321,"ATAL VIDYA MANDIR AZADPURA",805,626,0,1431,368,296,0,664,662,0,35,395,61,166,2,0,1,0,0,0,0,1,1,1,0,1,664
322,"PRIMARY SCHOOL AZADPURA EAST PART",804,664,0,1468,331,276,0,607,483,0,38,382,54,115,3,0,1,1,0,0,0,1,2,3,7,0,607
323,"PRIMARY SCHOOL AZADPURA WEST PART",542,444,0,986,219,210,0,429,425,0,31,309,32,49,1,1,0,0,0,0,0,1,1,3,0,1,429
324,"LADY BEKIN JUNIOR HIGH SCHOOL GOVINDSAGAR DEM NORTH PART",770,666,0,1436,353,291,0,644,53,0,71,424,55,74,6,0,0,3,1,1,0,0,0,0,4,5,644
325,"LADY BEKIN JUNIOR HIGH SCHOOL GOVINDSAGAR DEM SOUTH PART",617,510,0,1127,289,227,0,516,475,0,39,375,38,50,4,0,3,2,0,3,1,0,0,0,0,1,516
326,"PURUSOTTAM NARAYAN INTER COLLEGE AZAD PARK NORTH PART",607,560,0,1167,365,304,0,669,519,0,34,333,45,236,6,0,1,1,1,1,2,1,1,2,4,1,669
327,"SHREE VARNI JAIN INTER COLLEGE ROOM NO. 10",601,588,0,1189,339,299,0,638,505,0,38,379,67,132,8,1,1,0,0,1,1,1,0,3,1,5,638
328,"SHREE VARNI JAIN INTER COLLEGE ROOM NO. 11",735,643,0,1378,414,304,0,718,708,0,21,346,90,254,2,1,1,0,0,1,0,0,0,0,0,2,718
329,"SHREE VARNI JAIN INTER COLLEGE ROOM NO. 12",516,441,0,957,255,204,0,459,455,0,22,285,73,72,3,1,2,0,0,0,0,0,0,1,0,0,459
330,"SHREE VARNI JAIN INTER COLLEGE ROOM NO. 36",369,318,0,687,183,154,0,337,10,0,8,249,26,49,3,0,0,0,0,0,0,0,0,0,1,1,337
331,"LADY BEKIN JUNIOR HIGH SCHOOL GOVINDSAGAR DAM EAST PART",505,461,0,966,271,218,0,489,479,0,29,369,24,54,2,0,1,0,0,0,1,4,0,1,1,3,489
332,"LADY BEKIN JUNIOR HIGH SCHOOL GOVINDSAGAR DAM WEST PART",484,440,0,924,269,227,0,496,232,0,20,337,25,102,2,1,1,1,0,0,1,1,0,1,2,2,496
