"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
104,P.P.SUPAITI,506,457,0,963,317,265,0,582,1,0,397,122,31,3,1,1,3,1,0,7,5,11,582
105,P.P.JINEHAIRA-II,736,608,0,1344,416,358,0,774,565,0,82,266,404,5,1,1,0,2,1,1,3,8,774
106,P.P.JINEHAIRA-I,449,361,0,810,279,207,0,486,1,0,85,24,340,20,0,2,1,2,0,5,4,3,486
107,"R.I.COLLEGE JINEHAIRA",471,406,0,877,242,212,0,454,453,0,209,41,168,0,0,0,1,28,0,1,2,4,454
108,"P.P.NAGLA NATHA M0-JINEHAIRA",249,241,0,490,186,198,0,384,1,0,347,1,35,0,0,0,0,0,0,0,0,1,384
109,P.P.AZAMPUR,533,433,0,966,245,203,0,448,294,0,71,64,239,57,2,1,3,2,4,1,1,3,448
110,"P.P.RASOOLPUR GADHAULI R.NO-1",549,478,0,1027,425,278,0,703,289,0,51,32,604,4,1,1,0,2,1,4,3,0,703
111,"P.P.RASOOLPUR GADHAULI R.NO-2",541,454,0,995,464,324,0,788,788,0,32,2,738,5,1,1,1,2,0,2,1,3,788
112,P.P.BADHAULI,703,599,0,1302,506,394,0,900,35,0,3,124,758,3,0,0,1,3,1,0,4,3,900
113,P.P.GOBRA,448,382,0,830,233,234,0,467,1,0,27,142,278,2,2,2,2,1,2,1,2,6,467
114,"P.P.TATARPUR MAFI",206,185,0,391,136,139,0,275,8,0,14,156,101,0,0,1,0,0,1,0,1,1,275
115,P.P.BUDHAINA,413,335,0,748,216,188,0,404,180,0,60,12,318,1,0,2,1,0,0,3,3,4,404
116,P.P.MOHAMMADPUR,427,425,0,852,329,316,0,645,1,0,23,8,598,3,1,1,1,0,2,3,5,0,645
117,P.P.JARTHAL,883,708,0,1591,590,418,0,1008,604,0,157,72,717,5,0,2,0,0,0,51,4,0,1008
118,"P.P.NAGLA SHYAM",408,354,0,762,241,216,0,457,99,0,15,178,219,41,1,0,1,0,0,0,1,1,457
119,P.P.AMEERPUR,343,288,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,P.P.BURHANABAD,514,449,0,963,267,240,0,507,5,0,99,91,268,4,0,2,3,1,4,14,10,11,507
121,P.P.LODHAMAI,719,607,0,1326,396,295,0,691,248,0,245,137,269,25,0,1,2,3,2,1,3,3,691
122,P.P.UDDHIMPUR,490,424,0,914,294,268,0,562,353,0,185,2,346,3,0,0,3,4,3,10,2,4,562
123,P.P.DUDIYA,396,337,0,733,242,174,0,416,21,0,176,1,226,1,0,1,0,0,0,5,4,2,416
124,P.P.YADGARPUR,367,325,0,692,220,164,0,384,163,0,232,0,119,2,1,0,0,1,0,24,0,5,384
125,P.P.KALIYANPUR,647,502,0,1149,450,369,0,819,20,0,31,153,621,5,0,0,0,0,0,2,4,3,819
126,P.P.KHWAJGIPUR,502,455,0,957,351,294,0,645,26,0,14,34,584,3,0,0,2,3,1,1,2,1,645
127,"P.P.NAGLA KHARGI",350,315,0,665,202,227,0,429,14,0,46,284,87,1,0,2,2,0,0,0,3,4,429
128,"P.P.ACHALPUR R.N0-1",303,253,0,556,143,85,0,228,24,0,31,83,107,1,0,0,0,0,1,4,0,1,228
129,"P.P. NAGLA PREMI M0- ACHALPUR",419,313,0,732,271,151,0,422,12,0,347,1,69,1,0,0,0,1,0,0,0,3,422
130,"P.P.ACHALPUR R.N0-2",526,464,0,990,254,189,0,443,161,0,107,129,170,4,1,6,2,7,0,8,8,1,443
131,"P.P.NAGLA DATTI",282,234,0,516,234,169,0,403,21,0,392,0,8,0,0,0,0,0,1,0,0,2,403
132,"P.P.SURATPUR MAFI",626,525,0,1151,458,349,0,807,7,0,60,57,654,11,1,3,2,0,1,5,9,4,807
133,"P.P.NAGLA DHAK M0-SINYA",381,331,0,712,283,214,0,497,1,0,261,1,229,1,0,0,0,1,0,1,0,3,497
134,P.P.SINYA,537,453,0,990,314,278,0,592,350,0,126,76,369,4,0,1,0,4,0,3,3,6,592
135,P.P.BHOJPUR,369,324,0,693,204,153,0,357,261,0,87,25,230,3,1,1,2,1,2,3,2,0,357
136,"P.P.NAGLA JAWAHARI",356,329,0,685,276,234,0,510,1,0,254,0,240,8,0,1,0,0,0,1,3,3,510
137,"P.P. SHEORAI R.NO-1",674,605,0,1279,360,339,0,699,652,0,72,203,373,7,2,4,4,3,3,13,8,7,699
138,"P.P.SHEORAI R.NO-2",784,576,0,1360,445,294,0,739,90,0,156,11,540,9,0,1,0,1,4,7,5,5,739
139,"P.P. PITHANPUR",350,307,0,657,168,159,0,327,1,0,20,4,286,8,2,0,0,0,2,2,2,1,327
140,P.P.AMRATPUR,508,383,0,891,299,152,0,451,4,0,269,29,135,1,1,1,1,1,0,5,4,4,451
141,"P.P.LALPUR KALYANPUR",189,185,0,374,108,110,0,218,13,0,7,148,50,0,11,1,0,1,0,0,0,0,218
