"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - BAL KUMAR PATEL ALIAS RAJKUMAR","2 - BHAIRON PRASAD MISHRA","3 - RAMCHANDRA SARAS","4 - VIVEK KUMAR SINGH","5 - R. K. SINGH PATEL","6 - AMAR SINGH RATHAUR","7 - PAPPU YADAV","8 - PRABHAKAR PRASAD","9 - VISHVAMBHAR NATH","10 - MO. SAGEER","11 - SUSHEELA SINGH","12 - NARENDRA KUMAR SHRIVASTAVA","13 - VIJAY PRAKASH","14 - None of the Above","Total Votes Secured"
80,"PRATHMIK VIDYALAY BAMBURA",255,219,0,474,133,151,0,284,256,0,26,64,10,86,86,0,3,2,0,1,2,3,1,0,284
81,"PRATHMIK VIDYALAY DHAVADA[KOLHUWA]",356,327,0,683,238,212,0,450,422,0,73,146,8,24,186,2,0,1,3,1,0,2,2,2,450
82,"PURV MADYAMIK VIDYALAY AHIRI EAST ROOM",545,470,1,1016,261,268,0,529,529,0,82,108,8,12,277,3,2,0,9,2,4,4,7,11,529
83,"PURV MADYAMIK VIDYALAY AHIRI WEST ROOM",308,289,0,597,182,170,0,352,280,0,39,173,6,7,106,2,0,2,0,1,2,3,4,7,352
84,"PRATHMIK VIDYALAY CHHIVLI",276,245,0,521,154,160,0,314,150,0,48,182,6,11,50,4,4,1,3,1,0,2,0,2,314
85,"PRATHMIK VIDYALAY MAIDANA MAZRA MAU",297,238,0,535,166,160,0,326,9,0,40,70,4,8,177,5,2,0,4,2,1,4,2,7,326
86,"MAHAMATI PRAN NATH MAHAVIDYALAY ROOM N0 1 MAU",169,154,0,323,63,37,0,100,45,0,34,42,3,3,14,1,0,0,0,0,0,2,0,1,100
87,"MAHAMTI PRAN NATH MAHAVIDYALAY ROOM N0 2MAU",655,590,0,1245,325,244,0,569,400,0,102,344,14,44,52,3,0,1,2,0,1,3,2,1,569
88,"MAHAMATI PRAN NATH MAHAVIDYALAY  ROOM N03 MAU",485,411,0,896,275,179,0,454,395,0,46,321,6,20,37,9,1,1,1,1,1,2,3,5,454
89,"MAHAMATI PRAN NATH MAHAVIDYALAY   ROOM N0 4 MAU",554,481,0,1035,353,231,0,584,415,0,107,334,7,59,57,4,0,2,2,1,1,2,3,5,584
90,"MHAMTI PRAN NATH MAHAVIDYALAY  ROOM N0 5MAU",611,500,0,1111,275,223,0,498,494,0,100,254,1,87,40,11,0,1,0,0,0,1,1,2,498
91,"KAUSHAMBI INTER COLLAGE NORTH PART MAU",186,148,0,334,101,90,0,191,43,0,48,43,0,6,89,0,1,0,2,0,0,1,0,1,191
92,"K I C SOUTH  PART",686,585,0,1271,399,253,0,652,450,0,145,298,11,19,157,1,2,5,0,5,0,0,6,3,652
93,"PRATHMIK VIDYALAY MAU SOTH PART",463,397,0,860,230,213,0,443,429,0,30,62,5,17,311,5,0,5,0,2,2,1,1,2,443
94,"PRATHMIK VIDYALAY MAU NORTH PART",585,464,0,1049,257,209,0,466,464,0,40,171,4,25,214,5,1,0,2,0,0,1,0,3,466
95,"PRATHMIK VIDYALAY MAU WEST PART",698,541,0,1239,330,209,0,539,50,0,63,351,5,42,64,7,1,0,1,0,0,0,1,4,539
96,"PRATHMIK VIDYALAY MAU ROOM NO 2",489,369,0,858,193,135,0,328,324,0,75,187,1,21,39,1,0,1,0,0,0,0,0,3,328
97,"PRATHMIK VIDYALAY BAOSHADA MAZRA MAU",512,421,0,933,299,254,0,553,244,0,170,110,4,14,201,19,1,2,0,4,0,6,3,19,553
98,"PRATHMIK VIDYALAY CHHIPIHA MAZRA MAU",342,296,0,638,200,177,0,377,155,0,82,61,4,26,181,2,2,2,1,4,0,3,2,7,377
99,"PRATHMIK VIDYALAY PATORI",747,619,0,1366,480,293,0,773,349,0,161,301,12,72,197,4,1,4,2,1,4,9,3,2,773
100,"PRATHMIK VIDYALAY BHITARI",635,502,0,1137,370,326,0,696,370,0,171,196,11,20,261,3,1,2,5,6,0,4,5,11,696
101,"PRATHMIK VIDYALAY SHIVE PUR MAZRA SESASUBKRA",616,509,0,1125,420,340,0,760,681,0,74,369,19,30,232,7,1,2,3,3,3,4,5,8,760
102,"PRATHMIK VIDYALAY MANKUVAR",650,549,0,1199,318,301,0,619,53,0,35,296,8,40,202,3,2,3,6,0,1,5,3,15,619
103,"PRATHMIK VIDYALAY TIKRA",557,446,0,1003,234,168,0,402,234,0,129,157,7,10,86,4,0,0,0,0,0,2,2,5,402
104,"PURVA MADHYAMIK VIDYALAY CHHIVALHA EAST PART",465,385,0,850,276,219,0,495,480,0,154,170,10,14,110,2,0,1,1,2,4,5,7,15,495
105,"PURV MADYAMIK VIDYALAY CHHIVALHA WEST PART",472,403,0,875,286,258,0,544,498,0,147,126,7,11,215,1,0,2,4,2,0,5,7,17,544
106,"PRATHMIK VIDYALAY TILAULI",352,289,0,641,195,203,0,398,3,0,135,144,9,2,93,2,3,0,1,0,0,1,3,5,398
107,"PURV MADYAMIK VIDYALAY CHANDAI MAZRA TILAULI",681,570,0,1251,1,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
108,"PRATHMIK VIDYALAY KOTARA KHAMBHA",770,583,0,1353,415,292,0,707,603,0,127,331,19,23,150,3,2,1,1,3,6,2,17,22,707
109,"PRATHMIK VIDYALAY GHADHVA",817,657,0,1474,506,402,0,908,897,0,354,249,10,12,251,4,1,3,4,2,1,2,4,11,908
110,"PRATHMIK VIDYALAY PURAB PTAI EAST PART",625,467,0,1092,287,231,0,518,518,0,44,287,13,23,125,1,2,3,2,1,1,5,5,6,518
111,"PRATHMIK VIDYALAY PURAB PTAI WEST PART",526,433,0,959,267,236,0,503,492,0,22,240,15,17,181,0,0,3,1,1,2,4,6,11,503
112,"PANCHAYAT BHAVAN PASCHIM PTAI",290,244,0,534,184,157,0,341,290,0,10,247,9,2,65,3,0,1,0,2,0,1,1,0,341
113,"PRATHMIK VIDYALAY BARIYARI KLA",602,460,0,1062,314,255,0,569,34,0,39,115,11,10,331,14,3,2,4,5,3,2,10,20,569
114,"PRATHMIK VIDYALAY BILHA KA  PURVA MAZRA BARIYARI KALA",521,418,0,939,255,219,0,474,140,0,55,240,12,9,138,2,5,5,1,1,0,2,2,2,474
115,"PRATHMIK VIDYALAY BARIYARI KHURD",274,204,0,478,143,114,0,257,25,0,49,123,14,5,44,1,1,3,0,2,1,0,9,5,257
116,"PRATHMIK VIDYALAY BENIPUR PALI",216,146,0,362,99,75,0,174,7,0,27,125,4,5,6,1,0,0,0,0,0,0,2,4,174
117,"PRATHMIK VIDYALAY PARDAVA",773,600,0,1373,399,303,0,702,392,0,21,372,18,28,193,5,0,3,5,5,3,6,15,28,702
118,"PRATHMIK VIDYALAY BARAHA KOTRA",476,415,0,891,266,205,0,471,457,0,57,144,10,10,217,4,3,2,1,3,2,5,6,7,471
119,"PRATHMIK VIDYALAY MURKA EAST PART",519,429,0,948,308,239,0,547,418,0,29,453,11,3,42,0,0,4,1,0,0,1,2,1,547
120,"PRATHMIK VIDYALAY MURKA NORTH PART",495,418,0,913,275,208,0,483,89,0,152,113,5,28,155,3,1,3,1,2,4,3,2,11,483
121,"PRATHMIK VIDYALAY MURKA SOUTH PART",486,435,0,921,268,216,0,484,216,0,221,45,6,20,145,2,2,2,9,4,3,4,5,16,484
122,"PRATHMIK VIDYALAY ARVARI NAODHIYA",243,204,0,447,183,146,0,329,34,0,140,68,4,88,13,0,0,3,1,1,0,0,4,7,329
123,"PRATHMIK VIDYALAY OVARI",525,436,2,963,297,261,0,558,558,0,33,235,19,93,127,4,3,2,3,2,2,11,6,18,558
124,"PRATHMIK VIDYALAY LALAI",378,308,0,686,208,143,0,351,351,0,100,123,4,52,55,1,1,1,2,2,1,2,1,6,351
125,"PRATHMIK VIDYALAY LODHAUTA KLA",474,364,0,838,272,182,0,454,242,0,273,82,3,7,81,1,0,0,2,1,0,0,2,2,454
126,"PRATHMIK VIDYALAY HARDI KLA",424,391,0,815,265,262,0,527,523,0,153,109,20,18,155,5,1,3,36,3,2,3,5,14,527
127,"PRATHMIK VIDYALAY BOJH",551,431,0,982,341,274,0,615,609,0,158,138,21,202,78,4,1,1,3,0,2,1,2,4,615
128,"PRATHMIK VIDYALAY SEMRA",587,475,0,1062,341,273,0,614,591,0,146,157,7,121,154,3,3,3,2,3,1,3,5,6,614
129,"PRATHMIK VIDYALAY DHAONEHA MAZRA SEMRA",562,430,0,992,315,234,0,549,381,0,148,121,15,45,179,4,2,0,1,4,5,6,7,12,549
130,"PRATHMIK VIDYALAY KITAHAI MAZRA KHOHAR",421,365,0,786,252,244,0,496,496,0,90,208,7,19,151,3,1,0,2,1,1,1,3,9,496
131,"PURV MADYAMIK  VIDYALAY KHOHR",638,516,0,1154,349,277,0,626,587,0,217,123,9,101,108,6,4,6,3,3,6,7,12,21,626
132,"PRATHMIK VIDYALAY MADHA",801,701,0,1502,461,392,0,853,733,0,306,196,11,14,272,8,3,3,2,4,2,6,5,21,853
133,"PRATHMIK VIDYALAY HADAHA MAZRA GOIYA KHURD",398,320,0,718,241,225,0,466,122,0,73,113,7,39,191,2,1,1,5,4,5,5,7,13,466
134,"PURV MADYAMIK  VIDYALAY NAVEEN GOIYA KHURD [ON ROAD]",610,489,0,1099,325,275,0,600,509,0,149,247,11,53,110,4,1,1,2,2,3,2,6,9,600
135,"PRATHMIK VIDYALAY BARGADH NORTH PART",425,331,0,756,241,182,0,423,387,0,20,299,14,36,35,1,0,2,0,2,2,1,3,8,423
136,"PRATHMIK VIDYALAY BARGADH",438,366,0,804,248,196,0,444,37,0,48,263,9,30,78,1,1,1,1,2,1,1,3,5,444
137,"PRATHMIK VIDYALAY BARGADH EAST PART",774,618,0,1392,452,334,0,786,203,0,198,233,18,179,123,4,2,4,2,3,6,4,5,5,786
138,"PRATHMIK VIDYALAU BARGADH WEST PART",789,651,0,1440,520,399,0,919,562,0,156,434,13,209,63,0,1,1,1,5,3,3,6,24,919
139,"PRATHMIK VIDYALAY BARGADH STESION EAST",482,372,0,854,236,172,0,408,203,0,61,94,13,153,53,4,4,1,2,1,4,2,4,12,408
140,"PRATHMIK VIDYALAY BARGADH STESION WEST",570,484,0,1054,215,191,0,406,405,0,41,142,11,119,56,4,0,1,1,2,3,1,4,21,406
141,"PRATHMIK VIDYALAY KALCHIHA",255,225,0,480,156,148,0,304,156,0,9,228,12,5,44,1,0,0,0,0,0,1,2,2,304
142,"PURVA MADYAMIK VIDYALAY KALCHIHA",293,285,0,578,190,203,0,393,267,0,49,52,8,206,55,2,0,2,1,2,1,2,5,8,393
143,"PRATHMIK VIDYALAY JAMIRA",358,307,0,665,239,209,0,448,160,0,94,74,18,182,68,2,1,0,2,1,1,1,0,4,448
144,"PRATHMIK VIDYALAY MANKA CHHATAINI",772,687,0,1459,415,423,0,838,800,0,64,623,22,43,50,2,1,3,6,2,2,2,8,10,838
145,"PRATHMIK VIDYALAY KANIYAD",418,356,0,774,230,128,0,358,189,0,15,112,3,33,173,3,2,0,1,0,1,3,3,9,358
146,"PRATHMIK VIDYALAY KONIYA",337,281,0,618,215,179,0,394,255,0,6,244,4,21,108,0,1,1,1,2,1,0,3,2,394
147,"PRATHMIK VIDYALAY MATIYAR MAZRA GAHUR",275,218,0,493,174,151,0,325,235,0,160,95,3,36,16,1,1,1,0,0,2,0,4,6,325
148,"PURV MADYAMIK VIDYALAY GAHUR",646,557,0,1203,343,302,0,645,24,0,86,361,11,41,125,4,0,0,1,0,0,3,3,10,645
149,"PRATHMIK VIDYALAY RAIPURA",634,527,0,1161,333,315,0,648,449,0,50,375,28,21,136,3,1,1,3,2,0,7,7,14,648
150,"PRATHMIK VIDYALAY DODIYA MAFI",547,441,0,988,308,281,0,589,264,0,63,240,11,175,66,6,3,0,2,2,6,3,5,7,589
151,"PRATHMIK VIDYALAY KOTVA MAFI",434,368,0,802,244,226,0,470,201,0,124,115,2,10,180,5,0,5,3,2,1,1,9,13,470
152,"PRATHMIK VIDYALAY BAMBURI",552,470,0,1022,346,289,0,635,410,0,279,131,6,12,147,3,3,2,2,32,3,3,5,7,635
153,"PRATHMIK VIDYALAY KATAIYA DADI EAST",494,374,0,868,280,186,0,466,421,0,178,121,3,72,74,2,0,1,0,1,1,2,3,8,466
154,"PRATHMIK VIDYALAY KATAIYA DADI WEST",425,344,0,769,200,182,0,382,311,0,106,76,6,66,102,1,0,2,1,4,2,5,6,5,382
155,"PRATHMIK VIDYALAY LAPAV",385,330,0,715,225,206,0,431,130,0,173,19,2,4,221,1,0,4,0,1,0,2,1,3,431
156,"PRATHMIK VIDYALAY AOJHAR",670,586,0,1256,392,363,0,755,753,0,357,145,15,83,122,5,2,2,4,3,4,5,2,6,755
