"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANJU URF MUSKAN","2 - KAMLESH","3 - PRADEEP KUMAR JATAV","4 - BHOLA SINGH","5 - PYARE LAL","6 - RAGHURAJ PRATAP SINGH","7 - DR. RAHUL DIPANKAR","8 - VIJAI PAL","9 - SURESH","10 - HARVIR","11 - None of the Above","Total Votes Secured"
180,"KARAINA PRIMARY SCHOOL",836,738,0,1574,486,382,0,868,868,0,27,67,292,457,5,1,7,4,2,2,4,868
181,"ANOUNA PRIMARY SCHOOL",633,577,0,1210,376,396,0,772,772,0,3,33,313,402,3,0,5,2,0,6,5,772
182,"AMARPUR PRIMARY SCHOOL",775,679,0,1454,441,334,0,775,775,0,4,68,156,513,9,0,4,4,3,9,5,775
183,"LALNER PRIMARY SCHOOL R.NO. 1",437,386,0,823,246,256,0,502,502,0,29,81,48,326,2,2,2,1,1,6,4,502
184,"LALNER PRIMARY SCHOOL R.NO. 2",441,403,0,844,279,270,0,549,549,0,8,53,356,115,0,0,1,1,3,6,6,549
185,"LALNER PRIMARY SCHOOL R.NO. 3",462,407,0,869,206,194,0,400,400,0,29,26,156,167,2,0,11,2,2,1,4,400
186,"SURJAWALI PRIMARY SCHOOL R.NO.1",525,483,0,1008,322,314,0,636,636,0,1,78,386,158,0,1,4,1,0,2,5,636
187,"SURJAWALI PRIMARY SCHOOL R.NO.2",349,304,0,653,190,206,0,396,396,0,5,30,267,82,1,0,0,2,1,7,1,396
188,"TURKIPURAVASH PRIMARY SCHOOL",615,553,0,1168,405,326,0,731,731,0,54,4,138,516,2,1,1,4,1,5,5,731
189,"BHAIYAPUR PRIMARY SCHOOL",681,614,0,1295,373,334,0,707,707,0,12,85,172,391,5,4,5,8,10,6,9,707
190,"NAGLA SARANGPUR PRIMARY SCHOOL",672,629,0,1301,439,390,0,829,829,0,160,200,271,174,6,3,2,2,2,2,7,829
191,"NAGLA HARI SINGH PRIMARY SCHOOL",460,414,0,874,332,286,0,618,618,0,14,8,134,450,0,0,8,0,0,2,2,618
192,"AZIZABAD PRIMARY SCHOOL",641,577,0,1218,443,337,0,780,780,0,20,17,11,719,3,0,3,2,1,3,1,780
193,"KUNWARPUR PRIMARY SCHOOL R.NO. 1",400,356,0,756,241,188,0,429,429,0,6,47,60,298,1,0,2,2,1,1,11,429
194,"KUNWARPUR PRIMARY SCHOOL R.NO. 2",491,411,0,902,271,215,0,486,486,0,5,15,2,456,2,0,1,2,1,1,1,486
195,"KUNWARPUR SAMUNDAYIK BHAWAN",212,180,0,392,129,113,0,242,242,0,4,2,224,9,1,0,1,0,0,0,1,242
196,"BAROULA PRIMARY SCHOOL",590,533,0,1123,366,306,0,672,672,0,37,25,261,294,1,1,30,5,4,5,9,672
197,"BAROULA SAMUNDAYIK BHAWAN",303,275,0,578,151,112,0,263,263,0,1,5,3,247,0,0,2,1,0,3,1,263
198,"BAD PRIMARY SCHOOL",378,332,0,710,246,207,0,453,453,0,28,43,2,363,0,0,4,0,1,11,1,453
199,"BAD SAMUNDAYIK BHAWAN",225,187,0,412,180,150,0,330,330,0,0,1,89,239,0,0,0,0,0,1,0,330
200,"SYARALI JANTA ADARSH VIDYALYA",583,519,0,1102,396,336,0,732,732,0,3,51,70,596,0,0,1,7,1,3,0,732
201,"SALVAHANPUR PRIMARY SCHOOL",372,330,0,702,263,202,0,465,465,0,12,73,27,331,3,7,1,2,3,5,1,465
202,"SAIDGARHI PRIMARY SCHOOL",633,571,0,1204,351,329,0,680,680,0,6,75,133,435,5,1,4,4,4,7,6,680
203,"BHIKAMPUR PRIMARY SCHOOL",687,601,0,1288,385,320,0,705,705,0,7,65,197,417,6,2,4,3,0,3,1,705
204,"SALABAD PRIMARY SCHOOL R.NO. 1",361,326,0,687,231,217,0,448,448,0,4,61,21,347,8,0,2,0,2,1,2,448
205,"SALABAD PRIMARY SCHOOL R.NO. 2",515,463,0,978,326,270,0,596,596,0,1,72,230,253,2,3,15,2,2,3,13,596
206,"DHAKNAGLA PRIMARY SCHOOL",248,220,0,468,151,151,0,302,302,0,1,47,1,236,6,2,2,3,0,2,2,302
207,"RUNSI PRIMARY SCHOOL",770,685,0,1455,504,457,0,961,961,0,4,18,99,790,8,4,6,9,5,12,6,961
208,"LUDHPURA PRIMARY SCHOOL",398,357,0,755,195,208,0,403,403,0,4,16,159,207,0,0,12,0,1,3,1,403
209,"KIRATPUR PRIMARY SCHOOL R.NO. 1",707,627,1,1335,310,312,0,622,622,0,3,5,128,443,12,3,8,2,6,2,10,622
210,"KIRATPUR PRIMARY SCHOOL R.NO. 2",523,465,0,988,318,282,0,600,600,0,6,7,102,477,4,0,0,0,2,2,0,600
211,"NAGLANAU PRIMARY SCHOOL",360,322,0,682,225,174,0,399,399,0,5,4,4,366,2,0,1,5,0,11,1,399
212,"AHAMDVAS PRIMARY SCHOOL",640,570,0,1210,325,273,0,598,598,0,5,22,72,466,5,1,4,5,3,10,5,598
213,"BADRKHA SEERVASH PRIMARY SCHOOL R.NO.1",471,409,0,880,357,263,0,620,620,0,5,36,87,478,2,1,1,2,1,4,3,620
214,"BADRKHA SEERVASH PRIMARY SCHOOL R.NO.2",355,336,0,691,230,192,0,422,422,0,3,19,28,353,4,0,7,2,0,4,2,422
215,"BIKUPUR RAMNAGAR PRIMARY SCHOOL",691,624,0,1315,448,434,0,882,882,0,0,24,521,311,5,2,1,2,3,6,7,882
216,"SAMASPUR PRIMARY SCHOOL",664,590,0,1254,379,361,0,740,740,0,10,48,176,474,5,1,10,7,1,2,6,740
217,"CHOUNDERA PRIMARY SCHOOL R.NO. 1",722,630,0,1352,451,344,0,795,795,0,5,16,52,672,12,5,4,3,4,7,15,795
218,"CHOUNDERA PRIMARY SCHOOL R.NO. 2",659,587,0,1246,421,363,0,784,784,0,10,65,29,645,4,0,5,4,0,13,9,784
219,"CHOUNDERA LALBAHDUR INTER COLLEGE R.NO. 1",485,450,0,935,288,271,0,559,559,0,13,113,197,221,0,0,5,2,1,4,3,559
220,"CHOUNDERA LALBAHDUR INTER COLLEGE R.NO. 2",436,379,0,815,222,271,0,493,493,0,5,7,401,65,1,2,0,1,5,2,4,493
221,"CHOUNDERA LALBAHDUR INTER COLLEGE R.NO. 3",393,365,0,758,188,170,0,358,358,0,6,144,194,2,1,0,5,1,2,0,3,358
222,"NAGLA BANJARAN CHAUNDHERA PRIMARY SCHOOL",265,229,0,494,111,147,0,258,258,0,4,2,56,184,0,1,1,4,0,2,4,258
223,"BARKHERA HASANGARHI PRIMARY SCHOOL",364,318,0,682,233,247,0,480,480,0,2,4,34,408,4,2,4,3,2,12,5,480
224,"BARKHERA HASANGARHI JUNIOR HIGH SCHOOL",340,306,0,646,182,174,0,356,356,0,7,2,335,7,1,1,1,0,0,0,2,356
225,"PANDRAWAL JUNIOR HIGH SCHOOL R.NO. 1",430,389,0,819,248,224,0,472,472,0,9,270,29,153,2,1,2,0,1,3,2,472
226,"PANDRAWAL JUNIOR HIGH SCHOOL R.NO. 2",447,402,0,849,278,259,0,537,537,0,4,65,6,443,3,0,1,4,0,11,0,537
227,"PANDRAWAL JUNIOR HIGH SCHOOL R.NO. 3",261,237,0,498,158,150,0,308,308,0,2,114,24,160,1,0,1,2,1,1,2,308
228,"PANDRAWAL SAMUNDAYIK BHAWAN",414,380,0,794,262,288,0,550,550,0,3,5,469,58,2,2,2,1,6,1,1,550
229,"RAMPUR PRIMARY SCHOOL R.NO. 1",642,555,0,1197,424,379,0,803,803,0,6,56,130,597,2,1,1,3,0,6,1,803
230,"RAMPUR PRIMARY SCHOOL R.NO. 2",265,240,0,505,191,191,0,382,382,0,7,194,74,98,0,1,3,2,3,0,0,382
231,"MANPUR PRIMARY SCHOOL",678,608,0,1286,513,404,0,917,917,0,13,376,62,431,6,3,1,2,1,8,14,917
232,"RANAICH PRIMARY SCHOOL",751,652,0,1403,457,409,0,866,866,0,2,18,104,703,3,3,7,7,5,7,7,866
233,"NARENDRAPUR PRIMARY SCHOOL",570,480,0,1050,320,254,0,574,574,0,3,18,199,348,0,0,4,0,0,1,1,574
234,"KANDHO NETRAM INTER COLLEGE",398,337,0,735,183,149,0,332,332,0,4,20,78,209,4,0,9,1,1,3,3,332
235,"NAGLA DALPATPUR PRIMARY SCHOOL",541,495,0,1036,299,282,0,581,581,0,4,23,109,427,3,1,4,0,1,7,2,581
236,"KRIYAVALI PRIMARY SCHOOL",638,576,0,1214,326,279,0,605,605,0,51,59,152,315,1,0,14,4,1,3,5,605
237,"KHANDAR PANCHAYAT GHAR",657,589,0,1246,373,342,0,715,715,0,29,23,203,414,7,2,15,5,1,4,12,715
238,"URDMI PRIMARY SCHOOL",276,245,0,521,190,186,0,376,376,0,1,6,320,46,0,0,3,0,0,0,0,376
239,"DIGHI PRIMARY SCHOOL R.NO. 1",475,410,0,885,296,277,0,573,573,0,0,15,380,168,3,0,1,2,1,3,0,573
240,"DIGHI PRIMARY SCHOOL R.NO. 2",796,711,0,1507,492,425,0,917,917,0,25,37,130,684,8,5,10,1,2,8,7,917
241,"BANAIL PRIMARY SCHOOL R.NO. 1",775,725,0,1500,423,399,0,822,822,0,11,100,224,474,2,1,1,6,1,1,1,822
242,"BANAIL PRIMARY SCHOOL R.NO.2",637,568,0,1205,398,220,0,618,618,0,6,100,17,482,1,0,6,1,1,2,2,618
243,"BANAIL KUNWAR BALBEERSINGH UCCH. MADYAMIK SCHOOL R.NO.1",462,407,0,869,287,193,0,480,480,0,3,164,12,294,1,0,1,1,2,2,0,480
244,"BANAIL KUNWAR BALBEERSINGH UCCH. MADYAMIK SCHOOL R.NO.2",462,418,0,880,263,257,0,520,520,0,5,36,218,230,2,1,6,0,9,6,7,520
245,"PAHASU PRIMARY SCHOOL",478,448,0,926,346,243,0,589,589,0,21,129,39,390,1,0,2,1,2,2,2,589
246,"PAHASU URMILA RAGHAV GIRLS INTER COLLEGE R.NO. 1",791,691,0,1482,446,352,0,798,798,0,117,338,146,178,3,1,1,5,1,0,8,798
247,"PAHASU URMILA RAGHAV GIRLS INTER COLLEGE R.NO. 2",612,547,0,1159,369,237,0,606,606,0,88,373,107,19,1,1,2,2,4,2,7,606
248,"PAHASU URMILA RAGHAV GIRLS INTER COLLEGE R.NO. 3",766,667,0,1433,415,350,0,765,765,0,96,430,156,53,3,1,6,5,2,7,6,765
249,"PAHASU JANTA INTER COLLEGE R.NO. 1",523,481,0,1004,329,213,0,542,542,0,68,128,220,117,0,0,0,0,3,1,5,542
250,"PAHASU JANTA INTER COLLEGE R.NO. 2",697,615,0,1312,416,351,0,767,767,0,40,111,500,88,2,1,8,4,0,7,6,767
251,"PAHASU MUKRRAM INTER COLLEGE R.NO. 1",761,648,0,1409,428,324,0,752,752,0,215,98,54,375,2,0,2,2,1,0,3,752
252,"PAHASU MUKRRAM INTER COLLEGE R.NO. 2",496,431,0,927,336,246,0,582,582,0,24,41,183,326,3,0,4,0,0,0,1,582
253,"PAHASU MUKRRAM INTER COLLEGE R.NO. 3",468,416,0,884,358,305,0,663,663,0,10,25,26,589,3,0,2,1,0,3,4,663
254,"PAHASU MUKRRAM INTER COLLEGE R.NO. 4",521,459,0,980,319,255,0,574,574,0,4,37,45,477,1,2,1,2,2,1,2,574
255,"PAHASU MUKRRAM INTER COLLEGE R.NO. 5",785,725,0,1510,538,412,0,950,950,0,127,128,369,311,2,2,2,2,1,4,2,950
256,"NAGLA FATIHABAD PRIMARY SCHOOL",222,194,0,416,140,140,0,280,280,0,0,1,270,6,1,0,0,0,2,0,0,280
257,"PAHASU DEHAT PRIMARY SCHOOL",584,511,0,1095,396,326,0,722,722,0,6,91,328,281,2,0,2,2,0,7,3,722
258,"FATIHABAD PRIMARY SCHOOL",541,489,0,1030,335,298,0,633,633,0,9,46,337,217,6,0,3,3,2,3,7,633
259,"SOI PRIMARY SCHOOL",530,466,0,996,350,293,0,643,643,0,8,93,30,502,2,1,2,1,1,2,1,643
260,"PRIMARY SCHOOL NO. 2 SOI KA NAGLA",422,372,0,794,283,256,0,539,539,0,3,34,59,428,4,0,1,4,2,1,3,539
261,"KASUMI PRIMARY SCHOOL R.NO. 1",513,448,0,961,303,267,0,570,570,0,4,5,368,174,0,3,2,3,4,2,5,570
262,"KASUMI PRIMARY SCHOOL R.NO. 2",392,342,0,734,253,221,0,474,474,0,6,30,56,373,0,0,2,1,0,1,5,474
263,"NAGLIYA LAXMANPUR PRIMARY SCHOOL",359,325,0,684,236,190,0,426,426,0,4,57,2,357,2,1,1,0,0,0,2,426
264,"FAZALPUR PRIMARY SCHOOL",464,422,0,886,292,293,0,585,585,0,0,6,118,447,5,1,0,1,0,3,4,585
265,"RASOOLGARH PRIMARY SCHOOL R.NO. 1",331,289,0,620,181,172,0,353,353,0,1,9,128,175,0,0,28,3,0,3,6,353
266,"RASOOLGARH PRIMARY SCHOOL R.NO. 2",566,503,0,1069,301,262,0,563,563,0,9,83,109,333,3,2,10,5,2,5,2,563
267,"TYOURI PRIMARY SCHOOL R.NO. 1",752,659,0,1411,385,353,0,738,738,0,20,237,96,353,8,4,2,0,3,5,10,738
268,"TYOURI PRIMARY SCHOOL R.NO. 2",264,240,0,504,136,139,0,275,275,0,1,7,31,228,2,0,0,1,1,1,3,275
269,"NAGLA RANJIT  PRIMARY SCHOO",325,296,0,621,279,183,0,462,462,0,1,1,12,444,0,2,0,0,0,1,1,462
270,"JINAMAI PRIMARY SCHOOL",523,430,0,953,332,281,0,613,613,0,11,19,80,484,5,1,0,4,1,3,5,613
271,"GANGAGARH PRIMARY SCHOOL R.NO. 1",673,621,0,1294,386,395,0,781,781,0,7,24,241,477,5,3,5,4,3,10,2,781
272,"GANGAGARH PRIMARY SCHOOL R.NO. 2",637,585,0,1222,321,351,0,672,672,0,1,8,435,214,2,1,2,2,3,2,2,672
273,"PADA PRIMARY SCHOOL",273,247,0,520,177,159,0,336,336,0,2,0,55,269,2,0,3,2,1,0,2,336
274,"KANAINI VEDRAMPUR PRIMARY SCHOOL R.NO. 1",489,438,0,927,258,251,0,509,509,0,5,25,294,170,1,0,6,1,2,2,3,509
275,"KANAINI VEDRAMPUR PRIMARY SCHOOL R.NO.2",367,338,0,705,201,198,0,399,399,0,9,16,155,211,0,1,1,1,1,1,3,399
276,"VEDRAM PRIMARY SCHOOL",427,375,0,802,251,220,0,471,471,0,0,11,83,367,1,0,1,2,1,4,1,471
277,"ALLIPUR MUBARIKPUR JUNIOR HIGH SCHOOL",381,324,0,705,249,217,0,466,466,0,1,19,56,372,4,3,2,2,1,2,4,466
278,"MAHUAKHERA PRIMARY SCHOOL",557,488,0,1045,376,344,0,720,720,0,3,16,204,465,5,3,6,3,4,6,5,720
279,"RISALOO PRIMARY SCHOOL R.NO.1",422,381,0,803,245,237,0,482,482,0,4,41,160,253,2,1,3,2,7,3,6,482
280,"RISALOO PRIMARY SCHOOL R.NO.2",417,378,0,795,245,215,0,460,460,0,1,15,50,376,1,2,2,2,2,4,5,460
281,"KAMOUNA P.UCCHTAR MADYAMIK SCHOOL R.NO. 1",474,432,0,906,208,204,0,412,412,0,10,111,13,246,4,1,15,3,4,3,2,412
282,"KAMOUNA P.UCCHTAR MADYAMIK SCHOOL R.NO. 2",586,518,0,1104,293,260,0,553,553,0,8,142,98,277,2,1,14,1,0,2,8,553
283,"SAMUNDAYIK BHAWAN KAMOUNA",516,456,0,972,294,264,0,558,558,0,0,10,536,6,1,1,2,1,0,0,1,558
284,"JALALPUR PRIMARY  SCHOOL",340,307,0,647,196,213,0,409,409,0,5,137,22,234,3,0,1,1,4,2,0,409
285,"SARBHANNA PRIMARY SCHHOL R.NO.1",365,326,0,691,190,178,0,368,368,0,8,129,3,218,3,0,1,2,1,2,1,368
286,"SARBHANNA PRIMARY SCHHOL R.NO.2",611,549,0,1160,370,324,0,694,694,0,5,227,205,229,5,2,5,1,3,6,6,694
287,"SAHAR JUNIOR HIGH SCHOOL R.NO.1",220,187,0,407,110,94,0,204,204,0,3,2,4,188,1,0,0,0,0,6,0,204
288,"SAHAR SAMUNDAYIK  BHAWAN",279,240,0,519,145,145,0,290,290,0,4,3,246,24,2,0,4,2,1,3,1,290
289,"SAHAR JUNIOR HIGH SCHOOL R.NO.2",598,534,0,1132,375,275,0,650,650,0,8,57,5,572,4,0,0,0,1,1,2,650
290,"LALGARHI PRIMARY  SCHOOL",383,344,0,727,242,212,0,454,454,0,1,148,15,271,3,0,7,1,0,3,5,454
291,"LALGARHI SAMUNDAYIK BHAWAN",387,341,0,728,192,233,0,425,425,0,1,5,386,16,2,2,2,0,5,1,5,425
292,"BAN PRIMARY SCHOOL 1",548,488,0,1036,333,308,0,641,641,0,6,129,260,220,2,1,4,6,3,5,5,641
293,"NARAU JUNIOR HIGH SCHOOL R.NO. 1",469,413,0,882,232,212,0,444,444,0,16,67,89,258,1,0,2,2,1,2,6,444
294,"NARAU JUNIOR HIGH SCHOOL R.NO. 2",547,504,0,1051,279,265,0,544,544,0,126,215,59,117,2,1,0,5,2,6,11,544
295,"BARKATPUR PRIMARY  SCHOOL",632,552,0,1184,299,217,0,516,516,0,9,54,19,409,3,0,5,0,2,10,5,516
296,"BARKATPUR SAMUNDAYIK BHAWAN",186,164,0,350,119,110,0,229,229,0,2,2,208,10,1,2,0,1,1,1,1,229
297,"TUNDAKHERA PRIMARY  SCHOOL",670,590,0,1260,434,265,0,699,699,0,9,538,10,128,4,1,2,1,1,3,2,699
298,"BAIRAMNAGAR PRIMARY  SCHOOL",453,404,0,857,370,309,0,679,679,0,0,1,3,653,4,0,0,4,0,10,4,679
299,"DHOURAW PRIMARY  SCHOOL",499,454,0,953,295,258,0,553,553,0,2,5,10,507,5,2,4,4,1,9,4,553
300,"DHOURAW JUNIOR HIGH   SCHOOL",168,153,0,321,109,68,0,177,177,0,2,49,1,123,0,0,1,1,0,0,0,177
301,"DHOURAW PANCHAYAT  GHAR",328,293,0,621,169,159,0,328,328,0,1,3,242,68,3,1,2,0,1,4,3,328
302,"SIDHPUR PRIMARY SCHOOL",247,230,0,477,222,203,0,425,425,0,0,1,3,413,4,0,0,0,2,1,1,425
303,"CHOUGANPUR PRIMARY  SCHOOL",433,400,0,833,240,214,0,454,454,0,2,83,145,201,1,1,3,1,3,7,7,454
304,"CHOUGANPUR JUNIOR HIGH SCHOOL",445,392,0,837,253,203,0,456,456,0,3,27,10,402,1,0,3,4,2,3,1,456
305,"TYOUR BUJURG GANDHI INTER COLLEGE R.NO. 1",797,704,0,1501,464,401,0,865,865,0,6,179,97,541,6,1,4,0,7,9,15,865
306,"TYOUR BUJURG GANDHI INTER COLLEGE R.NO. 2",645,585,0,1230,409,341,0,750,750,0,14,161,423,125,3,1,8,3,4,7,1,750
307,"KISANPUR PRIMARY SCHOOL",252,222,0,474,207,198,0,405,405,0,0,0,4,399,0,0,0,0,0,2,0,405
308,"BRAJGARHI PRIMARY SCHOOL",237,207,0,444,154,116,0,270,270,0,2,29,8,216,1,2,1,5,1,3,2,270
309,"MOHAMMDI NAGLA PRIMARY SCHOOL",277,246,0,523,163,159,0,322,322,0,15,215,81,4,0,1,0,2,1,2,1,322
310,"GANGAVASH PRIMARY SCHOOL",305,275,0,580,227,208,0,435,435,0,0,2,2,425,0,0,1,1,0,2,2,435
311,"MUNDA KAREEMPUR PRIMARY SCHOOL",490,434,0,924,340,327,0,667,667,0,0,3,609,48,0,0,0,2,4,0,1,667
312,"CHATARI PRIMARY SCHOOL NO. 1, R.NO. 1",684,607,0,1291,453,360,0,813,813,0,18,134,76,541,5,1,2,2,3,13,18,813
313,"CHATARI PRIMARY SCHOOL BANJARAN",436,402,0,838,264,261,0,525,525,0,11,158,290,40,6,1,0,3,7,3,6,525
314,"CHATARI PRIMARY SCHOOL NO. 1, R.NO. 2",635,563,0,1198,356,329,0,685,685,0,40,381,67,178,5,1,5,2,1,4,1,685
315,"CHATARI PRIMARY SCHOOL NO. 1, R.NO. 3",252,227,0,479,159,156,0,315,315,0,3,51,18,234,2,0,3,1,1,0,2,315
316,"CHATARI PRIMARY SCHOOL NO. 2, R.NO. 1",695,611,0,1306,444,411,0,855,855,0,26,364,37,390,1,0,12,4,3,7,11,855
317,"CHATARI JUNIOR HIGH SCHOOL KANYA PATHSALA",686,633,0,1319,430,387,0,817,817,0,11,239,14,519,5,2,5,7,2,7,6,817
318,"NAGLA KHUSHAL PRIMARY SCHOOL",218,201,0,419,120,103,0,223,223,0,1,119,1,101,0,0,0,0,0,1,0,223
319,"KASWA DADDU PRIMARY SCHOOL R.NO. 1",339,315,0,654,176,154,0,330,330,0,8,115,47,144,1,1,2,4,1,5,2,330
320,"KASWA DADDU PRIMARY SCHOOL R.NO. 2",770,697,0,1467,517,407,0,924,924,0,12,307,22,541,5,6,3,4,2,12,10,924
321,"SIDHGARHI PRIMARY SCHOOL",399,344,0,743,248,225,0,473,473,0,1,0,325,144,0,0,2,0,0,1,0,473
322,"NAGLIYA PRIMARY SCHOOL",436,384,0,820,264,257,0,521,521,0,5,3,453,47,1,1,3,3,1,2,2,521
323,"BUDASI PRIMARY SCHOOL R.NO. 1",539,473,0,1012,277,224,0,501,501,0,25,60,153,249,2,1,1,1,0,8,1,501
324,"BUDASI PRIMARY SCHOOL R.NO. 2",404,368,0,772,245,203,0,448,448,0,10,96,26,295,3,1,2,4,2,2,7,448
325,"BAHLOLPUR BUDHSAIN SRI PREMCHAND INTER COLLEGE",709,640,0,1349,469,435,0,904,904,0,5,62,262,533,9,5,1,4,4,5,14,904
