"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
81,"PRAIMARI PATHSALA HAFIJABAD",629,471,0,1100,391,283,0,674,674,0,196,125,2,282,2,1,0,9,29,4,1,4,3,0,3,4,1,0,1,6,0,1,674
82,"PRAIMARI PATHASALA PURW CHILAULA",618,494,0,1112,416,288,0,704,704,0,160,33,3,411,1,1,2,6,67,1,1,3,1,0,1,3,3,0,4,1,0,2,704
83,"PRAIMARI PATHSALA PASHCHIM CHILAULA",541,470,0,1011,348,269,0,617,617,0,137,80,0,336,0,0,1,6,29,0,1,4,2,2,0,2,3,3,2,5,1,3,617
84,"JUNIAR HIGH SCHOOL PURW SIKANDARPURKARAN",899,714,0,1613,530,383,0,913,913,0,185,118,4,452,1,2,0,6,86,2,2,4,8,1,3,13,4,8,2,1,4,7,913
85,"JUNIAR HIGH PASHCHIM SIKANDAR",859,654,0,1513,530,312,0,842,842,0,229,42,2,366,0,0,0,6,151,1,1,1,5,1,2,5,7,3,8,4,2,6,842
86,"PRAIMARI PATHSALA AGEHRA",625,471,1,1097,342,207,0,549,549,0,159,41,0,300,2,0,3,5,8,0,0,2,3,1,1,4,4,3,5,5,2,1,549
87,"PRAIMARI PATHSALA SILAULIGADI",363,303,0,666,300,191,0,491,491,0,129,109,1,205,0,0,0,4,24,0,0,0,0,0,2,3,1,4,3,3,1,2,491
88,"JUNIAR HIGH SCHOOL BAHRAULA",599,473,0,1072,406,325,0,731,731,0,225,196,7,225,3,2,6,12,21,2,3,3,2,2,1,7,2,5,1,4,0,2,731
89,"PRAIMARI PATHSALA BAHRAULA",515,397,0,912,349,253,0,602,602,0,262,161,0,128,2,1,1,11,17,0,1,2,1,0,1,4,1,3,0,4,1,1,602
90,"PRAIMARI PATHSALA HAJIPUR",740,542,0,1282,450,298,0,748,748,0,218,98,0,355,3,3,1,5,32,1,0,3,2,0,1,7,1,11,0,0,1,6,748
91,"PRAIMARI PATHSALA ATRI",348,266,0,614,273,217,0,490,490,0,169,15,0,252,1,0,0,1,19,2,0,3,3,1,0,5,5,6,4,3,0,1,490
92,"PRAIMARI PATHSALA BASDHANA",512,379,0,891,382,281,0,663,663,0,137,144,5,292,6,1,0,9,40,4,2,6,3,2,0,1,5,2,1,2,1,0,663
93,"PRAIMARI PATHSALA LANGDAPUR MIRJAPUR",325,218,0,543,242,146,0,388,388,0,204,84,0,62,1,0,0,6,25,0,0,1,0,1,1,0,2,1,0,0,0,0,388
94,"PRAIMARI PATHSALA RAUTAPUR SITHIT FATTEPUR",371,295,0,666,262,197,0,459,459,0,57,75,1,262,1,0,1,2,41,6,2,0,1,1,0,4,2,1,1,1,0,0,459
95,"PRAIMARI PATHSALA RAUTAPUR SITHIT FATTEPUR",627,512,0,1139,444,297,0,741,741,0,327,36,2,300,1,0,0,3,40,2,3,7,2,1,1,5,2,3,1,1,3,1,741
96,"PRAIMARI PATHSALA LALUPUR",628,467,0,1095,349,236,0,585,585,0,166,54,1,266,1,5,3,10,37,2,0,5,3,1,2,8,1,2,6,5,4,3,585
97,"PRAIMARI PATHSALA GANGAULI",547,463,0,1010,451,213,0,664,664,0,192,130,0,236,1,1,1,5,78,0,0,5,1,0,0,2,5,1,2,3,0,1,664
98,"PRAIMARI PATHSALA ARJHORAMAU",271,232,0,503,202,168,0,370,370,0,44,146,0,125,0,0,0,1,37,0,0,4,0,0,3,5,1,0,2,0,0,2,370
99,"PRAIMARI PATHSALA NAWNIRMIT PURW SHANKARPUR SARAY",864,667,0,1531,480,380,0,860,860,0,288,102,3,379,1,0,0,11,48,2,2,3,4,2,0,2,3,0,1,6,0,3,860
100,"PRAIMARI PATHSALA NAWNIRMIT PASHCHIM SHANKARPUR SARAY",637,542,0,1179,448,287,0,735,735,0,131,75,4,438,4,2,1,2,27,1,1,8,3,2,0,5,4,5,12,5,2,3,735
101,"PRAIMARI PATHSALA SANNI",679,532,0,1211,483,321,0,804,804,0,299,102,2,353,0,0,1,3,26,1,0,0,1,2,1,5,1,0,0,4,0,3,804
102,"PRAIMARI PATHSALA KANHWAPUR",335,268,0,603,253,186,0,439,439,0,144,21,1,188,0,2,1,9,54,1,0,6,1,0,0,1,2,1,0,3,1,3,439
103,"PRAIMARI PATHSALA PIPARI",583,490,0,1073,439,334,0,773,773,0,353,78,2,253,2,0,0,6,48,0,1,4,3,1,1,6,0,3,7,0,3,2,773
104,"PRAIMARI PATHSALA BANI",716,607,0,1323,505,383,0,888,888,0,118,150,2,411,2,0,1,14,133,1,1,1,4,3,2,7,17,6,6,1,0,8,888
105,"PRAIMARI PATHSALA BANI KANJAURA",358,305,0,663,265,184,0,449,449,0,60,43,0,244,1,0,0,1,84,2,0,1,0,0,0,1,1,2,5,1,3,0,449
106,"PRAIMARI PATHSALA PINDOKHA",648,566,0,1214,449,320,0,769,769,0,195,116,1,352,4,2,1,7,61,0,0,1,4,6,0,5,1,5,2,1,2,3,769
107,"PRAIMARI PATHSALA UTTAR BEHTA",336,304,0,640,225,173,0,398,398,0,133,41,2,170,3,1,2,3,22,0,1,2,1,1,1,1,1,5,3,3,1,1,398
108,"PRAIMARI PATHSALA PASHCHIM BEHTA",701,553,0,1254,456,326,0,782,782,0,138,64,0,514,1,1,1,7,25,3,1,6,1,3,1,0,0,3,0,10,1,2,782
109,"JUNIAR HIGH SCHOOL PURW KHWAJGIPUR",821,618,0,1439,593,435,0,1028,1028,0,177,66,3,707,2,0,0,9,43,1,1,2,0,1,1,0,3,1,2,5,0,4,1028
110,"JUNIAR HIGH SCHOOL PASHCHIM KHWAJGIPUR",699,567,0,1266,477,318,0,795,795,0,180,63,1,429,0,1,2,11,69,6,2,4,1,0,1,3,3,5,0,3,4,7,795
111,"PRAIMARI PATHSALA PURW KHWAJGIPUR",526,396,0,922,361,257,0,618,618,0,31,179,2,335,7,1,4,10,7,2,0,5,2,1,2,10,2,1,3,11,1,2,618
112,"PRAIMARI PATHSALA PASHCHIM KHWAJGIPUR",787,712,0,1499,563,458,0,1021,1021,0,194,156,1,455,1,2,2,3,150,2,2,4,5,0,3,17,8,7,4,0,4,1,1021
113,"PRAIMARI PATHSALA KHATAI",564,463,0,1027,370,331,0,701,701,0,122,120,3,330,0,0,1,9,81,4,1,3,2,0,1,4,1,4,4,5,1,5,701
114,"PRAIMARI PATHSALA PURW AWASTHIKHERA M0 KHWAJGIPUR",686,531,0,1217,450,400,0,850,850,0,108,150,3,534,4,1,0,4,26,0,3,1,1,2,0,3,0,1,2,4,0,3,850
115,"PRAIMARI PATHSALA AWASTHIKHERA M0 KHWAJGIPUR",515,383,0,898,334,202,0,536,536,0,56,132,1,296,0,1,0,0,20,1,1,1,2,3,0,5,2,3,3,3,3,3,536
116,"PRAIMARI PATHSALA CHAURA",934,778,1,1713,600,403,0,1003,1003,0,192,116,4,595,1,2,1,5,57,3,1,4,1,2,2,3,2,4,5,2,1,0,1003
117,"PRAIMARI PATHSALA FATEHULLA NAGAR",531,462,0,993,378,323,0,701,701,0,117,48,1,363,0,1,1,9,146,0,1,5,0,0,3,1,0,2,0,2,0,1,701
118,"UCH PRATHIMIC VIDHALAY K0 NO 1 SHEKHPUR",457,386,0,843,291,209,0,500,500,0,63,77,1,214,1,0,1,2,130,1,2,1,1,0,0,1,1,2,1,0,0,1,500
119,"UCH PRATHIMIC VIDHALAY K0 N0 2 SHEKHPUR",731,543,0,1274,426,271,0,697,697,0,55,89,0,421,0,0,1,0,96,8,2,3,4,1,0,4,5,2,1,2,1,2,697
120,"UCH PRATHIMIC VIDHALAY K0 N0 3 SHEKHPUR",712,580,0,1292,361,264,0,625,625,0,34,66,0,388,0,1,1,2,105,3,1,2,0,2,2,5,5,3,1,1,1,2,625
121,"RAJKIY BALIKA INTER COLLEGE UNNAO K0 N0 1 MOTINAGAR",555,536,0,1091,390,206,0,596,596,0,20,41,0,431,0,0,0,1,86,7,2,0,0,0,0,0,2,0,1,3,1,1,596
122,"RAJKIY BALIKA INTER COLLEGE UNNAO K0 N0 2 MOTINAGAR",745,624,0,1369,354,282,0,636,636,0,62,69,0,365,0,0,1,0,125,6,0,0,1,0,0,2,1,0,3,0,0,1,636
123,"RAJKIY BALIKA INTER COLLEGE UNNAO K0 N0 3 MOTINAGAR",579,489,0,1068,251,258,0,509,509,0,28,63,1,333,0,0,0,3,66,4,0,0,1,0,0,3,1,1,0,1,0,4,509
124,"RAJKIY BALIKA INTER COLLEGE UNNAO K0 N0 4 MOTINAGAR",351,323,0,674,265,184,0,449,449,0,38,26,0,313,0,0,0,0,40,3,0,2,5,0,0,3,7,1,2,3,0,6,449
125,"RAJKIY BALIKA INTER COLLEGE UNNAO K0 N0 5 MOTINAGAR",647,526,0,1173,328,272,0,600,600,0,17,46,1,466,0,0,1,6,51,8,0,1,0,0,0,1,0,0,0,1,1,0,600
