"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
125,"P.S.LOHRA BABHANAULI",374,324,0,698,215,200,0,415,413,0,33,50,283,30,2,3,0,0,1,1,4,5,2,1,415
126,"P.S.DHANAUTI RAI R.N.1",592,508,0,1100,287,268,0,555,554,0,26,247,36,160,3,46,7,2,2,1,1,0,6,18,555
127,"P.S.DHANAUTI RAI R.N.2",751,643,0,1394,365,295,0,660,658,0,25,186,255,155,8,3,4,1,3,0,0,5,3,12,660
128,"GAUTAM I.C. PIPRA RAMDHAR R.N.1",654,591,0,1245,213,229,0,442,439,0,47,254,80,45,2,1,2,0,0,0,4,4,1,2,442
129,"GAUTAM I.C. PIPRA RAMDHAR R.N.2",491,397,0,888,177,141,0,318,316,0,28,182,65,2,1,36,0,0,0,0,0,1,1,2,318
130,"P.S. MISHRAULI",192,178,0,370,109,125,0,234,233,0,4,196,0,29,1,0,0,0,0,0,0,2,0,2,234
131,J.H.S.MAROPAR,316,253,0,569,132,124,0,256,253,0,3,108,113,21,1,1,0,1,0,0,1,3,2,2,256
132,"J.H.S.PARSIYA ALI",283,231,0,514,103,119,0,222,220,0,8,111,78,22,0,0,0,1,0,0,0,0,0,2,222
133,"P.S.BARTHA LALA",413,363,0,776,236,241,0,477,476,0,21,266,52,123,2,5,2,2,0,0,0,2,1,1,477
134,"P.S. AKAUNA",496,415,0,911,297,229,0,526,523,0,33,212,260,6,2,0,1,0,1,1,2,2,2,4,526
135,"P.S. PIPRA PATHAK",348,375,0,723,220,256,0,476,474,0,65,361,38,7,0,0,3,0,0,0,0,0,1,1,476
136,"P.S. KAPURI",208,177,0,385,105,87,0,192,191,0,11,117,43,8,1,7,0,0,0,1,1,0,0,3,192
137,"P.S. BISHAULI MAFI",246,221,0,467,121,149,0,270,268,0,52,125,36,55,0,0,0,0,0,0,0,1,0,1,270
138,P.S.BAGAHA,777,723,0,1500,280,233,0,513,510,0,14,300,122,54,1,3,5,0,1,0,4,0,2,7,513
139,P.S.BALAHA,268,223,0,491,148,135,0,283,281,0,9,127,103,21,1,13,0,0,0,0,2,3,2,2,283
140,P.S.BAGAHI,709,611,0,1320,286,319,0,605,604,0,26,162,164,202,7,2,3,0,2,0,12,7,3,15,605
141,"P.S.PIPRA BANDH R.N. 1",425,350,0,775,147,141,0,288,285,0,14,168,64,30,1,2,0,0,0,1,2,1,2,3,288
142,"P.S.PIPRA BANDH R.N. 2",563,485,0,1048,239,218,0,457,455,0,10,288,92,25,1,8,5,0,0,1,6,1,8,12,457
143,"P.S.BABHNIYANW R.N.1",492,409,0,901,169,182,0,351,350,0,12,250,33,21,5,2,6,0,1,1,1,1,4,14,351
144,"P.S.BABHNIYANW R.N.2",327,308,0,635,114,136,0,250,247,0,1,72,11,15,5,133,5,1,0,1,3,2,1,0,250
145,"J H S PIPRA ROHINIYA R. N. 1",753,693,0,1446,258,306,0,564,562,0,33,423,60,14,2,15,1,0,0,1,3,3,3,6,564
146,"J H S PIPRA ROHINIYA R. N. 2",614,563,0,1177,255,284,0,539,538,0,35,267,190,20,2,3,0,0,3,2,4,2,0,11,539
147,"P.S.PIPRA MISHRA R.N.1",199,155,0,354,67,74,0,141,138,0,10,80,12,36,0,1,1,0,0,0,1,0,0,0,141
