"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - COMANDO KAMAL KISHOR","2 - DR.VIJAY KUMAR","3 - SHABBIR AHMAD","4 - SADHVI SAVITRI BAI FOOLE","5 - JAGAT RAM","6 - MADHAV","7 - RAMASHANKER GOND","8 - VINOD KUMAR","9 - HIRA LAL RAO","10 - RAM NARESH","11 - None of the Above","Total Votes Secured"
237,CHAUKSAHAAR,839,589,0,1428,447,137,0,584,584,0,12,22,291,207,3,2,23,4,5,5,10,584
238,CHAUKSAHAAR,448,328,0,776,271,135,0,406,406,0,4,3,313,75,3,2,1,1,0,0,4,406
239,CHAUKSAHAAR,555,464,0,1019,286,146,0,432,432,0,10,31,273,102,3,1,2,1,2,1,6,432
240,CHAUKSAHAAR,770,617,0,1387,438,232,0,670,670,0,9,28,337,265,3,3,5,3,1,4,12,670
241,DALLAPURWA,383,274,0,657,202,102,0,304,304,0,8,41,113,136,1,1,1,0,1,1,1,304
242,DALLAPURWA,528,408,0,936,263,95,0,358,358,0,12,38,82,199,6,2,4,1,3,4,7,358
243,DALLAPURWA,833,604,0,1437,479,223,0,702,702,0,15,103,266,275,9,2,2,7,6,6,11,702
244,GIRDA,470,438,0,908,318,247,0,565,565,0,16,38,120,303,13,1,50,4,8,4,8,565
245,GIRDA,508,452,0,960,350,257,0,607,607,0,14,18,57,386,15,3,85,4,6,7,12,607
246,PATHAKPURWA,805,640,0,1445,456,210,0,666,666,0,7,28,292,306,8,4,4,2,2,1,12,666
247,BELAMAKAN,554,385,0,939,318,96,0,414,414,0,5,8,177,181,10,1,3,5,5,6,13,414
248,BELAMAKAN,688,565,0,1253,379,175,0,554,554,0,5,18,238,265,2,2,4,1,2,4,13,554
249,ARNAWA,665,548,0,1213,402,204,0,606,606,0,33,31,141,379,1,3,7,4,2,2,3,606
250,ARNAWA,575,475,0,1050,312,171,0,483,483,0,14,245,90,110,4,1,2,4,1,2,10,483
251,ARNAWA,601,462,0,1063,299,132,0,431,431,0,12,42,214,141,2,0,2,0,0,3,15,431
252,JARBADHIYA,428,345,0,773,218,164,0,382,382,0,10,199,48,97,0,0,3,5,2,9,9,382
253,"MATERA KALAN",779,686,0,1465,406,334,0,740,740,0,15,27,203,447,16,2,5,2,3,4,16,740
254,"MATERA KALAN",457,375,0,832,258,205,0,463,463,0,8,22,178,243,6,0,2,1,1,0,2,463
255,"MATERA KALAN",416,375,0,791,236,198,0,434,434,0,4,60,111,226,8,2,1,1,1,3,17,434
256,"MATERA KALAN",328,300,0,628,164,162,0,326,326,0,8,5,81,214,2,0,1,1,3,4,7,326
257,"MATERA KALAN",592,533,0,1125,264,127,0,391,391,0,1,18,29,316,2,3,1,0,3,7,11,391
258,SEMRIYAA,539,507,0,1046,383,310,0,693,693,0,7,29,316,308,9,2,2,5,1,4,10,693
259,CHAHLAAR,533,510,0,1043,383,283,0,666,666,0,14,64,275,279,9,2,3,2,5,5,8,666
260,"PATHAR KALAN",527,472,0,999,354,280,0,634,634,0,13,126,46,424,6,1,7,1,0,2,8,634
261,LALUHI,870,726,0,1596,195,388,0,583,583,0,19,86,47,407,2,2,4,1,6,7,2,583
262,LALUHI,893,742,0,1635,516,339,0,855,855,0,10,65,174,561,10,3,5,5,5,5,12,855
263,CHANDELA,731,645,0,1376,432,316,0,748,748,0,21,9,118,531,13,4,5,4,8,11,24,748
264,CHANDELA,496,409,0,905,305,210,0,515,515,0,16,22,52,384,11,4,6,3,2,6,9,515
265,SADHUWAPUR,750,618,0,1368,478,238,0,716,716,0,24,118,239,284,8,4,4,6,6,8,15,716
266,DHANAWA,511,437,0,948,320,212,0,532,532,0,11,20,58,422,1,3,11,1,1,1,3,532
267,DHANAWA,592,547,0,1139,389,363,0,752,752,0,18,43,127,513,12,4,7,9,3,10,6,752
268,ALINAGARKALAN,781,706,0,1487,388,328,0,716,716,0,16,8,249,405,10,0,0,3,3,4,18,716
269,ALINAGARKALAN,799,676,0,1475,406,354,0,760,760,0,37,155,376,174,6,0,0,1,0,4,7,760
270,NAKAHI,562,427,0,989,360,248,0,608,608,0,8,8,130,438,9,0,1,0,2,1,11,608
271,NAKAHA,750,591,0,1341,520,340,0,860,860,0,20,83,374,358,7,2,2,3,4,3,4,860
272,NAKAHA,784,721,0,1505,369,321,0,690,690,0,18,111,349,145,7,3,2,6,12,11,26,690
273,NAKAHA,438,380,0,818,243,182,0,425,425,0,8,8,185,193,7,1,1,0,4,5,13,425
274,CHAUGOAI,506,422,0,928,207,281,0,488,488,0,7,26,192,218,8,3,1,5,3,7,18,488
275,ITAHA,496,370,0,866,290,136,0,426,426,0,10,118,137,137,4,1,4,2,3,3,7,426
276,ITAHA,523,455,0,978,263,196,0,459,459,0,10,83,279,77,2,0,1,2,1,1,3,459
277,ITAHA,829,680,0,1509,462,320,0,782,782,0,19,30,128,571,6,5,1,4,3,5,10,782
278,ITAHA,819,699,0,1518,441,331,0,772,772,0,14,47,241,420,11,1,4,2,8,12,12,772
279,ITAHA,665,565,0,1230,350,220,0,570,570,0,15,25,119,343,11,3,4,7,10,10,23,570
280,MANIKAPUR,558,493,0,1051,348,243,0,591,591,0,15,107,258,171,7,1,5,4,2,6,15,591
281,BADHAULI,550,492,0,1042,355,288,0,643,643,0,15,150,102,321,3,2,6,5,6,14,19,643
282,"MASUDNAGAR BASTHANWA",432,370,0,802,306,189,0,495,495,0,7,38,168,257,4,1,3,2,3,1,11,495
283,"MASUDNAGAR BASTHANWA",509,453,0,962,352,216,0,568,568,0,14,41,165,326,1,1,2,2,8,3,5,568
284,JUDA,454,425,0,879,333,253,0,586,586,0,9,35,10,480,7,2,13,2,6,8,14,586
285,JUDA,745,635,0,1380,393,326,0,719,719,0,9,99,150,409,10,5,6,1,5,6,19,719
286,"LALPUR SHIVPUR",613,535,0,1148,405,326,0,731,731,0,24,28,260,400,6,1,1,0,0,5,6,731
287,KOTAWA,261,234,0,495,192,165,0,357,357,0,6,11,63,251,5,3,2,5,2,2,7,357
288,"LALPUR SHIVPUR",862,709,0,1571,510,407,0,917,917,0,17,40,363,477,8,1,2,2,1,5,1,917
289,"ASWA MOHMMADPUR",752,681,0,1433,380,443,0,823,823,0,23,18,217,502,7,2,7,5,8,10,24,823
290,"ASWA MOHMMADPUR",577,516,0,1093,358,280,0,638,638,0,18,115,63,409,6,2,2,5,1,3,14,638
291,"ASWA MOHMMADPUR",687,573,0,1260,380,300,0,680,680,0,25,71,39,507,7,3,17,2,1,5,3,680
292,"PAKARA DEVARIYA",393,322,0,715,254,209,0,463,463,0,5,24,131,296,3,1,0,1,1,1,0,463
293,KOTAWA,371,352,0,723,258,232,0,490,490,0,9,7,4,461,6,2,0,0,1,0,0,490
294,MAINANEVRIYA,281,251,0,532,193,151,0,344,344,0,1,33,8,288,6,3,1,0,1,0,3,344
295,MAINANEVRIYA,592,497,0,1089,405,299,0,704,704,0,8,73,548,61,3,1,3,3,0,1,3,704
296,"JHALA KALAN",480,452,0,932,314,238,0,552,552,0,10,64,136,306,12,0,4,6,1,2,11,552
297,"JHALA KALAN",708,681,0,1389,342,291,0,633,633,0,8,129,409,60,2,0,4,3,2,6,10,633
298,MOGRIHA,824,691,0,1515,532,415,0,947,947,0,10,79,324,495,9,4,0,3,6,6,11,947
