"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - COMANDO KAMAL KISHOR","2 - DR.VIJAY KUMAR","3 - SHABBIR AHMAD","4 - SADHVI SAVITRI BAI FOOLE","5 - JAGAT RAM","6 - MADHAV","7 - RAMASHANKER GOND","8 - VINOD KUMAR","9 - HIRA LAL RAO","10 - RAM NARESH","11 - None of the Above","Total Votes Secured"
241,SAINGANV,540,502,1,1043,290,278,0,568,407,0,14,20,99,420,5,1,1,2,1,1,4,568
242,SAINGANV,395,293,0,688,200,174,0,374,374,0,10,5,36,297,6,3,3,1,1,1,11,374
243,"GUJAULI KHURD",249,193,0,442,129,110,0,239,239,0,4,83,9,136,1,0,2,0,1,2,1,239
244,"GUJAULI KALAN",276,254,0,530,189,161,0,350,350,0,6,0,45,294,4,0,0,0,0,0,1,350
245,"TENDAVA SISTIPUR",477,424,0,901,281,255,0,536,529,0,17,134,33,337,6,1,2,1,0,2,3,536
246,GOPCHANDPUR,760,680,0,1440,510,348,0,858,735,0,24,112,202,462,14,1,7,2,8,6,20,858
247,BHIRAVA,832,657,0,1489,562,359,0,921,919,0,16,107,157,588,11,3,2,8,6,11,12,921
248,BILASPUR,562,428,0,990,398,267,0,665,640,0,8,72,290,265,6,2,1,4,2,5,10,665
249,KHAIRA,737,646,0,1383,526,503,0,1029,1029,0,10,73,555,356,11,6,2,3,3,1,9,1029
250,KHAIRA,445,410,0,855,301,286,0,587,587,0,5,34,335,196,7,2,0,1,2,2,3,587
251,"CHANDANAPUR SIKDIYA",851,755,0,1606,617,511,0,1128,1127,0,6,21,317,708,25,3,3,7,5,7,26,1128
252,"CHANDANAPUR SIKDIYA",199,180,0,379,127,115,0,242,242,0,4,26,39,164,3,2,1,0,1,1,1,242
253,GANIYAPUR,447,373,0,820,286,278,0,564,564,0,7,25,164,350,5,2,1,2,1,5,2,564
254,GANIYAPUR,451,395,0,846,365,283,0,648,648,0,12,13,64,545,3,1,1,3,2,1,3,648
255,DAHAV,541,460,1,1002,333,269,0,602,602,0,27,49,89,424,6,1,1,1,1,2,1,602
256,DAHAV,471,375,0,846,280,177,0,457,457,0,12,34,106,280,6,0,0,0,3,3,13,457
257,GODAVA,434,359,0,793,271,235,0,506,506,0,19,21,112,314,11,0,3,2,4,6,14,506
258,"BAUNDI SHUKL",320,267,0,587,174,190,0,364,364,0,5,17,103,217,1,2,1,2,7,3,6,364
259,VEERSHAHPUR,660,583,0,1243,531,432,0,963,963,0,7,62,97,774,7,1,3,1,1,0,10,963
260,SURJANA,341,278,0,619,191,194,0,385,357,0,15,52,107,192,7,0,0,1,2,1,8,385
261,SIRAJAPUR,288,240,0,528,197,167,0,364,363,0,13,139,30,153,3,5,5,2,2,3,9,364
262,RAMPURVA,424,364,0,788,287,186,0,473,437,0,17,39,7,384,5,10,1,1,0,2,7,473
263,RAMPURVA,396,385,0,781,251,221,0,472,472,0,23,21,8,407,5,5,0,1,0,0,2,472
264,RAMPURVA,838,729,0,1567,508,428,0,936,936,0,30,160,61,625,8,38,2,1,4,4,3,936
265,RAMPURVA,463,399,0,862,327,198,0,525,525,0,11,53,43,397,6,1,3,1,3,2,5,525
266,"KHAMARIYA SHUKL",819,768,0,1587,557,367,0,924,880,0,23,135,255,473,9,5,3,6,2,6,7,924
267,"KHAMARIYA HARDOPATTI",729,656,0,1385,469,447,0,916,916,0,11,17,197,658,9,5,4,1,4,3,7,916
268,UDVAPUR,611,579,0,1190,420,405,0,825,820,0,25,101,39,627,9,1,4,2,1,4,12,825
269,UDVAPUR,203,207,0,410,129,112,0,241,201,0,10,51,66,96,4,2,1,0,1,2,8,241
270,BALASARAY,489,397,0,886,317,184,0,501,501,0,16,93,54,319,5,3,1,2,1,3,4,501
271,BALASARAY,422,352,0,774,229,195,0,424,424,0,30,130,114,137,4,0,0,1,1,2,5,424
272,BALASARAY,616,564,0,1180,276,415,0,691,691,0,4,20,172,473,7,2,1,3,2,1,6,691
273,FATEHPUR,409,366,0,775,247,290,0,537,530,0,3,6,293,214,7,3,0,1,3,0,7,537
274,LAKKHABAUNDI,602,540,0,1142,403,351,0,754,754,0,31,77,184,422,9,3,2,6,5,7,8,754
275,"KHASAHA MOHAMMADPUR",600,479,0,1079,379,268,0,647,495,0,28,123,142,321,5,0,6,3,3,3,13,647
276,"KHASAHA MOHAMMADPUR",397,332,0,729,216,200,0,416,415,0,16,201,33,136,1,2,24,0,1,2,0,416
277,"KHASAHA MOHAMMADPUR",285,239,0,524,187,149,0,336,336,0,9,39,24,245,6,3,5,0,1,2,2,336
278,"KHASAHA MOHAMMADPUR]",640,551,0,1191,454,370,0,824,824,0,17,167,228,380,5,2,1,2,2,3,17,824
279,"KHASAHA MOHAMMADPUR",487,436,0,923,317,220,0,537,537,0,12,32,139,330,8,1,0,1,1,1,12,537
280,"BHAKALA GOPALPUR",634,541,1,1176,361,367,0,728,708,0,26,130,286,227,6,1,0,9,3,10,30,728
281,"BHAKALA GOPALPUR",269,240,1,510,174,123,0,297,262,0,12,18,108,140,3,0,0,1,1,3,11,297
282,"BHAKALA GOPALPUR",379,345,0,724,247,181,0,428,428,0,15,36,167,184,3,3,0,3,2,1,14,428
283,"NARAHAR  GONDA",907,680,0,1587,452,356,0,808,804,0,10,69,571,115,6,1,1,5,2,7,21,808
284,"NARAHAR  GONDA",697,609,0,1306,330,368,0,698,613,0,18,55,433,162,7,5,1,3,5,3,6,698
285,BEHATABHAYA,474,383,0,857,304,217,0,521,400,0,9,19,129,332,9,2,1,1,3,5,11,521
286,BEHATABHAYA,484,402,0,886,306,228,0,534,534,0,6,52,115,338,4,2,0,3,2,1,11,534
287,TAJAVAPUR,489,454,0,943,312,301,0,613,613,0,18,13,228,338,6,1,1,3,1,2,2,613
288,TAJAVAPUR,400,365,0,765,226,203,0,429,421,0,8,18,201,181,3,1,2,1,1,4,9,429
289,TAJAVAPUR,782,643,1,1426,485,326,0,811,747,0,30,84,258,406,6,0,2,3,5,5,12,811
290,CHETARA,648,571,0,1219,478,374,0,852,852,0,39,71,86,626,9,5,1,3,4,5,3,852
291,DHODHAYAL,597,486,0,1083,401,281,0,682,679,0,15,33,107,485,13,5,1,3,2,3,15,682
292,NAHKATIYA,729,623,0,1352,384,347,0,731,729,0,13,19,266,377,12,5,3,3,4,11,18,731
293,KATAHA,486,398,0,884,366,241,0,607,607,0,10,50,132,379,8,5,5,2,4,4,8,607
294,KATAHA,475,426,0,901,278,231,0,509,509,0,23,77,97,294,2,0,4,2,3,2,5,509
295,KATAHA,717,621,0,1338,439,335,0,774,774,0,16,62,190,462,10,2,3,4,2,8,15,774
296,SABALAPUR,502,386,0,888,359,273,0,632,576,0,20,33,283,273,5,1,3,2,3,4,5,632
297,SABALAPUR,363,371,0,734,251,223,0,474,474,0,3,33,117,303,1,2,2,2,2,5,4,474
298,MOGALAHA,639,579,0,1218,399,374,0,773,663,0,18,75,498,172,6,0,1,2,0,1,0,773
299,JABDI,756,649,0,1405,562,438,0,1000,998,0,24,86,292,557,7,5,3,4,6,8,8,1000
300,MUAAFIKPUR,688,523,0,1211,422,333,0,755,555,0,17,189,129,366,14,1,1,8,6,5,19,755
301,TAMACHPUR,471,391,0,862,324,268,0,592,592,0,10,153,134,260,4,1,4,5,3,4,14,592
302,"SARAY MEHARABAD",671,570,0,1241,334,432,0,766,766,0,10,110,379,225,3,2,4,2,7,4,20,766
303,"TARAPUR KHURD",698,499,0,1197,503,305,0,808,808,0,10,22,660,109,0,3,2,1,1,0,0,808
304,"TARAPUR KHURD",306,234,0,540,241,180,0,421,310,0,9,14,262,131,2,1,0,1,0,1,0,421
305,"TARAPUR KHURD",590,501,0,1091,307,417,0,724,724,0,11,16,250,425,11,2,3,0,4,1,1,724
306,"SISAI HAIDAR",771,676,0,1447,574,410,0,984,984,0,18,107,143,615,22,5,9,27,8,12,18,984
307,GAJAPATIPUR,658,587,0,1245,418,319,0,737,737,0,16,129,247,308,7,1,1,3,2,12,11,737
308,GAJAPATIPUR,777,612,0,1389,435,251,0,686,685,0,9,70,394,179,4,2,2,0,3,8,15,686
309,JADAUPUR,506,455,0,961,373,314,0,687,687,0,8,13,402,212,5,4,3,3,10,8,19,687
310,JADAUPUR,508,408,0,916,299,256,0,555,555,0,17,20,162,320,7,2,1,7,3,4,12,555
311,"TENDAVA BASANTPUR",760,718,0,1478,563,472,0,1035,1035,0,12,52,103,794,21,0,4,2,6,13,28,1035
312,HEMARIYA,591,489,0,1080,425,325,0,750,749,0,9,26,185,473,13,5,3,3,5,6,22,750
313,HEMARIYA,745,619,0,1364,499,318,0,817,815,0,12,60,135,551,16,2,2,6,4,7,22,817
314,HUSENPUR,602,518,0,1120,439,339,0,778,760,0,17,110,224,364,12,4,5,3,6,9,24,778
315,HUSENPUR,403,354,0,757,256,225,0,481,481,0,8,14,279,163,2,3,1,3,2,1,5,481
