"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AQEEL UR REHMAN KHAN","2 - ACHARYA PRAMOD KRISHNAM","3 - DR SHAFIQ UR RAHMAN BARQ","4 - SATYAPAL SINGH","5 - MOHD ASLAM URF PASHA","6 - DHARAM YADAV","7 - DR. RASHID ALI","8 - REKHA DEVI YADAV","9 - AQEEL AHMAD","10 - NANAD RAM KHADAGVANSHI","11 - NUTAN VIJAY ADVOCATE","12 - FIROZ HAIDER","13 - RASHID","14 - None of the Above","Total Votes Secured"
125,"PRI. SCHOOL FATTEHPUR SARAI ROOM-1",506,400,1,907,380,287,0,667,667,0,61,5,170,408,0,12,0,2,1,0,3,1,2,2,667
126,"PRI. SCHOOL FATTEHPUR SARAI ROOM-2",442,389,0,831,316,282,0,598,598,0,321,6,119,127,3,9,0,0,1,0,3,0,2,7,598
127,"JU. HI. SCHOOL SIKANDARPUR SARAI ROOM-1",560,446,0,1006,379,336,0,715,715,0,190,7,492,5,1,6,2,1,1,1,0,1,1,7,715
128,"JU. HI. SCHOOL SIKANDARPUR SARAI ROOM-2",557,447,0,1004,392,316,0,708,708,0,242,7,443,5,1,0,1,0,4,0,0,0,1,4,708
129,"PRI. SCHOOL CHANDAYAN",460,410,0,870,339,278,0,617,617,0,250,4,300,39,0,14,0,1,2,0,2,1,1,3,617
130,"PRI. SCHOOL HAIBATPUR ROOM-1",602,432,0,1034,344,260,0,604,604,0,197,1,287,93,0,8,0,1,0,1,4,1,4,7,604
131,"PRI. SCHOOL HAIBATPUR ROOM-2",635,447,1,1083,372,246,0,618,618,0,225,3,326,50,1,6,1,0,1,1,0,1,2,1,618
132,"PRI. SCHOOL HASANPUR MUNJABTA ROOM-1",422,323,0,745,296,183,0,479,479,0,103,7,211,137,1,0,2,0,1,5,3,0,4,5,479
133,"PRI. SCHOOL HASANPUR MUNJABTA ROOM-2",501,396,0,897,352,223,0,575,575,0,145,10,342,57,1,1,2,4,2,0,2,3,2,4,575
134,"PRI. SCHOOL HASANPUR MUNJABTA ROOM-3",445,350,0,795,287,246,0,533,533,0,237,5,266,11,0,0,1,1,2,0,1,3,1,5,533
135,"PRI. SCHOOL HASANPUR MUNJABTA ROOM-4",413,371,0,784,287,260,0,547,547,0,169,4,355,10,0,0,3,0,1,0,0,1,0,4,547
136,"PRI. SCHOOL FATTEHPUR UTTMA ROOM-1",494,452,0,946,355,306,0,661,661,0,222,13,75,292,3,12,1,2,2,5,10,8,4,12,661
137,"PRI. SCHOOL FATTEHPUR UTTMA ROOM-2",498,398,0,896,353,276,0,629,629,0,24,6,129,424,4,11,1,0,1,5,14,7,2,1,629
138,"PRI. SCHOOL SIHAURI",436,321,0,757,326,234,0,560,560,0,79,2,67,374,3,13,0,0,2,1,8,6,2,3,560
139,"PRI. SCHOOL MEHMOOD PUR IMMA",754,588,0,1342,523,440,0,963,963,0,446,5,260,236,0,2,0,1,2,0,3,2,1,5,963
140,"PRI. SCHOOL AKHTYARPUR THILUPURA",733,554,0,1287,477,350,0,827,827,0,284,9,25,457,3,24,2,1,4,6,3,2,0,7,827
141,"PRI. SCHOOL MABAI THAKURAAN",628,523,0,1151,434,341,0,775,775,0,249,2,90,390,4,12,1,2,0,1,9,5,4,6,775
142,"PRI. SCHOOL SADIRANPUR ROOM-1",462,345,1,808,299,252,0,551,551,0,275,3,245,20,0,0,0,1,1,0,1,1,2,2,551
143,"PRI. SCHOOL SADIRANPUR ROOM-2",496,389,0,885,378,292,0,670,670,0,188,2,262,200,1,2,0,2,1,2,3,3,2,2,670
144,"PRI. SCHOOL BARIPUR BHAMRAUA ROOM-1",682,487,0,1169,378,208,0,586,586,0,278,4,183,62,1,44,0,0,1,0,0,5,0,8,586
145,"PRI. SCHOOL BARIPUR BHAMRAUA ROOM-2",934,609,0,1543,502,408,0,910,910,0,56,8,280,382,7,131,3,2,3,3,17,5,4,9,910
146,"PRI. SCHOOL KATAUNI",456,368,0,824,348,226,0,574,574,20,27,12,174,129,3,211,2,1,4,3,3,0,0,5,574
147,"PRI. SCHOOL NASARPUR",246,213,0,459,204,174,0,378,378,0,2,9,24,325,1,2,0,1,0,3,9,0,1,1,378
148,"JU. HI. SCHOOL BHAWANCH",549,401,0,950,381,243,0,624,624,0,57,4,111,208,6,202,4,3,3,5,8,4,2,7,624
149,"PRI. SCHOOL KADHERA",617,481,0,1098,441,339,0,780,780,0,391,12,221,103,1,15,24,0,3,1,2,4,0,3,780
150,"PRI. SCHOOL KHANPUR KHUMMAR",824,635,0,1459,500,305,0,805,805,0,239,0,454,92,0,2,11,0,1,0,2,1,0,3,805
151,"JU. HI. SCHOOL MANDLAI ROOM-1",441,377,0,818,311,236,0,547,547,0,197,9,320,14,0,0,0,0,0,1,1,2,2,1,547
152,"JU. HI. SCHOOL MANDLAI ROOM-2",503,422,0,925,343,301,0,644,644,0,197,5,185,249,1,2,0,0,0,0,2,1,1,1,644
153,"PRI. SCHOOL PALTHA",548,424,0,972,436,290,0,726,726,0,237,5,435,18,1,3,2,0,1,1,4,7,2,10,726
154,"PRI. SCHOOL NEEMKHERA BAJHEDA",423,304,0,727,316,215,0,531,531,0,197,7,236,79,0,0,0,0,2,1,0,2,3,4,531
155,"PRI. SCHOOL NAHARTHER",869,628,0,1497,603,452,0,1055,1055,20,491,2,371,16,3,145,1,0,4,0,3,3,0,16,1055
156,"PRI. SCHOOL LAUDHI SARAI ROOM-1",484,369,0,853,371,274,0,645,645,0,6,1,2,597,1,4,0,2,1,1,14,5,6,5,645
157,"PRI. SCHOOL LAUDHI SARAI ROOM-2",456,390,0,846,368,272,0,640,640,0,3,2,8,588,0,2,0,1,2,4,13,6,3,8,640
