"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
96,"BHAGAUTI PD.KANYA.INT.COLL.GORAKHPUR.ROOM.NO.1",376,328,0,704,167,137,0,304,95,0,15,208,33,38,0,0,2,1,0,5,0,0,1,1,0,0,304
97,"BHAGAUTI PD.KANYA.INT.COLL.GORAKHPUR.ROOM.NO.4",396,347,0,743,239,172,0,411,310,0,10,194,92,106,1,0,0,0,0,4,1,0,1,0,1,1,411
98,"BHAGAUTI PD.KANYA.INT.COLL.GORAKHPUR.ROOM.NO.5",685,598,0,1283,375,307,0,682,350,0,40,301,276,41,0,0,0,0,0,9,8,0,2,0,0,5,682
99,"BHAGAUTI PD.KANYA.INT.COLL.GORAKHPUR.ROOM.NO.6",172,150,0,322,79,79,0,158,153,0,12,57,56,26,0,2,1,0,0,4,0,0,0,0,0,0,158
100,"BHAGAUTI PD.KANYA.INT.COLL.GORAKHPUR.ROOM.NO.7",511,416,0,927,292,196,0,488,415,0,14,351,64,29,0,1,2,1,1,16,8,0,0,0,0,1,488
101,JATEPUR,372,289,0,661,174,135,0,309,30,0,17,256,22,8,1,0,0,0,0,5,0,0,0,0,0,0,309
102,"RAST.INT.COLL.BAULIYA RAILWAY.COLONY.ROOM.NO.01",455,388,0,843,243,197,0,440,59,0,28,243,104,31,0,1,0,0,1,23,1,0,0,1,2,5,440
103,"RAST.INT.COLL.BAULIYA RAILWAY.COLONY.ROOM.NO.02",196,182,0,378,127,117,0,244,15,0,30,166,20,21,0,0,1,0,0,3,0,1,0,1,0,1,244
104,"RAST.INT.COLL.BAULIYA RAILWAY.COLONY.ROOM.NO.03",483,365,0,848,211,179,0,390,215,0,21,305,20,20,0,0,0,0,0,14,1,0,0,1,1,7,390
105,"RAST.INT.COLL.BAULIYA RAILWAY.COLONY.ROOM.NO.4",311,269,0,580,184,155,0,339,221,0,33,117,85,79,1,0,1,0,2,12,4,1,0,1,1,2,339
106,"RAST.INT.COLL.BAULIYA RAILWAY.COLONY.ROOM.NO.05",453,403,0,856,242,216,0,458,402,0,12,269,27,139,1,1,2,0,0,1,2,0,0,0,1,3,458
107,"RAST.INT.COLL.BAULIYA RAILWAY.COLONY.ROOM.NO.6",345,295,0,640,187,164,0,351,37,0,15,155,108,56,3,0,1,0,0,7,0,0,2,0,1,3,351
108,"RAST.INT.COLL.BAULIYA RAILWAY.COLONY.ROOM.NO.7",259,240,0,499,132,107,0,239,185,0,10,188,9,25,0,0,1,0,0,4,0,0,0,0,0,2,239
109,"RAST.INT.COLL.BAULIYA RAILWAY.COLONY.ROOM.NO.8",319,292,0,611,148,107,0,255,222,0,3,212,15,19,0,0,2,0,0,3,0,0,0,0,0,1,255
110,"RAJKIYA POLYTECHNIC GKP",602,526,0,1128,302,225,0,527,499,0,12,382,72,24,0,0,0,1,6,18,0,2,1,2,1,6,527
111,"RAJKIYA POLYTECHNIC GKP",358,289,0,647,178,134,0,312,246,0,11,208,22,56,0,1,0,0,0,6,0,1,1,0,2,4,312
112,"RAJKIYA POLYTECHNIC GKP",432,370,0,802,195,170,0,365,357,0,13,303,15,18,0,0,0,0,0,11,0,0,0,1,0,4,365
113,"RAJKIYA POLYTECHNIC GKP",372,301,1,674,196,152,0,348,325,0,14,247,25,52,1,0,0,0,1,6,0,0,0,1,1,0,348
114,"RAST.BALIKA.INT.COLL.RAILWAY COLONY JATEPUR",277,214,0,491,135,86,0,221,55,0,13,153,27,22,0,0,1,0,0,2,0,1,0,0,1,1,221
115,"RAST.BALIKA.INT.COLL.RAILWAY COLONY JATEPUR",585,484,0,1069,292,233,0,525,525,0,14,392,44,52,1,0,2,0,3,8,1,2,1,1,1,3,525
116,"RAST.INT.COLL.BAULIYA RAILWAY.COLONY.ROOM.NO.03",580,429,0,1009,274,193,0,467,325,0,23,382,26,15,1,0,0,2,0,8,0,2,2,1,1,4,467
117,"RAST.BALIKA.INT.COLL.RAILWAY COLONY JATEPUR",328,237,0,565,131,93,0,224,195,0,14,180,9,10,0,0,0,1,0,8,0,0,0,1,0,1,224
118,PURV.RAIL.BA.INT.BHEDIYAGADH,245,191,0,436,94,72,0,166,85,0,17,116,16,5,0,0,0,0,0,7,0,0,1,0,0,4,166
119,PURV.RAIL.BA.INT.BHEDIYAGADH,346,241,0,587,111,63,0,174,150,0,27,110,14,15,0,0,0,0,1,5,0,1,0,0,0,1,174
120,PURV.RAIL.BA.INT.BHEDIYAGADH,357,250,0,607,110,70,0,180,95,0,33,123,7,9,0,0,0,0,0,6,0,1,0,0,0,1,180
121,PURV.RAIL.BA.INT.BHEDIYAGADH,383,280,0,663,165,111,0,276,9,0,49,177,17,13,1,0,0,0,2,13,1,0,0,2,0,1,276
122,PURV.RAIL.BA.INT.BHEDIYAGADH,301,218,0,519,145,115,0,260,190,0,54,148,20,17,0,0,0,0,0,13,1,0,1,1,0,5,260
123,PURV.RAIL.BA.INT.BHEDIYAGADH,306,227,0,533,79,65,0,144,103,0,18,85,21,7,0,0,0,0,0,11,0,0,0,0,1,1,144
