"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
100,"RAY BADRI PAL SINGH INTER COLLEGE BIRAPUR CLASS 1",625,585,0,1210,281,300,0,581,579,0,119,77,76,13,3,1,0,2,2,1,3,272,1,2,3,6,581
101,"RAY BADRI PAL SINGH INTER COLLEGE BIRAPUR CLASS 2",716,647,0,1363,300,332,0,632,625,0,211,64,22,7,0,1,7,0,1,1,2,304,1,2,1,8,632
102,"P.S JAMTALI",591,552,0,1143,243,242,0,485,485,0,32,91,17,3,2,0,1,0,1,0,4,308,9,1,6,10,485
103,"J.H.S JAMTALI CLASS 1",544,421,0,965,231,185,0,416,415,0,158,86,25,0,0,1,0,1,2,1,2,130,1,1,2,6,416
104,"J.H.S JAMTALI CLASS 4",431,430,0,861,183,189,0,372,372,0,102,56,32,0,1,1,1,0,1,0,1,170,1,1,2,3,372
105,"J.H.S JAMTALI CLASS 2",428,355,0,783,182,175,0,357,200,0,80,41,11,2,0,0,0,0,0,0,0,220,0,0,0,3,357
106,"J.H.S JAMTALI CLASS 3",653,594,0,1247,299,306,0,605,605,0,145,109,31,5,0,1,0,1,0,0,3,297,0,0,3,10,605
107,"P.S BASAHA",413,379,0,792,154,198,0,352,316,0,108,66,6,3,1,0,1,3,0,1,1,153,1,1,2,5,352
108,"P.S CHANDIPUR",437,418,0,855,235,245,0,480,478,0,71,139,13,2,0,0,2,0,1,0,1,237,3,1,3,7,480
109,"P.S SARAY SHER KHAN CLASS 1",684,618,0,1302,314,305,0,619,619,0,174,47,34,9,1,2,0,0,0,2,4,317,10,0,6,13,619
110,"P.S SARAY SHER KHAN CLASS 2",223,163,0,386,79,78,0,157,157,0,49,12,4,1,0,0,0,0,0,1,1,85,1,0,1,2,157
111,"P.S MAU",369,292,0,661,177,203,0,380,380,0,197,27,19,5,0,0,2,1,0,1,3,113,0,1,1,10,380
112,"P.S RAMPUR ADHARGANJ",467,426,0,893,199,246,0,445,445,0,243,98,11,2,1,1,1,2,1,1,0,75,0,1,3,5,445
113,"P.S SHIVGARH CLASS 1",457,400,0,857,253,219,0,472,472,0,118,80,43,1,1,0,0,0,0,0,1,218,0,2,1,7,472
114,"P.S SHIVGARH CLASS 2",325,302,0,627,188,180,0,368,268,0,178,19,25,1,1,1,0,1,0,0,0,137,2,0,1,2,368
115,"P.S DAHER KALA",365,331,1,697,158,220,0,378,375,0,280,11,11,1,2,0,1,1,0,0,1,69,0,0,0,1,378
116,"P.S PRAJAPATIPUR",252,215,0,467,124,116,0,240,240,0,66,11,4,2,1,1,0,1,0,0,1,149,2,0,1,1,240
117,"P.S SACHAULI",505,437,0,942,273,308,0,581,580,0,332,15,25,9,3,2,2,2,1,0,3,178,1,3,3,2,581
118,"U.S NAJIYAPUR",464,391,0,855,221,229,0,450,450,0,124,92,25,4,1,1,0,0,1,2,4,181,2,1,2,10,450
119,"U.S NAJIYAPUR CLASS R 2",387,330,0,717,185,157,0,342,342,0,64,29,5,4,11,0,1,0,1,2,2,216,1,1,1,4,342
120,"P.S JARIYARI",792,700,0,1492,403,383,0,786,785,0,234,112,44,8,1,3,2,1,4,1,0,366,3,1,1,5,786
121,"P.S. ADAR",446,415,0,861,193,259,0,452,452,0,48,64,44,4,0,1,1,0,3,0,3,274,2,1,2,5,452
