"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA PRATAP SINGH","2 - RAHUL GANDHI","3 - SMRITI ZUBIN IRANI","4 - GOPAL SWAROOP GANDHI","5 - CHHAYA SINGH","6 - ZAHIDA BEGAM","7 - BABU LAL","8 - C L MAURYA","9 - RAVI KUMAR","10 - RADHE MOHAN","11 - RAM ASREY","12 - RAM NEWAJ","13 - RAMSIDDH YADAV","14 - VASDEO","15 - DR. KUMAR VISHVAS","16 - VEDPAL SHASATRI","17 - MOHD HASAN LAHRI","18 - UMAKANT","19 - GIRIJA BAKS","20 - GANGESH KUMAR GUPTA","21 - JAGAT SINGH CHAUDHARY","22 - JITENDRA SINGH","23 - TULSIRAM","24 - DWARIKA PRASAD","25 - NARESH SINGH BHADAURIYA","26 - BHAGWAN DEEN","27 - MITHILESH KUMARI","28 - RAMESH CHANDRA","29 - RAM SAJIWAN","30 - LAL BAHADUR","31 - SHIV KUMAR","32 - SWAMINATH","33 - SONAM KINNAR","34 - SANJAY KUMAR","35 - None of the Above","Total Votes Secured"
70,"PURE KUNJAL MAJRE ROKHA",796,647,0,1443,400,336,0,736,495,0,15,495,104,4,5,0,2,3,3,2,3,0,3,4,10,6,7,3,1,1,1,5,8,2,6,1,8,12,4,1,1,13,0,2,1,736
71,"TEKARI SAHAN",751,625,0,1376,406,294,0,700,695,0,8,459,185,6,3,1,2,4,1,0,2,0,0,0,3,0,1,2,2,1,0,2,4,1,0,0,1,2,2,1,1,4,0,0,2,700
72,"PURE KALLU MISHRA MAJRE POTHAI",284,263,0,547,152,150,0,302,225,0,49,101,102,0,1,0,0,1,1,1,0,0,1,3,3,1,3,1,3,0,1,3,3,2,1,0,3,7,1,3,3,1,1,1,1,302
73,POTHAI,630,541,0,1171,336,253,0,589,589,0,9,283,186,0,7,1,1,0,0,1,1,0,2,4,37,2,7,1,2,1,0,1,3,1,2,4,2,10,1,3,2,8,2,2,3,589
74,POTHAI,671,580,0,1251,324,280,0,604,604,0,107,376,72,2,2,1,2,4,1,2,0,0,3,0,8,3,8,1,0,1,0,1,2,0,1,0,1,1,0,2,0,1,1,0,1,604
75,POTHAI,695,541,0,1236,333,271,0,604,491,0,0,293,256,5,2,0,0,0,0,0,0,0,0,2,4,3,6,3,2,1,0,1,1,2,1,1,4,6,5,1,0,1,3,1,0,604
76,POTHAI,330,304,0,634,175,116,0,291,291,0,22,156,56,0,2,0,0,1,2,1,2,0,0,0,12,3,3,2,2,0,1,0,2,1,0,0,3,5,1,0,2,6,2,3,1,291
77,MAU,559,493,0,1052,348,265,0,613,613,0,55,429,82,4,5,0,0,1,2,5,0,3,1,3,6,7,1,1,1,0,0,0,2,0,0,0,1,0,1,0,1,2,0,0,0,613
78,MAU,466,433,0,899,255,245,0,500,500,0,38,263,89,2,2,0,2,1,0,1,0,1,0,0,17,12,5,3,0,1,0,4,4,6,4,4,7,12,3,4,3,12,0,0,0,500
79,MAU,590,523,0,1113,341,239,0,580,576,0,36,382,120,4,3,2,1,0,1,3,1,0,0,0,3,1,1,1,1,2,0,3,6,0,1,0,1,0,1,1,1,3,0,0,1,580
