"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAPIL MUNI KARWARIYA","2 - KESHAV PRASAD MAURYA","3 - MOHD. KAIF","4 - DHARAM RAJ SINGH PATEL","5 - GYANENDRA KUMAR SRIVASTAVA GYANI BHAI","6 - GANESHJI TRIPATHI","7 - DAKKHINI PRASAD KUSHWAHA","8 - NATHU RAM BOUDHA","9 - PARVEZ ASHFAQUE SIDDIQUI","10 - SHIMALA SHRI","11 - SURENDRA KUMAR MISHRA","12 - ZIAOUL HAQUE","13 - DR. NEERAJ","14 - MITHILESH KUMAR","15 - MILAN MUKERJEE","16 - None of the Above","Total Votes Secured"
75,"ZILA PARISHAD PRA0 PA0 BABUGANJ SOUTH",576,476,0,1052,302,278,0,580,580,0,95,264,14,177,4,0,1,1,1,2,1,5,3,1,3,8,580
76,"ZILA PARISHAD PRA0 PA0 JHAJHARI",245,206,0,451,167,151,0,318,314,0,93,150,8,55,1,0,0,0,2,0,0,0,0,1,2,6,318
77,"ZILA PARISHAD PRA0 PA0 PALI",294,215,0,509,196,147,0,343,43,0,53,93,3,183,2,0,1,0,0,1,0,0,1,1,3,2,343
78,"ZILA PARISHAD PRA0 PA0 PALI",655,563,0,1218,449,352,0,801,1,0,267,375,9,106,2,1,3,3,0,2,2,4,1,6,9,11,801
79,"ZILA PARISHAD PRA0 PA0 NARAI",729,537,0,1266,335,282,0,617,38,0,81,341,18,129,4,4,1,2,3,4,1,6,0,4,13,6,617
80,"ZILA PARISHAD PRA0 PA0 ATA",553,451,0,1004,364,308,0,672,62,0,50,503,7,82,1,0,0,0,1,7,3,2,5,3,6,2,672
81,"ZILA PARISHAD PRA0 JAGDEVPUR URF BARETHI",347,267,1,615,230,172,0,402,379,0,30,163,4,189,2,2,2,2,1,1,0,1,1,0,1,3,402
82,"ZILA PARISHAD PRA0 PA0 UMARIMAY TATIHARA NORTH",736,544,0,1280,410,319,0,729,729,0,174,221,8,300,0,1,0,1,2,5,0,5,1,1,3,7,729
83,"ZILA PARISHAD PRA0 PA0 UMARIMAY TATIHARA SOUTH",612,470,0,1082,287,258,0,545,208,0,30,343,17,142,2,1,0,0,3,0,0,0,0,1,1,5,545
84,"ZILA PARISHAD PRA0 PA0 UMARIMAY TATEHRA",363,293,0,656,202,178,0,380,349,0,62,205,2,99,0,0,0,1,0,0,0,4,1,1,2,3,380
85,"ZILA PARISHAD PRA0 PA0 BELVA WEST",570,468,0,1038,303,247,0,550,520,0,123,244,9,154,0,1,0,0,0,0,1,2,0,5,6,5,550
86,"ZILA PARISHAD PRA0 PA0 BELVA",573,450,0,1023,259,208,0,467,467,0,145,183,15,112,0,0,0,0,0,1,1,2,0,2,4,2,467
87,"ZILA PARISHAD PRA0 PA0 CHILLAUDA NORTH",923,706,0,1629,460,363,0,823,44,0,69,579,17,121,5,3,0,1,1,3,1,1,3,2,10,7,823
88,"ZILA PARISHAD PRA0 PA0 CHILLAUDA SOUTH",778,609,0,1387,531,293,0,824,624,0,182,415,6,198,5,0,0,0,1,5,1,2,0,2,2,5,824
89,"ZILA PARISHAD PRA0 PA0 RUDAPUR",732,554,0,1286,439,376,0,815,703,0,146,402,5,237,6,2,0,0,0,1,0,0,1,2,9,4,815
90,"PRA0 PA0 KANAOJA KHURD",576,477,0,1053,302,270,0,572,572,0,138,126,20,265,0,4,0,0,0,1,0,2,2,0,7,7,572
91,"SHRI KRISHNA JUNIOR HIGH SCHOOL DEVNAHRI",618,499,0,1117,384,300,0,684,604,0,147,431,20,55,1,2,0,3,3,4,2,3,2,3,5,3,684
92,"ZILA PARISHAD PRA0 PA0 THANAPUR",865,655,0,1520,523,394,0,917,82,0,202,455,18,206,3,4,0,1,3,0,0,1,3,4,6,11,917
93,"JAVAHAR LAL INTER COLLEGE BHOPATPUR MADHYA BHAG",513,426,0,939,295,246,0,541,300,0,79,250,16,177,0,2,0,2,2,3,2,3,0,1,2,2,541
94,"JAVAHAR LAL INTER COLLEGE BHOPATPUR NORTH",454,357,0,811,229,217,0,446,399,0,36,141,32,222,2,0,1,1,1,0,1,1,3,1,2,2,446
95,"ZILA PARISHAD PRA0 PA0 JAGBANDHANPUR",794,603,0,1397,500,452,0,952,500,0,195,582,28,126,1,0,0,0,1,4,4,0,3,6,2,0,952
96,"ZILA PARISHAD PRA0 PA0 BANKUIYA SOUTH",583,394,0,977,269,211,0,480,480,0,148,111,109,102,1,0,0,0,0,0,1,1,0,2,2,3,480
97,"ZILA PARISHAD PRA0 PA0 BABHANKUIYA NORTH",496,381,0,877,277,237,0,514,514,0,145,249,13,77,0,2,0,1,0,5,0,2,3,3,4,10,514
98,"ZILA PARISHAD PRA0 PA0 MANAPUR URF BAGAI KALA NORTH",388,305,0,693,277,247,0,524,32,0,42,145,5,313,2,0,1,1,1,3,0,1,4,2,2,2,524
99,"ZILA PARISHAD PRA0 PA0 MANAPUR URF BAGAI KALA SOUTH",652,522,0,1174,468,345,0,813,316,0,217,472,11,73,1,0,1,1,0,4,3,8,1,6,4,11,813
100,"ZILA PARISHAD PRA0 PA0 BAGAI KHURD SOUTH",626,499,1,1126,388,310,0,698,7,0,174,308,6,162,5,0,0,0,2,3,1,6,4,7,11,9,698
101,"ZILA PARISHAD PRA0 PA0 BAGAI KHURD WEST",516,441,0,957,349,288,0,637,43,0,106,242,13,237,3,2,4,0,2,4,1,3,2,3,4,11,637
102,"ZILA PARISHAD PRA0 PA0 KHODAYPUR NORTH",874,721,0,1595,549,463,0,1012,1009,0,244,297,34,397,9,5,2,1,1,2,2,4,4,7,0,3,1012
103,"ZILA PARISHAD PRA0 PA0 KHODAYPUR WEST (KASIYA KA PURA)",175,161,0,336,75,75,0,150,91,0,32,30,0,76,2,1,0,0,0,0,0,2,0,1,2,4,150
104,"PRURVA MADHYMIK VIDYALAY SARAI HUSAINA",506,357,1,864,260,222,0,482,482,0,74,240,12,144,1,1,1,0,3,2,0,1,0,1,1,1,482
105,"ZILA PARISHAD PRA0 PA0 CHAK HUSAINA URF CHORKARIA",696,508,0,1204,349,349,0,698,690,0,67,298,17,289,3,1,0,0,0,2,2,3,4,4,5,3,698
106,"ZILA PARISHAD PRA0 PA0 BARO",865,660,0,1525,453,414,0,867,529,0,96,411,13,327,2,0,2,0,0,3,0,2,0,2,6,3,867
107,"JUNIOR HIGH SCHOOL BARO",142,132,0,274,105,101,0,206,144,0,109,80,2,4,1,0,1,0,0,1,0,0,0,0,3,5,206
108,"ZILA PARISHAD PRA0 PA0 EKDALA",616,465,0,1081,355,262,0,617,10,0,9,293,112,171,5,1,0,2,2,4,0,0,2,4,4,8,617
109,"ZILA PARISHAD PRA0 PA0 PARVEJABAD",420,325,0,745,261,231,0,492,473,0,38,55,8,363,6,1,0,1,0,1,0,4,4,3,1,7,492
110,"PANCHAYAT BHAWAN RASHULPUR",346,252,0,598,238,200,0,438,400,0,15,318,4,96,1,1,0,1,0,0,1,0,1,0,0,0,438
111,"ZILA PARISHAD PRA0 PA0 CHIKHADI",373,274,0,647,243,213,0,456,135,0,45,200,11,191,1,0,0,0,1,1,0,1,0,1,4,0,456
112,"ZILA PARISHAD PRA0 PA0 CHANDAUHA NAYA BHAWAN EAST",611,464,0,1075,379,269,0,648,15,0,120,350,11,146,0,0,1,1,2,0,2,2,3,1,5,4,648
113,"ZILA PARISHAD PRA0 PA0 CHANDAUHA WEST",791,568,0,1359,422,291,0,713,227,0,143,249,21,261,6,4,0,0,0,1,1,3,5,3,4,12,713
114,"PANCHAYAT BHAWAN CHANDAUHA",419,273,0,692,249,153,0,402,10,0,193,157,3,23,1,2,2,0,1,3,0,2,2,4,4,5,402
115,"ZILA PARISHAD PRA0 PA0 KAUDARU",935,694,0,1629,603,473,0,1076,8,0,164,716,27,101,9,4,7,3,1,3,3,3,7,4,14,10,1076
116,"ZILA PARISHAD PRA0 PA0 DEORIA MADHYA BHAG-2",590,453,0,1043,305,241,0,546,395,0,143,317,4,68,0,2,0,0,2,1,0,3,2,0,2,2,546
117,"NAVNIRMIT SANSADHAN KENDRA DEORIA",699,557,0,1256,347,327,0,674,674,0,185,231,24,207,1,1,0,0,0,0,2,5,2,3,4,9,674
118,"PRA0 PA0 YARNA",568,455,0,1023,363,271,0,634,364,0,207,323,2,54,1,1,0,0,0,3,0,9,7,2,17,8,634
119,"ZILA PARISHAD PRA0 PA0 CHAKIYA DHARHARA WEST",420,327,0,747,258,209,0,467,462,0,137,247,17,46,1,0,1,3,0,1,1,1,1,1,4,6,467
120,"ZILA PARISAD PRIMARY PATHSHALA CHAKIYA GHARAHARA PURVI BHAG",506,411,0,917,324,278,0,602,11,0,272,257,7,48,4,2,0,3,2,0,2,3,0,1,1,0,602
121,"ZILA PARISAD PRIMARY PATHSHALA CHAKIYA GHARAHARA",446,372,0,818,296,234,0,530,509,0,112,321,7,51,0,2,1,0,0,3,0,2,1,7,4,19,530
122,"PRIMARY PATHSHALA SCHOOL SEMRA",758,625,0,1383,450,391,0,841,810,0,383,318,27,80,3,4,4,1,1,2,0,7,1,2,4,4,841
123,"ZILA PARISAD PRIMARY PATHSHALA MUSTAFABAD",483,392,0,875,307,239,0,546,540,0,152,322,9,50,0,3,1,1,0,1,0,1,0,2,1,3,546
124,"ZILA PARISAD PRIMARY PATHSHALA UMARI",685,512,0,1197,379,284,0,663,211,0,116,369,7,146,0,2,0,0,0,1,0,7,1,1,9,4,663
125,"PRIMARY PATHSHALA JUNEDPUR",343,266,0,609,219,176,0,395,250,0,13,276,3,93,4,2,1,0,1,1,0,0,1,0,0,0,395
126,"ZILA PARISAD PRIMARY PATHSHALA  JUNEDPUR",321,294,0,615,234,208,0,442,43,0,3,347,8,69,0,4,0,0,0,1,0,1,2,0,6,1,442
127,"ZILA PARISAD PRIMARY PATHSHALA  MOTINAGER SARAY RAHIYA MADHAY BHAG",717,564,1,1282,407,329,0,736,43,0,94,577,5,29,2,2,1,1,0,4,1,2,1,3,8,6,736
128,"PANCHAYAT BHAWAN BANI",592,467,0,1059,355,273,0,628,4,0,96,285,38,175,3,3,1,1,3,2,0,7,2,5,5,2,628
129,"PANCHAYAT BHAWAN BANI PA0 BHAG",413,344,0,757,305,225,0,530,496,0,344,127,18,28,1,1,2,3,0,0,0,2,0,1,0,3,530
130,"PRIMARY PATHSHALA VARI UTTARI BHAG",259,217,0,476,155,120,0,275,249,0,168,73,3,17,0,0,0,1,0,2,0,0,1,3,2,5,275
131,"PRIMARY PATHSHALA VARI PASCHIMEE BHAG",711,586,0,1297,453,394,0,847,647,0,235,344,12,210,4,1,1,3,1,3,2,8,4,2,8,9,847
132,"ZILA PARISAD PRIMARY PATHSHALA GOTAWAN UTTARI BHAG",607,536,0,1143,386,306,0,692,686,0,193,409,4,71,1,4,1,1,1,1,0,0,0,0,4,2,692
133,"ZILA PARISHAD PRA0 PA0 GOTAWAN DAKSHANI BHAG",617,512,0,1129,360,302,0,662,500,0,160,231,6,236,3,0,1,1,1,4,1,3,3,4,0,8,662
134,"ZILA PARISAD PRIMARY PATHSHALA NAHRAURA PURVI BHAG",581,471,0,1052,365,316,0,681,650,0,84,449,23,99,2,0,1,1,1,1,0,4,1,3,8,4,681
135,"ZILA PARISHAD PRA0 PA0 MANIKAPUR",505,422,0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"ZILA PARISHAD PRA0 PA0 SINGRAMAU UTTARI BHAG",813,658,0,1471,510,405,0,915,109,0,320,513,15,44,0,0,1,2,0,2,1,1,1,1,7,7,915
137,"ZILA PARISAD PRIMARY PATHSHALA  SINGRAMAU",498,396,0,894,247,231,0,478,19,0,148,258,4,57,0,0,0,1,0,2,1,0,0,1,4,2,478
