"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
82,"P. V. MAUKUTUBPUR (R.N.-1)",614,513,0,1127,343,343,0,686,686,0,12,22,222,368,6,0,6,2,6,2,1,6,9,8,0,6,4,1,5,686
83,"P. V. MAUKUTUBPUR (R.N.-2)",545,454,0,999,295,228,0,523,523,0,16,132,259,88,4,1,0,0,3,2,3,2,0,1,1,3,1,0,7,523
84,"P. V. MAUKUTUBPUR (R.N.-3)",480,420,0,900,260,242,0,502,400,0,9,157,150,160,5,1,1,0,2,1,1,3,4,2,1,4,0,0,1,502
85,"P. V. JAJPUR",209,185,0,394,129,125,0,254,230,0,1,51,14,167,1,0,1,0,1,0,8,1,2,0,1,2,0,1,3,254
86,"P. V. GANGAPUR",431,363,0,794,250,234,0,484,437,0,19,145,226,76,3,1,0,3,1,0,2,0,1,0,1,1,0,1,4,484
87,"P. V. KURSAULI YADAV",578,494,0,1072,268,251,0,519,513,0,18,122,210,148,2,2,1,1,3,1,1,1,0,2,0,1,1,1,4,519
88,"P. V. JAMUVA SAGAR (R.N.-1)",460,373,0,833,275,239,0,514,488,0,7,192,205,91,3,0,2,2,1,0,1,1,0,2,1,2,1,2,1,514
89,"P. V. JAMUVA SAGAR (R.N.-2)",405,324,1,730,233,238,0,471,471,0,15,233,59,152,1,0,1,0,2,1,1,2,0,0,0,1,0,2,1,471
90,"P. V. BHAKURACHANDI",315,252,0,567,150,156,0,306,290,0,25,106,97,66,1,1,0,0,3,1,0,1,0,1,0,0,4,0,0,306
91,"BALIKA U. M. V. RAMGARH",67,69,0,136,38,35,0,73,15,0,1,55,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,73
