"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KARTAR SINGH BHADANA","2 - KANWAR HASAN","3 - NAHID HASAN","4 - HUKUM SINGH","5 - DIVAKAR KASHYAP","6 - PARDIP","7 - RAMKARAN KASHYAP","8 - SUNITA","9 - SUNIL KUMAR KASANA","10 - KRISHANPAL","11 - MOHANLAL","12 - None of the Above","Total Votes Secured"
116,"H.R.INTER COLLEGE UTTERI BHAG KAMRA NUMBER 3 NAGAR PALIKA PARISHAD GANGOH",657,557,0,1214,465,363,0,828,513,0,14,39,231,517,9,1,0,2,4,4,0,7,828
117,"H.R.INTER COLLEGE UTTERI BHAG KAMRA NUMBER 5 NAGAR PALIKA PARISHAD GANGOH",330,268,0,598,219,182,0,401,401,0,13,27,192,163,2,0,0,1,0,0,0,3,401
118,"H.R.INTER COLLEGE UTTERI BHAG KAMRA NUMBER-4 NAGAR PALIKA PARISHAD GANGOH",652,599,0,1251,380,374,0,754,588,0,23,32,449,240,1,0,0,1,3,3,0,2,754
119,"H.R.INTER COLLEGE UTTERI BHAG KAMRA NUMBER-1 NAGAR PALIKA PARISHAD GANGOH",787,712,1,1500,589,481,0,1070,1004,0,44,37,326,655,2,0,1,0,2,2,0,1,1070
120,"H.R.INTER COLLEGE UTTERI BHAG KAMRA NUMBER-2 NAGAR PALIKA PARISHAD GANGOH",371,336,0,707,259,242,0,501,448,0,4,122,31,336,4,0,1,0,1,1,0,1,501
121,"H.R.INTER COLLEGE UTTERI BHAG KAMRA NUMBER-6 NAGAR PALIKA PARISHAD GANGOH",539,441,0,980,362,289,0,651,587,0,6,141,132,357,4,2,0,0,2,3,0,4,651
122,"H.R.INTER COLLEGE DAKSHINI BHAG KAMRA NUMBER-1 NAGAR PALIKA PARISHAD GANGOH",790,634,0,1424,537,416,0,953,951,0,17,224,226,464,7,3,2,1,3,3,1,2,953
123,"H.R.INTER COLLEGE DAKSHINI BHAG KAMRA NUMBER-2 NAGAR PALIKA PARISHAD GANGOH",421,402,0,823,287,262,0,549,549,0,3,2,74,464,2,0,1,0,0,1,0,2,549
124,"SAINI VISRAM BHAWAN D.C.S MORDAN SCHOOL GULAM OLIYA DAKSHIN KA  KAMRA HAL MADHYA  GANGOH NAGAR PALIKA PARISHAD",477,404,0,881,284,240,0,524,524,0,17,39,379,82,2,0,0,1,2,2,0,0,524
125,"SAINI VISRAM BHAWAN D.C.S MORDAN SCHOOL GULAM OLIYA DAKSHIN KA  KAMRA HAL MADHYA  GANGOH NAGAR PALIKA PARISHAD",755,558,0,1313,517,384,0,901,798,0,24,46,472,346,4,2,0,1,2,2,0,2,901
126,"D.AV.S.P.MOHRIYA  SCHOOL KAMRA NUMBER -1 NAGAR PALIKA PARISHAD GANGOH",802,608,0,1410,569,454,0,1023,1018,0,54,142,711,96,1,1,0,0,1,7,3,7,1023
127,"D.AV.S.P.MOHRIYA  SCHOOL KAMRA NUMBER-2 NAGAR PALIKA PARISHAD GANGOH",694,541,0,1235,405,329,0,734,702,0,43,39,422,217,3,0,1,0,0,6,0,3,734
128,"NAGAR PALIKA PARISHAD KARYALAY PURVI BHAG NAGAR PALIKA PARISHAD GANGOH",734,536,0,1270,471,262,0,733,440,0,35,45,637,2,0,0,0,0,1,8,1,4,733
129,"NAGAR PALIKA PARISHAD KARYALAY PASCHIMI HAL KA DAKSHINI  BHAG NAGAR PALIKA PARISHAD GANGOH",1260,869,0,2129,704,351,0,1055,916,0,60,59,900,16,2,0,2,1,0,6,2,7,1055
130,"NAGAR PALIKA PARISHAD KARYALAY KA SARKARI BHAWAN KAMRA NUMBER-1 NAGAR PALIKA PARISHAD GANGOH",304,223,0,527,180,140,0,320,320,0,5,10,175,124,2,0,0,0,0,2,0,2,320
131,"NAGAR PALIKA PARISHAD KARYALAY KA SARKARI BHAWAN KAMRA NUMBER-2 NAGAR PALIKA PARISHAD GANGOH",161,118,0,279,89,75,0,164,164,0,13,10,114,25,0,0,0,0,0,1,0,1,164
132,"NAGAR PALIKA PARISHAD KARYALAY DAKSHINI BHAG -2  NAGAR PALIKA PARISHAD GANGOH",557,487,0,1044,453,344,0,797,707,0,1,48,422,304,4,0,1,0,1,3,2,11,797
133,"NAGAR PALIKA PARISHAD KARYALAY PASCHIMI  BHAG   NAGAR PALIKA PARISHAD GANGOH",791,527,0,1318,599,364,0,963,550,0,12,73,611,252,4,1,1,0,1,3,1,4,963
134,"H.R.INTER COLLEGE PAITH BAJAR UTTERI BHAG KAMRA BHAG NUMBER-1 NAGAR PALIKA PARISHAD  GANGOH",428,383,0,811,311,257,0,568,316,0,15,11,25,504,6,1,1,0,1,2,0,2,568
135,"H.R.INTER COLLEGE PAITH BAJAR UTTERI BHAG KAMRA BHAG NUMBER-2 NAGAR PALIKA PARISHAD  GANGOH",488,487,0,975,371,347,0,718,716,0,5,8,20,674,4,2,1,0,1,1,1,1,718
136,"H.R.INTER COLLEGE PAITH BAJAR DAKSHINI BHAG KAMRA BHAG NUMBER-1 NAGAR PALIKA PARISHAD  GANGOH",442,389,0,831,293,272,0,565,565,0,11,124,85,329,5,1,2,0,0,2,2,4,565
137,"H.R.INTER COLLEGE PAITH BAJAR DAKSHINI BHAG KAMRA BHAG NUMBER-2 NAGAR PALIKA PARISHAD  GANGOH",489,413,0,902,334,283,0,617,610,0,5,34,55,517,2,0,1,0,1,0,1,1,617
138,"AARYA KANYA INTER COLLEGE PURVI BHAG KAMRA NUMBER -1 NAGAR PALIKA PARISHAD GANGOH",340,291,0,631,290,229,0,519,514,0,8,9,10,486,2,0,0,0,4,0,0,0,519
139,"AARYA KANYA INTER COLLEGE PURVI BHAG KAMRA NUMBER -2 NAGAR PALIKA PARISHAD GANGOH",458,421,0,879,347,287,0,634,569,0,22,21,52,530,4,0,0,0,1,1,1,2,634
