"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - IMRAN MASOOD","2 - JAGDISH SINGH RANA","3 - RAGHAV LAKHANPAL","4 - SHAZAN MASOOD URF SHADAN MASOOD","5 - YOGESH KUMAR","6 - RATAN SINGH","7 - RAJENDER KUMAR","8 - SHAHANAVAJ","9 - SHIV KUMAR","10 - MOHD. FIROZ AFTAB","11 - RAGHUVEER SINGH BODH","12 - CP VERMA","13 - SESHRAJ","14 - HANSRAJ SAINI","15 - None of the Above","Total Votes Secured"
69,"PRATHMIK VIDYALYA ROOM NUMBER-2, BANHEDA KHAS",673,535,0,1208,440,393,0,833,833,0,406,344,29,52,0,0,0,0,0,0,0,0,0,1,1,833
70,"PRATHMIK VIDYALYA ROOM NUMBER-1, NIYAMATPUR",767,721,0,1488,594,512,0,1106,1106,0,34,625,411,12,1,0,0,0,0,0,1,0,3,8,11,1106
71,"PRATHMIK VIDYALYA ROOM NUMBER-1, JATAUL DAMODARPUR",560,493,0,1053,410,360,0,770,725,0,4,293,439,7,0,6,0,1,1,0,3,4,5,4,3,770
72,"PRATHMIK VIDYALYA ROOM NUMBER-1, BANDAR JUDDA",601,512,0,1113,515,397,0,912,912,0,29,95,717,58,2,0,0,0,5,0,0,2,1,0,3,912
73,"MAHARAJ SINGH INTER COLLEGE UTTAR BHAG ROOM NUMBER-1, GUDGAJPUR",705,559,0,1264,553,426,0,979,979,0,36,270,619,33,1,0,0,0,2,1,1,2,4,7,3,979
74,"PRATHMIK VIDYALYA ROOM NUMBER-1, DUGCHADA",869,710,0,1579,739,560,0,1299,962,0,29,249,994,12,0,0,0,0,2,1,0,3,2,5,2,1299
75,"PRATHMIK VIDYALYA ROOM NUMBER-1, MAJRI",328,304,0,632,256,221,0,477,390,0,8,28,403,31,0,0,0,0,2,0,0,0,3,2,0,477
76,"PRATHMIK VIDYALYA ROOM NUMBER-1, MOHIUDDINPUR",332,287,0,619,253,231,0,484,417,0,3,342,134,0,0,0,0,0,0,0,0,1,2,1,1,484
77,"PRATHMIK VIDYALYA ROOM NUMBER-1, SUNEHTI",402,331,0,733,287,242,0,529,430,0,33,353,126,0,0,5,0,0,0,0,0,1,2,5,4,529
78,"PRATHMIK VIDYALYA ROOM NUMBER-1, SALHAPUR",850,635,0,1485,630,436,0,1066,1066,0,298,287,439,3,2,12,0,0,6,0,1,2,6,4,6,1066
