"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY AGRAWAL","2 - PRAVESH SINGH","3 - SONIA GANDHI","4 - ARCHANA SRIVASTAVA","5 - ANJU SINGH","6 - KIRAN CHAUDHARI","7 - KAILASH KUMAR","8 - JAWAHAR LAL","9 - MOHAMMAD ASHRAF","10 - RATIRAM","11 - SHIV SEWAK","12 - SAHAR NAQVI","13 - SURESH CHANDRA","14 - PRAMOD KUREEL","15 - MANGAL SAIN","16 - SHAKIL AHAMAD","17 - SAHADAT ALI KHAN","18 - None of the Above","Total Votes Secured"
179,"ADYOGIK PRASICHAD SANSTHAN",768,655,0,1423,406,281,0,687,687,0,120,11,522,9,3,1,1,1,1,0,1,0,0,4,2,6,3,2,687
180,"ADYOGIK PRASICHAD SANSTHAN",599,536,0,1135,340,291,0,631,631,0,78,11,473,27,3,1,2,0,0,2,2,2,9,1,0,7,1,12,631
181,"KENDRIA VIDYALAYA GORABAJAR",684,582,0,1266,338,263,0,601,601,0,191,5,384,14,1,0,0,0,0,0,1,0,0,1,0,1,0,3,601
182,"KENDRIA VIDYALAYA GORABAJAR",483,408,0,891,229,199,0,428,428,0,109,1,308,3,2,0,0,0,0,0,0,0,1,0,0,1,0,3,428
183,"KENDRIA VIDYALAYA GORABAJAR",514,435,0,949,184,171,0,355,355,0,119,22,201,5,1,2,0,0,0,0,0,0,0,0,1,1,0,3,355
184,"KENDRIA VIDYALAYA GORABAJAR",514,425,0,939,216,164,0,380,380,0,64,22,274,9,0,2,1,0,0,0,0,0,3,0,0,1,1,3,380
185,"POOLICE LINE",695,570,0,1265,309,237,0,546,546,0,176,2,339,25,1,0,0,0,0,0,0,0,0,0,0,0,0,3,546
186,"POOLICE LINE",505,463,0,968,230,199,0,429,429,0,134,2,276,12,0,0,0,0,0,0,0,0,0,0,1,0,1,3,429
187,"POOLICE LINE",558,448,0,1006,264,205,0,469,469,0,99,12,334,12,0,0,1,0,0,1,0,1,1,0,0,2,1,5,469
188,"RAJKIYA BALIKA INTER COLLAGE",734,670,0,1404,360,265,0,625,625,0,189,1,412,16,2,2,0,0,2,0,0,0,0,0,0,0,1,0,625
189,"RAJKIYA BALIKA INTER COLLAGE",736,655,0,1391,394,332,0,726,726,0,170,4,534,10,1,0,1,0,0,1,0,0,0,3,0,2,0,0,726
190,"FIROJGANDHI DEEGRI COLLAGE",772,687,0,1459,324,238,0,562,562,0,157,9,382,5,1,0,1,0,0,1,0,0,1,1,0,0,0,4,562
191,"FIROJGANDHI DEEGRI COLLAGE",782,742,0,1524,384,319,0,703,703,0,199,10,472,12,1,2,0,0,0,0,0,1,1,2,1,0,0,2,703
192,"FIROJGANDHI DEEGRI COLLAGE",639,513,0,1152,262,209,0,471,471,0,122,15,310,10,0,2,0,0,0,0,0,0,0,1,0,2,0,9,471
193,"FIROJGANDHI DEEGRI COLLAGE",356,302,0,658,155,136,0,291,291,0,59,5,217,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,291
194,"URMILA VIDYALAY",700,612,0,1312,350,225,0,575,575,0,140,24,392,13,1,0,0,0,0,0,0,0,0,0,0,0,3,2,575
195,"URMILA VIDYALAY",471,406,0,877,198,161,0,359,359,0,98,12,235,10,1,0,0,0,0,0,0,0,0,0,0,0,1,2,359
196,"URMILA VIDYALAY",342,327,0,669,138,158,0,296,296,0,82,7,195,5,0,0,0,0,0,0,2,2,0,0,0,0,1,2,296
197,"URMILA VIDYALAY",535,488,0,1023,233,241,0,474,474,0,151,21,278,16,0,0,0,1,0,0,1,0,1,0,1,0,0,4,474
198,"KARYALAYA KHAND VIKAS ADHIKARI",767,662,0,1429,337,277,0,614,614,0,154,9,426,16,0,0,0,1,0,1,0,1,0,0,0,0,0,6,614
199,"KARYALAYA KHAND VIKAS ADHIKARI",640,573,0,1213,341,297,0,638,638,0,138,22,446,19,1,1,1,0,0,1,0,1,0,0,0,3,3,2,638
200,"KARYALAYA KHAND VIKAS ADHIKARI",683,640,0,1323,389,387,0,776,776,0,233,11,491,27,1,0,0,0,1,0,1,2,0,2,1,2,1,3,776
201,"JILA PARISHAD HAAL",575,485,0,1060,283,210,0,493,493,0,59,9,401,9,0,1,1,1,0,1,0,0,2,5,0,0,0,4,493
202,"JILA PARISHAD HAAL",900,730,0,1630,434,327,0,761,761,0,50,19,670,5,1,2,0,0,1,1,0,0,0,4,1,2,1,4,761
203,"JILA PARISHAD HAAL",532,416,0,948,336,133,0,469,469,0,41,10,386,10,2,2,3,2,3,0,1,0,1,5,0,2,0,1,469
204,"JILA PARISHAD HAAL",600,471,0,1071,290,195,0,485,485,0,100,10,355,11,1,0,0,0,0,0,0,0,0,0,0,3,1,4,485
205,"AKBARPUR KACHVAAH",809,648,0,1457,433,314,0,747,747,0,82,16,593,16,4,2,1,0,1,2,2,0,3,8,1,6,2,8,747
206,"AKBARPUR KACHVAAH",670,553,0,1223,404,280,0,684,684,0,83,67,495,2,6,2,3,1,2,2,1,1,3,3,2,7,3,1,684
207,"CHAK SAHABUDEENPUR",272,224,0,496,165,151,0,316,316,0,29,11,256,8,0,0,0,0,1,0,1,1,3,1,0,4,0,1,316
208,KOLWAKHURD,861,724,0,1585,427,330,0,757,757,0,84,80,545,6,3,0,1,2,0,1,1,1,3,11,6,6,1,6,757
209,"SALEEMPUR SIKI",554,465,0,1019,361,273,0,634,634,0,48,44,473,9,8,4,0,5,3,1,0,1,7,9,9,7,2,4,634
210,PREMRAJPUR,418,386,0,804,278,277,0,555,555,0,138,51,329,4,3,2,2,1,1,4,3,0,1,1,1,8,1,5,555
211,RAHI,469,420,0,889,285,215,0,500,500,0,165,49,262,3,2,3,1,0,0,0,0,0,1,1,1,7,3,2,500
212,RAHI,478,379,0,857,219,172,0,391,391,0,115,8,240,8,3,2,1,0,1,0,0,1,1,1,1,3,4,2,391
213,RAHI,543,427,0,970,245,198,0,443,443,0,62,65,294,4,2,1,1,0,0,0,1,1,3,1,1,2,1,4,443
214,RAHI,477,427,0,904,207,194,0,401,401,0,56,48,284,5,0,0,1,0,1,0,0,1,1,0,2,2,0,0,401
215,RAHI,716,572,0,1288,331,224,0,555,555,0,72,20,412,9,4,3,3,1,3,0,3,3,2,4,1,11,2,2,555
216,DOHARI,268,232,0,500,166,126,0,292,292,0,59,45,162,8,1,0,0,0,0,0,0,2,2,3,1,4,1,4,292
217,GOVINDPUR,462,396,0,858,269,235,0,504,504,0,59,65,345,4,1,1,3,0,1,0,1,1,4,9,3,4,2,1,504
218,PAITEMAU,203,168,0,371,134,108,0,242,242,0,54,12,160,2,1,1,1,0,1,2,0,1,1,2,0,1,2,1,242
219,RANGHANPUR,344,320,0,664,218,194,0,412,412,0,52,45,295,7,0,1,0,0,0,1,0,1,0,2,1,6,0,1,412
220,RUPAMAU,605,503,0,1108,317,158,0,475,475,0,112,56,273,5,2,1,1,1,0,1,1,3,5,2,3,6,0,3,475
221,RUPAMAU,653,572,0,1225,359,233,0,592,592,0,242,15,290,6,7,2,0,1,1,1,5,1,1,4,4,7,3,2,592
222,RUPAMAU,654,541,0,1195,406,274,0,680,680,0,205,72,355,7,5,0,2,1,0,0,4,3,3,1,3,9,6,4,680
223,RUSTAMPUR,780,674,0,1454,417,318,0,735,735,0,66,59,540,14,2,2,1,2,2,0,1,1,4,15,11,12,1,2,735
224,RUSTAMPUR,595,512,1,1108,375,280,0,655,655,0,107,21,478,7,3,6,0,3,1,0,1,2,3,10,5,5,0,3,655
225,CHAKLODIPUR,460,408,0,868,271,216,0,487,487,0,129,38,279,4,4,1,0,1,1,0,0,2,3,5,4,11,2,3,487
226,KALNDAPUR,241,215,0,456,166,136,0,302,302,0,10,94,184,4,0,2,0,1,0,1,0,1,0,0,2,2,0,1,302
227,BANI,252,229,0,481,140,126,0,266,266,0,82,7,160,3,1,0,0,0,1,0,0,1,1,3,1,1,3,2,266
228,RATANSHIPUR,647,519,0,1166,369,290,0,659,659,0,89,26,481,6,6,2,3,2,3,1,1,6,3,8,4,11,0,7,659
229,RATANSHIPUR,452,399,0,851,280,173,0,453,453,0,244,45,146,1,3,4,0,0,0,0,0,0,3,1,1,2,2,1,453
230,BAKVARA,477,389,0,866,238,177,0,415,415,0,92,44,232,1,4,1,2,2,2,1,1,3,6,11,4,4,2,3,415
231,NATHUAPUR,285,271,0,556,172,175,0,347,347,0,34,78,206,3,0,2,0,2,0,2,0,1,0,2,2,7,2,6,347
232,GONDVARA,744,671,0,1415,416,356,0,772,772,0,168,21,525,6,3,14,1,2,2,1,1,1,3,4,6,8,3,3,772
233,GONDVARA,497,404,0,901,246,225,0,471,471,0,29,3,389,8,3,6,0,1,1,0,3,5,3,6,2,9,0,3,471
234,MONAI,323,271,0,594,202,176,0,378,378,0,140,25,200,2,1,2,1,0,1,0,0,1,1,0,0,2,1,1,378
235,BHUAMAU,419,345,0,764,259,188,0,447,447,0,50,80,286,1,2,3,1,0,2,3,1,2,1,6,2,5,1,1,447
236,MULIHAMAU,734,635,0,1369,404,266,0,670,670,0,61,46,529,11,1,1,0,0,1,0,0,2,0,2,5,3,5,3,670
237,JARAULA,454,378,0,832,304,254,0,558,558,0,20,34,466,7,1,9,1,3,0,2,0,0,2,0,3,4,2,4,558
238,"AYASPUR DEEHI",553,477,0,1030,355,280,0,635,635,0,36,17,512,13,5,3,0,1,0,3,3,3,10,5,2,9,3,10,635
239,JAGDEESHPUR,622,530,0,1152,444,276,0,720,720,0,24,29,621,3,3,2,4,1,1,1,1,3,6,10,3,3,2,3,720
240,BHATPURWA,314,258,0,572,197,160,0,357,357,0,25,19,272,11,2,1,0,2,1,0,3,0,6,5,3,3,2,2,357
241,BANDRAMAU,550,484,0,1034,303,233,0,536,536,0,41,61,383,8,1,0,0,0,2,3,0,4,4,5,8,8,5,3,536
242,BANDRAMAU,407,341,0,748,249,155,0,404,404,0,40,6,324,7,1,3,1,0,0,1,2,1,1,7,0,6,1,3,404
243,"BEHATA KHURD",873,702,0,1575,534,344,0,878,878,0,42,81,667,20,3,8,1,2,1,1,1,2,5,5,6,16,6,11,878
244,GADHIMUTAVALLI,563,519,0,1082,298,321,0,619,619,0,23,60,493,9,0,1,2,0,1,0,1,1,8,10,2,6,1,1,619
245,DARIYAPUR,694,567,1,1262,334,272,0,606,606,0,59,6,499,7,1,2,0,3,1,3,2,1,1,6,3,6,1,5,606
246,"JAHANPUR KODAR",492,416,0,908,308,296,0,604,604,0,29,15,489,6,4,21,0,2,2,2,1,2,3,7,8,7,1,5,604
247,MADHUPURI,725,649,0,1374,480,458,0,938,938,0,60,138,677,14,3,3,2,2,4,0,1,3,6,10,5,7,2,1,938
248,SULAKHIYAPUR,811,657,0,1468,502,361,0,863,863,0,54,71,654,15,4,0,0,1,0,4,1,4,4,10,5,6,9,21,863
249,VINOHARA,641,554,0,1195,371,357,0,728,728,0,70,8,603,11,1,2,1,2,2,1,1,1,2,6,4,4,1,8,728
250,VINOHARA,159,145,0,304,78,80,0,158,158,0,5,2,130,4,0,4,0,0,0,2,0,1,0,2,6,1,0,1,158
251,MACHCHECHAR,385,330,0,715,250,218,0,468,468,0,30,33,352,7,5,1,2,1,2,2,0,0,9,10,3,6,2,3,468
252,MANEHARU,749,635,0,1384,309,189,0,498,498,0,49,10,399,9,4,2,3,2,0,0,4,0,1,3,5,4,0,3,498
253,MANEHARU,672,570,0,1242,287,276,0,563,563,0,43,60,393,9,3,1,0,2,1,4,5,2,4,5,4,13,2,12,563
254,MANEHARU,274,225,0,499,125,75,0,200,200,0,47,4,132,1,1,0,1,0,0,0,1,0,1,3,2,3,0,4,200
255,NARAUKA,315,254,0,569,156,174,0,330,330,0,69,66,173,3,1,1,0,1,0,1,1,0,4,3,3,3,0,1,330
256,"PURWA PINDAUR",609,490,1,1100,325,264,0,589,589,0,76,71,410,6,0,0,2,1,1,0,0,0,2,5,6,4,1,4,589
257,"CHILAULA BHANGARIYA",669,571,0,1240,307,298,0,605,605,0,115,30,400,6,2,5,0,3,3,3,2,0,3,13,6,9,2,3,605
258,"KHAGIPUR SADWA",714,618,0,1332,375,306,0,681,681,0,109,47,474,12,3,0,0,1,0,0,0,2,1,2,5,10,2,13,681
259,SAIDANPUR,630,540,0,1170,323,330,0,653,653,0,115,11,471,7,5,2,0,1,3,4,1,2,5,8,6,9,2,1,653
260,DEDANI,530,458,0,988,306,296,0,602,602,0,87,47,420,7,4,0,0,0,2,1,2,3,1,7,2,10,1,8,602
261,JAFRAPUR,505,433,0,938,290,287,0,577,577,0,79,110,334,17,1,0,0,0,2,1,1,0,2,3,8,11,3,5,577
262,RAJAPUR,427,365,0,792,217,196,0,413,413,0,47,40,292,7,2,0,0,1,2,0,2,1,3,3,5,3,1,4,413
263,BELAKHARA,829,666,0,1495,354,267,0,621,621,0,32,14,530,4,2,4,2,0,1,0,3,2,1,6,5,12,1,2,621
264,BELAKHARA,565,475,0,1040,246,257,0,503,503,0,76,61,316,7,2,1,1,3,1,2,3,2,4,6,3,13,1,1,503
265,BELAKHARA,561,468,0,1029,278,248,0,526,526,0,53,34,413,7,2,2,0,2,0,2,0,2,0,1,2,4,1,1,526
266,SURAJKUNDA,693,576,0,1269,355,286,0,641,641,0,58,25,513,17,2,0,0,3,1,4,2,2,3,4,0,2,1,4,641
267,"BELA GUSISI",763,640,0,1403,241,194,0,435,435,0,13,5,377,9,1,1,1,1,5,1,1,3,1,7,3,4,0,2,435
268,"BELA GUSISI",521,447,0,968,238,168,0,406,406,0,23,33,318,5,5,0,1,0,0,4,1,2,1,6,3,3,1,0,406
269,"BELA GUSISI",743,592,0,1335,284,167,0,451,451,0,39,36,314,14,2,4,1,0,3,2,1,3,6,3,4,8,3,8,451
270,"BELA GUSISI",629,549,0,1178,335,337,0,672,672,0,100,30,486,8,3,2,1,1,0,2,2,2,7,5,9,10,0,4,672
271,"BELA TEKAI",785,636,0,1421,381,246,0,627,627,0,133,27,447,10,1,1,0,0,2,0,1,0,1,0,0,1,0,3,627
272,"BELA TEKAI",765,618,0,1383,308,223,0,531,531,0,82,31,377,6,4,2,0,2,2,5,0,4,4,4,5,2,1,0,531
273,CHAKBALLIHAR,202,177,0,379,126,108,0,234,234,0,70,15,142,2,0,0,0,0,0,0,0,1,0,2,0,1,1,0,234
274,EKAUNA,404,348,1,753,241,243,0,484,484,0,117,9,328,3,2,0,0,0,1,2,2,0,2,6,2,5,3,2,484
275,UDAREHATI,347,293,0,640,182,164,0,346,346,0,20,45,246,8,4,2,1,0,1,1,0,1,4,3,2,4,1,3,346
276,BELABHELA,708,583,0,1291,391,364,0,755,755,0,49,67,567,15,0,17,1,2,2,3,2,2,4,5,5,7,0,7,755
277,BELABHELA,630,566,0,1196,337,266,0,603,603,0,47,30,470,14,7,0,2,0,1,1,4,3,3,3,6,5,1,6,603
278,BELABHELA,730,589,0,1319,372,224,0,596,596,0,54,34,460,8,2,1,0,2,2,2,5,1,4,9,0,5,2,5,596
279,BELABHELA,353,294,0,647,255,212,0,467,467,0,65,13,350,18,3,1,0,1,0,0,1,0,3,3,2,0,4,3,467
280,BELABHELA,462,412,0,874,252,236,0,488,488,0,19,18,412,6,3,2,1,1,3,1,1,3,3,6,3,3,1,2,488
281,BELABHELA,652,561,0,1213,362,342,0,704,704,0,83,44,517,13,1,1,3,1,0,4,0,0,6,15,4,7,0,5,704
282,BELABHELA,399,371,0,770,215,230,0,445,445,0,52,57,304,8,1,1,0,0,0,0,1,1,2,4,2,4,2,6,445
283,BELABHELA,443,403,0,846,215,228,0,443,443,0,81,56,271,4,3,0,0,2,0,1,0,0,1,5,5,13,0,1,443
284,BELABHELA,767,628,0,1395,366,299,0,665,665,0,41,21,536,11,1,5,2,4,3,2,4,1,5,9,4,12,0,4,665
285,BELABHELA,650,545,0,1195,321,220,0,541,541,0,34,22,421,7,4,3,1,2,2,5,2,3,6,10,4,7,0,8,541
286,"SULTANPUR AIMA",349,306,0,655,278,163,0,441,441,0,60,81,278,4,3,1,1,0,0,0,0,1,1,4,0,2,1,4,441
287,KHANUA,300,249,0,549,211,191,0,402,402,0,28,45,310,2,2,4,1,0,0,0,2,0,0,2,2,2,1,1,402
288,JHAKRASHI,492,395,0,887,281,201,0,482,482,0,51,38,365,6,1,1,0,1,0,2,0,1,1,3,4,4,2,2,482
289,JHAKRASHI,857,710,0,1567,443,301,0,744,744,0,38,23,625,10,3,10,1,0,1,2,2,2,1,4,2,9,4,7,744
290,"MOHMMADPUR KUCHARIYA",557,458,0,1015,318,260,0,578,578,0,85,8,442,16,1,5,0,1,0,0,0,4,0,1,1,5,0,9,578
291,"MOHMMADPUR KUCHARIYA",540,451,0,991,317,253,0,570,570,0,34,58,412,12,5,27,0,1,0,1,2,0,3,3,3,5,2,2,570
292,SARAYDAMU,673,578,0,1251,443,335,0,778,778,0,48,83,597,7,1,5,2,2,2,4,2,6,3,3,4,8,1,0,778
293,SARAYDAMU,557,483,0,1040,284,252,0,536,536,0,21,19,460,9,1,0,4,1,2,3,0,1,2,5,2,4,1,1,536
294,BHADOKHAR,587,497,0,1084,304,292,0,596,596,0,100,19,448,5,0,3,1,0,0,0,1,2,3,6,2,4,1,1,596
295,BHADOKHAR,681,581,0,1262,412,320,0,732,732,0,117,65,485,13,3,10,2,2,0,2,1,5,3,9,4,5,2,4,732
296,"RAIPUR MAHERI",597,519,0,1116,348,300,0,648,648,0,79,13,504,8,4,3,0,2,4,0,1,4,1,2,6,5,8,4,648
297,"RAGHUNATHPUR KATAILI",563,450,0,1013,328,257,0,585,585,0,48,15,475,6,0,28,0,1,0,0,0,1,2,2,0,2,0,5,585
298,KOLAHAIBATPUR,567,480,0,1047,291,229,0,520,520,0,41,61,384,15,3,2,1,0,0,0,0,0,0,0,2,0,6,5,520
299,"CHAK SIRIHARA",308,268,0,576,181,151,0,332,332,0,17,17,273,3,1,0,1,0,1,1,2,1,1,0,3,5,2,4,332
300,PITAMBARPUR,280,251,0,531,158,176,0,334,334,0,72,24,223,2,1,1,0,0,0,0,0,0,1,3,0,4,1,2,334
301,KANAULI,397,352,0,749,207,186,0,393,393,0,41,53,269,7,1,2,1,1,0,0,1,0,1,6,3,4,2,1,393
302,"MAJER GANJ",439,379,0,818,247,217,0,464,464,0,91,16,329,2,2,0,4,2,3,0,2,0,1,3,3,2,1,3,464
303,"MAJER GANJ",448,365,0,813,264,213,0,477,477,0,70,28,349,2,3,2,2,2,0,2,1,1,1,4,2,7,0,1,477
304,PARMANPUR,501,435,0,936,272,248,0,520,520,0,196,52,241,6,0,1,0,0,1,1,0,0,2,2,5,7,4,2,520
305,KORCHANDAMAU,620,554,0,1174,335,271,0,606,606,0,68,38,456,6,2,0,2,2,0,2,2,2,0,13,6,5,0,2,606
306,EKSNA,267,241,0,508,169,148,0,317,317,0,26,6,253,7,2,5,0,1,0,1,1,2,0,5,2,3,2,1,317
307,LODHWARI,610,548,0,1158,270,181,0,451,451,0,36,12,347,17,2,7,0,1,2,1,1,2,2,8,4,6,1,2,451
308,LODHWARI,528,408,0,936,297,159,0,456,456,0,77,6,340,4,1,6,1,1,2,2,1,1,2,1,3,5,1,2,456
309,LODHWARI,589,474,0,1063,284,188,0,472,472,0,22,77,309,11,3,3,0,1,2,1,0,6,3,2,10,11,2,9,472
310,LODHWARI,879,685,0,1564,369,250,0,619,619,0,114,12,422,6,0,11,5,5,2,1,6,1,3,5,3,6,9,8,619
311,LODHWARI,872,685,0,1557,377,309,0,686,686,0,167,15,432,7,2,2,2,1,3,5,3,2,5,7,8,16,3,6,686
312,MOHGAWAN,750,572,0,1322,408,297,0,705,705,0,136,29,508,7,3,1,1,0,0,3,0,0,1,5,3,6,1,1,705
313,CHAKRAR,312,246,0,558,188,134,0,322,322,0,44,8,215,6,3,12,1,2,1,1,2,3,1,5,2,7,4,5,322
314,KHURHATI,368,306,0,674,137,70,0,207,207,0,21,8,153,5,2,4,2,1,0,1,3,0,0,1,0,3,1,2,207
315,"GULABGANJ M. KHURAHATI",617,497,0,1114,304,222,0,526,526,0,36,61,379,3,4,4,1,1,1,2,3,1,4,5,4,4,3,10,526
316,KHURHATI,516,398,0,914,232,217,0,449,449,0,58,22,326,8,3,3,1,0,1,0,2,3,2,5,2,6,2,5,449
317,KHURHATI,338,283,0,621,138,122,0,260,260,0,31,8,201,4,1,1,0,1,0,1,0,1,4,0,2,3,0,2,260
318,"ANTI NAUGAWAN",837,704,0,1541,444,323,0,767,767,0,43,61,568,9,1,4,7,4,4,3,7,3,12,15,5,14,1,6,767
319,BASADH,511,495,0,1006,287,163,0,450,450,0,219,20,182,0,0,0,1,4,0,0,0,0,0,4,4,10,5,1,450
320,BASADH,346,310,0,656,170,78,0,248,248,0,58,4,162,6,0,0,0,0,0,1,1,0,0,5,3,5,1,2,248
321,BHAIDPUR,600,490,0,1090,277,202,0,479,479,0,99,34,283,6,2,1,4,4,0,2,3,4,3,9,3,14,3,5,479
322,SANHI,593,519,0,1112,317,316,0,633,633,0,64,69,453,8,2,4,4,0,1,2,4,1,5,2,5,6,2,1,633
323,SANAHI,588,517,0,1105,312,282,0,594,594,0,150,28,349,13,4,2,3,4,1,4,2,7,0,6,3,12,2,4,594
324,JARIYARI,571,504,0,1075,298,294,0,592,592,0,50,19,433,16,7,1,2,1,5,2,2,1,3,10,9,13,1,17,592
325,BALEPUR,443,380,0,823,279,225,0,504,504,0,69,48,345,7,6,0,1,1,2,1,3,2,2,6,2,5,2,2,504
326,"TALA GOPALPUR",602,540,0,1142,288,228,0,516,516,0,80,21,376,1,7,2,2,0,1,0,2,3,1,2,3,4,2,9,516
327,SEMRA,495,458,0,953,248,234,0,482,482,0,123,84,248,2,1,1,1,0,1,1,0,1,3,3,2,4,3,4,482
328,PARAURA,312,296,0,608,210,208,0,418,418,0,128,35,227,4,3,0,0,0,0,2,0,1,1,6,1,5,4,1,418
329,BHAON,754,693,0,1447,361,338,0,699,699,0,34,54,563,12,1,2,1,0,1,1,0,3,5,11,2,5,0,4,699
330,BHAON,550,500,0,1050,338,283,0,621,621,0,74,117,382,6,4,2,1,0,3,2,1,3,4,6,4,6,4,2,621
331,"SARAY MOHMMAD SAREEF",435,401,0,836,214,194,0,408,408,0,68,28,273,4,2,5,0,0,0,1,0,2,3,7,4,8,1,2,408
332,"JAMALPUR NANKARI",449,410,0,859,248,243,0,491,491,0,80,38,329,8,3,4,0,0,1,0,2,1,1,1,2,1,4,16,491
333,"KACHAUDA MUHIDDEENPUR",608,529,0,1137,293,275,0,568,568,0,54,41,424,4,3,11,1,2,2,2,1,2,3,5,5,6,2,0,568
334,"KACHAUDA MUHIDDEENPUR",788,718,0,1506,311,203,0,514,514,0,86,10,368,4,2,2,1,2,2,1,3,5,5,6,8,7,1,1,514
335,"KACHAUDA MUHIDDEENPUR",433,388,0,821,189,142,0,331,331,0,27,16,264,2,0,1,2,2,1,1,2,0,1,3,1,5,3,0,331
