"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR AHMAD DUMPY","2 - OM PRAKASH","3 - KIRTI VARDHAN SINGH","4 - NANDITA SHUKLA","5 - BENI PRASAD VERMA","6 - AJAY  KUMAR  PRABHAKAR","7 - PREM KUMAR","8 - MASOOD ALAM KHAN","9 - MAHESH KUMAR","10 - MASHOOQ AHMAD","11 - RAJENDRA PRASAD","12 - RAJESH  KUMAR  MAURYA","13 - SATYA PRAKASH","14 - TILAK RAM","15 - BRIJNANDAN TIWARI","16 - None of the Above","Total Votes Secured"
129,"P.P. MAHILI SOUTH",764,601,0,1365,245,186,0,431,423,0,57,11,45,136,151,2,0,9,0,0,1,1,2,8,6,2,431
130,"P.P. MAHILI SOUTH",770,554,0,1324,267,198,0,465,463,0,5,18,137,244,33,1,0,6,1,2,1,1,4,7,3,2,465
131,"P.P. MAHILA",780,565,0,1345,310,241,0,551,551,0,64,18,219,219,12,0,0,9,1,2,0,0,1,0,2,4,551
132,"P.P. SHERGANJ GIRANT NORTH",561,437,0,998,270,208,0,478,200,0,30,14,137,160,20,4,4,76,2,2,1,2,0,5,16,5,478
133,"P.P. SHERGANJ GIRANT SOUTH",618,473,0,1091,224,172,0,396,382,0,86,10,112,119,28,2,1,12,2,0,1,3,3,6,3,8,396
134,"P.P. MAHMOODABAD GIRANT",878,640,0,1518,298,262,0,560,558,0,20,21,111,117,207,2,3,52,2,2,1,6,6,2,1,7,560
135,"P.P. SAKDARIYA",685,517,0,1202,293,277,0,570,570,0,10,15,233,259,30,0,1,11,1,2,1,0,3,4,0,0,570
136,"P.P. SAKRA ITAI ADAM",828,656,0,1484,388,327,0,715,715,0,24,15,462,98,84,1,2,11,0,0,0,1,3,8,2,4,715
137,"P.P. BILARIYA DABRA",749,565,0,1314,245,196,0,441,302,0,135,16,167,62,36,1,0,13,1,1,1,0,6,0,0,2,441
138,"P.P. DEWARIYA JANGALI EAST",657,577,0,1234,232,261,0,493,493,0,114,10,77,211,53,0,0,12,1,4,0,2,0,2,3,4,493
139,"P.P. DEWARIYA JANGALI WEST",391,304,0,695,180,177,0,357,357,0,193,12,55,72,12,2,1,2,0,2,0,1,0,2,0,3,357
140,"P.P. HUSENABAD GIRANT EAST",546,426,0,972,206,90,0,296,296,0,35,10,133,69,12,0,2,23,1,0,1,4,2,2,1,1,296
141,"P.P. HUSENABAD GIRANT WEST",858,605,0,1463,326,250,0,576,547,0,48,15,234,208,31,3,1,9,5,3,1,1,3,5,1,8,576
142,"J. H. SHCOOL HUSENABAD GIRANT NORTH",838,624,0,1462,388,251,0,639,639,0,43,5,443,111,30,0,0,3,0,0,1,0,0,2,0,1,639
143,"J. H. SHCOOL HUSENABAD GIRANT SOUTH",857,674,0,1531,308,227,0,535,535,0,26,13,243,147,52,3,0,32,0,1,0,3,5,7,2,1,535
144,"P.P. PAKDI BHUWAR NORTH",582,427,0,1009,321,216,0,537,537,0,9,9,351,62,77,3,2,0,2,2,2,2,7,2,3,4,537
145,"P.P. PAKDI BHUWAR SOUTH",502,385,0,887,235,149,0,384,384,0,14,18,217,42,75,4,0,2,0,1,2,1,3,2,1,2,384
146,"P.P. DAULTA BAD GIRANT EAST",611,488,0,1099,278,183,0,461,310,0,42,8,209,128,41,1,2,7,2,2,1,0,5,6,1,6,461
147,"P.P. DAULTA BAD GIRANT WEST",448,358,0,806,187,178,0,365,365,0,9,12,205,66,57,3,0,2,1,0,1,1,3,4,0,1,365
148,"P.P. PUREJDAR (AELRA) EAST",792,680,0,1472,388,342,0,730,730,0,65,16,278,169,177,2,2,2,5,4,3,2,1,2,0,2,730
149,"P.P. PUREJADAR WEST",674,542,0,1216,308,230,0,538,538,0,27,19,306,104,55,2,3,0,0,3,2,1,2,5,1,8,538
150,"P.P. BHARAT PUR EAST",859,642,0,1501,342,365,0,707,707,0,33,30,191,268,114,5,4,32,1,4,2,2,5,6,2,8,707
151,"P.P. BHARATPUR GIRANT WEST",429,323,0,752,234,187,0,421,14,0,6,10,231,107,47,4,0,4,0,2,0,0,2,3,3,2,421
152,"P.P. BANJARIYA NORTH",683,477,0,1160,339,212,0,551,551,0,85,17,344,58,31,2,1,2,2,1,0,0,4,3,1,0,551
153,"P.P. BANJARIYA SOUTH",798,556,1,1355,395,269,0,664,397,0,77,26,389,139,24,0,3,1,0,2,0,2,0,0,0,1,664
154,"P.P. GAINDAS BUJURG EAST",780,578,0,1358,342,230,0,572,314,0,35,21,351,69,57,4,1,9,0,1,1,5,3,6,2,7,572
155,"P.P. GAINDAS BUJURG WEST",827,620,0,1447,389,268,0,657,654,0,10,19,413,135,47,1,0,11,0,1,1,0,5,6,1,7,657
156,"P.P. GAIHRAULA",295,228,0,523,228,182,0,410,408,0,31,9,344,10,1,1,2,3,0,1,0,1,1,2,0,4,410
157,"P.P. BILASPUR",330,262,0,592,73,116,0,189,163,0,8,7,38,46,82,1,1,0,0,1,1,0,0,1,0,3,189
158,"P.P. GULZARDEED",784,566,0,1350,275,213,0,488,464,0,22,14,226,37,160,1,3,7,1,5,0,1,3,5,0,3,488
159,"P.P. GULZARDEEH DEVLAHA EAST",502,364,0,866,279,173,0,452,448,0,8,17,280,12,87,2,1,3,3,13,3,4,5,12,0,2,452
160,"P.P. GULZARDEEH DEVLAHA WEST",434,359,0,793,179,115,0,294,294,0,5,7,236,15,27,0,1,1,0,0,0,0,2,0,0,0,294
161,"J.H.SCHOOL TINNIHWA SOUTH",681,522,0,1203,352,259,0,611,400,0,50,30,436,17,39,2,1,6,2,2,1,4,6,8,3,4,611
162,"P.P. SAHIYAPUR",654,570,0,1224,222,228,0,450,444,0,69,13,140,141,51,5,1,6,0,3,2,2,1,0,4,12,450
