"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKBAR HUSAIN","2 - NAWAB KAZIM ALI KHAN","3 - NASEER AHMAD KHAN","4 - DR. NEPAL SINGH","5 - JANNAT NISHA","6 - VIJENDRA SINGH","7 - SYED SALMAN ALI","8 - AKBAR MASOOD","9 - JAGDISH SARAN SAGAR","10 - JAGMOHAN","11 - TEJPAL SINGH","12 - NAVED MIAN","13 - None of the Above","Total Votes Secured"
95,"PRIMARY SCHOOL KUNCHA DEVI DAS",801,718,0,1519,626,452,0,1078,1000,0,4,28,98,939,0,0,1,0,1,1,0,0,6,1078
96,"SUNDER LAL INTER COLLEGE ROOM NO-1 KUNCHA LANGAR KHANA",566,502,0,1068,319,228,0,547,529,0,2,59,127,354,2,0,0,0,1,0,0,0,2,547
97,"SUNDER LAL INTER COLLEGE ROOM NO-2 KUNCHA LANGAR KHANA",277,269,0,546,144,120,0,264,252,0,0,14,93,150,4,1,0,0,1,0,0,1,0,264
98,"SUNDER LAL INTER COLLEGE ROOM NO-3 KUNCHA LANGAR KHANA",503,479,0,982,240,182,0,422,422,0,3,28,71,309,2,1,3,1,0,1,2,0,1,422
99,"SUNDER LAL INTER COLLEGE ROOM NO-4 KUNCHA LANGAR KHANA",561,529,0,1090,330,282,0,612,597,0,4,124,345,135,1,0,0,1,0,0,1,0,1,612
100,"SUNDER LAL INTER COLLEGE ROOM NO-5 KUNCHA LANGAR KHANA",459,414,0,873,255,201,0,456,450,0,2,75,242,123,0,1,2,0,2,0,0,4,5,456
101,"OFFICE JALNIGAM ROOM NO-1 SADAR SAFAKHANA",737,564,0,1301,383,293,0,676,566,0,11,114,154,379,4,1,1,1,0,1,0,3,7,676
102,"OFFICE JALNIGAM ROOM NO-2 SADAR SAFAKHANA",548,366,0,914,335,169,0,504,488,0,0,129,329,27,2,0,8,1,3,0,2,2,1,504
103,"OFFICE JALNIGAM ROOM NO-3 SADAR SAFAKHANA",664,648,0,1312,320,291,0,611,574,0,16,22,118,442,1,2,4,0,1,0,0,1,4,611
104,"GOVT. GIRLS PG COLLEGE ROOM NO.1 QILA",638,623,1,1262,334,290,0,624,624,0,7,38,57,515,2,0,2,1,0,0,1,0,1,624
105,"GOVT. GIRLS PG COLLEGE ROOM NO.2 QILA",737,668,0,1405,326,195,0,521,508,0,2,109,220,184,1,0,0,1,0,0,0,1,3,521
106,"GOVT. GIRLS PG COLLEGE ROOM NO.3 QILA",532,520,0,1052,281,189,0,470,460,0,0,145,319,1,0,0,2,0,0,1,1,0,1,470
107,"GOVT. GIRLS PG COLLEGE ROOM NO.4 QILA",360,332,1,693,150,139,0,289,289,0,22,66,55,141,1,1,1,0,0,0,0,1,1,289
108,"GOVT. KHURSHEED GIRLS INTER COLLEGE ROOM NO-1 QILA",612,506,0,1118,255,183,0,438,438,0,0,86,335,8,0,0,3,0,1,1,0,1,3,438
109,"GOVT. KHURSHEED GIRLS INTER COLLEGE ROOM NO-2 QILA",494,465,0,959,216,156,0,372,370,0,1,84,282,3,0,0,0,0,0,0,0,0,2,372
110,"GOVT KHURSHEED GIRLS INTER COLLEGE ROOM NO-3 QILA",588,606,0,1194,393,343,0,736,736,0,6,167,549,2,0,0,6,0,0,0,4,1,1,736
111,"GOVT. KANYA INTER COLLEGE QILA",610,551,0,1161,444,323,0,767,767,0,0,209,541,10,0,0,0,0,0,0,2,2,3,767
112,"GOVT PRIMARY SCHOOL ROOM NO-1 QILA",620,577,0,1197,311,278,0,589,589,0,3,89,473,11,0,0,0,0,1,2,1,2,7,589
113,"GOVT PRIMARY SCHOOL ROOM NO-2 QILA",848,743,0,1591,409,238,0,647,637,0,1,164,467,6,0,0,0,0,1,0,0,0,8,647
114,"GOVT ITI ROOM NO 1 KILA",500,565,0,1065,289,296,0,585,576,0,2,38,537,0,0,0,2,0,0,0,0,0,6,585
115,"GOVT. ITI ROOM NO. 2 KILA",345,320,0,665,171,146,0,317,314,0,0,124,186,4,0,0,1,0,0,0,0,0,2,317
116,"GOVT.ITI ROOM NO. 3 KILA",589,556,0,1145,355,330,0,685,410,0,2,130,499,46,1,0,3,1,0,0,1,0,2,685
117,"GOVT GIRLS ITI KILA",585,502,0,1087,261,141,0,402,402,0,0,150,238,7,1,0,5,0,0,0,1,0,0,402
118,"NASIR KANYA JUNIOR HIGH SCHOOL ROOM NO-1 LAL MASJID",720,625,0,1345,381,274,0,655,549,0,2,152,463,23,0,0,5,0,2,0,0,2,6,655
119,"NASIR KANYA HIGHER SECONDARY SCHOOL ROOM NO-2 LAL MASJID",521,526,0,1047,238,193,0,431,428,0,0,108,315,5,0,0,0,0,0,0,1,1,1,431
