"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
157,"NAGAR PALIKA PARISAD  CHHIBRAMAU HALL WEST PART",545,447,0,992,318,205,0,523,170,0,147,5,357,7,0,0,0,0,0,2,3,0,2,523
158,"J.H.S. BALAK CHHIBRAMAU ROOM NO. 3",419,366,0,785,245,178,0,423,300,0,93,4,320,2,0,0,0,0,0,0,1,1,2,423
159,"J.H.S. BALAK CHHIBRAMU ROOM NO. 4",555,465,0,1020,214,166,0,380,282,0,128,26,223,0,1,0,0,0,0,2,0,0,0,380
160,"J,H,S, BALAK CHHIBRAMAU EXTRA ROOM",513,464,0,977,233,195,0,428,308,0,142,30,250,4,0,0,0,1,0,1,0,0,0,428
161,"SANTI NIKETAN VIDHYA MANDIR H.S. CHHIBRAMAU",542,472,0,1014,292,242,0,534,152,0,404,6,114,4,0,0,0,0,0,0,3,0,3,534
162,"SANTI NIKETAN VIDHYA MANDIR H.S. CHHIBRAMAU ROOM NO.2",573,457,0,1030,300,233,0,533,400,0,367,11,148,3,0,0,0,0,0,2,1,1,0,533
163,"HEERA LAL INTER COLLEGE CHHIBRAMU",544,468,0,1012,316,240,0,556,447,0,319,8,214,4,1,0,0,0,0,1,1,4,4,556
164,"BARAT GHAR UNCHA VIRTIYA NEST PART",785,682,1,1468,377,321,0,698,698,0,312,134,218,6,4,1,2,1,2,6,4,3,5,698
165,"BARAT GHAR UNCHA VIRTIYA SOUTH PART",908,737,0,1645,460,349,0,809,41,0,662,44,93,1,0,0,1,0,0,0,1,0,7,809
166,"ANVARI BEHAM H.S.S. CHHIBRAMAU NEST PART",763,604,0,1367,431,263,0,694,51,0,577,30,62,9,1,1,0,0,2,2,2,0,8,694
167,"ANVARI BEGAM H.S.S. CHHIBRAMAU SOUTH PART",695,577,0,1272,294,257,0,551,265,0,466,12,63,0,0,0,0,3,1,0,1,1,4,551
168,"P.P. BALAK SOUTH PART CHHIBRAMU",523,476,1,1000,303,270,0,573,573,0,563,5,2,0,0,0,0,0,0,0,0,0,3,573
169,"P.P. BALAK NEST PART CHHIBRAMAU",539,485,0,1024,238,189,0,427,405,0,91,27,290,1,1,0,0,0,1,2,6,5,3,427
170,"P.P. BALAK EXTRA ROOM CHHIBRAMAU",506,400,0,906,205,160,0,365,124,0,114,25,218,4,0,0,0,0,0,0,1,3,0,365
171,"J.H.S. BALAK CHHIBRAMAU ROOM NO,5",802,684,0,1486,362,326,0,688,10,0,208,30,432,8,3,0,0,1,1,0,1,1,3,688
172,"J.H.S. BALAK CHHIBRAMAU ROOM NO.6",691,555,0,1246,265,248,0,513,1,0,230,93,184,4,0,0,0,0,0,0,1,1,0,513
173,"P.P. NORTH PART NAUGAI",563,429,0,992,375,255,0,630,220,0,282,50,283,5,0,1,0,1,0,4,2,0,2,630
174,"P.P. SOUTH PART NAUGAI",632,504,0,1136,419,332,0,751,45,0,485,100,148,3,1,0,0,1,1,2,2,3,5,751
175,"P.P. KHALLARUP MANGADPUR",474,416,0,890,302,226,0,528,114,0,209,46,257,2,0,1,0,0,0,1,1,8,3,528
176,"P.P. WEST PART  KHUBARIYAPUR",602,484,0,1086,346,266,0,612,50,0,186,53,351,4,2,0,0,0,1,7,2,0,6,612
