"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAILASH NATH SINGH YADAV","2 - MO. MAKSUD KHAN","3 - MANOJ SINHA","4 - SMT SHIVKANYA KUSHWAHA","5 - ISHWAR DEV","6 - ISHWARI","7 - OMKAR CHAUHAN","8 - GUPTESHWAR","9 - DEENDAYAL","10 - DHARM YADAV","11 - PAPPU","12 - BRIJ BHUSHAN","13 - BHARAT","14 - RAJENDRA NATH RAM","15 - SATYA DEV YADAV","16 - ARUN KUMAR SINGH","17 - KUBER","18 - LAKSHAMAN","19 - None of the Above","Total Votes Secured"
164,"P.V. BHAWANIPUR (E.WING)",559,492,0,1051,282,266,0,548,340,0,71,7,182,249,3,1,0,0,1,18,0,0,2,0,0,3,5,1,5,548
165,"P.V. BHAWANIPUR (W.WING)",317,272,0,589,161,172,0,333,166,0,162,4,80,60,2,7,0,0,2,4,1,2,4,0,1,3,1,0,0,333
166,"P.V. HIRADHARPUR",295,258,0,553,156,142,0,298,129,0,109,4,80,18,1,48,1,0,1,6,3,0,2,2,2,14,4,1,2,298
167,"P.V. VIKRAMPUR (N.WING)",514,448,0,962,201,220,0,421,415,0,208,16,100,20,1,0,2,2,1,19,8,1,0,4,4,21,11,0,3,421
168,"P.V. VIKRAMPUR (EX ROOM)",324,284,0,608,132,149,0,281,267,0,59,7,107,14,0,3,0,1,1,48,2,0,1,2,2,23,4,1,6,281
169,"P.V. VIKRAMPUR (S.WING)",588,532,0,1120,274,261,0,535,400,0,138,8,206,84,4,9,2,0,5,6,0,1,0,2,10,51,4,1,4,535
170,P.V.GAUR,583,497,0,1080,263,262,0,525,336,0,86,11,123,259,6,0,0,1,0,2,2,0,0,1,3,5,10,5,11,525
171,"P.V. MADHIYA (N.WING)",536,437,0,973,371,215,0,586,298,0,153,14,101,209,1,3,2,0,2,38,0,1,2,3,6,47,1,1,2,586
172,"P.V. MADHIYA (S.WING)",611,564,0,1175,336,353,0,689,289,0,199,6,71,307,5,2,0,0,1,37,2,7,2,1,1,10,20,4,14,689
173,"P.V. DADHVAL",453,393,0,846,217,227,0,444,222,0,153,11,80,97,0,9,0,2,1,75,2,4,2,0,3,3,2,0,0,444
174,"P.V. CHILAUNA KALAN",718,631,0,1349,403,354,0,757,394,0,97,2,233,310,6,1,11,2,1,6,7,7,4,3,2,61,2,0,2,757
175,"P.V. BHABHAURA (S. WING)",607,510,0,1117,340,291,0,631,108,0,148,7,148,305,6,1,0,0,0,7,0,3,0,1,0,0,1,1,3,631
176,"P.V. BHABHAURA (N. WING)",361,300,0,661,189,170,0,359,68,0,68,3,99,54,1,4,3,0,5,89,1,3,1,4,4,19,0,0,1,359
177,"P.V. RASULPUR LOHASAD",152,128,0,280,92,80,0,172,86,0,7,1,15,120,1,0,0,0,0,10,0,0,0,0,1,16,0,0,1,172
178,"P.V. KARAMPUR (W WING)",554,434,0,988,320,220,0,540,45,0,14,12,172,298,2,3,1,0,0,16,1,11,1,1,0,2,2,1,3,540
179,"P.V. KARAMPUR (E WING)",515,434,0,949,314,285,0,599,19,0,273,4,47,166,1,12,3,1,2,46,1,8,3,1,3,15,5,6,2,599
180,"MARKANDEY PRASAD J.H.SCHOOL BHADAILA (W WING)",851,682,0,1533,442,412,0,854,492,0,416,6,113,236,5,6,3,0,3,45,1,1,1,1,1,7,5,0,4,854
181,"MARKANDEY PRASAD J.H.SCHOOL BHADAILA (E WING)",241,198,0,439,124,99,0,223,223,0,94,1,6,108,1,0,0,0,0,10,0,0,0,1,0,2,0,0,0,223
182,"P.V. SEHAMALPUR",327,260,0,587,192,182,0,374,347,0,11,7,265,51,1,2,0,1,2,5,4,1,1,4,0,9,1,0,9,374
183,"P.V. KANHAIPUR",390,306,0,696,263,204,0,467,257,0,17,3,82,342,2,1,0,0,0,11,1,0,2,0,0,1,0,1,4,467
184,P.V.GAJADHARPUR,542,435,0,977,300,265,0,565,41,0,216,12,202,83,2,1,0,0,2,37,0,1,1,1,1,3,0,0,3,565
185,"P.V. DADHI BADHI",302,257,0,559,214,174,0,388,283,0,10,5,81,285,1,0,0,0,0,0,0,3,0,0,1,1,1,0,0,388
186,"P.V. MAHMUDPUR",771,645,0,1416,458,370,0,828,250,0,61,7,326,376,5,1,1,2,1,17,3,2,4,5,3,5,1,4,4,828
187,"P.V. RAMPUR (E WING)",819,722,0,1541,447,317,0,764,30,0,105,23,355,197,1,5,3,1,1,56,3,3,0,1,0,2,4,1,3,764
188,"P.V. RAMPUR (W WING)",605,502,0,1107,299,310,0,609,303,0,197,24,161,142,1,6,3,2,1,32,4,4,5,4,5,10,2,3,3,609
189,"P.V. HATHAUDA (E WING)",791,654,0,1445,411,338,0,749,749,0,256,4,110,342,4,16,0,2,0,0,0,5,1,1,0,6,0,0,2,749
190,"P.V. HATHAUDA (W WING)",852,647,0,1499,396,300,0,696,8,0,203,17,169,243,4,17,0,1,0,15,1,4,2,6,2,5,3,2,2,696
191,"P.V. ISHOPUR",435,386,0,821,284,252,0,536,268,0,198,2,27,278,4,4,0,0,1,2,1,8,1,0,0,4,5,1,0,536
192,"P.V. KHARAUNA (E.WING)",493,426,0,919,204,238,0,442,75,0,129,3,100,147,4,7,1,0,0,33,0,2,1,0,1,7,2,0,5,442
193,"P.V. KHARAUNA (W.WING)",455,400,0,855,200,214,0,414,303,0,16,4,132,233,0,5,1,1,0,13,0,7,0,1,0,0,1,0,0,414
194,"P.V. GOPALPUR (W. WING)",490,443,0,933,262,249,0,511,350,0,181,9,188,70,4,6,0,1,0,5,1,19,1,1,1,9,6,1,8,511
195,"P.V. GOPALPUR (E. WING)",569,492,0,1061,278,271,0,549,349,0,33,3,129,350,3,5,2,0,0,4,2,2,0,0,1,8,2,0,5,549
196,"P.V. PATANA",602,497,0,1099,338,269,0,607,302,0,28,14,252,268,4,1,1,2,1,5,5,6,2,4,2,1,5,0,6,607
197,"P.V. SADIBHADI",461,343,0,804,245,227,0,472,266,0,106,10,221,78,1,2,0,0,2,16,4,16,2,4,2,5,2,0,1,472
198,"P.M.V. AURIHAR KALAN (E WING)",858,701,0,1559,582,394,0,976,868,0,201,8,366,359,1,0,2,0,1,16,1,3,3,0,5,8,1,0,1,976
199,"P.M.V. AURIHAR KALAN (W WING)",252,195,0,447,166,114,0,280,230,0,15,9,101,147,0,1,1,0,1,1,0,2,0,0,0,2,0,0,0,280
200,"P.V. SHEKHPUR",437,376,0,813,241,279,0,520,507,0,345,8,111,36,0,0,0,0,0,2,3,2,1,1,0,4,6,0,1,520
201,"P.M.V CHAKIYA NEWADA (E WING)",567,456,0,1023,349,306,0,655,200,0,293,5,224,94,0,0,0,0,0,1,4,2,2,0,0,7,9,3,11,655
202,"P.M.V CHAKIYA NEWADA (W WING)",752,651,0,1403,376,387,0,763,382,0,206,14,370,108,1,0,0,2,0,22,4,7,4,2,0,8,10,1,4,763
203,"P.V. TAJPUR MOLNA",758,644,0,1402,445,420,0,865,433,0,284,11,147,221,5,6,1,2,2,7,4,1,3,6,29,123,10,2,1,865
204,"P.M.V TAJPUR MOLNA",379,309,0,688,197,160,0,357,12,0,70,13,143,86,1,5,0,1,2,16,0,5,1,1,1,4,2,1,5,357
205,"P.V. KOTISA",744,630,1,1375,374,325,0,699,233,0,71,20,126,390,1,9,3,1,2,51,3,1,2,1,1,6,2,2,7,699
206,"P.V BHADRASEN",497,430,0,927,298,302,0,600,300,0,165,20,142,191,2,0,0,1,0,19,4,4,0,4,2,14,16,6,10,600
207,"P.V. LUDIPUR",521,435,0,956,288,276,0,564,282,0,140,9,40,307,1,5,1,1,2,34,2,4,4,1,3,7,3,0,0,564
208,"P..V. DAHRA KALAN (E WING)",831,666,0,1497,380,392,0,772,772,0,285,13,99,43,1,8,2,0,2,282,7,1,2,2,3,8,10,1,3,772
209,"P..V. DAHRA KALA (W WING)",393,344,0,737,199,215,0,414,371,0,17,17,110,108,2,5,0,0,2,106,6,9,0,2,11,9,7,3,0,414
210,"P.V. HASANPUR",769,691,0,1460,438,368,0,806,708,0,161,14,210,326,5,3,2,0,2,54,2,8,1,2,5,9,1,0,1,806
211,"P.V. RAFIPUR",361,310,0,671,225,214,0,439,439,0,149,6,39,225,2,2,1,0,0,5,0,2,0,1,0,5,1,0,1,439
212,"P.V. DHARMMARPUR",801,680,0,1481,470,358,0,828,500,0,411,4,116,260,4,0,0,2,0,9,0,1,2,0,1,5,10,0,3,828
213,"P.V. NARAYANPUR KAKARAHI (W. WING)",449,379,0,828,250,240,0,490,353,0,204,13,136,104,3,0,0,0,0,1,1,5,1,0,1,6,6,2,7,490
214,"P.V. NARAYANPUR KAKARAHI (E. WING)",445,385,0,830,247,204,0,451,225,0,22,11,104,283,4,2,3,0,0,1,3,3,3,2,1,2,2,0,5,451
215,"P.V. DAULATPUR",825,701,0,1526,482,395,0,877,100,0,114,21,198,407,5,8,1,1,4,64,5,14,5,6,3,9,1,3,8,877
216,"P.V. SINGHPUR",415,390,0,805,247,240,0,487,243,0,123,5,75,260,1,2,0,0,0,7,0,3,0,0,1,2,2,0,6,487
217,"MATA RAM DULARI PRABHAWATI I.C. MALIKPUR",479,398,0,877,285,230,0,515,490,0,7,11,391,26,1,0,1,1,0,25,0,5,1,3,9,31,2,0,1,515
218,"P.M.V. DAHARA KHURD",322,306,0,628,213,191,0,404,404,0,7,1,76,273,2,0,1,0,0,28,0,1,1,2,1,10,0,0,1,404
219,"P.M.V. VISHUNPUR MATHURA",413,350,0,763,209,218,0,427,427,0,122,11,224,24,0,0,1,1,1,6,1,3,1,1,5,21,2,1,2,427
220,"P.M.V. BHATAULA",373,325,0,698,240,216,0,456,228,0,4,9,113,277,3,1,0,1,2,30,0,4,1,1,1,4,1,2,2,456
221,"P.V. RAMREPUR",381,369,0,750,241,256,0,497,782,0,201,2,171,33,0,0,1,0,0,0,0,1,0,0,8,77,0,0,3,497
222,"DR. BHIM RO AMBEDKAR BESIK P.V.RASTIPUR",531,444,1,976,408,341,0,749,375,0,447,9,68,174,3,4,1,0,0,27,1,1,0,0,1,7,6,0,0,749
223,"P.V. SHARIFPUR",376,341,0,717,253,214,0,467,185,0,68,3,76,265,7,0,0,0,0,22,3,3,0,2,5,5,2,0,6,467
224,"P.V. TARVANIYA (W WING)",782,656,0,1438,437,326,0,763,382,0,340,18,268,43,0,3,2,0,1,48,2,12,0,2,2,7,6,1,8,763
225,"P.V. TARVANIYA (E WING)",534,443,0,977,275,194,0,469,469,0,92,12,213,74,0,0,2,0,1,61,3,2,1,1,1,4,1,1,0,469
226,"P.V. TARVANIYA (EX. ROOM)",370,303,0,673,218,146,0,364,210,0,130,9,157,42,1,0,0,0,1,14,2,2,3,1,1,1,0,0,0,364
227,"P.V. JAUHARGANJ",744,579,1,1324,445,328,0,773,376,0,54,32,463,93,3,2,1,3,1,86,13,4,2,6,2,5,1,0,2,773
228,"TA.N.I.C. SAIDPUR (E WING)",648,516,0,1164,338,299,0,637,350,0,25,26,463,91,1,0,1,0,1,14,3,3,0,2,0,1,3,3,0,637
229,"TA.N.I.C. SAIDPUR (W WING)",731,630,0,1361,436,346,0,782,391,0,35,26,509,52,0,2,0,0,4,132,3,8,2,1,0,5,0,0,3,782
230,"KANYA P.V. SAIDPUR",730,666,0,1396,487,412,0,899,730,0,21,57,611,136,2,0,1,0,1,31,3,22,2,0,1,5,0,0,6,899
231,"RA.BA.I.C. SAIDPUR (S WING)",684,562,0,1246,398,306,0,704,346,0,67,35,403,46,0,2,0,0,1,72,2,7,2,1,3,6,10,5,42,704
232,"RA.BA.I.C. SAIDPUR (N WING)",626,537,0,1163,463,310,0,773,670,0,128,27,455,75,1,2,0,2,1,55,1,10,3,3,4,1,0,1,4,773
233,"P.V. SAIDPUR NO.1 (N WING)",610,511,0,1121,363,293,0,656,450,0,82,17,163,88,0,1,2,0,7,281,2,3,0,0,1,6,1,0,2,656
234,"P.V. SAIDPUR NO.1 (S WING)",567,421,0,988,318,239,0,557,278,0,80,7,183,221,2,0,0,1,1,23,0,6,0,0,0,0,7,5,21,557
235,"P.M.V. SAIDPUR (N WING)",843,656,0,1499,397,357,0,754,650,0,12,62,525,107,0,2,0,0,0,16,2,13,0,1,0,4,2,1,7,754
236,"P.M.V. SAIDPUR ( S. WING)",337,288,0,625,190,140,0,330,142,0,8,19,205,61,0,2,0,1,0,24,0,6,1,0,0,0,1,1,1,330
237,"P.V. SAIDPUR NO.3",767,598,1,1366,460,323,0,783,658,0,50,23,435,64,2,6,3,3,1,170,3,5,2,2,0,8,1,1,4,783
238,"DAYANAND BAL VIDYA MANDIR SAIDPUR",664,525,0,1189,373,330,0,703,350,0,9,25,539,89,0,0,0,1,1,24,1,3,2,3,0,1,3,0,2,703
239,"P..V. JIYANCHAK",389,325,0,714,269,236,0,505,50,0,21,2,126,183,1,1,7,1,4,1,2,3,1,3,22,122,1,2,2,505
240,"P.V. DAHAN",826,694,0,1520,403,407,0,810,410,0,315,14,276,152,3,1,0,1,2,4,4,1,1,4,2,24,1,2,3,810
241,"P.V. MAHARUMPUR",470,385,0,855,315,281,0,596,274,0,186,2,58,334,2,2,0,0,0,7,0,0,1,0,0,1,1,1,1,596
242,"P.V. CHAKRAJU ( W WING)",560,454,0,1014,316,275,0,591,91,0,292,13,43,46,2,5,1,0,0,177,1,2,0,1,0,1,4,2,1,591
243,"P.V. CHAKRAJU ( W WING)",315,266,0,581,202,198,0,400,135,0,178,3,26,145,0,0,0,0,0,39,1,1,0,1,2,2,2,0,0,400
244,"P.V. MIRJAPUR",621,484,0,1105,369,321,0,690,622,0,301,15,76,243,6,3,1,0,0,20,0,3,2,2,2,2,6,2,6,690
245,"P.V. BADIHARI",536,379,0,915,288,244,0,532,528,0,151,0,28,157,0,4,0,0,1,185,1,0,0,2,1,0,1,0,1,532
246,"P.V. KHOJANPUR",615,507,0,1122,344,312,0,656,17,0,243,7,132,206,1,2,0,0,0,22,4,2,1,3,2,24,4,2,1,656
247,"P.V. RAVAL",696,573,0,1269,416,345,0,761,380,0,15,22,375,285,6,0,1,2,2,6,8,9,3,5,1,6,3,1,11,761
248,"P.V. ALAYACHAK",452,393,0,845,333,338,0,671,600,0,626,3,3,19,0,0,0,1,1,1,0,0,2,2,1,7,3,0,2,671
249,"P.V. RAISPUR",727,581,0,1308,420,355,0,775,327,0,121,4,167,436,3,2,0,1,0,12,2,5,3,2,2,8,5,1,1,775
250,P.V.TODARPUR,365,328,0,693,200,201,0,401,324,0,68,3,73,216,3,0,0,1,1,25,0,1,0,1,2,5,2,0,0,401
251,"P.V. FULWARI KALAN",627,546,0,1173,400,268,0,668,334,0,183,9,133,268,5,3,3,3,3,9,2,4,4,5,5,11,9,4,5,668
252,"P.S. HOLIPUR (E WING)",469,431,0,900,250,245,0,495,240,0,82,9,140,248,2,0,1,0,1,4,1,1,1,2,0,1,2,0,0,495
253,"P.V. HOLIPUR (W WING)",446,365,1,812,243,197,0,440,220,0,30,3,148,241,2,2,0,0,0,0,3,0,0,2,0,6,0,1,2,440
254,"P.V. MIRPUR TIRWAH",489,393,0,882,258,294,0,552,435,0,145,6,150,215,0,1,0,2,0,21,0,2,0,0,0,4,5,0,1,552
255,"P.V. PHULWARI KHURD",619,483,0,1102,374,245,0,619,592,0,172,4,89,337,0,2,1,1,0,2,1,5,1,0,2,0,0,0,2,619
256,P.V.SEHMALPUR,629,473,0,1102,356,293,0,649,430,0,171,5,129,331,1,1,0,0,0,1,1,1,0,1,0,1,4,1,1,649
257,"J.H.S. KANAULI NASIRPUR",387,330,0,717,265,208,0,473,273,0,198,2,90,166,1,1,0,0,0,9,2,0,0,1,0,0,1,1,1,473
258,"P.V. KHIJIRPUR",391,323,0,714,214,203,0,417,267,0,163,7,42,167,6,4,0,0,0,6,1,0,0,1,1,6,7,1,5,417
259,"P.V. BASUPUR",444,364,0,808,250,213,0,463,300,0,141,10,198,83,1,0,0,0,1,1,0,16,0,0,0,0,4,0,8,463
260,"P.V. SADKUCHAK",588,495,1,1084,345,302,0,647,50,0,257,9,72,218,2,4,1,0,1,61,3,3,1,4,0,5,4,1,1,647
261,"P.V. MAHULIYA",728,611,0,1339,444,381,0,825,825,0,154,1,108,534,4,0,0,0,1,2,2,4,2,2,0,9,0,1,1,825
262,"P.M.V MUDIYAR (N. WING)",729,596,0,1325,363,312,0,675,63,0,248,23,273,85,2,0,0,1,0,2,4,14,1,3,2,13,3,0,1,675
263,"P.M.V MUDIYAR (S. WING)",213,173,0,386,124,93,0,217,109,0,6,31,115,53,2,0,0,0,0,3,2,0,0,1,0,3,0,0,1,217
264,"P.V. MUDIYAR",410,321,0,731,240,158,0,398,200,0,9,6,148,155,5,4,2,1,0,42,5,5,0,1,0,2,2,3,8,398
265,"P.V. PAHARPUR HALDHAR",332,283,0,615,204,205,0,409,205,0,147,5,94,135,1,0,0,0,0,0,0,5,0,0,0,19,3,0,0,409
266,"P.V. SARAI KASIM (E WING)",539,413,0,952,280,238,0,518,508,0,180,5,36,252,4,0,0,0,0,5,1,6,0,1,0,2,17,5,4,518
267,"P.V. SARAI KASIM (W WING)",487,410,0,897,249,242,0,491,54,0,139,6,103,203,3,3,2,0,1,14,1,4,1,0,1,5,1,2,2,491
268,"P.V. RAJMALPUR",499,398,0,897,263,242,0,505,305,0,84,8,185,181,3,1,1,1,0,6,4,2,3,2,10,14,0,0,0,505
269,"A.I.C. SIYAVA",788,664,1,1453,372,376,0,748,30,0,208,11,296,126,3,0,0,1,2,29,5,6,1,6,14,30,8,2,0,748
270,"P.V. KANDAR",579,497,0,1076,301,351,0,652,512,0,120,17,117,294,5,8,1,3,1,50,4,3,2,2,1,1,11,4,8,652
271,"P.M.V. AKAWASPATTI S. GRAM BHIKHAIPUR",430,345,0,775,207,220,0,427,200,0,220,9,9,17,0,5,0,0,0,151,0,0,0,2,0,6,8,0,0,427
272,"MULAYAM SINGH YADAV SHIKSHAN SANSTHAN U.M.V. AKAWASPATTI",466,387,0,853,263,257,0,520,236,0,132,6,152,86,1,2,1,1,4,36,2,1,0,3,20,69,0,1,3,520
273,"P.V. PAHLA TOLA",581,505,0,1086,296,350,0,646,323,0,207,10,112,144,4,9,1,3,3,121,3,3,1,4,8,5,5,1,2,646
274,"P.V. DHUVARJUN (W WING)",352,264,0,616,185,169,0,354,264,0,205,6,58,74,1,0,0,0,0,3,1,0,0,0,0,0,5,0,1,354
275,"P.V. DHUVARJUN (E WING)",642,536,0,1178,290,262,0,552,500,0,60,20,346,77,0,2,0,1,0,35,1,2,1,0,2,1,1,0,3,552
276,"P.V. DHUVARJUN (EX. ROOM)",272,233,0,505,138,145,0,283,280,0,123,8,132,5,0,0,0,0,0,7,1,0,0,1,1,3,0,0,2,283
277,"P.V. VISHUNPUR KALA",292,268,0,560,175,179,0,354,176,0,2,0,62,264,2,1,1,1,2,1,0,1,1,0,3,10,0,1,2,354
278,"P.V. VISHUNPUR JUNARDAR",337,294,0,631,203,204,0,407,161,0,66,8,251,12,1,6,1,1,4,22,10,1,1,6,4,8,2,0,3,407
279,"P.V. KOLWAR",826,716,0,1542,416,461,0,877,812,0,209,14,407,166,2,3,0,2,0,64,3,0,0,0,1,1,2,0,3,877
280,"P.V. PAUTA (W WING)",789,663,0,1452,411,352,0,763,621,0,156,13,267,185,2,4,0,1,5,93,6,5,0,2,1,7,7,3,6,763
281,"P.V. PAUTA (E WING)",686,511,0,1197,301,259,0,560,60,0,122,8,221,142,5,3,0,1,2,37,2,5,2,4,2,4,0,0,0,560
282,"P.V. RAJAPUR U. AGAPUR",817,739,0,1556,437,424,0,861,861,0,288,4,111,271,4,4,1,3,3,127,4,9,1,1,3,14,5,3,5,861
283,"P.V. JAHANPUR",540,430,0,970,245,236,0,481,266,0,113,2,133,180,1,1,0,1,1,24,2,3,3,2,1,5,3,2,4,481
284,"DR.SAI.M.I.C. BHITARI (N WING)",538,473,0,1011,262,232,0,494,469,0,114,14,13,93,0,2,0,1,0,249,0,7,0,1,0,0,0,0,0,494
285,"DR.SAI.M.I.C. BHITARI (C WING)",532,439,1,972,275,243,0,518,146,0,240,10,46,96,1,4,0,0,0,111,1,1,0,1,0,3,3,0,1,518
286,"DR.SAI.M.I.C. BHITARI (C WING)",453,363,2,818,243,196,0,439,431,0,12,12,117,69,0,4,1,0,2,212,3,2,0,1,0,1,1,2,0,439
287,"DR.SAI.M.I.C. BHITARI (S WING)",680,549,0,1229,365,321,0,686,145,0,115,21,251,98,1,8,0,0,3,140,10,3,2,4,3,18,1,0,8,686
288,"P.V. BUDHANIPUR",524,448,0,972,313,272,0,585,200,0,78,6,104,357,3,1,0,0,0,13,1,5,1,1,3,10,2,0,0,585
289,"P.V. WASIPUR U. PIYARI (E WING)",317,283,0,600,187,185,0,372,370,0,81,3,37,241,0,0,1,0,0,1,2,1,1,0,0,2,0,1,1,372
290,"P.V. WASIPUR U. PIYARI (W WING)",678,599,0,1277,412,407,0,819,300,0,297,13,205,220,2,1,1,0,2,63,0,3,0,0,1,9,1,0,1,819
291,"P.V. MAHMUDPUR HATHINI (N WING)",522,446,0,968,254,224,0,478,128,0,65,11,177,136,0,1,0,1,0,54,2,1,0,1,6,21,1,1,0,478
292,"P.V. MAHMUDPUR HATHINI (S WING)",566,452,0,1018,290,267,0,557,90,0,198,10,105,165,5,3,1,2,2,9,1,5,3,5,7,31,1,1,3,557
293,"P.V. CHITAURA",464,405,0,869,296,279,0,575,287,0,146,3,139,261,1,0,0,0,0,1,3,3,1,3,2,3,6,1,2,575
294,"P.V. VISHUNPURA",678,585,0,1263,369,318,0,687,343,0,18,2,51,533,11,4,1,0,1,30,0,6,3,3,7,12,0,1,4,687
295,"P.V. DEVCHANDPUR (E WING)",844,639,0,1483,443,340,0,783,783,0,275,6,280,153,3,2,1,1,0,8,7,1,0,6,4,29,3,0,4,783
296,"P.V. DEVCHANDPUR (C WING)",466,331,0,797,210,180,0,390,190,0,95,3,174,64,0,3,0,1,2,13,12,3,2,0,0,2,4,2,10,390
297,"P.V. DEVCHANDPUR (W WING)",503,392,0,895,254,238,0,492,53,0,312,5,127,36,1,0,1,0,0,0,0,2,0,0,0,3,3,1,1,492
298,"P.V. MAHAICHA",452,389,0,841,255,237,0,492,246,0,152,11,82,224,1,0,0,1,0,11,3,1,2,0,0,1,2,0,1,492
299,"P.V. MALIKSHAHPUR",553,438,0,991,301,268,0,569,425,0,152,4,73,286,2,3,1,1,0,9,2,5,3,1,4,14,2,2,5,569
300,"HARI.P.V. DHARVAN",708,597,0,1305,404,378,0,782,365,0,418,5,112,192,6,0,0,0,0,3,2,5,1,1,3,23,7,0,4,782
301,"J.H.S.JEVAL S, GRAM KHANKAH KHURD",331,320,0,651,170,195,0,365,182,0,48,2,7,151,0,11,2,0,1,109,3,1,3,5,4,14,0,0,4,365
302,"P.V. DUBAITHA",573,484,0,1057,307,292,0,599,300,0,118,18,243,179,1,0,1,0,3,2,2,5,1,2,3,20,1,0,0,599
303,"P.V. CHAKERI",578,484,1,1063,294,299,0,593,298,0,267,11,109,146,2,3,1,0,0,24,12,1,2,3,0,9,2,0,1,593
304,"P.V. JEVAL",877,676,0,1553,472,402,0,874,435,0,235,4,273,259,1,3,2,0,1,66,6,3,0,4,2,5,3,1,6,874
305,"P.V. BHAVANIPUR (E WING)",308,254,0,562,157,134,0,291,152,0,21,5,84,156,2,0,0,0,0,9,2,2,0,1,1,1,1,0,6,291
306,"P.V. BHAVANIPUR (W WING)",719,568,0,1287,400,358,0,758,362,0,425,4,47,257,0,0,0,1,0,4,1,4,0,0,0,3,10,0,2,758
307,"P.V. TARANV (E WING)",405,342,0,747,215,196,0,411,205,0,53,3,127,174,1,5,1,1,0,37,0,3,1,1,0,1,0,2,1,411
308,"P.V. TARANV (W WING)",674,566,0,1240,353,323,0,676,340,0,358,8,104,134,0,4,1,0,0,54,0,3,0,2,1,4,3,0,0,676
309,"P.V.SONHAVALI (E WING)",577,503,0,1080,287,249,0,536,265,0,68,12,60,60,2,14,2,3,6,245,3,3,3,5,3,33,5,0,9,536
310,"P.V.SONHAVALI (W WING)",409,336,0,745,231,204,0,435,220,0,135,6,42,131,6,3,6,2,0,22,5,1,0,0,11,64,1,0,0,435
311,"HANUMAN SINGH I.C. DEVKALI (E WING)",639,526,0,1165,335,281,0,616,308,0,50,4,358,150,3,2,1,1,0,24,2,8,3,0,2,6,0,1,1,616
312,"HANUMAN SINGH I.C. DEVKALI (C WING)",326,306,0,632,191,197,0,388,200,0,179,3,143,35,1,1,0,1,1,8,0,1,0,1,1,6,4,2,1,388
313,"HANUMAN SINGH I.C. DEVKALI (C WING)",666,569,0,1235,344,301,0,645,322,0,114,12,191,184,3,7,0,0,5,90,6,8,6,2,6,9,0,0,2,645
314,"HANUMAN SINGH I.C. DEVKALI (C WING)",227,186,0,413,111,106,0,217,105,0,11,8,126,53,0,1,0,0,1,3,3,0,2,1,3,3,0,2,0,217
315,"HANUMAN SINGH I.C. DEVKALI (W WING)",335,250,0,585,194,136,0,330,165,0,48,2,28,216,0,1,0,1,0,11,0,6,2,0,1,7,3,0,4,330
316,"P.V.. SARVAR NAGAR",266,221,0,487,138,162,0,300,170,0,85,9,122,69,1,0,2,1,1,1,2,2,0,0,0,3,1,1,0,300
317,"P.V. KURBAN SARAI",852,705,0,1557,438,428,0,866,480,0,267,16,161,170,1,2,5,1,3,53,0,2,0,4,6,140,14,6,15,866
318,"P.V. SAGRA",149,150,0,299,104,111,0,215,125,0,11,0,25,11,2,1,0,0,0,1,0,0,1,3,11,148,0,0,1,215
319,"P.V. KUNDHACHAVAR",805,652,0,1457,408,343,0,751,673,0,54,11,238,245,11,1,13,2,10,14,3,2,2,4,47,77,11,3,3,751
320,"P.V. PACHRASI (W WING)",760,659,0,1419,434,379,0,813,635,0,367,3,108,103,8,4,10,1,2,7,2,8,0,5,38,143,4,0,0,813
321,"P.V. PACHRASI (E WING)",710,568,0,1278,376,340,0,716,428,0,31,16,289,206,9,0,11,5,4,10,6,7,4,1,21,93,0,1,2,716
322,"P.V. TURANA",557,482,0,1039,361,224,0,585,310,0,178,12,153,185,6,0,0,1,0,17,2,0,1,1,0,18,5,1,5,585
323,"P.V. HAKIMPUR (W WING)",635,534,0,1169,380,319,0,699,400,0,55,15,246,36,10,5,12,6,8,16,6,7,5,4,42,224,1,1,0,699
324,"P.V. HAKIMPUR (E WING)",241,221,0,462,132,138,0,270,140,0,7,1,25,76,0,0,3,0,1,7,3,3,1,3,20,118,0,0,2,270
325,"P.V. SAICHANA",498,432,0,930,304,301,0,605,605,0,452,6,27,97,2,0,0,1,0,0,1,0,0,1,0,9,7,1,1,605
326,"P.V. BADEPUR",554,451,0,1005,350,300,0,650,650,0,207,7,116,112,2,6,2,2,2,58,5,2,3,3,28,81,7,1,6,650
327,P.V.HATHAUDI,303,272,0,575,161,150,0,311,170,0,89,3,71,122,0,0,1,0,0,14,0,2,1,1,4,1,0,0,2,311
328,"J.H.S. MADPA",335,295,0,630,171,171,0,342,200,0,71,15,65,78,2,2,0,0,1,87,1,1,1,0,3,2,5,0,8,342
329,"H.S.S MAUPARA",480,395,0,875,249,240,0,489,484,0,177,9,82,92,5,3,3,0,0,105,0,2,2,0,4,4,1,0,0,489
330,"P.V. MAHMUDPUR PALI ( E WING)",588,491,0,1079,326,305,0,631,631,0,288,10,132,82,3,6,2,0,0,78,1,4,0,0,4,14,4,0,3,631
331,"P.V. MAHMUDPUR PALI ( W WING)",338,272,0,610,177,160,0,337,337,0,107,7,67,112,2,2,1,0,1,29,1,0,0,1,2,3,0,1,1,337
