"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
73,"P.S MIRJAPUR GAUS EAST PART",449,372,0,821,253,220,0,473,470,0,27,307,28,81,3,8,2,1,3,1,6,6,473
74,"P.S. MIRJAPUR GAUS WEST PART",430,382,0,812,177,156,0,333,285,0,27,157,20,103,3,4,2,1,1,1,6,8,333
75,"P.S. UJIHINI KHALSA NORTH PART",513,445,0,958,229,159,0,388,27,0,14,255,56,19,1,10,3,3,3,1,4,19,388
76,"P.S. UJIHINI KHALSA SOUTH PART",512,379,0,891,223,147,0,370,352,0,24,109,158,61,5,5,0,0,0,1,3,4,370
77,"P.S. FARIDPUR CHAKTAJPUR",701,581,0,1282,347,261,0,608,23,0,14,243,210,119,4,3,2,2,2,1,6,2,608
78,"P.S. NAYA TALAB SAIYAD SARAWAN EAST PART",641,514,0,1155,308,282,0,590,410,0,29,238,67,220,3,5,1,2,3,1,3,18,590
79,"P.S. NAYA TALAB SAIYAD SARAWAN WEST PART",564,448,0,1012,312,234,0,546,546,0,19,160,93,234,6,7,3,1,2,1,10,10,546
80,"P.S. KOODAPUR SAIYAD SARAWAN EAST PART",605,451,0,1056,298,189,0,487,407,0,37,131,216,78,5,4,3,4,1,0,3,5,487
81,"P.S. KOODAPUR SAIYAD SARAWAN WEST PART",448,366,0,814,294,222,0,516,310,0,33,255,55,139,7,3,6,1,1,2,7,7,516
82,"UPS SAIYAD SARAWAN NORTH PART",681,502,0,1183,356,159,0,515,51,0,11,219,220,40,4,6,1,1,2,0,2,9,515
