"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GIRISH CHANDRA","2 - YASHWANT SINGH","3 - YASHVIR SINGH","4 - OMPRAKASH RAVI","5 - TEJ SINGH","6 - BHAGWAN DASS RATHOR","7 - MANJU DEVI","8 - VINOD KUMAR","9 - SHARISHTHA KUMAR SINGH","10 - SHEESHRAM SINGH RAVI","11 - SARIKA","12 - ASARPAT SINGH","13 - SHAMSHER","14 - SUNIL","15 - None of the Above","Total Votes Secured"
102,"P.V.CHITAWAR ROOM NO 1",534,457,0,991,356,319,0,675,675,0,4,593,35,3,3,13,0,0,0,0,1,1,4,7,11,675
103,"P.V.CHITAWAR ROOM NO 2",253,225,0,478,162,136,0,298,298,0,8,272,12,0,1,3,0,0,0,0,0,0,0,2,0,298
104,"P.V CHATARBHOJPUR KUSHAL",416,360,0,776,347,296,0,643,643,0,320,310,6,0,0,2,0,0,0,0,0,0,0,1,4,643
105,"P.V.ALAMPUR GANGA",448,446,0,894,309,329,0,638,638,0,247,277,95,3,1,1,0,1,1,0,0,1,3,3,5,638
106,"P.V.GAZIPUR SIKRI",222,206,0,428,188,162,0,350,350,0,54,275,6,0,0,1,0,1,1,2,0,0,0,8,2,350
107,"P.V. GAZIPUR",572,504,0,1076,507,395,0,902,902,0,71,778,31,1,2,5,1,0,1,0,1,1,0,6,4,902
108,"P.V. BARHAPUR",196,199,0,395,162,167,0,329,329,0,118,203,1,0,0,1,0,0,0,0,3,0,0,3,0,329
109,"PANCHAYATGHAR ARJANIPUR",330,290,0,620,248,221,0,469,469,0,77,338,45,0,0,0,0,0,0,2,1,0,0,2,4,469
110,"P.V.KALAPURBUJURG NEW BUILDING",750,631,0,1381,560,454,0,1014,1014,0,432,537,12,1,3,4,2,1,0,4,3,1,2,7,5,1014
111,"P.V. UMRI ROOM NO1",454,398,0,852,324,300,0,624,624,0,45,380,175,1,3,1,0,0,2,1,3,1,3,7,2,624
112,"P.V. UMRI ROOM NO2",448,422,0,870,330,289,0,619,619,0,82,428,71,0,7,3,8,2,0,1,0,1,5,6,5,619
113,"SHANTI NIKETAN J.H.S. UMRI",420,373,0,793,303,283,0,586,586,0,301,244,27,0,1,1,0,0,0,0,5,0,1,3,3,586
114,"P.V.AURANGJEBPUR GULAL",258,232,0,490,176,179,0,355,355,0,117,179,37,0,1,1,0,1,1,0,7,1,5,3,2,355
115,"P.V.ISLAMPUR HATTU ROOM NO 1",812,716,0,1528,412,429,0,841,841,0,141,63,584,3,5,3,0,2,2,4,17,3,7,5,2,841
116,"P.V.ISLAMPUR HATTU ROOM NO 2",310,263,0,573,176,195,0,371,371,0,45,4,310,1,0,0,0,0,0,1,1,1,5,1,2,371
117,"P.V.FATEHPUR RAJARAM",389,376,0,765,360,340,0,700,700,0,64,587,26,2,2,1,2,0,1,1,0,2,2,6,4,700
118,"GOVT PADHTI ASRAMAMANNAGAR",400,374,0,774,353,296,0,649,649,0,293,307,33,1,3,0,0,0,0,1,0,0,0,7,4,649
119,P.GUNIYAPUR,632,586,0,1218,449,439,0,888,888,0,393,368,97,2,5,0,2,1,0,3,5,0,2,4,6,888
120,"P.V.SABHACHANDPUR MOHAN",649,572,0,1221,425,425,0,850,850,0,117,546,163,5,0,0,0,0,1,0,2,4,2,2,8,850
121,"P.V.SULTANPURSABHACHAND ROOM NO 1",669,532,0,1201,383,384,0,767,767,0,19,229,391,6,2,1,1,0,1,108,2,1,3,2,1,767
122,"P.V.SULTANPURSABHACHAND ROOM NO 2",670,521,0,1191,387,375,0,762,762,0,209,298,242,1,1,0,1,0,0,3,1,1,1,1,3,762
123,"P.V.SAHLIPUR ABDUL SATTAR",726,656,0,1382,481,480,0,961,961,0,558,277,72,3,5,11,3,1,0,0,1,1,1,8,20,961
124,"P.V.PITANHERI JHOJHA KHURD",350,292,0,642,246,259,0,505,505,0,326,168,2,0,1,0,0,0,0,0,1,0,0,5,2,505
125,"P.V.GAJIPUR HIDAYAT URF GARHIBAN",221,218,0,439,180,187,0,367,367,0,212,142,8,1,0,3,0,0,0,0,0,0,0,1,0,367
126,"P.V.DHANORI KUWAR",245,236,0,481,211,186,0,397,397,0,70,297,13,1,1,1,2,0,0,0,0,0,1,7,4,397
127,"P.V.BRAHAMJITPUR CHANDA",404,362,0,766,274,247,0,521,521,0,87,80,332,2,0,2,0,3,0,0,3,0,3,3,6,521
128,"P.V. PURSHOTTAMPUR",761,671,0,1432,484,472,0,956,956,0,102,45,800,1,1,1,0,0,0,2,1,0,1,1,1,956
129,"P.V. LALPUR",225,193,0,418,187,147,0,334,334,0,96,232,5,0,0,0,0,0,0,0,0,0,0,0,1,334
130,"P.V.MUBARAKPUR KHOSA",654,635,0,1289,431,460,0,891,891,0,83,20,772,4,1,1,1,0,0,3,1,0,2,0,3,891
131,P.V.NANDPUR,224,203,0,427,172,169,0,341,341,0,177,153,0,1,0,1,0,0,0,0,0,1,1,3,4,341
132,"P.V. ISLAMPUR BEGA",290,264,0,554,223,203,0,426,426,0,255,163,0,0,0,1,0,0,0,0,0,2,0,4,1,426
133,"J.H.S. SHADIPUR ROOM NO 1",422,386,0,808,314,277,0,591,591,22,22,541,13,1,0,2,0,1,0,0,0,1,0,7,3,591
134,"J.H.S.SHADIPUR ROOM NO 2",455,429,0,884,322,283,0,605,605,0,169,403,7,2,1,1,2,1,0,2,3,0,4,5,5,605
135,"J.H.S.SHADIPUR ROOM NO 2",793,690,0,1483,518,508,0,1026,1026,0,584,179,221,5,2,4,2,4,0,2,2,2,2,6,11,1026
136,"J.H.S. SHADIPUR ROOM NO 4",480,424,0,904,379,342,0,721,721,0,127,477,89,1,1,2,0,0,0,0,0,0,3,12,9,721
137,"P.V.AURANGPURNANDLAL ROOM NO 1",454,409,0,863,333,315,0,648,648,0,341,238,51,3,3,0,0,2,1,0,0,1,3,2,3,648
138,"P.V. AURANGPURNANDLAL ROOM NO 2",450,423,1,874,347,333,0,680,680,0,279,285,93,3,1,2,1,1,1,0,1,1,3,3,6,680
139,"P.V. GANORA",808,727,0,1535,505,499,0,1004,1004,0,277,494,176,5,6,4,2,0,1,4,2,10,8,3,12,1004
140,"PANCHAYAT GHAR JALALPUR SULTAN",233,213,0,446,193,155,0,348,348,0,195,137,3,0,2,0,0,1,0,0,0,0,1,5,4,348
141,"P.V.HAKIKATPUR VEERCHAND",515,462,0,977,394,333,0,727,727,0,311,363,40,0,7,0,0,0,1,1,1,1,2,0,0,727
142,"P.V. SAIDPURI",453,412,0,865,260,285,0,545,545,0,273,60,201,2,0,0,0,0,0,4,1,0,0,0,4,545
143,"P.V.AURANGJEBPUR MEHMOD",729,668,0,1397,279,438,0,717,717,0,12,8,475,12,6,2,0,1,1,172,3,1,11,3,10,717
144,"P.V.BEGAMPUR SHADI ROOM NO 1",799,676,0,1475,484,417,0,901,901,0,519,213,145,3,1,2,0,0,1,1,4,0,3,1,8,901
145,"P.V.BEGAMPUR SHADI ROOM NO2",669,625,0,1294,413,448,0,861,861,0,529,149,158,4,2,0,0,0,1,3,0,1,3,0,11,861
146,P.V.MANPUR,370,322,0,692,264,222,0,486,486,0,254,207,7,0,2,3,0,0,1,1,0,2,1,4,4,486
147,"J.H.S.AKBARABAD ROOM NO 1",540,478,0,1018,274,261,0,535,535,0,101,2,403,3,0,1,0,0,0,0,1,2,15,0,7,535
148,"J.H.S.AKBARABAD ROOM NO 2",493,448,0,941,212,249,0,461,461,0,91,2,359,0,0,0,0,0,0,0,2,1,3,2,1,461
149,"J.H.S.AKBARABAD ROOM NO 3",667,624,0,1291,300,361,0,661,661,0,109,32,487,5,2,1,1,1,0,1,4,1,7,2,8,661
150,"J.H.S.AKBARABAD ROOM NO 4",590,543,0,1133,228,314,0,542,542,0,59,60,377,2,0,11,0,0,0,18,3,1,4,2,5,542
151,"P.V. NURUL DEHARPUR",358,336,0,694,286,289,0,575,575,0,219,333,11,0,0,3,1,0,0,0,0,0,0,6,2,575
152,"P.V.ALIHYARPUR URF HAJIPUR",430,417,0,847,319,295,0,614,614,0,174,389,27,0,0,4,1,0,1,2,1,3,2,7,3,614
153,"J.H.S DAYALPUR GYANPUR",332,307,0,639,242,238,0,480,480,0,155,246,54,1,2,1,2,3,0,4,1,1,1,2,7,480
154,"P.V.SAHABPUR URF HINDUPUR ROOM NO 1",454,430,0,884,220,300,0,520,520,0,16,39,449,3,0,0,0,0,0,1,2,0,6,2,2,520
155,"P.V.SAHABPUR URF HINDUPUR ROOM NO 2",505,448,0,953,293,291,0,584,584,0,15,48,502,7,0,0,0,1,0,2,0,1,5,1,2,584
156,P.V.NEKPUR,734,683,1,1418,502,464,0,966,966,0,626,259,27,3,0,1,6,1,0,1,4,2,2,10,24,966
157,"PANCHAYAT GHAR JATPURA",411,358,0,769,264,276,0,540,540,0,145,295,56,2,2,2,3,3,2,7,1,5,5,8,4,540
158,J.H.S.MIRJAPUR,453,466,0,919,338,351,0,689,689,0,144,528,2,1,1,1,3,0,0,1,0,0,2,3,3,689
159,"P.V.RAJOPURSADAT ROOM NO 1",495,447,0,942,349,329,0,678,678,0,306,303,58,1,0,2,0,0,0,1,1,0,0,0,6,678
160,"P.V.RAJOPURSADAT ROOM NO 2",358,319,0,677,237,221,0,458,458,0,73,297,70,4,0,1,2,0,0,1,1,2,0,6,1,458
161,"P.V. MUSSEPUR",735,601,0,1336,384,403,0,787,787,0,259,255,231,0,2,1,0,0,1,25,2,1,5,3,2,787
162,P.V.MOJAMPURHARVANSH,744,677,0,1421,563,546,0,1109,1109,0,628,281,167,3,1,2,1,0,0,3,2,2,0,6,13,1109
163,"P.V.MAHESHWARIJAT ROOM NO1",622,533,0,1155,343,332,0,675,675,0,66,109,457,2,2,1,1,1,0,2,1,3,18,5,7,675
