"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
157,"SAMUDAYAK MILAN KENDRA  KASBA KODA",761,625,0,1386,383,325,0,708,706,0,73,12,507,78,1,1,1,11,1,0,4,1,3,4,11,708
158,"P.S. DWARIKAPUR JATT",565,476,0,1041,384,303,0,687,676,0,249,12,321,95,0,0,0,4,2,0,1,1,0,1,1,687
159,"P.S. GHANSHYAMPUR",794,647,0,1441,590,445,0,1035,1035,0,131,21,657,183,5,0,1,18,0,0,0,1,7,6,5,1035
160,"P.S. SAFARPUR SITHARRA",542,482,0,1024,369,392,0,761,746,0,76,8,357,290,1,3,1,11,0,0,2,1,3,2,6,761
161,"P.S. CHIRLI",714,575,0,1289,462,353,0,815,763,0,110,8,318,359,2,3,3,5,0,0,2,0,3,2,0,815
162,"P.S. KALANA ( SARAYANDHARAMPUR)",777,636,0,1413,527,381,0,908,890,0,122,14,565,174,3,0,0,9,1,0,4,1,5,7,3,908
163,"P.S. LAHURI SARAYAN MAJRE SARAYAN DHARAMPUR",699,580,0,1279,430,356,0,786,785,0,127,12,310,305,0,4,4,4,1,2,0,2,5,3,7,786
164,"KANYA P.S BANTHARA ROOM - 1",541,446,0,987,344,278,0,622,610,0,100,10,369,107,3,1,0,11,0,2,0,2,6,5,6,622
165,"KANYA P.S.. BANTHARA ROOM - 2",318,272,0,590,168,150,0,318,232,0,21,3,194,84,0,1,0,3,1,0,0,3,2,3,3,318
166,"P.S. CHANDIPUR MAJRE BANTHARA",400,336,0,736,276,229,0,505,422,0,249,2,88,144,2,2,1,2,0,1,0,1,1,8,4,505
167,"P.S. ALI PUR",200,156,0,356,115,91,0,206,185,0,4,1,137,57,1,0,0,0,0,0,0,3,2,1,0,206
168,"P.S. NIRAKHI",444,366,0,810,255,184,0,439,439,0,45,7,263,109,0,2,1,5,1,0,0,1,3,2,0,439
