"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
158,"JU. HIGH SCHOOL KANDHARPUR R.NO. 2",469,438,0,907,266,239,0,505,505,0,339,43,59,44,0,0,0,0,9,0,0,1,2,8,505
159,"PRA. PATHSHALA NIRMAAN BHAWAN LAKHAURA",841,608,0,1449,650,455,0,1105,1105,0,715,23,322,25,1,3,2,0,0,0,0,3,1,10,1105
160,"PRA. PATHSHALA PARGAWAN",672,498,0,1170,428,321,0,749,749,0,392,112,170,50,2,0,1,1,4,0,3,2,5,7,749
161,"PRA. PATHSHALA UMARSIYA ROOM NO. 1",455,364,0,819,348,233,0,581,581,0,426,5,59,82,0,1,0,0,1,0,0,0,1,6,581
162,"PRA. PATHSHALA UMARSIYA ROOM NO. 2",383,291,0,674,280,192,0,472,472,0,189,4,26,236,1,1,0,0,2,1,5,1,2,4,472
163,"PRA. PATHSHALA SIRSA",321,265,0,586,241,160,0,401,401,0,316,6,47,22,0,0,0,0,0,0,1,2,0,7,401
164,"PRA. PATHSHALA MIRZAPUR",290,239,0,529,202,152,0,354,354,0,262,3,45,30,1,2,0,0,0,1,2,0,0,8,354
165,"PRA. PATHSHALA VARINAGLA",488,419,0,907,375,304,0,679,679,0,472,7,54,129,2,0,0,1,0,0,1,0,3,10,679
166,"PRA. PATHSHALA BUKHARA",696,577,0,1273,499,428,0,927,927,0,434,33,289,147,0,0,1,1,5,3,1,1,2,10,927
167,"PRA. PATHSHALA ROOM NO. 1 NAVINAGAR",644,494,0,1138,462,322,0,784,784,0,522,62,150,38,0,0,3,0,1,0,0,2,2,4,784
168,"PRA. PATHSHALA ROOM NO. 2 NAVINAGAR",722,576,0,1298,541,343,0,884,884,0,342,54,303,155,2,2,1,0,1,2,2,7,1,12,884
169,"PRA. PATHSHALA PAALPUR KAMAALPUR",503,418,0,921,403,318,0,721,721,0,461,28,90,119,0,2,0,1,1,0,4,2,1,12,721
170,"PRA. PATHSHALA NEW BHAWAN PAALPUR KAMAALPUR",423,328,0,751,314,210,0,524,524,0,392,11,91,20,0,0,0,0,1,0,1,0,0,8,524
171,"MAHARANA PRATAP H.SEC. SCHOOL MAANPUR AHIYAPUR ROOM NO. 1",351,251,0,602,177,106,0,283,283,0,127,23,83,44,1,0,0,0,1,0,2,2,0,0,283
172,"PRA. PATHSHALA MAANPUR BHOOR",422,294,0,716,309,205,0,514,514,0,293,4,30,171,0,1,0,2,0,4,0,0,3,6,514
173,"MAHARANA PRATAP H.SEC. SCHOOL MAANPUR AHIYAPUR ROOM NO. 2",776,571,0,1347,592,360,0,952,952,0,443,11,420,69,0,0,1,0,0,1,1,1,4,1,952
174,"PRA. PATHSHALA MAANPUR CHIKATIYA ROOM NO. 1",565,486,0,1051,386,318,0,704,704,0,397,14,120,157,1,0,1,2,1,0,1,2,2,6,704
175,"PRA. PATHSHALA MAANPUR CHIKATIYA ROOM NO. 2",407,362,0,769,307,241,0,548,548,0,363,6,160,5,0,0,0,0,0,0,0,2,1,11,548
176,"PRA. PATHSHALA VARKALIGANJ",228,207,0,435,180,146,0,326,326,0,230,1,24,57,3,0,0,0,0,0,2,2,1,6,326
177,"PRA. PATHSHALA BHAUAAPUR",447,390,0,837,332,257,0,589,589,0,272,6,186,118,0,0,1,0,0,0,1,2,0,3,589
178,"PRA. PATHSHALA BABHIYA ROOM NO. 1",617,489,0,1106,466,380,0,846,846,0,633,18,147,11,0,1,0,0,1,3,2,3,3,24,846
179,"JU. HIGH SCHOOL BABHIYA",624,447,0,1071,489,323,0,812,812,0,572,17,154,32,1,0,1,0,2,0,5,6,3,19,812
180,"JU. HIGH SCHOOL KYARA ROOM NO. 1",743,559,0,1302,426,357,0,783,783,0,302,31,329,109,2,0,1,2,0,1,0,1,2,3,783
181,"JU. HIGH SCHOOL KYARA ROOM NO. 2",695,462,0,1157,486,301,0,787,787,0,445,15,218,79,0,0,1,0,0,2,3,4,4,16,787
182,"PRA. PATHSHALA ROOM NO. 2 JALLAPUR RAMDAYAL",876,593,0,1469,560,321,0,881,881,0,669,17,112,35,2,3,0,1,0,0,4,2,6,30,881
183,"PRA. PATHSHALA MANJHA",236,158,0,394,167,105,0,272,272,0,170,8,69,7,2,2,0,0,1,1,5,1,2,4,272
184,"PRA. PATHSHALA JAGATPUR",247,146,0,393,152,80,0,232,232,0,77,3,137,9,1,0,0,0,1,1,0,2,0,1,232
185,"JU. HIGH SCHOOL SIMRA VORIPUR",674,636,0,1310,449,365,0,814,814,0,257,5,495,46,1,0,1,0,0,0,2,0,0,7,814
186,"PRA.PATHSHALA KARAUNDA",485,361,0,846,405,250,0,655,655,0,246,4,396,5,1,0,0,0,0,0,1,1,0,1,655
187,"PRA. PATHSHALA TAAL GAUTIYA",300,258,0,558,218,167,0,385,385,0,252,9,101,18,0,1,0,1,0,0,1,0,1,1,385
188,"PRA. PATHSHALA ROOM NO. 1 HANDAULIYA",502,384,0,886,379,277,0,656,656,0,455,10,157,18,2,0,2,0,1,1,0,1,4,5,656
189,"PRA. PATHSHALA HARDUAA",416,377,0,793,283,251,0,534,534,0,378,5,57,89,1,1,0,0,2,0,0,0,0,1,534
190,"PRI PATH CHURHA NAVADIA",428,293,0,721,340,222,0,562,562,0,179,10,301,52,2,1,1,0,0,0,4,2,2,8,562
191,"PRI PATH KISHANSINGHPUR",328,239,0,567,221,189,0,410,410,0,271,26,101,9,1,0,1,0,0,0,0,0,0,1,410
192,"PRI PATH RAFIABAD",313,235,0,548,241,150,0,391,391,0,279,5,26,59,1,1,0,1,1,0,3,2,1,12,391
193,"PRI PATH DHEERPUR",408,327,0,735,336,242,0,578,578,0,248,18,216,93,0,0,0,0,1,0,2,0,0,0,578
194,"PRI PATH REHMANPUR",513,422,0,935,315,254,0,569,569,0,158,16,186,199,0,0,0,0,0,0,2,3,1,4,569
195,"PRI PATH DASIPUR",489,371,0,860,331,233,0,564,564,0,173,6,190,178,2,3,1,0,0,2,3,1,0,5,564
196,"PRI PATH R.NO. 1 JAITPUR SHARIFPUR",541,421,0,962,293,218,0,511,511,0,166,178,28,120,1,1,0,1,0,1,2,2,0,11,511
197,"PRI PATH R.NO. 2 JAITPUR SHARIFPUR",316,250,0,566,167,137,0,304,304,0,117,144,12,20,1,1,0,0,0,0,0,1,1,7,304
198,"PANCHAYAT GHAR MILAK MAJRA JAITPUR SHARIFPUR",362,295,0,657,320,226,0,546,546,0,470,10,52,11,0,0,0,0,0,0,1,0,0,2,546
199,"J.H. SCHOOL VALEI BHAGWANTPUR",772,649,0,1421,524,382,0,906,906,0,404,34,252,201,3,0,0,0,1,0,2,1,4,4,906
200,"PRI PATH MUSHRAFPUR",494,364,0,858,366,252,0,618,618,0,451,11,95,41,1,0,1,0,0,3,3,0,3,9,618
201,"PRI PATH JAINPUR QADRABAD",268,177,0,445,200,127,0,327,327,0,198,9,112,5,1,0,0,0,0,0,0,1,0,1,327
202,"PRI PATH MIRZAPUR",433,363,0,796,276,254,0,530,530,0,278,16,26,198,0,1,1,1,0,0,4,0,0,5,530
203,"PRI PATH SHIVNAGAR CHAMPATPUR",308,255,0,563,196,170,0,366,366,0,182,125,51,1,0,0,0,0,0,0,0,1,0,6,366
204,"PRI PATH KANHARPUR",736,622,0,1358,522,389,0,911,911,0,665,120,82,22,3,0,3,1,3,0,1,1,4,6,911
205,"PRI PATH PARAVAHANDDINPUR",663,550,0,1213,335,297,0,632,632,0,286,75,21,233,1,1,1,1,2,0,1,2,2,6,632
206,"PRI PATH VAMYANA",915,738,0,1653,587,394,0,981,981,0,106,156,381,299,5,2,2,0,3,3,5,2,1,16,981
207,"PRI PATH BHOJPUR",602,531,0,1133,451,353,0,804,804,0,153,15,71,535,5,1,2,0,1,1,13,1,2,4,804
208,"J.H. SCHOOL PREMRAJPUR",433,334,0,767,331,241,0,572,572,0,398,3,43,116,1,0,0,0,1,1,3,1,0,5,572
209,"PRI PATH SAHASA",787,722,0,1509,563,482,0,1045,1045,0,472,28,299,199,4,0,2,1,3,4,10,2,1,20,1045
210,"PRI PATH BHINDAURA",691,578,0,1269,423,359,0,782,782,0,121,281,240,119,1,1,1,0,1,1,4,3,1,8,782
211,"PRI PATH RUTIYA",328,270,0,598,213,170,0,383,383,0,3,186,177,3,1,0,0,0,2,2,3,1,2,3,383
212,"J.H. SCHOOL R.NO. 1 AHMEDNAGAR URF VISHARATGANJ",778,662,0,1440,474,399,0,873,873,0,289,133,292,130,2,0,2,0,2,3,6,2,3,9,873
213,"J.H. SCHOOL R.NO. 2 AHMEDNAGAR URF VISHARATGANJ",573,515,0,1088,298,266,0,564,564,0,265,142,141,1,0,0,2,0,3,0,0,4,2,4,564
214,"J.H. SCHOOL R.NO. 3 AHMEDNAGAR URF VISHARATGANJ",534,442,0,976,268,229,0,497,497,0,108,79,86,214,1,1,0,1,1,0,2,1,3,0,497
215,"J.H. SCHOOL R.NO. 5 AHMEDNAGAR URF VISHARATGANJ",531,443,0,974,296,247,0,543,543,0,49,209,251,26,0,0,1,1,1,0,1,1,2,1,543
216,"J.H. SCHOOL R.NO. 4 AHMEDNAGAR URF VISHARATGANJ",804,712,0,1516,434,357,0,791,791,0,188,219,324,48,1,1,0,0,0,1,0,1,2,6,791
217,"PRI PATH PRATHAM R. NO. 1 AHMEDNAGAR URF VISHARATGANJ",676,560,0,1236,409,316,0,725,725,0,192,348,154,23,0,0,1,1,0,0,1,0,2,3,725
218,"PRI PATH PRATHAM R. NO. 2 AHMEDNAGAR URF VISHARATGANJ",741,619,0,1360,442,360,0,802,802,0,636,45,76,22,0,1,1,1,4,0,3,0,1,12,802
219,"PRI PATH DITIYE AHMEDNAGAR URF VISHARATGANJ",855,711,0,1566,406,505,0,911,911,0,273,265,174,178,2,1,1,0,2,0,3,0,0,12,911
220,"PRI PATH JALALNAGAR",693,555,0,1248,508,391,0,899,899,0,248,323,222,75,1,1,1,0,0,2,6,3,5,12,899
221,"PRI PATH GIDAULI",485,394,0,879,339,273,0,612,612,0,228,105,60,189,3,0,1,0,2,1,4,2,2,15,612
222,"PRI PATH R.NO. 1 NISOI",746,606,0,1352,457,326,0,783,783,0,519,17,204,23,1,1,0,1,1,1,1,0,2,12,783
223,"PRI PATH R.NO. 2 NISOI",392,302,0,694,224,184,0,408,408,0,55,9,129,201,1,2,1,0,0,0,1,2,0,7,408
224,"PRI PATH NOORPUR BUJURG",334,254,0,588,245,195,0,440,440,0,367,2,50,7,0,0,0,0,0,1,2,2,2,7,440
225,"PRI PATH NOHARAHASANPUR",350,292,0,642,238,200,0,438,438,0,201,5,100,111,2,1,0,0,9,0,3,0,1,5,438
226,"PRI PATH PRAHALADPUR",205,174,0,379,135,131,0,266,266,0,131,0,92,29,1,0,0,1,3,0,3,1,0,5,266
227,"PRI PATH ISMAILPUR",512,378,0,890,344,262,0,606,606,0,246,28,214,98,0,1,2,1,3,1,0,5,1,6,606
228,"PRI PATH MANPUR",236,162,0,398,156,113,0,269,269,0,194,3,49,5,0,1,0,1,0,0,3,2,1,10,269
229,"PRI PATH DHAKORA",418,365,0,783,299,236,0,535,535,0,409,5,24,92,0,0,1,0,0,0,0,0,1,3,535
230,"PRI PATH R.NO. 1 SIDULLAGANJ",284,246,0,530,208,175,0,383,383,0,304,42,10,19,0,0,0,0,0,0,1,0,0,7,383
231,"PRI PATH R.NO. 2 SADULLAGANJ",286,216,0,502,168,114,0,282,282,0,159,73,18,22,1,0,0,0,0,1,1,1,3,3,282
232,"J.H. SCHOOL R.NO. 1 ATARCHEDI",580,443,0,1023,284,206,0,490,490,0,243,20,190,21,2,1,0,1,2,1,3,1,2,3,490
233,"J.H. SCHOOL R.NO. 2 ATARCHEDI",474,370,0,844,247,185,0,432,432,0,156,17,185,55,2,1,0,0,3,0,2,3,2,6,432
234,"PRI PATH NAINPUR MAJRA ATARCHEDI",160,134,0,294,118,97,0,215,215,0,98,2,18,94,0,0,0,0,0,0,1,0,1,1,215
235,"PRI PATH BILAURI",544,479,0,1023,392,275,0,667,667,0,407,19,137,69,1,0,0,1,9,0,2,2,2,18,667
236,"DHARMPAL SINGH KANYA U.M.V. RAMNAGAR MAJRA BILAURI",603,525,0,1128,431,299,0,730,730,0,532,48,98,28,0,1,1,1,1,1,2,0,5,12,730
237,"PRI PATH MOHAMMADPUR PATHRA",428,356,0,784,274,243,0,517,517,0,264,10,44,179,0,1,0,0,3,2,3,2,1,8,517
238,"PRI VIDHA MOTIPURA MAJRA PATHRI",625,502,0,1127,435,316,0,751,751,0,510,8,24,186,2,0,0,0,4,3,2,3,2,7,751
239,"PRI PATH R.NO. 1 TANDA",469,399,0,868,370,276,0,646,646,0,319,12,189,106,2,1,2,1,0,0,3,3,1,7,646
240,"PRI PATH R.NO. 2 TANDA",599,506,0,1105,540,319,0,859,859,0,371,8,112,339,2,2,0,0,1,0,5,3,4,12,859
241,"PRI PATH MUSRAH",340,244,0,584,258,177,0,435,435,0,246,6,91,75,3,1,0,0,1,1,0,1,0,10,435
242,"PRI PATH SIHOLIA",481,345,0,826,336,175,0,511,511,0,196,31,217,50,1,1,0,1,4,0,0,0,2,8,511
243,"J.H. SCHOOL PASCHAMI ROOM DIGOI PACHIM",811,623,0,1434,544,422,0,966,966,0,541,13,202,156,5,2,0,1,7,2,8,5,3,21,966
244,"J.H. SCHOOL R.NO. 3 DIGOI PASCHIM",347,274,0,621,244,177,0,421,421,0,215,5,52,131,5,1,0,1,0,1,3,1,3,3,421
245,"PRI PATH DALIPPUR",480,401,0,881,410,329,0,739,739,0,486,18,96,119,0,0,1,2,0,1,1,2,3,10,739
246,"PRI PATH KIRATPUR",357,278,0,635,303,206,0,509,509,0,143,6,181,172,1,0,0,0,4,0,1,0,1,0,509
247,"PRI PATH NAUGAWAN",264,188,0,452,216,128,0,344,344,0,127,2,199,3,0,1,0,0,0,0,2,0,4,6,344
248,"PRI PATH VAGARPUR",330,250,0,580,247,174,0,421,421,0,180,6,151,74,0,0,0,1,1,2,1,1,1,3,421
249,"PRI PATH R.NO. 1 KHULI NAYA BHAWAN",692,546,0,1238,546,432,0,978,978,0,560,32,115,252,1,0,0,0,0,0,4,1,1,12,978
250,"PRI PATH R.NO. 2 KHULI NAYA BHAWAN",518,402,0,920,376,269,0,645,645,0,373,4,111,134,1,0,1,0,3,1,3,1,0,13,645
251,"PRI PATH YUSUFPUR",274,235,0,509,133,100,0,233,233,0,3,39,135,51,0,0,1,1,1,0,1,1,0,0,233
252,"PRI PATH HAJRATPUR",413,330,0,743,304,205,0,509,509,0,17,67,366,41,0,0,0,1,1,0,4,0,2,10,509
253,"PRI PATH BHIKAMPUR",216,166,0,382,170,118,0,288,288,0,74,4,155,43,1,0,0,0,0,0,2,4,2,3,288
254,"PRI PATH R.NO. 1 SENDHA",650,596,0,1246,492,416,0,908,908,0,317,14,68,480,3,0,0,0,2,5,10,2,0,7,908
255,"PRI PATH R.NO. 2 SENDHA",484,434,0,918,378,299,0,677,677,0,324,16,141,129,0,4,4,1,1,3,9,7,8,30,677
256,"IFFCO K.V. R.NO. 1 SENDHA",698,613,0,1311,331,280,0,611,611,0,448,39,34,52,0,0,0,0,36,0,0,0,0,2,611
257,"IFFCO K.V. R.NO. 2 SENDHA",709,582,0,1291,328,253,0,581,581,0,439,37,31,30,1,0,0,0,39,0,0,0,0,4,581
258,"PRI PATH MALGAWAN",515,416,0,931,395,301,0,696,696,0,344,9,315,11,0,0,1,1,2,0,1,0,1,11,696
259,"PRI PATH KARAPIA BRAHMNAN",174,156,0,330,92,85,0,177,177,0,53,1,11,97,2,1,0,0,0,1,2,2,2,5,177
260,"PRI PATH MOHAMMADGANJ",199,176,0,375,146,132,0,278,278,0,193,11,69,4,1,0,0,0,0,0,0,0,0,0,278
261,"PRI PATH KARPIA KHAS",242,198,0,440,167,146,0,313,313,0,233,4,53,12,0,0,0,0,1,0,1,1,2,6,313
262,"PRI PATH CHINGRI BALKISHAN",735,569,0,1304,481,325,0,806,806,0,466,85,147,82,1,2,1,0,2,2,2,3,3,10,806
263,"PRI PATH PACHTAUR",276,225,0,501,182,156,0,338,338,0,238,18,18,50,0,0,0,0,2,1,3,0,2,6,338
264,"PRI PATH ISLAMABAD",543,442,0,985,375,287,0,662,662,0,190,43,331,83,1,0,1,0,0,0,5,4,0,4,662
265,"J.H. SCHOOL KUSARI",467,361,0,828,256,187,0,443,443,0,283,3,114,23,0,0,2,0,2,0,2,1,0,13,443
266,"PRI PATH SHEKHUPUR URF BIHARIPUR",408,339,1,748,388,264,0,652,652,0,175,3,404,56,2,0,1,0,0,1,3,3,0,4,652
267,"PRI PATH WAQARGANJ",380,320,0,700,268,177,0,445,445,0,181,6,123,125,1,0,0,0,0,0,1,2,1,5,445
268,"PRI PATH VEHTA LALACH",160,132,0,292,111,119,0,230,230,0,2,0,1,215,3,1,0,0,0,2,3,2,1,0,230
269,"PRI PATH BHARTANA",583,495,0,1078,435,307,0,742,742,0,235,7,306,173,1,1,2,0,5,0,10,0,0,2,742
270,"MAJOR SURESH BHATNAGAR U.M.V. R.NO. 1 KUDDHA",676,519,0,1195,458,358,0,816,816,0,345,51,315,81,3,1,1,5,0,1,0,5,2,6,816
271,"MAJOR SURESH BHATNAGAR U.M.V. R.NO. 2 KUDDHA",285,217,0,502,190,132,0,322,322,0,107,41,54,116,0,1,0,0,1,0,0,0,0,2,322
272,"PRI PATH PAKHURNI",555,453,0,1008,382,296,0,678,678,0,225,21,260,148,0,0,0,1,2,2,7,3,0,9,678
273,"PRI PATH MAKRANDPUR TARACHAND",533,425,0,958,324,286,0,610,610,0,191,22,227,147,3,0,0,1,3,0,6,3,2,5,610
274,"PRI PATH NITOI",374,321,0,695,267,215,0,482,482,0,387,3,11,64,2,0,0,0,0,0,4,0,4,7,482
275,"SRI MOHAN MEMORIAL U.M.V. R.NO.1 SIROHI",701,607,0,1308,386,346,0,732,732,0,279,115,278,30,1,2,0,2,1,1,1,6,7,9,732
276,"SRI MOHAN MEMORIAL U.M.V. R.NO. 2 SIROHI",738,636,1,1375,425,340,0,765,765,0,376,62,275,28,0,0,3,1,2,2,5,2,4,5,765
277,"PRI PATH SARARI",477,401,0,878,341,289,0,630,630,0,119,3,19,470,2,0,1,0,1,1,4,0,3,7,630
278,"J.H. SCHOOL MAJHARA",461,371,0,832,328,239,0,567,567,0,361,5,65,109,2,1,1,4,0,1,6,3,3,6,567
279,"PRI PATH NAGLA",575,460,0,1035,425,307,0,732,731,0,623,0,54,30,1,1,1,1,6,0,4,0,4,7,732
280,"PRI PATH RUDRAPUR MAJRA NAURANGPUR ROOM NO. 1",535,414,0,949,405,275,0,680,680,0,312,5,121,224,0,0,0,1,2,0,7,1,1,6,680
281,"PRI PATH RUDRAPUR MAJRA NAURANGPUR ROOM NO. 2",453,330,0,783,305,200,0,505,505,0,60,5,199,227,3,0,1,0,0,0,2,4,0,4,505
282,"J.H. SCHOOL NAURANGPUR",598,428,0,1026,398,240,0,638,638,0,239,42,217,122,2,0,2,2,2,1,3,1,2,3,638
283,"PRI PATH DALPATPUR",203,174,0,377,165,138,0,303,303,0,105,0,22,172,0,0,0,0,0,0,2,1,0,1,303
284,"PRI PATH R.NO. 1 SINGHA",485,373,0,858,291,220,0,511,511,0,211,7,148,131,4,0,0,0,4,0,3,2,0,1,511
285,"PRI PATH R.NO. 2 SINGHA",440,319,0,759,239,185,0,424,424,0,134,2,42,226,4,0,0,0,0,1,7,1,2,5,424
286,"PRI PATH KAKRI",235,183,0,418,185,142,0,327,327,0,134,5,17,160,1,0,0,0,0,0,1,0,3,6,327
287,"PRI PATH GAHARRA",600,460,0,1060,424,315,0,739,739,0,524,8,76,108,2,1,4,2,0,3,4,0,2,5,739
288,"PRI PATH RAMPUR KAANKAR",735,598,0,1333,446,350,0,796,796,0,321,5,141,297,2,2,3,0,1,3,5,4,3,9,796
289,"PRI PATH DAPTA SHYAMPUR",681,556,0,1237,371,291,0,662,662,0,233,29,179,199,2,0,1,0,3,2,4,1,3,6,662
290,"PRI PATH SHYAMPUR",140,110,0,250,114,92,0,206,206,0,158,0,48,0,0,0,0,0,0,0,0,0,0,0,206
291,"PRI PATH SARAU",434,343,0,777,229,144,0,373,373,0,142,6,186,19,3,0,0,2,0,1,2,2,2,8,373
292,"PRI PATH KATKA RAMAN",672,536,0,1208,404,317,0,721,721,0,161,10,417,112,3,1,1,0,1,0,6,5,1,3,721
293,"ATAMARAM I.C. R.NO. 3 BALLIA",526,405,0,931,295,198,0,493,493,0,415,12,26,30,0,0,2,0,1,1,2,0,0,4,493
294,"ATAMARAM I.C. R.NO. 2 BALLIA",556,462,0,1018,307,231,0,538,538,0,309,34,141,42,0,1,0,0,4,3,0,2,1,1,538
295,"ATAMARAM I.C.R.NO. 4 BALLIA",804,598,0,1402,465,320,0,785,785,0,453,24,137,152,1,2,3,0,3,0,3,1,0,6,785
296,"ATMARAM I.C. R. NO. 5 BALLIA",810,668,0,1478,441,290,0,731,731,0,316,63,115,219,3,0,1,3,2,1,4,2,1,1,731
297,"PRI PATH KATKA BHARAT",611,524,0,1135,349,336,0,685,685,0,473,5,129,52,2,0,1,0,3,0,4,0,1,15,685
298,"PRI PATH R.NO. 1 NAUGAWAN THAKURAN",653,534,0,1187,526,270,0,796,796,0,311,16,172,260,3,3,2,1,1,1,8,3,4,11,796
299,"PRI PATH R.NO. 2 NAUGAWAN THAKURAN",364,288,0,652,219,184,0,403,403,0,203,6,11,158,2,0,2,0,0,1,8,1,2,9,403
300,"PRI PATH TAKHTPUR MAJRA NAUGAWAN THAKURAN",408,345,0,753,322,257,0,579,579,0,438,6,80,45,0,0,1,0,0,0,2,2,1,4,579
301,"PRI PATH JAMALPUR",286,236,0,522,232,155,0,387,387,0,83,7,35,261,0,1,0,0,0,0,0,0,0,0,387
302,"NIRICHAD BHAWAN KHERA",636,514,0,1150,467,333,0,800,800,0,700,8,28,12,0,2,4,1,3,1,4,2,5,30,800
303,"PRI PATH R.NO. 1 BHAMORA",717,589,0,1306,460,375,0,835,835,0,453,46,181,100,0,0,2,0,32,1,2,4,2,12,835
304,"PRI PATH R.NO. 2 BHAMORA",799,670,0,1469,495,430,0,925,925,0,498,52,70,258,3,0,1,1,10,2,5,7,3,15,925
305,"PRI PATH NAKATPUR",421,345,0,766,372,304,0,676,676,0,127,2,306,228,1,1,0,0,1,2,1,1,3,3,676
306,"PRI PATH DEVIPUR",204,151,0,355,112,89,0,201,201,0,5,49,48,92,0,0,1,0,2,0,1,0,3,0,201
307,"PRI PATH NAUSARA MAJRA KYONASHADIPUR",699,553,0,1252,433,353,0,786,786,0,101,78,250,316,4,6,1,1,2,1,8,3,4,11,786
308,"PRI PATH KYONA SHADIPUR",429,333,0,762,265,217,0,482,482,0,102,5,200,160,1,0,2,0,1,1,1,2,2,5,482
309,"PRI PATH PADRI",448,386,1,835,348,281,0,629,629,0,242,6,149,206,0,1,0,0,13,0,3,1,1,7,629
310,"RAMBHAROSEY I.C. R.NO. 1 DEVCHARA",792,661,0,1453,450,319,0,769,769,0,603,23,15,113,3,0,1,0,1,0,3,0,0,7,769
311,"RAMBHAROSEY LAL I.C. R.NO. 2 DEVCHARA",734,599,0,1333,486,392,0,878,878,0,616,58,92,86,0,1,0,1,0,0,5,1,3,15,878
312,"RAMBHAROSEY LAL I. C. R.NO. 3 DEVCHARA",744,546,0,1290,409,262,0,671,671,0,88,64,460,35,2,0,2,0,0,0,1,2,4,13,671
313,"RAMBHAROSEY LAL I.C.R.NO. 4 DEVCHARA",597,504,0,1101,377,304,0,681,678,0,176,10,194,279,2,4,2,1,0,2,5,2,0,4,681
314,"PRI PATH RAMPUR BUJURG",763,607,0,1370,480,343,0,823,823,0,603,23,115,59,1,1,1,0,1,0,4,2,2,11,823
315,"J.H. SCHOOL R.NO. 2 RAMPUR BUJURG",536,447,0,983,352,270,0,622,622,0,181,10,271,150,1,0,1,0,0,0,1,2,1,4,622
316,"PRI PATH KUNDARIA IKHLASHPUR",575,491,0,1066,394,283,0,677,677,0,229,11,156,270,0,1,1,0,1,1,3,0,1,3,677
317,"PRI PATH SULTANPUR",230,185,0,415,143,129,0,272,272,0,117,5,59,79,1,1,0,0,2,0,0,2,3,3,272
318,"J.H. SCHOOL RAJUPUR",547,403,0,950,318,241,0,559,559,0,221,105,48,162,3,1,1,0,3,0,2,2,6,5,559
319,"PRI PATH SHAHBAZPUR",404,347,0,751,268,240,0,508,508,0,269,136,79,1,0,0,0,0,0,1,0,3,6,13,508
320,"PRI PATH DHAKA",737,619,0,1356,685,520,0,1205,1205,0,1167,4,15,0,0,0,1,0,1,0,0,0,4,13,1205
321,"PRI PATH R.NO. 1 AKHA MU0",786,616,0,1402,526,397,0,923,923,0,463,22,308,98,1,1,2,0,1,1,4,7,1,14,923
322,"PRI PATH R.NO. 2 AKHA MU0",754,587,0,1341,481,343,0,824,124,0,546,7,214,5,0,0,1,1,1,2,6,6,4,31,824
323,"HAWALDAR ABDUL HAMID I.C. VAHANPUR",429,344,0,773,322,253,0,575,575,0,320,2,24,218,0,0,0,0,0,0,5,0,1,5,575
324,"PRI PATH MAJNUPUR",925,766,0,1691,617,430,0,1047,1047,0,11,402,557,50,2,2,1,0,1,0,4,4,5,8,1047
325,"PRA PATH RAFIABAD",569,446,0,1015,450,347,0,797,10,0,312,17,402,43,2,1,1,0,0,1,3,3,4,8,797
326,"PRI PATH R.NO. 1 KAIMUA",567,461,0,1028,342,290,0,632,632,0,307,112,182,11,2,0,0,1,0,1,3,1,2,10,632
327,"PRI PATH R.NO. 3 KAIMUA",334,290,0,624,222,195,0,417,415,0,227,38,67,79,3,0,2,0,0,0,1,0,0,0,417
328,"PRI PATH R.NO. 2 KAIMUA",380,353,0,733,253,206,0,459,459,0,270,8,105,64,1,1,0,0,0,1,3,1,2,3,459
329,"PRI PATH R.NO. 1 SARDARNAGAR",674,538,0,1212,435,338,0,773,773,0,243,197,287,20,2,1,0,0,1,2,1,1,5,13,773
330,"PRI VIDHA R.NO. 2 SARDARNAGAR",717,618,0,1335,432,386,0,818,500,0,377,30,281,119,0,0,0,0,5,0,1,1,1,3,818
331,"PRI PATH KOHNI PRATAPPUR",473,307,0,780,357,146,0,503,503,0,298,4,143,45,1,4,1,1,1,0,1,2,0,2,503
332,"PRI PATH BADHRAI KUIYAAN",625,531,0,1156,439,360,0,799,89,0,232,35,235,282,1,1,1,1,1,0,0,3,2,5,799
333,"PRI PATH NAWADIA",394,347,0,741,335,273,0,608,608,0,498,9,68,9,0,0,0,0,0,0,0,1,5,18,608
334,"PRI PATH ALAMPUR ZAFRABAD",666,578,0,1244,428,388,0,816,816,0,598,19,61,120,0,0,1,1,0,1,2,1,2,10,816
335,"PRI PATH MAKRANDPUR DHARAJEET",715,599,0,1314,530,416,0,946,31,0,610,32,94,162,3,3,1,0,1,1,6,5,6,22,946
336,"J.H. SCHOOL SAIDPUR KANI",261,226,0,487,188,162,0,350,350,0,260,27,40,18,0,0,0,0,0,0,0,1,2,2,350
