"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
102,"V.T.INTER COLLAGE DIBIYAPUR R.N. 5",729,647,0,1376,421,375,0,796,796,0,107,519,143,13,5,2,1,4,0,1,1,796
103,"V.G.D.COLLAGE DIBIYAPUR R.N. 1",553,490,0,1043,344,269,0,613,613,0,27,527,46,3,2,0,0,4,0,1,3,613
104,"V.G.D.COLLAGE DIBIYAPUR R.N. 2",551,474,0,1025,251,230,0,481,457,0,230,195,45,2,1,1,0,3,0,1,3,481
105,"V.G.D.COLLAGE DIBIYAPUR R.N. 3",672,571,0,1243,300,247,0,547,525,0,19,439,75,4,5,0,0,1,0,1,3,547
106,"V.G.D.COLLAGE DIBIYAPUR R.N. 4",508,465,0,973,269,236,0,505,452,0,30,397,64,5,2,1,0,3,0,3,0,505
107,"V.G.D.COLLAGE DIBIYAPUR R.N. 5",803,733,0,1536,433,314,0,747,734,0,52,555,107,16,8,0,1,1,2,2,3,747
108,"P.M.V.DIBIYAPUR R.N.1",418,361,1,780,258,207,0,465,465,0,15,338,100,5,3,1,0,2,0,0,1,465
109,"P.M.V.DIBIYAPUR R.N. 2",669,597,0,1266,367,307,0,674,674,0,27,489,139,10,4,0,0,4,0,0,1,674
110,"P.M.V.DIBIYAPUR R.N. 3",424,383,0,807,258,201,0,459,378,0,29,340,74,11,4,0,0,0,0,0,1,459
111,"P.M.V.DIBIYAPUR R.N. 4",404,363,0,767,252,201,0,453,450,0,69,287,93,1,2,0,0,1,0,0,0,453
112,"P.V.DIBIYAPUR R.N. 1",625,535,0,1160,382,288,0,670,670,0,56,421,142,28,8,2,0,0,1,2,10,670
113,"P.V.DIBIYAPUR R.N. 2",650,612,0,1262,400,397,0,797,789,0,103,470,200,5,8,3,0,2,2,0,4,797
114,"P.V.DIBIYAPUR R.N. 3",566,550,0,1116,313,280,0,593,590,0,160,291,112,10,6,1,2,8,1,0,2,593
115,"R.B.INTER COLLAGE DIBIYAPUR R.N.1",603,503,0,1106,316,264,0,580,564,0,60,349,131,12,6,4,1,6,2,2,7,580
116,"R.B.INTER COLLAGE DIBIYAPUR R.N. 2",492,447,0,939,263,242,0,505,505,0,168,221,97,14,3,0,0,2,0,0,0,505
117,"P.V.UMARI R.N. 1",558,446,0,1004,378,294,0,672,672,0,29,471,140,5,0,15,2,1,3,1,5,672
118,"P.V. UMARI R.N. 2",372,335,0,707,229,179,0,408,325,0,14,234,140,5,6,1,1,1,1,3,2,408
119,"P.V.UMARI R.N. 3",216,185,0,401,127,94,0,221,218,0,2,186,29,0,3,0,0,0,1,0,0,221
120,P.M.V.UMARI,401,346,0,747,235,121,0,356,313,0,189,133,25,1,1,0,0,1,0,1,5,356
121,P.V.NANDPUR,211,184,0,395,129,127,0,256,256,0,62,180,13,0,0,0,0,0,0,0,1,256
122,"P.V. BHATPURA",407,344,0,751,257,228,0,485,485,0,233,228,12,2,0,1,0,6,1,0,2,485
123,"P.V.BALA KI MARIYA",371,306,0,677,245,214,0,459,459,0,167,235,42,9,2,0,0,1,1,0,2,459
124,"P.V.KAKRAHI R.N. 1",831,779,1,1611,449,432,0,881,634,0,162,568,93,22,7,1,3,6,4,1,14,881
125,"P.V. KAKRAHI R.N. 2",461,384,0,845,232,203,0,435,411,0,194,160,67,3,4,0,1,4,1,1,0,435
