"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KADIR RANA","2 - PANKAJ AGARWAL","3 - VIRENDER SINGH","4 - DR. SANJEEV KUMAR BALYAN","5 - ANIL KUMAR","6 - CHATAR SINGH KASHYAP","7 - MANGE RAM KASHYAP","8 - MOHAMMED YAMIN","9 - MO. YAMIN","10 - RAJESH DEVI ALIAS RADHIKA BALIYAN","11 - LALIT CHAUHAN","12 - ANKUR","13 - GUFRAN AHMAD","14 - JAGBIR SINGH","15 - NASEEM AHMAD ANSARI","16 - PHOOL SINGH PAL","17 - RAKESH","18 - SHABNAM","19 - SHANDAR GUFRAN","20 - None of the Above","Total Votes Secured"
59,"PRAIMARI SCHOOL  ROOM N0. 2 BADAUDA",411,345,0,756,300,262,0,562,544,0,0,3,133,415,2,0,0,0,0,1,0,0,0,2,0,2,0,0,2,2,562
60,"PRAIMARI SCHOOL ROOM N0. 3 BADAUDA",411,341,0,752,263,257,0,520,519,0,40,5,109,351,0,0,0,0,0,1,0,0,2,1,1,1,3,1,2,3,520
61,"ARYA INTER COLLEGE ROOM N0. 1 BADAUDA",793,684,0,1477,537,500,0,1037,1000,0,9,15,185,812,1,0,0,2,1,4,0,0,2,0,0,1,0,0,3,2,1037
62,"PRAIMARI SCHOOL SATHERI",506,410,0,916,351,295,0,646,520,0,28,2,65,528,2,0,0,1,0,4,0,2,0,1,0,4,2,0,3,4,646
63,"PRAIMARI SCHOOL MIDKALI",703,554,0,1257,536,462,0,998,996,0,58,1,12,912,2,0,0,0,0,3,0,0,0,0,0,2,7,0,0,1,998
64,"PRAIMARI SCHOOL ROOM N0.1 ITAWA",692,503,0,1195,573,372,0,945,942,0,0,4,6,929,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,945
65,"PRAIMARI SCHOOL ROOM N0.2 ITAWA",634,451,0,1085,445,271,0,716,716,0,23,1,52,637,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,716
66,"PRAIMARI SCHOOL ROOM N0. 3 ITAWA",547,418,0,965,401,281,0,682,677,0,16,7,10,632,2,2,0,1,0,1,0,1,2,0,1,0,0,0,2,5,682
67,"JUNIOR HIGH SCHOOL ROOM NO.2 BITAWDA",675,535,0,1210,552,389,0,941,296,0,0,28,5,900,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,941
68,"PRAIMARI SCHOOL  PURVI BHAG  ROOM NO.1 BITAWDA",485,393,0,878,378,281,0,659,659,0,1,9,12,624,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,8,659
69,"PRAIMARI SCHOOL PASCHIMI BHAG ROOM N0. 2 BITAWDA",441,365,0,806,374,268,0,642,642,0,2,8,10,608,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,6,642
70,"PRAIMARI SCHOOL ROOM NO. 3 BITAWDA",406,306,0,712,336,206,0,542,542,0,5,2,90,440,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,542
71,"ISLAMIYA SCHOOL BITAWDA",544,406,0,950,262,211,0,473,473,0,58,2,259,142,0,1,0,0,0,3,0,0,1,4,0,1,0,0,2,0,473
