"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAGDAMBIKA PAL","2 - MATA PRASAD PANDEY","3 - MUHAMMAD MUQEEM","4 - VASUNDHARA","5 - HAMIDULLAH CHAUDHARY","6 - DR. MOHD. AYUB","7 - ARJUN SINGH","8 - PINGLE PRASAD","9 - BADRE ALAM","10 - MANOJ KUMAR","11 - RAVI KUMAR","12 - DR. SATYENDRA  NATH PANDEY","13 - SANTRAM","14 - KALI RAM","15 - DIWAKAR PRASAD","16 - MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA","17 - RAM UGRAH","18 - None of the Above","Total Votes Secured"
88,BHARAULI,303,232,0,535,150,118,0,268,268,0,94,18,98,25,2,3,2,4,8,0,0,4,1,2,2,1,3,1,268
89,AURHAWA,690,585,0,1275,339,312,0,651,651,0,273,75,151,28,6,47,3,4,6,7,2,12,4,8,6,12,5,2,651
90,PIKAURA,424,374,0,798,247,204,0,451,451,0,194,61,49,84,7,12,3,1,5,1,1,12,0,2,1,3,10,5,451
91,"HASURI URF GAJEHARI",243,230,0,473,163,171,0,334,334,0,125,58,35,3,5,63,4,3,3,3,2,11,0,2,2,6,8,1,334
92,SEWRA,319,294,0,613,206,176,0,382,382,0,177,49,103,11,0,21,0,5,6,0,1,1,0,5,0,0,3,0,382
93,"DUDHWANIYA BUZURG",833,673,0,1506,454,454,0,908,908,0,12,94,214,18,3,332,2,7,201,2,4,10,0,5,3,1,0,0,908
94,MUJHANA,554,418,0,972,294,296,0,590,590,0,173,22,75,12,1,267,2,1,2,1,6,7,0,2,2,9,4,4,590
95,MUDILA,611,496,0,1107,292,259,0,551,551,0,239,92,105,11,1,52,1,6,1,3,2,4,1,7,2,7,6,11,551
96,MUDILA,607,448,0,1055,285,226,0,511,511,0,255,40,88,9,2,103,0,1,3,0,0,3,0,0,1,2,2,2,511
97,MUDILA,513,436,0,949,214,170,0,384,384,0,288,42,14,21,0,11,0,0,0,0,0,3,0,0,1,2,2,0,384
98,MUDILA,402,400,0,802,228,224,0,452,452,0,175,71,124,13,1,42,0,6,5,1,0,6,0,1,0,0,3,4,452
99,MUDILA,370,304,0,674,178,151,0,329,329,0,117,67,27,9,4,89,1,2,0,1,0,1,1,1,2,6,1,0,329
100,MUDILA,500,445,0,945,299,224,0,523,523,0,230,65,33,3,1,169,2,1,2,1,1,4,1,0,0,1,8,1,523
101,"GANDHI ADRASH VIDYALAY BARHNI",405,378,1,784,209,168,0,377,377,0,236,33,8,9,1,75,0,1,2,0,1,4,0,0,0,0,5,2,377
102,"GANDHI ADRASH VIDYALAY BARHNI",294,252,0,546,140,109,0,249,249,0,190,11,7,4,0,33,0,0,0,0,0,2,0,0,0,0,0,2,249
