"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAISER JAHAN","2 - BHARAT TRIPATHI","3 - RAJESH VERMA","4 - VAISHALI ALI","5 - ERAJ BEG","6 - CHAUDHARY LAL BAGHEL","7 - JAGDISH NARAYAN SHUKLA","8 - JAGMOHAN SINGH VERMA","9 - R. K. MISRA","10 - RAM AVTAR NISHAD","11 - SHEFALI MISRA","12 - SANT KUMAR","13 - SANJAY TIWARI","14 - TURAB ALI","15 - PUSHPA DEVI","16 - SUCHITA KUMAR","17 - None of the Above","Total Votes Secured"
173,"P. BHAWAN HAIBATPUR",212,192,0,404,176,145,0,321,4,0,117,70,123,7,0,0,1,0,0,0,0,0,0,1,0,0,2,321
174,"P.S. RANNI",268,201,0,469,218,153,0,371,371,0,153,4,169,13,2,0,2,2,0,3,0,1,2,5,0,8,7,371
175,"P.S. SHIKARPUR",197,147,0,344,147,124,0,271,5,0,158,3,99,4,0,0,1,0,1,0,0,0,2,1,0,0,2,271
176,"P.S. BAHLOLNAGAR",873,670,0,1543,652,445,0,1097,70,0,417,22,585,13,0,2,11,4,2,2,1,0,3,8,2,7,18,1097
177,"P.S. TILPURA",626,489,0,1115,528,367,0,895,12,0,141,16,644,36,1,1,9,2,2,4,4,4,1,4,4,14,8,895
178,"P.S. SAMANPUR MAFI",484,388,0,872,364,320,0,684,335,349,307,35,280,22,1,0,6,1,2,2,3,2,0,6,3,3,11,684
179,"P.S. VIVEKPUR",305,254,0,559,251,208,0,459,459,459,131,25,247,12,1,1,7,1,0,2,1,1,2,5,6,9,8,459
180,"P.S. SHAHRI",474,367,0,841,392,301,0,693,43,0,278,16,340,17,2,3,8,3,4,0,1,1,0,8,2,6,4,693
181,"P.S. DAVINDAPUR",470,395,0,865,396,305,0,701,1,0,140,27,489,8,0,5,6,4,2,0,1,1,0,8,1,3,6,701
182,"""P.S. BAISANPURVA H/O IMALIYA MANPUR",240,199,0,439,195,135,0,330,330,0,12,4,300,9,1,1,0,0,0,0,0,0,0,1,0,1,1,330
183,"P.S. AGAIYA",266,216,0,482,222,175,0,397,236,0,63,2,263,46,4,0,5,0,0,0,0,0,2,4,1,3,4,397
184,"P.S. SAHDEVA",332,279,0,611,256,186,0,442,13,0,43,8,345,30,2,0,3,0,0,0,0,2,0,5,1,2,1,442
185,"P.S. MO.PUR KADEEM",630,530,0,1160,479,362,0,841,186,0,318,34,427,14,1,1,6,0,0,0,0,1,1,5,3,6,24,841
186,"J.H.S. SAHIPUR H/O CHANDANPUR",518,366,0,884,424,234,0,658,658,0,202,147,261,12,3,2,2,1,2,1,1,1,1,3,3,7,9,658
187,"P.S. KEDARPUR R .NO. 1",621,450,0,1071,439,353,0,792,10,0,462,26,264,4,0,1,2,3,1,0,1,0,1,4,2,5,16,792
188,"P.S. KEDARPUR R .NO. 2",668,570,0,1238,333,275,0,608,165,0,364,14,183,4,0,0,1,5,0,1,1,1,2,9,0,19,4,608
189,"J.H.S. KEDARPUR",405,325,0,730,287,223,0,510,458,0,246,11,222,9,0,0,1,7,0,1,0,0,2,1,0,5,5,510
190,"P.S. MURTAJANAGAR",756,590,0,1346,515,423,0,938,250,0,454,89,339,18,4,1,6,2,2,0,0,2,0,4,1,13,3,938
191,"P.S. MALSARYAN",525,454,0,979,414,315,0,729,11,0,176,88,413,6,0,0,8,0,0,1,2,1,4,9,2,5,14,729
192,"S.S.S. JAIRAMPUR",345,270,0,615,276,212,0,488,351,0,144,15,294,3,1,0,4,1,1,0,2,1,2,5,1,12,2,488
193,"P.S. JAFARPUR",698,548,0,1246,497,409,0,906,906,0,459,27,343,31,1,1,4,0,1,0,0,0,0,9,4,2,24,906
194,"P.S. LAILKALAN",501,437,0,938,408,322,0,730,654,0,244,14,439,9,2,0,4,4,0,1,2,1,0,1,2,2,5,730
195,"P.S. BHITAURA",373,321,0,694,299,234,0,533,533,0,235,30,235,7,2,0,4,1,2,0,0,0,0,1,2,1,13,533
196,"P.S. SAMANAPUR H/O BHITHAURA",429,358,0,787,256,196,0,452,20,0,137,10,218,33,2,4,4,4,1,2,1,0,3,7,2,14,10,452
197,"P.S. LAILKHURD",226,194,0,420,173,162,0,335,33,0,108,8,195,7,1,0,1,0,0,1,0,0,0,5,0,4,5,335
198,"P.S. JODHPUR H/O MUNDERA",743,597,0,1340,582,430,0,1012,8,0,450,20,436,39,1,1,8,6,1,2,0,1,3,8,7,16,13,1012
199,"P.S. MISHRIKHA",710,610,0,1320,413,508,0,921,321,0,235,39,556,30,4,5,13,3,4,2,1,2,1,7,1,1,17,921
200,"P.S. KHAPURA",409,340,0,749,351,254,0,605,13,0,95,5,472,3,0,1,5,1,1,0,0,1,1,9,1,1,9,605
201,"J.H.S. SAMASABAD R.NO. 1",444,385,0,829,256,371,0,627,413,0,292,76,194,31,3,1,6,2,1,0,0,0,2,1,3,1,14,627
202,"J.H.S. SAMASABAD R.NO. 2",658,547,0,1205,501,383,0,884,819,0,282,38,495,31,1,0,6,1,2,0,0,0,2,13,2,10,1,884
203,"P.S. SAMASABAD",640,562,0,1202,502,345,0,847,847,0,270,9,470,23,5,2,16,1,1,2,0,1,0,11,8,19,9,847
204,"P.S. ALAYPUR H/O SAMASABAD",251,216,0,467,191,143,0,334,3,0,107,27,183,7,0,0,2,0,0,0,1,0,0,2,1,2,2,334
205,"P.S. KISHUNPUR R.NO. 1",365,302,0,667,249,257,0,506,446,0,133,9,320,18,2,1,8,1,0,3,0,1,1,5,2,0,2,506
206,"P.S. KISHUNPUR R.NO. 2",267,236,0,503,213,178,0,391,11,0,72,4,297,5,2,0,1,0,1,0,1,1,2,3,1,1,0,391
207,"P.S.  THAKURPUR H/O KISHUNPUR",419,348,0,767,301,275,0,576,6,0,205,12,313,10,1,1,8,3,2,0,1,1,1,3,1,8,6,576
208,"P.S. JAINIPUR H/O LALPUR",740,612,0,1352,600,412,0,1012,1001,0,314,33,565,31,4,6,7,2,1,1,0,0,2,3,8,17,18,1012
209,"P.S. BARDAHA",302,248,0,550,222,212,0,434,434,0,172,2,245,2,1,0,0,0,0,0,0,0,0,0,0,0,12,434
210,"P.S. AHIBANPUR R.NO. 1",615,506,0,1121,420,354,0,774,773,0,269,13,440,20,0,1,5,3,1,1,0,1,1,7,3,4,5,774
211,"P.S. AHIBANPUR R.NO. 2",554,397,0,951,337,253,0,590,11,0,350,26,184,10,1,0,1,2,0,0,2,1,1,2,2,3,5,590
212,"J.J.H.S. BAKAHUVA R.NO. 1",490,439,0,929,321,281,0,602,316,0,205,4,351,10,0,3,6,2,0,0,0,1,1,5,3,6,5,602
213,"J.J.H.S. BAKAHUVA R.NO. 2",533,434,0,967,362,291,0,653,371,0,205,8,394,8,1,1,6,1,0,1,2,1,0,8,3,11,3,653
214,"P.S. LACHCHHIPUR",811,619,0,1430,617,405,0,1022,18,0,400,47,532,8,1,0,3,4,3,0,1,0,0,6,2,6,9,1022
215,"P.S. BILOULI NANKARI",677,518,0,1195,477,391,0,868,11,0,183,17,573,33,2,1,16,4,1,0,0,1,5,9,4,9,10,868
216,"P.S. KARANJ KHERA",525,436,0,961,440,364,0,804,803,0,382,14,357,9,0,3,9,0,0,1,1,0,0,3,2,4,19,804
217,"P.S. RAMDUARI",473,348,0,821,271,270,0,541,5,0,510,5,14,2,0,1,0,0,0,0,0,1,0,1,0,4,3,541
218,"P.S. DEVORIYA",596,491,0,1087,473,387,0,860,228,0,283,6,502,34,1,0,6,2,3,0,1,2,0,7,2,6,5,860
219,"P.S. BAJEHRA R.NO. 1",714,594,0,1308,509,395,0,904,11,0,440,56,338,11,2,2,13,1,0,1,2,1,2,11,6,8,10,904
220,"P.S. BAJEHRA R.NO. 2",392,318,0,710,212,128,0,340,80,0,45,29,243,5,0,2,5,0,8,0,0,0,0,0,0,1,2,340
221,"P.S.  BAIRAGIPUR H/O BAJEHRA",739,556,0,1295,454,373,0,827,5,0,226,34,474,22,2,4,29,4,5,1,3,2,0,6,3,3,9,827
222,"P.S. CHANDPUR SETH",394,304,0,698,310,241,0,551,23,0,197,15,318,8,2,0,1,2,1,1,0,2,1,0,0,1,2,551
223,"J.H.S. KHURVAL R.NO. 1",512,401,0,913,326,283,0,609,1,0,311,39,225,11,0,1,5,1,0,1,1,0,1,1,0,9,3,609
224,"J.H.S. KHURVAL R.NO. 2",471,375,0,846,333,284,0,617,495,0,188,63,307,13,1,4,8,5,1,0,1,0,0,4,5,4,13,617
225,"P.S. MARKHAPUR",236,207,0,443,215,175,0,390,8,0,12,8,345,8,1,1,1,2,0,0,0,1,1,4,1,1,4,390
226,"P.S. SAHPUR",343,276,0,619,279,240,0,519,519,0,315,27,133,8,1,2,5,1,0,0,0,0,1,7,4,8,7,519
227,"P.S. NAVIGANJ",451,351,0,802,338,236,0,574,75,0,205,27,297,7,2,0,5,4,1,2,0,5,3,4,3,3,6,574
228,"P.S. BANVEERPUR",524,422,0,946,355,292,0,647,647,0,373,70,132,28,3,2,2,3,1,2,0,0,1,5,2,8,15,647
229,"P.S. SOSA H/O BANVEERPUR",395,291,0,686,278,157,0,435,429,0,163,83,167,5,2,2,3,0,0,0,1,0,0,4,2,1,2,435
230,"J.H.S. SADARPUR R. NO. 1",667,542,0,1209,462,431,0,893,893,0,517,41,263,13,2,2,5,2,2,0,2,1,3,8,4,11,17,893
231,"J.H.S. SADARPUR R. NO. 2",770,682,0,1452,508,447,0,955,405,0,660,113,122,19,4,3,4,4,1,0,0,2,2,6,2,5,8,955
232,"P.S.  BEHTI",688,502,0,1190,520,315,0,835,835,0,409,64,319,11,0,2,4,0,3,2,1,0,1,3,0,2,14,835
233,"P.S. SARAYAN CHALAKAPUR",603,530,0,1133,441,337,0,778,775,0,239,83,398,14,1,0,8,1,0,0,1,1,3,2,4,9,14,778
234,"P.S. BANIGAVAN",594,545,0,1139,471,394,0,865,864,0,260,23,546,12,0,0,1,1,0,2,1,1,0,5,3,5,5,865
235,"P.S. JADVAPUR",319,285,0,604,253,211,0,464,449,0,116,31,283,13,1,0,4,0,4,0,0,1,1,2,0,4,4,464
236,"P.S. BHUSNA",497,421,0,918,384,312,0,696,567,0,282,20,349,6,2,0,2,1,2,2,1,0,4,8,1,9,7,696
237,"P.S. BHURKURA H/O  BHUSNA",498,399,0,897,385,296,0,681,150,0,344,24,250,22,1,3,3,0,4,1,1,0,1,1,4,5,17,681
238,"P.S. HAJIPUR",725,618,0,1343,536,405,0,941,27,0,283,37,537,37,2,3,10,4,1,0,3,1,3,4,2,4,10,941
239,"P.S. BAKHARIKURD",372,313,0,685,310,256,0,566,66,0,243,12,275,4,1,1,4,5,1,0,5,1,0,3,1,4,6,566
240,"P.S. KOTHILA",782,607,0,1389,515,414,0,929,929,0,428,20,428,8,2,3,8,2,1,0,0,1,3,4,3,4,14,929
241,"P.S. SOHRAVA",215,157,0,372,113,114,0,227,9,0,174,18,23,0,0,0,0,1,0,0,0,0,0,0,0,6,5,227
242,"P.S. NIBADEHARA",345,264,0,609,298,202,0,500,500,0,145,7,304,7,4,0,4,1,2,1,0,1,1,5,0,4,14,500
243,"P.S. SHEKHPUR",523,447,0,970,393,274,0,667,570,0,393,56,182,11,2,1,4,3,1,0,0,0,0,3,1,3,7,667
244,"P.S. KHAMRIYA NANKARI",210,176,0,386,153,115,0,268,2,0,37,115,102,4,1,0,1,0,0,1,0,0,1,3,0,2,1,268
245,"P.S. RAJPARAPUR",480,398,0,878,405,247,0,652,12,0,267,40,299,14,2,1,3,3,0,2,2,0,2,5,1,6,5,652
246,"P.S. TIKRA",415,324,0,739,283,203,0,486,50,0,153,61,247,3,2,2,2,3,0,0,0,1,0,1,2,6,3,486
247,"P.S. MANOHRAPUR",189,153,0,342,159,128,0,287,164,0,70,2,194,3,0,0,7,0,0,0,0,0,0,2,0,4,5,287
248,"P.S. BANJHBHARI H/O MAGHIGAVAN",263,188,0,451,209,136,0,345,287,0,198,59,82,2,0,0,1,0,0,0,0,0,0,2,1,0,0,345
249,"P.S. RASULABAD R.NO.1",572,480,0,1052,413,368,0,781,400,0,315,27,391,8,2,0,0,2,3,1,0,0,2,2,4,6,18,781
250,"P.S. RASULABAD R.NO.2",368,289,0,657,269,216,0,485,7,0,150,8,301,2,0,0,0,0,0,0,0,0,1,4,2,3,14,485
251,"M.R.I.C POKHARAKALAN R.NO. 1",304,317,0,621,229,206,0,435,6,0,10,229,173,1,0,0,3,1,1,0,1,1,0,4,1,5,5,435
252,"M.R.I.C POKHARAKALAN R.NO. 2",407,373,0,780,306,214,0,520,5,0,75,302,115,6,1,2,2,3,2,1,0,0,0,5,4,2,0,520
253,"P.S. HARRAIYA",374,318,0,692,316,251,0,567,547,0,185,23,307,30,5,0,1,1,1,0,0,1,0,5,1,3,4,567
254,"J.H.S. DHARAMPUR",763,675,0,1438,510,470,0,980,980,0,525,37,315,16,3,0,6,7,0,2,0,2,4,10,3,15,35,980
255,"P.S. LONIYANPURVA H/O DHARMPUR",780,603,0,1383,540,439,0,979,979,0,342,81,502,11,1,3,15,1,1,3,0,2,2,7,0,7,1,979
256,"P.S. RAJPARAPUR H/O SUHELA",575,440,0,1015,423,304,0,727,5,0,262,24,371,10,2,1,13,2,1,1,3,2,2,8,3,10,12,727
257,"P.S. SUHELA",386,306,0,692,302,219,0,521,7,0,90,16,362,5,1,0,13,4,0,0,2,0,1,13,2,5,7,521
258,"P.S. SHIVPUR DEVORIYA",307,280,0,587,265,214,0,479,176,0,43,8,385,12,3,0,10,2,0,0,0,0,1,1,3,5,6,479
259,"""P.S. GHARTHARI H/O SHIVPUR DEVORIYA",348,283,0,631,260,216,0,476,9,0,182,56,194,3,2,0,3,2,1,3,1,1,2,4,4,6,12,476
260,"P.S. TURNI STHIT SAHBAJPUR",358,277,0,635,262,225,0,487,487,0,133,16,312,8,2,1,2,0,0,1,2,0,1,0,1,8,0,487
261,"P.S. ANGETHUVA R.NO. 1",579,444,0,1023,391,291,0,682,499,0,211,16,410,10,0,1,4,1,1,1,1,1,4,1,2,8,10,682
262,"P.S. ANGETHUVA R.NO. 2",376,310,0,686,269,237,0,506,400,0,244,27,213,4,0,0,2,0,2,0,0,1,0,2,1,6,4,506
263,"P.S. GORAICHA",664,517,0,1181,561,392,0,953,9,0,271,20,607,8,3,0,12,3,0,1,1,0,3,6,1,14,3,953
264,"P.S. HELEPARA",655,566,0,1221,519,381,0,900,363,0,308,9,506,13,2,2,7,1,0,31,0,2,0,5,1,6,7,900
265,"P.S. PIPRI",509,428,0,937,323,342,0,665,103,0,273,11,343,9,2,1,1,0,2,0,1,0,0,2,1,8,11,665
266,"P.S. ALHANAPUR",226,174,0,400,208,152,0,360,360,0,88,7,253,3,2,2,0,0,2,0,0,0,0,1,0,1,1,360
267,"P.S. GAURA",359,281,0,640,278,206,0,484,407,0,141,0,309,6,0,1,2,2,0,0,0,0,0,2,4,13,4,484
268,"P.S. KOTHAVAL STHIT BISESHAR",395,287,0,682,302,230,0,532,13,0,274,7,230,9,0,0,4,0,0,1,0,0,0,0,0,1,6,532
269,"P.S. MURADPUR H/O GAURA",429,351,0,780,358,266,0,624,624,0,194,11,364,15,3,1,4,1,0,1,0,1,1,6,4,11,7,624
270,"""P.S. BHADESAR R.NO. 1",701,575,0,1276,524,411,0,935,935,0,395,9,471,13,1,2,8,0,2,0,0,0,1,4,4,5,20,935
271,"""P.S. BHADESAR R.NO. 2",432,346,0,778,324,241,0,565,30,0,132,4,392,1,1,0,1,2,0,2,1,0,2,5,2,12,8,565
272,"P.S.  BASAVANPUR",325,273,0,598,233,189,0,422,12,0,41,1,335,12,4,0,12,1,1,0,1,1,0,4,1,4,4,422
273,"P.S. SEMRI R .NO. 1",542,426,0,968,366,261,0,627,627,0,297,6,277,5,0,2,2,1,1,0,1,2,1,3,2,4,23,627
274,"P.S. SEMRI R .NO. 2",493,377,0,870,333,246,0,579,576,0,108,10,443,6,0,0,5,2,0,0,0,0,0,2,0,2,1,579
275,"P.S. SEMRI R .NO. 3",490,330,0,820,313,231,0,544,544,0,468,3,47,1,0,3,2,1,0,1,0,1,2,3,0,7,5,544
276,"P.S. SAMARDAHA",311,240,0,551,239,196,0,435,95,0,46,52,309,18,0,1,2,0,0,1,2,0,0,1,0,1,2,435
277,"P.S. DAFARA",664,556,0,1220,485,411,0,896,395,0,131,31,634,25,0,0,11,2,2,2,2,1,11,21,5,11,7,896
278,"P.S. RUDAIN R.NO. 1",483,374,0,857,335,312,0,647,647,0,125,31,436,14,1,0,6,2,0,4,1,1,4,12,2,6,2,647
279,"P.S. RUDAIN R.NO. 2",470,368,0,838,256,283,0,539,539,0,111,8,369,29,2,0,8,0,0,1,0,1,1,3,2,2,2,539
280,"S.B.BH.P.J.H.S. CHANDPUR FARIDPUR R.NO. 1",812,620,0,1432,657,441,0,1098,11,0,376,27,608,25,2,0,7,4,1,2,2,6,0,9,2,15,12,1098
281,"S.B.BH.P.J.H.S. CHANDPUR FARIDPUR R.NO. 2",419,333,0,752,292,189,0,481,478,0,114,37,250,23,3,2,5,1,1,0,2,3,1,5,2,27,5,481
282,"J.H.S. BAKHARI H/O MAHIMAPUR",417,343,0,760,307,257,0,564,7,0,191,5,337,4,1,1,1,1,0,2,0,1,1,8,2,3,6,564
283,"J.H.S. GANGOLIYA H/O KARNAPUR",427,304,0,731,366,236,0,602,22,0,165,10,382,12,1,4,6,0,0,1,2,0,1,3,3,8,4,602
284,"P.S. ITIYA",484,384,0,868,416,274,0,690,160,0,104,135,402,15,2,1,10,1,1,0,0,3,2,3,2,3,6,690
285,"J.H.S. CHANDPUR LODHOUNI",627,528,0,1155,460,403,0,863,5,0,429,58,313,10,1,1,7,1,1,4,0,2,5,4,4,8,15,863
286,"P.S. SADHUVAPUR",363,296,0,659,271,197,0,468,468,0,93,9,295,19,1,1,14,2,5,2,0,1,4,7,4,9,2,468
287,"P.S. LODHAUNI H/O TULAPUR",634,475,0,1109,429,385,0,814,106,0,449,11,293,11,2,0,6,2,5,0,0,1,1,8,2,9,14,814
288,"P.S. KODAURA R.N. 1",751,595,0,1346,438,435,0,873,873,0,238,24,527,17,5,6,19,3,3,1,2,1,5,9,3,8,2,873
289,"P.S. KODAURA R.N. 2",557,436,0,993,312,183,0,495,359,0,82,6,360,6,1,0,7,4,2,6,0,0,4,1,4,10,2,495
290,"P.S. CHANDAULI",559,445,0,1004,420,289,0,709,707,0,195,16,323,26,2,4,12,5,1,72,1,3,2,6,3,15,23,709
291,"P.S. ITAILA H/O DARIYAPUR R.NO.1",581,441,0,1022,438,270,0,708,268,0,129,129,403,9,1,1,4,1,2,2,3,1,1,2,2,5,13,708
292,"P.S. ITAILA H/O DARIYAPUR R.NO.2",702,564,0,1266,468,400,0,868,520,0,195,224,402,13,2,0,3,4,1,0,0,1,1,11,2,7,2,868
293,"P.S. TURSENA",751,588,0,1339,555,312,0,867,6,0,309,270,230,24,0,1,4,1,3,2,1,2,1,2,3,8,6,867
294,"P.S. BANEHRA BIRBAL",512,395,0,907,372,321,0,693,653,0,73,267,312,14,0,0,8,1,0,0,0,1,3,7,1,4,2,693
295,"S.G.U.M.B. BHETHRAMADHAVA",388,288,0,676,309,177,0,486,486,0,138,105,210,9,1,1,7,1,1,0,0,0,0,2,3,6,2,486
296,"P.S. KANCHANPUR RAJA SAHAB",276,248,0,524,233,147,0,380,24,0,37,182,136,9,2,1,2,1,0,1,0,2,1,0,2,3,1,380
297,"P.S. PAHARAPUR H/O KHALGANVA",816,685,0,1501,608,365,0,973,41,0,334,282,281,25,3,0,5,6,1,0,3,0,3,8,3,6,13,973
298,"P.S. BHARTHAR R.NO. 1",559,448,0,1007,446,328,0,774,772,0,327,181,197,5,1,0,1,1,3,3,5,3,2,7,4,13,21,774
299,"P.S. BHARTHAR R.NO. 2",406,323,0,729,289,215,0,504,504,0,198,136,117,14,2,1,6,5,1,0,1,2,2,9,3,6,1,504
300,"P.S. BHARTHAR R.NO. 3",193,157,0,350,143,101,0,244,244,0,120,59,49,5,0,0,2,1,1,0,0,0,0,2,0,4,1,244
301,"P.S.  CHUNKA",454,372,0,826,363,286,0,649,649,0,185,140,279,12,3,2,10,0,2,1,1,0,1,3,3,1,6,649
302,"P.S. VIRASI",611,495,0,1106,465,366,0,831,831,0,500,114,165,8,1,2,3,2,1,1,0,2,2,7,1,3,19,831
303,"P.S. UNCHAGANVA H/O DEOKALIYA",649,548,0,1197,499,361,0,860,688,0,167,187,440,8,2,1,7,3,2,3,1,0,4,13,6,6,10,860
304,"""U.M.V. UNCHAGANVA H/O DEOKALIYA R.NO.1",482,385,0,867,402,306,0,708,73,0,359,189,127,3,0,2,1,2,2,0,0,1,3,6,2,5,6,708
305,"""U.M.V. UNCHAGANVA H/O DEOKALIYA R.NO.2",428,363,0,791,363,296,0,659,637,0,319,173,142,5,2,0,2,0,1,1,0,1,0,4,1,3,5,659
306,"P.S.  JAMUNADEEH",506,394,0,900,412,275,0,687,8,0,74,113,429,49,3,1,4,2,0,1,0,0,0,0,0,5,6,687
307,"P.S. HARIHARPUR H/0 MO.PUR KALAN",603,479,1,1083,457,362,0,819,817,0,294,189,231,62,1,2,4,2,0,0,0,0,1,10,1,7,15,819
308,"P.S. SHISHTIPUR",443,344,0,787,368,273,0,641,641,0,135,265,212,10,1,0,6,1,1,0,0,1,0,4,2,2,1,641
309,"P.S. GULAULI",345,308,0,653,303,256,0,559,141,0,284,33,206,6,1,0,1,2,0,0,1,2,1,7,1,6,8,559
310,"P.S. PACHDEVRA BHAN",232,201,0,433,189,167,0,356,263,0,147,151,43,2,1,0,2,1,0,0,0,0,2,2,1,1,3,356
311,"P.S. BAMBHAURI",499,423,0,922,392,331,0,723,18,0,342,172,174,11,1,0,3,4,0,1,0,0,1,6,1,4,3,723
312,"P.S. KANDARI",416,364,0,780,333,264,0,597,447,0,152,186,229,14,1,1,8,0,0,1,0,0,0,0,1,1,3,597
313,"P.S. MARAHMATNAGR R.NO. 1",502,398,0,900,428,317,0,745,580,0,236,96,363,14,2,2,2,1,0,1,0,1,3,8,0,4,12,745
314,"P.S. MARAHMATNAGR R.NO. 2",550,412,0,962,433,293,0,726,396,0,366,90,219,8,0,0,9,4,0,0,0,0,1,4,2,14,9,726
