"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
76,"AURANGA PRIMARY SCHOOL",242,213,0,455,185,152,0,337,337,0,4,271,3,48,1,0,0,0,0,2,0,3,0,1,1,0,0,1,0,0,0,0,0,2,0,337
77,"AHAMADPUR NAVIPUR ALIAS RAMPUR PRIMARY SCHOOL",352,293,0,645,219,192,0,411,411,0,17,272,2,89,3,3,1,3,0,0,0,6,0,2,2,1,0,3,0,4,0,2,0,1,0,411
78,"MAINA KALANDERGARHI PRIMARY SCHOOL",550,493,0,1043,426,370,0,796,796,0,309,216,3,245,5,2,1,0,0,0,0,2,1,0,0,2,3,4,1,0,0,0,1,1,0,796
79,"KALANDERGARHI PRIMARY SCHOOL R NO. 1",382,330,0,712,216,158,0,374,374,0,86,164,2,103,1,2,1,1,0,1,1,4,0,1,1,1,1,0,0,0,1,0,2,0,1,374
80,"KALANDERGARHI PRIMARY SCHOOL R NO. 2",594,496,0,1090,353,285,0,638,638,0,91,355,15,141,0,10,2,0,0,1,0,3,2,1,2,4,1,1,2,1,0,2,1,1,2,638
81,"SARAWA DADUPUR PRIMARY SCHOOL",628,555,0,1183,464,415,0,879,879,0,697,15,1,132,3,1,2,0,0,1,1,1,2,1,0,7,9,1,1,1,0,0,0,1,2,879
82,"KYOLI KALA PRIMARY SCHOOL",704,633,0,1337,491,410,0,901,901,0,108,680,4,83,0,1,1,0,1,0,0,10,0,1,3,4,0,1,1,0,0,0,2,0,1,901
83,"DOSHPUR DADUPUR PRIMARY SCHOOL",232,205,0,437,159,146,0,305,305,0,183,77,0,17,0,0,0,0,0,0,0,2,1,0,0,1,14,6,0,0,1,0,1,1,1,305
84,"SHAHBAZPUR BHAL PRIMARY SCHOOL",265,243,0,508,193,170,0,363,363,0,14,312,0,22,0,0,0,0,0,0,0,6,2,0,3,1,0,3,0,0,0,0,0,0,0,363
85,"ASHAGARPUR PRIMARY SCHOOL",551,493,0,1044,440,332,0,772,772,0,701,42,1,12,0,0,0,0,0,0,0,1,0,0,0,0,6,5,1,0,2,1,0,0,0,772
86,"ARNIYA MAUJPUR PRIMARY SCHOOL R NO. 1",504,434,0,938,368,291,0,659,659,0,90,367,3,171,1,10,0,1,0,0,0,0,1,1,1,2,2,5,0,0,0,1,0,1,2,659
87,"ARNIYA MAUJPUR PRIMARY SCHOOL R NO. 2",530,476,0,1006,352,294,0,646,646,0,61,342,6,206,0,3,0,3,0,1,0,2,2,1,5,4,2,4,0,0,0,1,0,1,2,646
88,"ARNIYA MAUJPUR KANYA PATHSHALA",609,472,0,1081,487,286,0,773,773,0,59,671,6,4,0,2,0,1,0,0,1,4,2,0,11,6,2,3,0,0,0,0,1,0,0,773
89,"GOSPUR TENA PRIMARY SCHOOL",759,642,0,1401,550,440,0,990,990,0,182,587,6,177,1,6,2,1,0,1,1,3,0,0,3,5,0,6,0,3,1,2,0,0,3,990
90,"IBRAHIMPUR JUNAIDPUR ALIAS MAUJPUR PRIMARY SCHOOL R NO. 1",936,754,0,1690,641,432,0,1073,1073,0,190,353,12,481,0,7,1,0,0,2,0,4,0,1,4,4,1,3,2,1,0,0,0,3,4,1073
