"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIS AHMAD KHAN ALIAS PHOOL BABU","2 - BUDHSEN VERMA","3 - MANEKA SANJAY GANDHI","4 - SANJAY KAPOOR","5 - NILIMA SHARMA","6 - RAJEEV AGRAWAL","7 - RAM AUTAR","8 - SANJAY KUMAR","9 - ARAMAN KHAN","10 - MOHD NAEEM ANSARI","11 - MUNESH SINGH","12 - RAVINDRA KUMAR DEVNATH","13 - None of the Above","Total Votes Secured"
218,DAKARIYA,404,343,0,747,303,226,0,529,16,0,129,317,50,1,3,6,0,2,2,2,2,4,11,529
219,"NAGARIY TILAGIRE",517,443,0,960,346,301,0,647,647,0,352,48,199,19,3,1,1,0,0,2,7,0,15,647
220,"SIMARA MIPAT",390,361,0,751,297,278,0,575,575,0,138,26,361,22,1,1,1,0,1,1,4,2,17,575
221,HARYI,397,377,1,775,256,185,0,441,441,0,145,140,134,11,3,0,0,3,0,0,2,1,2,441
222,HARYI,499,371,0,870,307,195,0,502,2,0,186,141,159,5,0,1,0,1,0,1,5,2,1,502
223,"RAMPUR AMRAT",507,421,0,928,245,318,0,563,563,0,78,67,387,14,0,1,0,0,3,1,6,1,5,563
224,"RAMPUR AMRAT",470,421,0,891,372,265,0,637,3,0,106,142,351,7,14,0,1,0,1,4,4,3,4,637
225,"BAKAYNIYA TA. RAMPUR AMRAT",588,552,0,1140,337,318,0,655,655,0,99,67,449,6,2,2,2,0,2,1,11,4,10,655
226,"KAJURIYA NAVRAM",633,543,0,1176,450,389,0,839,96,0,238,37,474,14,18,19,4,3,2,2,6,5,17,839
227,GUHONIYA,838,700,0,1538,537,459,0,996,996,0,197,268,489,9,2,2,2,0,3,1,12,4,7,996
228,RUTAPUR,365,289,0,654,278,216,0,494,494,0,108,28,318,8,2,4,3,0,3,1,7,3,9,494
229,MALKAPUR,292,284,0,576,214,204,0,418,400,0,255,10,133,5,0,2,1,0,1,1,2,1,7,418
230,CHRAKULA,505,442,1,948,351,285,0,636,631,0,257,16,269,70,5,0,3,1,1,3,6,1,4,636
231,"MARORI KASH",692,630,1,1323,452,394,0,846,400,0,395,60,348,14,2,2,2,3,3,4,5,4,4,846
232,SINDUA,555,468,0,1023,277,224,0,501,373,0,257,20,200,1,0,1,1,1,0,2,2,0,16,501
233,MAJGAVA,347,310,0,657,210,163,0,373,373,0,219,28,104,4,3,0,0,0,2,1,6,3,3,373
234,GANSHIYAMPUR,468,424,0,892,330,323,0,653,653,0,534,14,80,9,0,2,1,0,1,0,4,2,6,653
235,GANSHIYAMPUR,379,316,0,695,256,199,0,455,455,0,140,24,276,4,0,0,0,3,2,1,0,1,4,455
236,ISHAPUR,716,654,0,1370,451,377,0,828,825,0,493,65,242,11,0,2,1,2,2,0,1,3,6,828
237,KUTRAYA,422,377,0,799,273,248,0,521,521,0,86,142,260,10,2,1,1,1,3,1,7,0,7,521
238,HAYMPUR,373,326,0,699,205,169,0,374,306,0,83,23,236,3,0,0,0,1,3,3,7,2,13,374
239,MAER,638,519,0,1157,372,301,0,673,673,0,185,21,396,14,21,3,1,1,3,2,13,5,8,673
240,MAER,408,333,0,741,232,203,0,435,409,0,197,16,189,11,3,1,1,1,1,1,0,2,12,435
241,BAMRULI,726,651,0,1377,430,347,0,777,672,0,255,144,339,8,2,1,0,1,2,1,6,4,14,777
242,BAMRULI,503,453,0,956,365,272,0,637,601,0,213,136,265,12,0,1,3,2,0,1,1,0,3,637
243,"CHAYTIYA HILGI",276,260,0,536,191,183,0,374,370,0,146,113,107,3,0,0,0,0,0,0,2,2,1,374
244,BABURA,765,686,0,1451,523,448,0,971,968,0,226,128,555,10,0,2,2,6,9,4,14,4,11,971
245,PEPARGAYNA,622,518,0,1140,400,369,0,769,769,0,389,28,309,5,1,4,1,2,3,1,4,4,18,769
246,"RURIYA DURIYA",556,522,0,1078,411,308,0,719,517,0,94,108,477,16,0,9,3,0,0,4,4,0,4,719
247,"IRADATPUR PAGAR",570,488,0,1058,388,351,0,739,700,0,105,149,438,8,1,2,5,0,2,5,11,4,9,739
248,"IRADATPUR PAGAR",361,297,0,658,203,158,0,361,343,0,8,100,237,5,0,0,0,0,2,0,4,2,3,361
249,TILACHI,435,336,0,771,302,220,0,522,403,0,160,156,162,4,3,1,4,1,2,0,5,7,17,522
250,"TILSANDA HSHOA",436,357,0,793,326,272,0,598,542,0,273,232,69,3,0,2,4,0,4,1,2,1,7,598
251,"CHAPRUA KUIYA",569,470,0,1039,384,294,0,678,560,0,295,209,132,7,1,7,0,5,3,0,5,4,10,678
252,VILASHPUR,636,567,0,1203,392,356,0,748,510,0,370,126,204,4,1,13,2,1,3,3,9,2,10,748
253,VILASHPUR,579,482,0,1061,391,277,0,668,660,0,145,146,324,12,2,5,2,1,2,6,4,1,18,668
254,LILAYAR,766,644,0,1410,517,455,0,972,972,0,238,212,459,10,1,1,6,2,5,5,6,5,22,972
255,HARHARPUR,353,349,0,702,234,240,0,474,398,0,203,149,97,2,0,1,2,0,2,0,5,3,10,474
256,"MEERPUR HERYPUR",524,472,0,996,369,304,0,673,668,0,192,231,232,2,3,0,0,0,0,0,3,5,5,673
257,"DAKIYA JALALPUR",328,299,0,627,240,232,0,472,372,0,179,89,191,4,0,0,0,1,1,1,2,0,4,472
258,"MUDIYA VILAYRA",569,467,0,1036,302,199,0,501,368,0,167,35,265,11,0,0,0,0,2,0,8,3,10,501
259,"MUDIYA VILAYRA",804,676,0,1480,471,443,0,914,912,0,504,105,233,14,1,0,2,1,1,2,6,7,38,914
260,NAGARATA,429,322,0,751,251,189,0,440,435,0,151,34,229,3,4,4,1,0,1,2,2,1,8,440
261,"FISHRA CHURA",398,367,0,765,321,273,0,594,544,0,278,107,184,2,0,2,1,1,0,1,2,6,10,594
262,"ILAAHBAD SIMARA",813,708,0,1521,472,381,0,853,739,0,301,40,454,9,0,1,1,3,5,3,8,6,22,853
263,"MEERPUR DAKARIYA",238,205,0,443,182,165,0,347,345,0,44,21,263,1,0,1,0,1,0,0,8,0,8,347
264,"BADAYG GAJA",637,553,0,1190,380,329,0,709,686,0,115,68,489,8,1,1,1,0,4,1,3,2,16,709
265,"BADAYG GAJA",680,587,0,1267,426,352,0,778,778,0,265,39,425,18,2,3,3,1,3,1,3,3,12,778
266,MANEEYA,274,263,0,537,219,185,0,404,363,0,23,113,247,7,0,0,1,3,0,2,2,1,5,404
267,"ANKAYDA JALALPUR",210,168,0,378,145,116,0,261,261,0,27,30,193,7,0,0,0,0,0,1,0,0,3,261
268,MAYRAYNA,400,334,0,734,252,196,0,448,448,0,99,22,307,6,0,2,2,1,2,1,4,1,1,448
269,BANDA,313,277,0,590,211,165,0,376,319,0,149,29,188,0,1,0,1,0,0,0,1,0,7,376
270,"AMKAYA TA. PAGAER",278,261,0,539,223,181,0,404,400,0,87,129,172,5,0,1,0,1,1,2,2,3,1,404
271,"MAKAREENDPUR TA. SIMROLI",203,165,0,368,151,137,0,288,195,0,155,9,120,2,0,1,0,0,0,0,0,0,1,288
272,JAYPALPUR,345,339,0,684,260,232,0,492,310,0,154,92,216,10,0,0,1,1,1,1,4,1,11,492
273,"RAMPUR BASHANT",464,388,0,852,330,255,0,585,585,0,120,37,407,4,1,3,1,0,3,2,4,1,2,585
274,"MEERPUR HEERPUR",328,285,0,613,243,210,0,453,453,0,256,45,132,2,0,0,0,0,1,1,7,3,6,453
275,SIMROLI,774,625,0,1399,456,319,0,775,750,0,116,243,388,7,1,3,2,0,1,2,4,4,4,775
276,KARAYLI,543,434,0,977,338,200,0,538,421,0,154,72,297,5,1,0,1,0,3,0,3,0,2,538
277,KARAYLI,450,343,0,793,252,169,0,421,421,0,216,90,100,4,0,0,0,1,3,1,3,1,2,421
278,SIBAPUR,431,371,0,802,289,247,0,536,530,0,143,79,295,5,2,1,1,1,1,1,4,2,1,536
279,"KALYANPUR TA. KARAYLI",795,707,0,1502,492,411,0,903,903,0,352,369,164,4,1,0,0,0,1,5,1,0,6,903
280,"SIDURA KARAGPUR",470,367,0,837,288,208,0,496,317,0,183,149,146,9,0,2,0,1,0,0,0,2,4,496
281,GUHARPUR,357,301,0,658,250,207,0,457,104,0,197,53,187,6,1,0,0,2,1,0,5,0,5,457
282,"PADARI MARORI",455,356,0,811,303,205,0,508,508,0,212,123,150,8,1,2,1,0,0,0,0,2,9,508
283,RAAHT,485,445,0,930,317,227,0,544,11,0,154,86,283,6,0,0,0,0,4,1,5,0,5,544
284,"BEABANTPUR TA. KARAYLI",379,343,0,722,231,210,0,441,1,0,211,58,149,1,2,2,2,1,3,2,3,1,6,441
285,UMARYA,532,476,0,1008,387,308,0,695,195,0,130,49,476,15,0,0,1,0,6,1,7,1,9,695
286,UMARYA,357,310,0,667,229,145,0,374,374,0,59,81,208,6,0,0,0,0,0,0,0,3,17,374
287,BUHITA,621,516,0,1137,361,234,0,595,595,0,108,155,307,4,2,3,0,0,0,1,2,1,12,595
288,SODA,694,544,0,1238,450,328,0,778,230,0,111,165,435,20,6,1,2,0,4,0,7,2,25,778
289,"NAGARA FIZA",479,408,0,887,343,276,0,619,38,0,166,13,421,3,0,6,0,0,0,0,1,2,7,619
290,"JAGIPUR JAYTPUR",477,396,0,873,372,300,0,672,145,0,29,118,504,2,2,0,1,0,1,2,2,2,9,672
291,"PAYNIYA HIMAT",749,690,0,1439,493,413,0,906,20,0,107,85,674,6,1,2,1,1,2,6,7,4,10,906
292,KATIYA,463,389,0,852,324,270,0,594,1,0,117,144,314,5,0,0,0,0,0,3,7,0,4,594
293,KISHANPUR,814,688,0,1502,442,403,0,845,95,0,241,72,474,23,1,1,5,3,2,6,10,2,5,845
294,"GAJANA SIDARPUR",405,349,0,754,299,257,0,556,464,0,98,47,368,15,0,2,1,0,3,1,8,3,10,556
295,DUIRAJPUR,735,671,0,1406,487,414,0,901,901,0,192,58,610,11,1,3,2,3,1,1,8,2,9,901
296,PEAYTBOOJI,360,298,1,659,250,190,0,440,15,0,70,121,230,3,0,2,3,0,4,1,2,1,3,440
297,"JUDAPUR PATI",283,258,0,541,235,196,0,431,9,0,60,105,238,16,3,0,1,1,1,0,3,1,2,431
298,RAMBOJA,407,359,0,766,315,285,0,600,2,0,147,130,295,6,0,0,2,0,2,2,5,0,11,600
299,"PAYNIYA RAMKISHAN",740,642,0,1382,472,406,0,878,22,0,118,221,485,2,1,1,0,3,4,6,11,2,24,878
300,DUBYA,617,574,0,1191,381,298,0,679,100,0,28,78,553,10,2,0,0,1,1,1,1,0,4,679
301,DUBYA,464,387,0,851,298,239,0,537,192,0,31,44,447,8,0,0,1,0,0,1,2,1,2,537
302,DUBYA,594,530,1,1125,340,266,0,606,606,0,49,38,493,7,1,2,0,2,4,2,5,1,2,606
303,DUBYA,686,588,0,1274,374,296,0,670,12,0,80,38,519,18,2,5,1,0,2,0,3,0,2,670
304,DUBYA,727,580,0,1307,400,272,0,672,52,0,48,37,557,14,0,2,1,3,1,1,1,1,6,672
305,"HABIBULLA KHAN SUMALI",571,463,0,1034,379,260,0,639,99,0,117,29,467,14,5,2,0,0,0,1,0,2,2,639
306,"HABIBULLA KHAN SUMALI",446,350,0,796,261,185,0,446,446,0,207,107,119,2,2,1,0,0,0,1,1,0,6,446
307,"HABIBULLA KHAN SUMALI",551,488,0,1039,331,242,0,573,573,0,131,47,381,3,0,3,0,0,0,2,0,0,6,573
308,"HABIBULLA KHAN SUMALI",523,456,0,979,246,199,0,445,445,0,96,55,275,8,0,1,0,0,1,0,2,0,7,445
309,"HABIBULLA KHAN SUMALI",455,406,0,861,183,168,0,351,351,0,33,47,253,11,0,0,0,0,2,0,2,0,3,351
310,"DURAGA PARSHAD",628,537,0,1165,319,259,0,578,578,0,140,46,360,14,1,9,0,0,1,1,0,0,6,578
311,"DURAGA PARSHAD",504,383,1,888,242,186,0,428,86,0,180,20,208,10,0,1,0,1,0,0,1,0,7,428
312,"DURAGA PARSHAD",807,772,0,1579,394,386,0,780,778,0,158,49,552,3,4,2,0,0,1,0,3,1,7,780
313,"DURAGA PARSHAD",417,327,0,744,165,150,0,315,294,0,56,15,232,4,2,1,0,0,0,2,0,2,1,315
314,"DURAGA PARSHAD",548,439,0,987,348,294,0,642,626,0,64,17,522,12,0,1,0,1,4,2,6,3,10,642
315,"DURAGA PARSHAD",436,352,0,788,223,165,0,388,386,0,11,16,340,6,4,1,2,1,0,1,3,0,3,388
316,"DURAGA PARSHAD",722,620,0,1342,434,317,0,751,615,0,59,60,592,19,0,2,3,0,1,1,5,4,5,751
317,"DURAGA PARSHAD",595,551,0,1146,318,273,0,591,588,0,21,26,509,20,1,1,1,1,0,1,5,1,4,591
318,"BAKHTWAR LAL",698,560,0,1258,257,206,0,463,463,0,30,40,374,13,0,2,0,0,0,1,1,0,2,463
319,"BAKHTWAR LAL",715,535,0,1250,263,201,0,464,316,0,58,15,364,12,2,5,0,2,0,0,4,0,2,464
320,"BAKHTWAR LAL",330,308,0,638,169,149,0,318,313,0,16,12,269,14,0,5,0,1,0,0,0,0,1,318
321,"BAKHTWAR LAL",769,697,0,1466,416,310,0,726,717,0,68,24,579,23,0,0,0,20,1,1,3,3,4,726
322,GAYASPUR,746,618,0,1364,350,287,0,637,588,0,525,59,5,1,2,0,0,1,2,0,5,4,33,637
323,GAYASPUR,588,495,0,1083,340,250,0,590,583,0,334,237,1,2,7,0,1,2,0,0,0,2,4,590
324,GAYASPUR,597,548,0,1145,307,270,0,577,500,0,339,214,4,3,9,0,0,0,0,0,0,1,7,577
325,GAYASPUR,478,408,0,886,258,161,0,419,317,0,257,141,9,1,1,0,0,0,1,2,1,1,5,419
326,GAYASPUR,409,359,0,768,242,129,0,371,240,0,215,149,2,2,1,0,0,0,0,0,0,1,1,371
327,GAYASPUR,495,375,0,870,271,196,0,467,467,0,331,118,3,4,1,0,0,0,0,2,0,0,8,467
328,GAYASPUR,632,541,0,1173,421,307,0,728,718,0,531,176,4,2,0,2,2,0,0,0,0,1,10,728
329,GAYASPUR,535,415,1,951,317,142,0,459,409,0,314,130,1,6,1,3,0,1,0,3,0,0,0,459
330,GAYASPUR,729,598,0,1327,390,254,0,644,642,0,260,363,4,3,2,1,0,2,1,1,0,3,4,644
331,GAYASPUR,613,537,0,1150,300,228,0,528,528,0,313,188,3,3,1,1,0,0,0,1,1,4,13,528
332,GAYASPUR,595,459,0,1054,346,219,0,565,205,0,296,241,3,5,3,1,0,1,0,0,2,3,10,565
333,GAYASPUR,341,319,0,660,175,131,0,306,297,0,161,137,0,3,2,0,0,0,0,0,2,0,1,306
334,GAYASPUR,782,638,0,1420,316,348,0,664,515,0,390,254,0,4,2,0,0,0,1,2,1,3,7,664
335,GAYASPUR,639,536,0,1175,368,273,0,641,204,0,240,73,303,9,2,1,0,0,1,0,0,2,10,641
336,GAYASPUR,564,453,0,1017,288,187,0,475,452,0,299,84,83,2,2,0,1,0,0,0,0,0,4,475
337,GAYASPUR,676,563,0,1239,321,228,0,549,453,0,204,86,231,17,1,1,0,0,0,0,0,2,7,549
338,GAYASPUR,674,535,0,1209,232,163,0,395,281,0,226,79,78,2,0,5,1,0,0,0,1,0,3,395
339,GAYASPUR,259,229,0,488,123,111,0,234,207,0,13,10,193,6,0,9,2,0,0,0,0,0,1,234
340,"DUGIPUR BADGAWAN",764,650,0,1414,330,269,0,599,492,0,135,29,412,7,0,5,2,0,2,2,1,0,4,599
341,"DUGIPUR BADGAWAN",709,598,0,1307,374,326,0,700,624,0,80,19,553,10,1,7,2,2,0,7,8,1,10,700
342,"DUGIPUR BADGAWAN",608,529,0,1137,291,262,0,553,500,0,54,32,432,14,4,1,1,0,0,3,3,2,7,553
343,"BAZAR KATRA",485,477,0,962,287,213,0,500,500,0,32,21,427,10,0,4,0,0,0,0,0,0,6,500
344,"HABIBULLA KHAN JANUBI",763,619,0,1382,414,261,0,675,666,0,473,147,37,6,0,3,0,0,0,1,0,2,6,675
345,"HABIBULLA KHAN JANUBI",601,466,0,1067,388,244,0,632,627,0,507,106,3,1,1,1,0,0,0,1,0,5,7,632
346,"HABIBULLA KHAN JANUBI",647,508,0,1155,339,257,0,596,516,0,232,82,261,5,0,1,0,1,0,1,5,2,6,596
347,"HABIBULLA KHAN JANUBI",810,686,0,1496,397,273,0,670,440,0,265,42,342,1,1,2,1,0,1,2,3,0,10,670
348,"HABIBULLA KHAN JANUBI",525,433,0,958,300,208,0,508,404,0,356,94,33,3,2,0,0,0,1,5,2,1,11,508
349,"HABIBULLA KHAN JANUBI",425,362,0,787,225,140,0,365,332,0,282,72,5,1,0,0,0,0,0,0,1,0,4,365
350,"HABIBULLA KHAN JANUBI",545,424,0,969,335,223,0,558,150,0,452,89,11,3,0,1,0,0,0,1,0,0,1,558
351,"HABIBULLA KHAN JANUBI",433,444,0,877,259,220,0,479,105,0,287,96,81,8,0,3,0,0,1,1,0,0,2,479
352,BILSANDA,852,747,0,1599,460,324,0,784,41,0,146,58,553,19,0,2,0,1,0,0,1,0,4,784
353,BILSANDA,607,508,0,1115,357,261,0,618,80,0,43,43,499,13,0,2,1,2,3,1,2,2,7,618
354,BILSANDA,790,688,0,1478,396,314,0,710,559,0,114,46,519,11,1,1,2,0,2,6,3,1,4,710
355,BILSANDA,609,519,0,1128,345,243,0,588,438,0,64,51,446,15,1,2,0,0,0,1,3,1,4,588
356,BILSANDA,472,396,0,868,294,209,0,503,159,0,60,40,378,14,0,2,0,1,0,1,3,0,4,503
357,BILSANDA,693,605,0,1298,417,283,0,700,692,0,401,79,200,6,1,0,0,0,0,2,0,2,9,700
358,BILSANDA,497,401,0,898,300,215,0,515,102,0,304,44,147,11,0,1,0,1,0,1,0,2,4,515
359,BILSANDA,337,309,0,646,232,155,0,387,383,0,44,30,291,15,2,0,0,0,1,0,3,0,1,387
360,BILSANDA,864,643,0,1507,487,292,0,779,700,0,376,63,306,15,1,2,0,0,2,1,1,2,10,779
361,BILSANDA,403,375,0,778,242,158,0,400,75,0,135,51,204,8,0,0,0,0,0,0,1,0,1,400
362,BILSANDA,519,414,0,933,320,218,0,538,371,0,255,55,210,4,1,2,1,1,1,1,1,0,6,538
