"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMBIKA SINGH","2 - BRIJ KISHOR SINGH","3 - RAM PRASAD CHAUDHARY","4 - HARISH CHANDRA  ALIAS  HARISH DWIVEDI","5 - ANAND RAJPAL","6 - PURUSHOTTAM PANDEY","7 - BHAGWANDAS","8 - RAM KARAN ALIAS R.K. GAUTAM","9 - SHIVPOOJAN RAJBHAR","10 - SITA RAM","11 - ARUN KUMAR","12 - KRISHNA  KUMAR UPADHYAY ADVOCATE","13 - RAM SHANKAR GUPTA","14 - None of the Above","Total Votes Secured"
124,P.S.BAROHIYAKALA,466,428,0,894,220,290,0,510,509,0,8,294,141,51,4,2,0,0,0,2,1,2,0,5,510
125,"P.S.BEDUKHOR ALIGE DATOOKHOR",636,561,1,1198,346,371,0,717,200,0,36,238,206,207,7,2,2,2,1,2,1,2,4,7,717
126,"P.S. MOHANAKHOR",653,586,0,1239,433,399,0,832,731,0,9,152,323,309,1,2,4,1,1,6,6,4,4,10,832
127,"ANGANWANI KENDRA KHANAUHA",304,244,0,548,200,164,0,364,364,0,20,47,133,146,4,2,2,2,1,0,3,0,1,3,364
128,"P.S. KURIYAR",687,519,0,1206,405,341,0,746,725,0,9,134,238,275,33,5,3,4,1,4,2,7,5,26,746
129,"P.S. KANCHI",502,398,0,900,313,301,0,614,482,0,5,116,335,122,8,1,2,2,2,2,5,4,5,5,614
130,"P.S. LAHARI",351,299,0,650,202,197,0,399,399,0,4,86,109,181,3,0,2,1,2,3,1,1,1,5,399
131,"P.S. KHANAUHA ALIGE CHCHVILAHA",381,347,0,728,261,244,0,505,505,0,9,270,84,123,1,2,1,2,2,0,2,3,1,5,505
132,"P.S. MEHANA EAST",505,378,0,883,214,201,0,415,415,0,21,306,26,40,2,10,2,4,1,0,1,0,2,0,415
133,"P.S. MEHANA EAST",439,469,0,908,233,254,0,487,487,0,16,111,237,104,6,4,2,0,1,0,0,1,3,2,487
134,"P.S. MEHANA WEST",235,212,0,447,116,80,0,196,191,0,3,6,90,96,1,0,0,0,0,0,0,0,0,0,196
135,"P.S. GUMANARI",289,258,0,547,221,200,0,421,421,0,3,81,167,151,3,1,0,1,4,1,4,3,1,1,421
136,"MINI SACHIWALAY MANIKAURA KALA",350,311,0,661,204,222,0,426,419,0,10,71,169,154,3,1,0,0,0,1,4,5,3,5,426
137,"P.S. PANIYAPAR",497,421,0,918,296,296,0,592,1,0,15,160,189,185,3,0,2,4,3,3,2,11,8,7,592
138,"P.S. KANSARI",399,351,0,750,237,237,0,474,428,0,25,134,143,148,2,6,4,0,0,0,2,1,2,7,474
139,"P.S. DEWAMI",502,471,1,974,287,343,0,630,629,0,7,150,330,124,5,0,2,2,1,0,0,4,3,2,630
140,"P.S. BAGHANI",287,253,0,540,191,171,0,362,362,0,10,99,131,94,5,0,5,0,0,1,2,6,4,5,362
141,"P.S. GANAUNA ALIGE GANGAURA",258,242,0,500,144,174,0,318,250,0,9,174,67,57,2,0,0,1,0,0,2,3,1,2,318
142,P.S.ASHARPHPUR,254,203,0,457,150,150,0,300,294,0,6,86,114,89,1,0,0,0,1,0,0,1,1,1,300
143,"J.H.S. BANKATI",527,419,0,946,315,251,0,566,20,0,3,165,139,243,3,1,1,0,1,1,3,2,1,3,566
144,"P.S. BANSAPAR",237,231,0,468,180,168,0,348,158,0,10,82,185,46,2,1,5,1,1,1,2,1,5,6,348
145,"P.S. BHAWALIYA",296,262,0,558,191,185,0,376,376,0,7,149,71,141,2,0,0,1,0,0,1,1,1,2,376
146,"P.S. SHANKARPUR",235,197,0,432,135,129,0,264,264,0,0,77,129,50,0,0,1,0,0,0,2,0,0,5,264
147,"P.S. DHUSARAKHOR",408,394,0,802,250,278,0,528,510,0,13,246,158,96,3,0,5,1,0,0,1,1,3,1,528
148,"P.S. KAITHAURA",599,547,0,1146,381,359,0,740,730,0,15,168,313,167,10,2,9,2,44,1,1,4,2,2,740
149,"P.S. BANAKATI",520,466,1,987,322,320,0,642,642,0,12,194,146,259,6,1,2,1,1,1,4,3,5,7,642
150,"P.S. BASAUDI",432,361,0,793,294,257,0,551,405,0,22,150,174,190,3,1,1,1,2,0,2,2,1,2,551
151,"J.H.S. JAYPUR",382,341,0,723,218,193,0,411,222,0,7,65,118,209,3,1,0,1,0,2,1,1,1,2,411
152,G.P.S..CHITRAKHOR,451,401,1,853,271,286,0,557,557,0,15,124,224,162,3,1,2,0,3,3,2,9,3,6,557
153,"P.S. HINAUTA",682,562,3,1247,298,314,0,612,612,0,33,257,88,202,7,8,1,2,0,0,2,2,0,10,612
154,"P.S. THALHAPAR",458,402,3,863,298,288,0,586,586,0,10,103,216,215,12,3,2,1,1,2,3,5,4,9,586
155,"P.S. BARHUWA",767,653,3,1423,369,411,0,780,410,0,26,226,230,273,1,2,3,4,1,1,2,4,4,3,780
156,"P.S. BARHUWA",253,209,0,462,194,122,0,316,230,0,11,34,88,166,3,2,0,0,2,0,4,0,0,6,316
157,"P.S. GANGAURA",311,282,2,595,210,215,0,425,33,0,2,106,261,38,5,2,0,1,0,1,1,5,2,1,425
158,P.S.AHIRAULI,833,706,1,1540,345,377,0,722,722,0,21,329,220,132,2,6,3,0,0,1,3,1,1,3,722
159,"P.S. GANGHAR",498,421,4,923,289,288,0,577,577,0,6,75,245,235,2,1,1,1,0,1,0,1,1,8,577
160,"P.S. BHAGHAPAR",705,630,0,1335,338,342,0,680,678,0,8,290,114,252,2,0,0,0,0,0,2,1,3,8,680
161,"P.S. DELHAPAR",287,240,0,527,138,167,0,305,300,0,8,173,88,24,1,1,0,1,1,0,1,3,1,3,305
162,"K.I.C. KHORIYA EAST",630,563,0,1193,277,323,0,600,600,0,16,214,48,263,4,39,4,2,1,5,2,1,0,1,600
163,"K.I.C. KHORIYA WEST",761,741,0,1502,372,417,0,789,50,0,24,187,198,315,8,4,5,5,4,4,6,10,4,15,789
