"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
99,"P.P. JALALPUR KATCH NO. 1",490,450,0,940,234,281,0,515,410,0,12,125,284,15,0,3,46,1,1,0,3,3,1,13,4,4,515
100,"P.P. JALALPUR KATCH NO. 2",530,485,0,1015,270,289,0,559,449,0,8,150,360,10,1,1,2,0,0,1,3,1,4,10,5,3,559
101,"P.P. SARAY KALYAN",560,475,0,1035,274,306,0,580,500,38,38,139,277,92,1,1,0,1,3,1,2,2,6,10,6,1,580
102,"P.P. MOHAMDABAD",595,506,0,1101,348,293,0,641,284,0,6,118,489,10,1,4,0,0,0,1,0,2,3,4,3,0,641
103,"P.P. KHATEEVPUR",387,324,0,711,293,210,0,503,502,0,7,92,303,79,1,4,0,1,0,0,0,2,2,5,5,2,503
104,"P.P. ALDEMAU NOORPUR",522,459,0,981,322,319,0,641,641,0,37,131,407,32,0,2,5,2,0,0,2,1,5,9,1,7,641
105,"P.P. KADIPUR KHURD KATCH NO. 1",715,611,0,1326,336,347,0,683,180,0,19,175,392,36,1,6,3,4,1,2,5,1,10,21,2,5,683
106,"P.P. KADIPUR KHURD  KATCH NO. 2",558,493,0,1051,242,308,0,550,500,0,79,131,221,49,4,0,5,2,1,1,22,1,6,15,5,8,550
107,"P.P. SARAYRANI KATCH NO. 1",584,532,0,1116,356,303,0,659,659,0,9,213,176,210,6,4,1,2,3,3,2,3,5,6,8,8,659
108,"P.P. SARAYRANI KATCH NO. 2",580,510,0,1090,263,288,0,551,300,0,46,105,259,125,3,0,0,1,0,1,5,0,1,1,2,2,551
109,"P.P. PADELA KATCH NO. 1",490,420,0,910,260,236,0,496,496,0,37,180,204,35,0,3,3,1,2,0,4,1,5,16,1,4,496
110,"P.P. PADELA KATCH NO. 2",669,585,0,1254,426,362,0,788,788,0,83,237,377,29,3,8,2,3,3,1,3,3,8,18,9,1,788
111,"P.P. PADARPUR SHRIRAMPUR KATCH NO. 1",743,639,0,1382,382,365,0,747,747,0,38,96,290,268,4,6,0,2,4,3,3,4,7,16,1,5,747
112,"P.P. PAHARPUR SHRIRAMPUR  KATCH NO. 2",466,424,0,890,347,208,0,555,555,0,51,260,203,4,2,2,0,1,3,1,1,5,12,7,0,3,555
113,"P.P. PRANNATHPUR KALA",226,202,0,428,128,127,0,255,255,0,6,34,177,24,0,0,0,0,0,0,2,0,0,7,0,5,255
114,"P.P. JAFARPUR",559,504,0,1063,321,301,0,622,292,0,9,111,396,89,3,0,2,0,2,0,1,0,3,6,0,0,622
115,"P.P. NAROTTAMPUR",387,359,0,746,265,185,0,450,450,0,4,191,185,37,1,1,1,1,0,0,15,0,2,8,0,4,450
116,"P.P. TRILOKPUR NEWADA",563,487,0,1050,316,324,0,640,640,0,9,231,269,101,2,1,1,1,0,0,6,0,3,10,5,1,640
117,"P.P. PAKADPUR II",727,602,0,1329,430,395,0,825,804,0,13,209,448,104,4,5,0,1,2,0,8,0,9,13,5,4,825
118,"DEV NARAYAN UTTCHATAR MADHYAMIK SCHOOL PAKADPUR  KATCH NO.-1",722,617,0,1339,357,338,0,695,642,0,42,78,492,56,1,2,0,0,2,1,1,1,1,10,2,6,695
119,"P.P. PAKADPUR KATCH NO. 1",833,708,0,1541,428,429,0,857,857,0,141,214,221,217,8,6,6,3,2,3,4,2,5,15,7,3,857
120,"P.P. PAKADPUR KATCH NO. 2",307,273,0,580,203,200,0,403,403,0,13,331,26,11,1,0,0,1,1,0,0,0,3,0,10,6,403
121,"P.P. DHARUPUR",316,275,0,591,131,142,0,273,273,0,19,51,144,35,2,2,0,0,1,0,0,0,3,12,1,3,273
122,"P.P. NAGNATHPUR",544,482,0,1026,342,290,0,632,620,0,11,192,251,137,2,4,0,1,1,0,2,4,3,12,9,3,632
123,"P.P. PATNAPAWAROPATTI",611,573,0,1184,295,358,0,653,653,0,16,241,220,140,3,2,2,0,1,1,1,1,7,10,5,3,653
124,"P.P. SHODHANPUR",498,476,0,974,288,299,0,587,587,0,33,200,206,132,1,2,1,0,0,0,1,0,3,3,1,4,587
125,"P.P. GUDRA",805,685,0,1490,400,457,0,857,857,0,35,246,339,165,3,6,6,4,3,3,2,2,10,21,5,7,857
126,"P.P. HARIPUR KATCH NO. 1",577,517,0,1094,315,289,0,604,604,0,28,182,302,60,0,3,3,4,0,2,2,1,4,4,7,2,604
127,"P.P. HARIPUR ATIRIKT KATCH NO. 2",311,262,0,573,168,132,0,300,290,0,13,147,82,47,1,3,0,1,2,0,2,0,1,1,0,0,300
128,"P.P. KAMMARPUR",496,429,1,926,247,267,0,514,506,0,23,242,138,90,0,2,1,1,1,1,4,1,1,2,5,2,514
129,"P.P. PRANNATHPUR KAYASTH",224,200,0,424,150,140,0,290,290,0,11,207,65,4,0,0,0,1,0,0,0,0,0,0,1,1,290
130,"J.H.S. ASLAHUDDINPUR",280,212,0,492,200,111,0,311,275,0,12,97,148,42,0,0,2,1,0,0,0,0,0,4,3,2,311
131,"P.P. TAHIRPUR",571,476,0,1047,257,339,0,596,594,0,8,214,166,165,1,4,1,6,1,2,4,1,9,11,2,1,596
