"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
143,"P.M.V. KOTRA R.NO-2",416,351,0,767,265,201,0,466,463,0,30,108,142,46,4,2,1,0,3,3,7,2,3,1,112,2,466
144,"P.S. BEEHAT",375,319,0,694,253,170,0,423,423,0,175,36,120,82,0,1,0,0,0,1,1,1,0,0,2,4,423
145,"P.S. LOHARGAON",539,424,0,963,355,264,0,619,39,0,284,33,77,193,1,3,7,1,1,1,4,0,3,2,0,9,619
146,"N.P.S. NAIPURA R.NO-1",441,337,0,778,260,193,0,453,447,0,147,14,216,22,1,2,2,1,0,2,4,3,2,3,30,4,453
147,"N.P.S. NAIPURA R.NO-2",455,365,0,820,265,186,0,451,450,0,70,14,213,100,2,2,2,0,2,0,3,0,1,4,29,9,451
148,"P.M.V. MARWARI",478,401,0,879,299,253,0,552,552,0,334,19,58,123,0,4,1,0,0,0,1,1,2,0,2,7,552
149,"P.S. KOHANIA",853,670,0,1523,520,350,0,870,870,0,251,126,72,319,5,3,9,3,2,1,24,7,10,9,10,19,870
150,"P.S. DHARWAR",465,375,0,840,329,247,0,576,554,0,213,24,179,123,2,2,3,1,0,1,8,3,1,4,6,6,576
151,"P.S. RICHHARA",299,259,0,558,228,196,0,424,265,0,266,16,13,118,0,3,2,0,0,0,0,1,2,0,0,3,424
152,"P.S. TIKARIA",624,491,0,1115,408,273,0,681,681,0,77,20,317,80,1,1,1,2,1,2,4,3,3,6,153,10,681
